source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	potential_transpiration[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	2020-01-01 23:00:00	0	0.04	0.04	3.50309	0	0	0	0.241876	0.04	0	0.000720068	0	0	0	0	0	0	0	375.182	0	0	-99.99	40.2616	40.2616	40.2616	40.2616	40.2086	40.2086	40.127	40.127	39.6072	39.336	-99.99	482.123	1131.03	1337.53	1004.49	1044.35	-99.99	-99.99	99	0	0
setup	0	2020-01-02 23:00:00	0	1.21	1.21	3.47132	0	0	0	0.244262	0.144638	0	0.00122207	1.06536	0	0	0	0	0	0	376.002	0	0	-99.99	40.6842	40.6842	40.6842	40.6842	40.2051	40.2051	40.1202	40.1202	39.6165	39.3464	-99.99	305.056	1136.5	1350.56	991.798	1029.43	-99.99	-99.99	99	0	0
setup	0	2020-01-03 23:00:00	0	1	1	3.50113	0	0	0	0.253931	0.14588	0	0.000951694	0.85412	0	0	0	0	0	0	376.601	0	0	-99.99	40.8946	40.8946	40.8946	40.8946	40.2936	40.2936	40.1234	40.1234	39.6218	39.3548	-99.99	244.522	1007.71	1344.39	984.619	1017.63	-99.99	-99.99	99	0	0
setup	0	2020-01-04 23:00:00	0	0.33	0.33	3.37791	0	0	0	0.243	0.140746	0	0.000821109	0.189254	0	0	0	0	0	0	376.547	0	0	-99.99	40.8357	40.8357	40.8357	40.8357	40.3043	40.3043	40.1333	40.1333	39.6269	39.3597	-99.99	260.039	993.253	1325.63	977.878	1010.83	-99.99	-99.99	99	0	0
setup	0	2020-01-05 23:00:00	0	0.33	0.33	3.37603	0	0	0	0.241635	0.140668	0	0.000876437	0.189332	0	0	0	0	0	0	376.494	0	0	-99.99	40.7999	40.7999	40.7999	40.7999	40.2968	40.2968	40.138	40.138	39.6325	39.3648	-99.99	269.983	1003.27	1316.72	970.409	1003.72	-99.99	-99.99	99	0	0
setup	0	2020-01-06 23:00:00	0	0.8	0.8	3.51661	0	0	0	0.256431	0.146525	0	0.000921416	0.653475	0	0	0	0	0	0	376.89	0	0	-99.99	40.9286	40.9286	40.9286	40.9286	40.3455	40.3455	40.1536	40.1536	39.6411	39.3722	-99.99	236.027	939.623	1287.86	959.174	993.558	-99.99	-99.99	99	0	0
setup	0	2020-01-07 23:00:00	0	1.81	1.81	3.48303	0	0	0	0.269956	0.145126	0	0.00131451	1.66487	0	0	0	0	0	0	378.283	0	0	-99.99	41.3702	41.3702	41.3702	41.3702	40.5397	40.5397	40.2155	40.2155	39.6638	39.3861	-99.99	150.536	725.954	1179.78	930.115	974.712	-99.99	-99.99	99	0	0
setup	0	2020-01-08 23:00:00	0	3.9	3.9	3.50224	0	0	0	0.302664	0.145927	0	0.00377129	3.75407	0	0	0	0	0	0	381.731	0	0	-99.99	42.1883	42.1883	42.1883	42.1883	41.1637	41.1637	40.4701	40.4701	39.7478	39.4229	-99.99	68.2142	329.15	828.691	830.572	926.808	-99.99	-99.99	99	0	0
setup	0	2020-01-09 23:00:00	0	2.06	2.06	3.48801	0	0	0	0.30495	0.145334	0	0.00963334	1.91467	0	0	0	0	0	0	383.331	0	0	-99.99	42.2619	42.2619	42.2619	42.2619	41.487	41.487	40.7323	40.7323	39.8765	39.4819	-99.99	63.6781	223.003	582.55	699.835	855.269	-99.99	-99.99	99	0	0
setup	0	2020-01-10 23:00:00	0	0.96	0.96	3.60227	0	0	0	0.31305	0.150094	0	0.0150328	0.809906	0	0	0	0	0	0	383.813	0	0	-99.99	42.2274	42.2274	42.2274	42.2274	41.4644	41.4644	40.8502	40.8502	39.9951	39.5611	-99.99	65.7649	229.069	498.887	598.969	768.561	-99.99	-99.99	99	0	0
setup	0	2020-01-11 23:00:00	0	0.31	0.31	3.56687	0	0	0	0.303241	0.14862	0	0.016813	0.16138	0	0	0	0	0	0	383.654	0	0	-99.99	42.0529	42.0529	42.0529	42.0529	41.3595	41.3595	40.8821	40.8821	40.0802	39.6444	-99.99	77.5014	259.609	478.61	536.432	687.477	-99.99	-99.99	99	0	0
setup	0	2020-01-12 23:00:00	0	0.41	0.41	3.5931	0	0	0	0.301345	0.149712	0	0.0158513	0.260288	0	0	0	0	0	0	383.597	0	0	-99.99	41.9457	41.9457	41.9457	41.9457	41.2908	41.2908	40.8908	40.8908	40.1419	39.7236	-99.99	85.8176	281.99	473.172	495.52	618.987	-99.99	-99.99	99	0	0
setup	0	2020-01-13 23:00:00	0	11.73	11.73	3.53481	0	0	0	0.353497	0.441852	0	0.233519	11.2881	0	0	0	0	0	0	394.298	0	0	-99.99	43.0541	43.0541	43.0541	43.0541	42.4181	42.4181	41.9071	41.9071	41.3672	40.9428	-99.99	30.9601	77.6894	135.538	113.765	137.534	-99.99	-99.99	99	0	0
setup	0	2020-01-14 23:00:00	0	8.4	8.4	3.53638	0	0	0	0.363476	0.294698	0	6.94327	8.1053	0	0	0	0	0	0	395.097	0	0	-99.99	42.6247	42.6247	42.6247	42.6247	42.7495	42.7495	42.0545	42.0545	41.5345	41.1568	-99.99	45.5735	54.4738	114.266	94.3149	107.628	-99.99	-99.99	99	0	0
setup	0	2020-01-15 23:00:00	0	2.98	2.98	3.56961	0	0	0	0.326608	0.148734	0	5.34133	2.83127	0	0	0	0	0	0	392.26	0	0	-99.99	42.4015	42.4015	42.4015	42.4015	42.0476	42.0476	41.8097	41.8097	41.2961	41.0641	-99.99	55.9308	116.914	151.929	123.317	119.621	-99.99	-99.99	99	0	0
