%global
       time = "2008-01-01/1"

%climate
        id = 0

%attributes
        elevation = "719"
        latitude = "47.48"
        longitude = "11.06"

%data
prec	tavg	tmax	tmin	grad	wind
0	-5.745833333	-2.6	-10.2	-99.99	1.2
1.2	-3.529166667	-1.8	-5.9	-99.99	1.1
0.1	-9.8625	-4.5	-14.6	-99.99	1.3
0	-12.00833333	-1.6	-16.1	-99.99	1.2
0	-10.96666667	-3.2	-14.3	-99.99	1.3
0.1	-2.154166667	5.1	-10.8	-99.99	1.5
0	2.8375	8.7	0.9	-99.99	1.3
0	1.916666667	9.3	-0.9	-99.99	1.3
0	2.570833333	12.1	-0.5	-99.99	1.2
3.6	1.025	2.6	0.1	-99.99	1.2
0.1	0.575	4.7	-0.9	-99.99	1.2
5.2	2.058333333	6.1	-0.4	-99.99	1.1
39.5	4.65	6.2	3	-99.99	1
3	4.720833333	9.6	2.5	-99.99	1
0.9	3.779166667	9.3	-0.5	-99.99	1.4
0	0.904166667	10	-1.9	-99.99	1.2
0	0.195833333	9.3	-2.5	-99.99	1.4
0	2.145833333	8.7	-2.4	-99.99	1.1
4.4	0.166666667	2.3	-2.3	-99.99	1.6
1.1	-3.229166667	-1.2	-6.2	-99.99	1
2.6	-3.454166667	-2.8	-4.4	-99.99	3
0	-5.491666667	-4.4	-9.1	-99.99	2.7
0	-10.65833333	-3.3	-15.4	-99.99	1.3
4.3	-4.820833333	-1.5	-10.7	-99.99	0.8
1.5	-1.075	1.6	-3.3	-99.99	1
3.6	0.341666667	3.5	-1	-99.99	0.9
0	-0.5	2.5	-1.7	-99.99	1.9
0	-2.120833333	1.1	-5.2	-99.99	1.7
0	-7.375	-1.1	-11.5	-99.99	1.2
0	-8.091666667	-4.8	-11.6	-99.99	1.6
0	-8.191666667	-4.7	-11.9	-99.99	1.3
0	-8.979166667	-4.3	-13.4	-99.99	1.3
0	-9.495833333	-1.4	-14.2	-99.99	1.4
0	-4.120833333	3.8	-12.2	-99.99	1.3
0	-0.795833333	7	-6.7	-99.99	1.3
0	0.35	11.6	-5.4	-99.99	1.3
0	2.179166667	13.8	-3.1	-99.99	1.1
0	0.795833333	14.3	-5.8	-99.99	1.4
0	0.704166667	10.5	-5.1	-99.99	1.6
0	-0.466666667	7.5	-5.9	-99.99	1.5
0	0.754166667	11.6	-5.6	-99.99	1.4
0	4.983333333	12.7	-2.2	-99.99	1.2
0	5.191666667	12.8	-0.7	-99.99	1.6
0	2.5625	9.3	-1.2	-99.99	1.4
0	2.4875	10.6	-2.6	-99.99	1.7
0	0.166666667	3.9	-3.9	-99.99	1.5
0	0.8875	4	-1	-99.99	1.2
0	1.133333333	3.3	-0.4	-99.99	1.2
0	1.416666667	3.6	0	-99.99	1.6
0	2.341666667	5.6	0.3	-99.99	1.5
3.8	-0.545833333	0.9	-1.9	-99.99	1.6
7.7	-2.466666667	-1.2	-3.6	-99.99	1.9
2.3	-4.45	-3.6	-5.6	-99.99	2.1
0	-5.208333333	-1.3	-8	-99.99	1.5
0	-2.958333333	4.8	-11.7	-99.99	1.3
1.3	0.266666667	2.2	-1	-99.99	0.9
0.2	0.116666667	7.8	-6.5	-99.99	1.4
9.5	1.791666667	5.9	-0.1	-99.99	0.9
1.3	1.033333333	2	0.1	-99.99	1.6
0	-0.795833333	1.4	-3.1	-99.99	2
0	-0.633333333	3.9	-4.4	-99.99	2.1
0	-2.475	2.7	-7.6	-99.99	1.7
0	-1.9875	1.9	-5.7	-99.99	1.6
0	-0.941666667	6.4	-6.8	-99.99	1.6
0	-0.883333333	2.7	-4.8	-99.99	2.5
0	-0.516666667	5.3	-5.2	-99.99	2
0	2.120833333	12.4	-6.3	-99.99	1.8
0	4.991666667	13.8	-1.6	-99.99	1.5
0	5.4	13.9	-1	-99.99	1.7
0	3.25	10.4	-2.5	-99.99	2
0	6.95	17.5	-2.5	-99.99	1.9
0	10.19583333	15.6	6.5	-99.99	2.4
0.2	8.991666667	15.4	2.2	-99.99	2
0	8.695833333	19.1	0.1	-99.99	1.7
0	6.658333333	11.4	2.7	-99.99	1.6
24.3	5.204166667	7	3.5	-99.99	1
6.2	6.25	10.4	3.8	-99.99	1.8
3.9	2.433333333	3.9	0.5	-99.99	2.7
0	1.454166667	7.5	-2.8	-99.99	1.8
0	1.320833333	7.9	-4.9	-99.99	2.4
0	3.641666667	12.3	-3.8	-99.99	2.1
0	5.779166667	15.1	-2.4	-99.99	2.2
0	7.245833333	17.6	-1.9	-99.99	1.9
0	8.720833333	19.3	-0.7	-99.99	1.8
0	9.070833333	15.3	1.6	-99.99	1.8
4.4	6.716666667	11.7	4.3	-99.99	1.6
5.3	6.391666667	10.3	3.3	-99.99	1.1
0	7.1375	15.8	0.1	-99.99	1.8
0	7.645833333	16.2	-0.5	-99.99	1.9
2.1	10.02083333	17	2.6	-99.99	1.7
0.5	11.6875	17.8	5.7	-99.99	1.9
0	12.40833333	22.5	2.6	-99.99	1.8
0	13.50416667	23.8	3.4	-99.99	1.5
7.2	7.579166667	10.6	3.9	-99.99	1.4
3.3	8.8125	15.2	4.2	-99.99	1.4
0	11.61666667	19.4	6.8	-99.99	1.5
0	16.00833333	26.2	4.5	-99.99	1.9
0	14.60416667	20.2	6.9	-99.99	2.1
0	11.85833333	19.2	3.9	-99.99	2.3
0	9.920833333	17.8	2	-99.99	2.4
0	10.9875	20.2	1.5	-99.99	1.9
13.7	5.925	11.9	0.7	-99.99	1.6
2	3.333333333	6.7	0.7	-99.99	1.9
0.1	3.829166667	7.6	0.8	-99.99	1.4
0	4.304166667	8.9	-2	-99.99	2.2
0	5.158333333	11.6	-2.4	-99.99	2.1
0	7.366666667	14.9	-2.1	-99.99	2.4
0	9.795833333	17.3	0.2	-99.99	2
0	11.10416667	19.4	1.8	-99.99	2.2
0	12.62083333	21	2.4	-99.99	2
0	13.27083333	21.7	3.6	-99.99	2.1
0	13.8125	23.4	3.4	-99.99	1.9
0	15.11666667	23	4.3	-99.99	1.5
0.9	13.23333333	18.9	8.3	-99.99	1.8
0	11.90416667	18.3	3.9	-99.99	2.5
0	9.125	15.2	2.1	-99.99	2.1
4.3	8.783333333	13.7	4.9	-99.99	1.6
1.4	9.295833333	16.4	1.9	-99.99	2
4.5	9.775	16.8	3.7	-99.99	1.5
0.7	10.52916667	17.6	2.3	-99.99	1.9
0.2	9.054166667	14.5	4.1	-99.99	1.4
5	10.3125	18.4	2.3	-99.99	1.6
7.6	6.675	9.2	4.3	-99.99	2.3
0	6.320833333	11.6	1.5	-99.99	2.4
0	7.766666667	15.8	-1.5	-99.99	2.4
0	12.20416667	21.1	0.5	-99.99	2.3
0	14.08333333	22.7	3.9	-99.99	2.4
0	14.40416667	22.3	4.8	-99.99	2.6
0	13.49583333	21.8	4.1	-99.99	2.6
0	15.09583333	24.8	3.7	-99.99	1.9
0	14.99166667	22.2	6.3	-99.99	1.8
3.9	14.24583333	21.8	9.2	-99.99	1.3
2.2	13.675	19.4	8.6	-99.99	2
37.2	12.79583333	19.8	8.1	-99.99	2
20.3	6.479166667	9.8	5.1	-99.99	1.3
1.6	7.329166667	10.8	4.6	-99.99	0.8
0	10.74583333	16.2	5	-99.99	1.1
0	13.925	21.7	3.4	-99.99	2
8.2	16.35833333	24.5	6	-99.99	2.1
5	14.46666667	22.2	9.9	-99.99	1.8
2.7	15.79166667	22	10.2	-99.99	1.9
7.7	13.90416667	22	8.1	-99.99	1.3
2.6	15.68333333	21.9	10.3	-99.99	1.8
0	17.8125	25.8	8.4	-99.99	1.7
0	15.66666667	21.3	10.2	-99.99	2.5
12.5	17.09166667	26.2	9.2	-99.99	1.7
33.8	10.47083333	13.9	6.8	-99.99	1.4
5.3	9.583333333	16	5.5	-99.99	0.9
0	13.825	22.5	3.3	-99.99	1.8
0	18.075	26.7	7	-99.99	1.9
15	16.4375	22.2	12.5	-99.99	1.7
0.9	11.4	13	9.4	-99.99	2.2
0	12.8	16.2	10.8	-99.99	2.7
1.7	16.22916667	21.1	12.1	-99.99	2.3
0.8	17.76666667	25.7	10.5	-99.99	2.1
0.1	18.4125	25.1	11.7	-99.99	2.2
0.2	16.12916667	22.7	10.4	-99.99	2.2
0	15.9625	22.1	7.4	-99.99	1.9
29	12.6	15	9.7	-99.99	1
3.7	11.1375	13.3	9.6	-99.99	1.5
2.1	11.75	14.3	9.6	-99.99	1.4
15	11.175	13.5	9.5	-99.99	1.1
0.2	13.7625	19.2	9.2	-99.99	1.9
3.1	13.55833333	16.5	9.5	-99.99	1.2
5.5	15.375	21.7	11.3	-99.99	1.1
0	17.6	23.7	10.4	-99.99	1.8
6.6	17.875	23.5	12.7	-99.99	1.2
4.5	17.04166667	21.5	12.3	-99.99	1.7
42.9	12.15833333	15.8	9.2	-99.99	1.1
1.2	12.04166667	16.5	8.7	-99.99	2.1
0.1	13.875	19.3	9	-99.99	1.1
3.5	19.6375	26.3	11.7	-99.99	1.8
17.5	18.77083333	26.6	13.2	-99.99	1.7
7.7	13.9625	17.3	11.5	-99.99	1.3
2.6	12.60416667	16.5	9.6	-99.99	1.4
0	13.375	17.1	8.9	-99.99	1.5
0.3	18.25416667	24.8	12.7	-99.99	1.9
0	20.25416667	27.5	11.1	-99.99	2.2
0	20.825	28.1	12	-99.99	2.1
0.4	19.67916667	27.4	11.2	-99.99	1.8
32	14.30833333	16.8	11.6	-99.99	1.4
11.8	11.075	17	7.1	-99.99	1.4
7.7	10.12083333	14.5	6.8	-99.99	1.4
0	11.94166667	17	5.8	-99.99	1.2
0	16.6125	24.2	6.8	-99.99	2.1
0	17.3875	23.4	9.9	-99.99	1.4
0	19.79583333	27.1	9.9	-99.99	1.7
3.9	19.775	26.4	12.1	-99.99	2
12.8	16.42916667	21.6	13.1	-99.99	1.8
0.1	20.3875	26.1	14.2	-99.99	2.1
32	18.22083333	25.5	14.8	-99.99	1.7
0	18.55416667	23.5	13.6	-99.99	2.3
0.4	21.1	28.2	12	-99.99	2
17.4	18.75833333	24.9	13.6	-99.99	1.9
6.5	12.7625	14.7	11.2	-99.99	1.7
1.5	12.72916667	17	8.4	-99.99	0.9
0	15.52916667	22.7	6	-99.99	1.5
22	15.83333333	27.9	10.5	-99.99	1.8
8.3	11.7875	14.7	9.3	-99.99	1.1
6	15.24583333	21.9	6.3	-99.99	1.9
15.5	11.02916667	12.7	9.6	-99.99	1.2
1.1	13.9375	18.4	10	-99.99	1.2
0.9	13.84583333	18.4	11.2	-99.99	1.3
2.4	12.025	14	8.6	-99.99	1.2
2.2	10.07083333	13.7	7.7	-99.99	1.1
0	10.39166667	15.3	5.2	-99.99	1
0	13.5625	21.1	4.5	-99.99	1.5
0.6	15.9875	21.8	9.1	-99.99	1.7
13.4	14.53333333	18.2	11.1	-99.99	1
3.2	14.375	20.6	10.5	-99.99	1.1
1.7	13.6875	16.4	12.2	-99.99	1.2
0	15.37916667	18.8	11.4	-99.99	2
0	15.45	20.2	11	-99.99	2.3
0	17.64166667	25	9	-99.99	2.1
23.3	16.99166667	25.7	11.5	-99.99	1.7
12.7	17.525	23.9	13.7	-99.99	1.2
0.9	17.18333333	23	12.2	-99.99	0.9
5.9	18.95	25.4	13.4	-99.99	1.5
28.5	15.225	17.1	13.7	-99.99	1
10.6	13.61666667	16.6	9	-99.99	1
1.7	12.43333333	16.8	9	-99.99	1.7
4.7	12.2125	17.8	7.4	-99.99	1.8
0	14.85	23.3	5.3	-99.99	1.7
0	17.49583333	23.8	10.4	-99.99	1.8
0.5	17.68333333	23.1	12.4	-99.99	1.7
7.9	19.15	27.6	9.9	-99.99	1.9
28.1	16.43333333	21.1	14.8	-99.99	1
0	18.11666667	23.7	11.1	-99.99	1.9
0	19.3	26.4	11.7	-99.99	1.9
0.3	21.8625	28.9	13.8	-99.99	1.8
10.6	21.0375	29.8	14.7	-99.99	1.5
0	20.96666667	27.2	15.2	-99.99	1.8
0	21.9625	30.9	13.3	-99.99	1.4
0	23.07916667	31.6	13.9	-99.99	1.7
0	22.975	32	14.2	-99.99	1.7
0.1	21.49166667	29.3	14.1	-99.99	1.9
0	22.85416667	30.9	15.1	-99.99	1.9
0	23.5375	32.1	14.3	-99.99	1.9
15.9	10.48333333	18.1	5.8	-99.99	1.8
0	12.1875	20.1	3.6	-99.99	1.6
0.4	14.11666667	19.3	7.6	-99.99	2
0	14.24583333	19.4	9.4	-99.99	1.7
0	15.64166667	23.3	8.2	-99.99	1.9
0.2	14.29583333	20.5	9.9	-99.99	0.8
0.1	16.3375	22	10.3	-99.99	1.1
0.1	18.83333333	26.9	9.8	-99.99	1.7
0.6	19.48333333	25.2	14.1	-99.99	1.6
32.4	14.1875	17.4	10.7	-99.99	1.1
0	14.03333333	20.3	8	-99.99	1.5
0.3	14.54583333	19.9	8.7	-99.99	1.3
1.5	14.6125	18	12.8	-99.99	1
0.7	17.05	24.4	12.7	-99.99	1.3
0	18.67083333	27.1	10.2	-99.99	1.6
2.1	19.92916667	27.8	11.6	-99.99	1.6
2.1	16.51666667	22.2	10.8	-99.99	1.5
0	15.775	23.1	8.5	-99.99	1.9
2.4	13.2875	16.9	10.8	-99.99	1.5
0	14.57916667	18.8	11.1	-99.99	1.6
0	14.9375	23.1	7.1	-99.99	1.4
7.3	16.80416667	25.6	12.3	-99.99	1.4
41	10.4375	13.9	5.9	-99.99	1.2
18	5.7125	6.9	4.8	-99.99	0.8
1.2	8.8	13.9	5.2	-99.99	0.6
0	10.475	18.5	2.9	-99.99	1.4
0	12.6875	18.5	5.6	-99.99	1.7
0	14.40833333	19.1	9.1	-99.99	1.6
0	14.04583333	21.6	6.8	-99.99	1.5
0	14.37916667	22.3	7.7	-99.99	1.4
0	14.24583333	21.6	7.7	-99.99	1.7
0	14.59166667	21.5	8.6	-99.99	1.8
0	13.925	21.8	7.5	-99.99	1.8
0	12.66666667	18.5	6.8	-99.99	1.5
0	13.32083333	21.3	6.2	-99.99	1.5
0	14.30416667	22.4	7	-99.99	1.5
0	14.2625	22.2	7.5	-99.99	1.4
0	14.4	22.9	7.7	-99.99	1.5
0	13.61666667	22.3	7.3	-99.99	1.6
0	12.69583333	19.9	4.8	-99.99	1.7
0.9	14.54166667	22.3	7.6	-99.99	1.2
22.7	6.720833333	11.8	4.1	-99.99	2.1
13.5	3.945833333	6.1	2.2	-99.99	1.3
9.6	3.954166667	9.6	0.7	-99.99	1.3
35.9	8.4	13.2	3.8	-99.99	1.1
0	12.02083333	22.7	6.1	-99.99	1.2
0	10.125	15.2	5.2	-99.99	1.7
4.1	8.7875	11.4	6.9	-99.99	1.5
0	6.783333333	10.9	2.2	-99.99	2.1
0	3.05	8.6	-1.4	-99.99	1.5
0	4.9375	13.1	-1.1	-99.99	1.5
0	7.0875	14.8	0	-99.99	1.5
0	7.716666667	19.4	0.2	-99.99	1.2
13.1	4.854166667	11.9	0.3	-99.99	2.1
4.8	1.875	5.1	0.1	-99.99	0.8
0	1.9375	6.9	-2	-99.99	1.2
0	0.0875	6.3	-4.1	-99.99	1.4
0	1.745833333	11.3	-4.4	-99.99	1.4
0	4.195833333	14	-2.5	-99.99	1.4
0	10.3	15.6	5.5	-99.99	1.7
0.6	8.85	12.4	5.9	-99.99	1.5
0	5.666666667	11.7	0.5	-99.99	1.4
0	6.258333333	16.5	-0.3	-99.99	1.4
0	5.891666667	16	-0.1	-99.99	1.4
0	6.6125	16.6	0.3	-99.99	1.3
0	4.679166667	12.2	-0.1	-99.99	1.5
0	6.016666667	16.3	-0.6	-99.99	1.3
0	5.491666667	15.8	0.3	-99.99	1.3
0	7.275	18.4	-0.1	-99.99	1.4
0	11.71666667	19.4	6.1	-99.99	2
0	11.91666667	18.8	7.9	-99.99	1.6
0	10.88333333	19.5	5.6	-99.99	1.6
0	6.116666667	7.6	2.5	-99.99	1.4
0	8.579166667	18.8	2.6	-99.99	1.5
0	6.704166667	17.2	1.5	-99.99	1.3
0	2.825	7	-0.9	-99.99	1.5
0	2.270833333	4.2	-1.4	-99.99	1.2
0	3.516666667	14.2	-2.1	-99.99	1.4
0	1.020833333	8.3	-2.7	-99.99	1.3
0	0.225	8.9	-4.3	-99.99	1.4
0	-1.1125	3	-4.9	-99.99	1.4
0	-1.820833333	4.3	-4.4	-99.99	1.3
0	-0.433333333	11.1	-5.2	-99.99	1.4
0	0.058333333	9.8	-4.4	-99.99	1.3
0	-0.954166667	9.5	-5	-99.99	1.2
0	0.9	11	-4.4	-99.99	1.3
0	0.504166667	11.5	-3.8	108.2842941	1.2
0	0.183333333	10.9	-3.7	71.21963863	1.2
0	-1.9375	1.9	-4.5	69.936838	1.3
0	-2.775	2.2	-5.4	70.11895967	1.3
0	-1.7875	9.5	-6.6	68.84854963	1.2
0	-0.104166667	7.4	-4.5	65.88113438	1.4
0	0.104166667	11	-4.2	67.15797133	1.4
0	-0.125	8.5	-3.7	65.63178117	1.3
0	0.05	10.2	-4.4	63.13145421	1.3
0	3.216666667	11.8	-1.1	60.15936688	1.3
0	1.470833333	10.6	-2	56.20575167	1.1
0	1.541666667	12.6	-2.3	58.57729654	1.3
2.1	3.35	5.5	1.5	16.13064645	0.8
0.1	5.3	10	2.4	36.82580179	1.2
6.8	3.0625	10.8	-1.5	21.38857901	2
5.2	-0.154166667	1.5	-2.4	14.97133265	1
17.1	1.525	4.9	0.2	10.69955662	1.1
2	1.5625	6.9	-2.8	55.54463188	1.7
0	-0.054166667	7.1	-3.3	50.44959371	1.2
1	2.004166667	4	0.7	26.80981226	1
0.2	1.65	5	-0.7	53.86861025	1
3.8	1.283333333	6.1	-2.3	25.41823045	1.2
0	0.133333333	6.1	-3.7	49.28611925	1.2
1	3.008333333	8.6	-1.6	33.04672505	1.4
1.2	0.4125	3.6	-1.7	24.23638384	1.4
6.8	4.733333333	10.2	-0.2	17.02022828	3.2
5.4	-0.55	2.1	-2.1	15.22096616	1.7
0.4	-2.7875	2.4	-5.8	48.93639288	1
2.4	-3.2375	0.3	-7.7	38.17151752	0.9
10.8	-5.441666667	-1.6	-11.5	20.96990468	1
7.1	-0.383333333	0.5	-1.2	19.70186587	0.9
17.6	-0.054166667	0.7	-1	11.05544289	0.7
0.7	1.5125	7.1	-1	50.94078258	1
3.1	0.983333333	3.3	-0.4	14.13261299	1.4
0	-0.783333333	1.5	-4.4	36.9667748	0.7
