source	id	datetime	anvf[-]	pore_connectivity[-]	permeability	wfps[%]	air_content[%]	root_conductivity[m2s-1]	o2[kgha-1]	t_eff_crnf	n_release_fraction_crnf	nitrification_inhibition[-]	urease_inhibition[-]	carbon_use_efficiency[-]	N_don[kgNha-1]	N_nh4[kgNha-1]	N_nh4_clay[kgNha-1]	N_nh4_coated[kgNha-1]	N_urea[kgNha-1]	N_no2_ae[kgNha-1]	N_no2_an[kgNha-1]	N_no3_ae[kgNha-1]	N_no3_an[kgNha-1]	N_n2o_ae[kgNha-1]	N_n2o_an[kgNha-1]	N_no_ae[kgNha-1]	N_no_an[kgNha-1]	N_nh3_gas[kgNha-1]	N_nh3_liq[kgNha-1]	C_doc_ae[kgCha-1]	C_doc_an[kgCha-1]	C_acetate[kgCha-1]	C_ch4_gas[kgCha-1]	C_ch4_liq[kgCha-1]	C_aorg[kgCha-1]	N_aorg[kgCha-1]	C_micro_1[kgCha-1]	C_micro_2[kgCha-1]	C_micro_3[kgCha-1]	N_micro_1[kgNha-1]	N_micro_2[kgNha-1]	N_micro_3[kgNha-1]	C_humus_1[kgCha-1]	C_humus_2[kgCha-1]	C_humus_3[kgCha-1]	N_humus_1[kgNha-1]	N_humus_2[kgNha-1]	N_humus_3[kgNha-1]	C_litter_soil_1[kgCha-1]	C_litter_soil_2[kgCha-1]	C_litter_soil_3[kgCha-1]	N_litter_soil_1[kgNha-1]	N_litter_soil_2[kgNha-1]	N_litter_soil_3[kgNha-1]	C_algae[kgCha-1]	N_algae[kgNha-1]	C_litter_stubble[kgCha-1]	N_litter_stubble[kgNha-1]	C_total[kgCha-1]	N_total[kgNha-1]	N_surfacebulk[kgNha-1]	soc_20cm[%]	soc_40cm[%]	totn_20cm[%]	totn_40cm[%]	fe2_tot	fe3_tot	till_fact	freeze_thaw_fact	litter_height[m]	ph_watertable	ph_soil_surface	dN_no3_groundwater[kgNha-1]	dN_assi[kgNha-1]	dN_nit_nh4_no2[kgNha-1]	dN_nit_no2_no3[kgNha-1]	dN_nit_no2_no[kgNha-1]	dN_nit_no2_n2o[kgNha-1]	dN_denit_no3_no2[kgNha-1]	dN_denit_no2_no[kgNha-1]	dN_denit_no2_n2o[kgNha-1]	dN_denit_no2_n2[kgNha-1]	dN_denit_no_n2o[kgNha-1]	dN_denit_no_n2[kgNha-1]	dN_denit_n2o_n2[kgNha-1]	dN_chemodenit_no2_no[kgNha-1]	dC_ch4_oxidation	dC_ch4_production_hydrogen	dC_ch4_production_acetate	dC_floor_ch4_plant_diffusion	dC_floor_ch4_soil_diffusion	dC_floor_ch4_water_diffusion	dC_floor_ch4_bubbling	dC_leach_ch4	dO_floor_o2_plant_diffusion	dC_litter_above	dC_litter_below	dC_fix_algae	dN_fix_algae	dC_decomp_litter[kgCha-1]	dC_mic_death[kgCha-1]	dC_co2_prod_mic_1_growth	dC_co2_prod_mic_1_maintenance	dC_co2_prod_mic_2	dC_co2_prod_mic_3_acetate_prod	dC_co2_prod_mic_3_acetate_cons	dC_co2_prod_ch4_prod	dC_co2_prod_ch4_cons	dC_co2_prod_decomp	dC_acetate_prod	dC_acetate_cons_fe3	dH_hydrogen_cons_fe3	dC_doc_prod_litter	dC_doc_prod_humus	dC_doc_prod_aorg	dC_doc_prod_plant	dC_doc_prod_total	dC_humify_mic_hum_2	dC_humify_hum_1_hum_2	dC_humify_hum_2_hum_3	dN_leach	dC_leach	aN_no3_groundwater	dN_min_decomp	dN_min_aorg	dN_min_mic_1	dN_min_mic_2	dN_min_mic_3	dC_mic_1_growth	dC_mic_2_growth	dC_mic_3_growth	aC_decomp_lit_1[kgCha-1]	aC_decomp_lit_2[kgCha-1]	aC_decomp_lit_3[kgCha-1]	aN_decomp_lit_1[kgNha-1]	aN_decomp_lit_2[kgNha-1]	aN_decomp_lit_3[kgNha-1]	aC_decomp_hum_1[kgCha-1]	aC_decomp_hum_2[kgCha-1]	aC_decomp_hum_3[kgCha-1]	aN_decomp_hum_1[kgCha-1]	aN_decomp_hum_2[kgCha-1]	aN_decomp_hum_3[kgCha-1]	aC_humify_doc_hum_1[kgCha-1]	aC_humify_sol_hum_1[kgCha-1]	aC_humify_cel_hum_1[kgCha-1]	aC_humify_lig_hum_1[kgCha-1]	aC_humify_mic_hum_1[kgCha-1]	aC_humify_lig_hum_2[kgCha-1]	aC_humify_mic_hum_2[kgCha-1]	aC_humify_hum_1_hum_2[kgCha-1]	aC_humify_hum_2_hum_3[kgCha-1]	aC_fix_algae[kgCha-1]	aN_fix_algae[kgNha-1]	aC_litter_above[kgCha-1]	aC_litter_below[kgNha-1]
setup	0	2008-01-01 23:00:00	0.778361	0.999	0.00895022	0.738114	0.131473	0	215.267	0	0	0	0	0.0191427	4.90615	3.0714	0.74776	0	0	0.055883	0.0269502	1.08966	0.178864	0.00105771	0.000888984	7.63617e-05	7.67078e-05	1.88707e-07	0.00219832	4.43927	1.96806	0.165793	0.000274459	2.3889e-05	646.56	71.5174	22.1783	26.0281	25.2806	2.66501	3.07588	3.0568	3654.5	65322.3	158577	393.156	4845.3	20108.4	91.6109	322.828	45.905	2.9453	7.78487	0.738049	0	0	0	0	228741	25448.7	0	0.0412475	0.0287678	0.00429069	0.00305835	2701.16	689.975	1	0	0	7	7.5	0	0.123256	1.36902	1.29533	4.47858e-05	0.000911745	0.0106827	5.4983e-06	0.000695755	0.000652095	1.60188e-06	1.58221e-06	0.000104394	0.000187526	0.000934501	7.45355e-05	0.000574518	0	-0.000583795	0	0	-4.96308e-19	0	0	0	0	0	3.95827	3.87277	0.147	1.08063	0.0074493	0.0864878	0.177282	0.000574518	0.000687793	0.0432439	0.178923	0.000483401	0.00223476	3.95827	3.16444	0.795332	0	7.91803	0.477199	0.255782	0.652964	3.02438e-20	-4.96308e-19	0	0.186797	4.84259	0.0758613	0.0656102	0.0631859	0.833001	0.00609488	0.0663526	1.42454	2.50336	0.0303682	0.0463005	0.0610247	0.000488903	0.742385	2.3036	0.118454	0.0804809	0.170393	0.0149035	0.0195716	0.0829542	0.583249	0.405485	0.795332	0.218338	0.477199	0.255782	0.652964	0	0	0	0
setup	0	2008-01-02 23:00:00	0.771361	0.999	0.00880185	0.730911	0.131077	0	219.078	0	0	0	0	0.0191425	4.91271	2.65596	0.96659	0	0	0.0473077	0.0481063	1.37401	0.352057	0.00159472	0.00170815	0.000106275	0.000138963	1.66675e-07	0.00181947	6.62291	3.55418	0.54096	0.000300904	2.64913e-05	647.489	71.7953	20.5046	26.9624	23.9159	2.35694	3.0112	2.93725	3655.42	65320.7	158578	393.257	4845.19	20108.5	90.5215	320.467	45.2698	2.90977	7.72725	0.727834	0	0	0	0	228739	25448.7	0	0.0412463	0.0287669	0.00429073	0.00305836	2688.9	702.238	1	0	0	7	7.5	0	0.109546	0.49107	0.502688	2.22002e-05	0.000226739	0.027375	9.04174e-06	0.0014961	0.00148907	3.49306e-06	3.85498e-06	0.000248765	0.000181595	0.0031807	0.000375329	0.00251248	0	-0.000321942	0	0	-2.06795e-21	0	0	0	0	0	2.81194	2.51195	0.174319	0.737244	0.0187015	0.157791	0.1228	0.00251248	0.002341	0.0788953	0.409875	0.000661348	0.00385255	2.81194	2.39268	0.609349	0	5.81396	0.365609	0.255846	0.652947	-4.65208e-19	-2.06795e-21	0	0.139163	0.0514074	0.0474959	0.0277287	0.0353353	0.98781	0.0153012	0.141916	2.43224	4.28653	0.0514291	0.0792072	0.104701	0.00082897	1.27689	4.07036	0.209862	0.138697	0.302009	0.0264675	0.0639216	0.16469	1.16135	0.804726	1.40468	0.433314	0.842809	0.511629	1.30591	0	0	0	0
setup	0	2008-01-03 23:00:00	0.764732	0.999	0.00880514	0.701841	0.13154	0	224.902	0	0	0	0	0.0191318	4.85103	2.5158	1.02029	0	0	0.037575	0.0590728	1.51038	0.462417	0.00197189	0.00235556	0.000124101	0.000191602	1.49648e-07	0.00136664	7.75055	4.73015	0.961407	0.000351797	2.42712e-05	648.045	71.9686	19.7225	27.8022	22.5502	2.17321	3.00097	2.84453	3656.38	65319.4	158578	393.362	4845.1	20108.5	89.7463	318.657	44.651	2.88408	7.68259	0.717881	0	0	0	0	228739	25448.7	0	0.0412456	0.0287664	0.00429077	0.00305838	2676.83	714.31	1	0	0	7	7.5	0	0.104157	0.277997	0.301109	1.19803e-05	0.000109901	0.0280622	5.48968e-06	0.00165822	0.00186978	4.71568e-06	5.70339e-06	0.000354144	0.000182316	0.00610431	0.00104979	0.00483047	0	-0.000272718	0	0	-6.37963e-19	0	0	0	0	0	1.94406	1.79608	0.146512	0.51767	0.0196745	0.162474	0.0983763	0.00483047	0.00449277	0.0812368	0.475653	0.000707622	0.00396602	1.94406	1.80844	0.47746	0	4.22997	0.286476	0.255912	0.652932	5.48847e-19	-6.37963e-19	0	0.103856	0.0440804	0.0274842	0.00944544	0.0277577	0.830232	0.0160973	0.159532	3.12665	5.52229	0.0653249	0.102299	0.135521	0.0010575	1.65156	5.43164	0.282357	0.18022	0.404827	0.0356857	0.125256	0.245497	1.7353	1.19787	1.88214	0.645006	1.12928	0.767541	1.95884	0	0	0	0
setup	0	2008-01-04 23:00:00	0.758647	0.999	0.00868241	0.678286	0.131428	0	227.341	0	0	0	0	0.0191172	4.75546	2.46217	1.02929	0	0	0.0329223	0.0631752	1.60014	0.530191	0.00210791	0.00292354	0.000134666	0.000241138	1.35876e-07	0.00121302	8.50894	5.57055	1.34569	0.000387191	2.28851e-05	648.362	72.073	19.4311	28.5023	21.2406	2.05796	3.01504	2.77201	3657.35	65318.4	158579	393.467	4845.03	20108.6	89.1655	317.192	44.0458	2.86488	7.64655	0.708148	0	0	0	0	228738	25448.7	0	0.0412451	0.0287661	0.0042908	0.00305839	2665.55	725.587	1	0	0	7	7.5	0	0.101025	0.181578	0.200862	8.22289e-06	6.20964e-05	0.0223811	1.04941e-06	0.00149431	0.00198214	5.62973e-06	7.43061e-06	0.000438231	0.00016969	0.00900925	0.00190958	0.00692512	0	-0.000208561	0	0	3.09159e-19	0	0	0	0	0	1.40478	1.31541	0.107522	0.358463	0.0164128	0.154154	0.0827321	0.00692512	0.00663081	0.0770769	0.447081	0.000716731	0.00374134	1.40478	1.41593	0.384971	0	3.20568	0.230983	0.255979	0.652921	8.19527e-19	3.09159e-19	0	0.0794139	0.039913	0.0168707	0.00457643	0.0237894	0.609293	0.0134286	0.150309	3.62731	6.41687	0.0748707	0.118927	0.157804	0.00121372	1.92477	6.51623	0.340478	0.210458	0.486936	0.0430776	0.197982	0.325642	2.30604	1.58505	2.26711	0.85349	1.36027	1.02352	2.61176	0	0	0	0
setup	0	2008-01-05 23:00:00	0.755563	0.999	0.00859652	0.66346	0.131198	0	229.673	0	0	0	0	0.0191041	4.64143	2.42319	1.02457	0	0	0.0311977	0.0661205	1.67382	0.584694	0.00211374	0.0035398	0.00014025	0.000292574	1.31423e-07	0.0011825	9.09005	6.23352	1.70919	0.000409589	2.27535e-05	648.505	72.1364	19.4785	29.0923	19.9963	1.98979	3.04036	2.70872	3658.31	65317.5	158579	393.572	4844.97	20108.7	88.6758	315.889	43.4515	2.8487	7.61456	0.698591	0	0	0	0	228737	25448.7	0	0.0412448	0.0287658	0.00429085	0.00305841	2655.94	735.199	1	0	0	7	7.5	0	0.102232	0.152727	0.166443	8.0077e-06	4.28498e-05	0.0186695	2.25255e-07	0.00144477	0.00212817	6.5792e-06	9.22008e-06	0.000533838	0.000159614	0.0112046	0.00260725	0.00844745	0	-0.000172144	0	0	6.20385e-21	0	0	0	0	0	1.15229	1.00003	0.0885079	0.263702	0.0144134	0.142586	0.073788	0.00844745	0.00824657	0.0712929	0.431506	0.000737897	0.0033949	1.15229	1.19972	0.330891	0	2.6829	0.198535	0.256047	0.652911	-6.90817e-19	6.20385e-21	0	0.0667365	0.0365136	0.0109108	0.00262295	0.0224093	0.501545	0.0117928	0.143523	4.03741	7.15145	0.0824841	0.13255	0.176106	0.00133813	2.14984	7.44132	0.39004	0.235378	0.557095	0.0493933	0.279499	0.405262	2.87405	1.96639	2.598	1.05883	1.5588	1.27957	3.26468	0	0	0	0
setup	0	2008-01-06 23:00:00	0.766371	0.999	0.00886204	0.751237	0.130948	0	228.041	0	0	0	0	0.0191032	4.47477	2.12537	0.987509	0	0	0.0480094	0.0914283	1.88945	0.705099	0.00230831	0.00471207	0.000153317	0.000375263	9.53983e-08	0.00111868	9.84053	7.15601	2.25256	0.000338776	3.78723e-05	648.229	72.2066	20.4805	29.6449	18.8838	2.12057	3.08582	2.5804	3659.16	65316.2	158580	393.667	4844.89	20108.8	87.759	313.828	42.856	2.81981	7.56564	0.689026	0	0	0	0	228736	25448.7	0	0.0412437	0.0287653	0.00429091	0.00305845	2647.26	743.883	1	0	0	7	7.5	0	0.314444	0.491709	0.486397	1.87949e-05	0.000247384	0.0419849	9.73117e-05	0.00207776	0.00281682	8.1269e-06	1.15168e-05	0.000728667	0.000185417	0.0128672	0.0030512	0.00950849	0	-0.000251769	0	0	-5.62879e-19	0	0	0	0	0	2.35143	0.902554	0.265411	0.395793	0.0293089	0.169991	0.136746	0.00950849	0.00947023	0.0849955	0.679157	0.00173279	0.00395405	2.35143	1.8621	0.454498	0	4.66803	0.272699	0.256111	0.652901	1.49625e-18	-5.62879e-19	0	0.107514	0.0339549	0.00733893	0.00155861	0.0553211	1.504	0.02398	0.212287	4.8752	8.64735	0.100228	0.158894	0.211408	0.00161369	2.60291	8.78559	0.454795	0.282974	0.65444	0.0575175	0.370436	0.484259	3.43899	2.34198	3.0525	1.26106	1.8315	1.53568	3.91758	0	0	0	0
setup	0	2008-01-07 23:00:00	0.748469	0.999	0.00873466	0.752954	0.130341	0	236.349	0	0	0	0	0.0190809	4.26975	1.99833	0.918034	0	0	0.0480877	0.122523	2.08592	0.623865	0.00328492	0.0061954	0.000232386	0.000494064	9.2986e-08	0.00109571	12.0145	6.63333	2.89249	0.00030403	3.36172e-05	647.557	72.3074	23.0764	30.1437	17.8877	2.43043	3.14767	2.39237	3659.9	65314.4	158580	393.749	4844.77	20108.8	86.3569	310.889	42.2576	2.77586	7.49625	0.679421	0	0	0	0	228735	25448.7	0	0.0412424	0.0287645	0.00429103	0.00305851	2643.02	748.118	1	0	0	7	7.5	0	0.53105	0.407681	0.436519	9.67316e-06	0.000218877	0.0704146	0.00047444	0.00461368	0.0050489	1.22219e-05	1.59622e-05	0.00116892	0.000267336	0.0140043	0.00326728	0.0102897	0	-0.00040834	0	0	-8.89219e-20	0	0	0	0	0	3.73324	0.918328	0.589773	0.648042	0.0502681	0.189985	0.17599	0.0102897	0.0103072	0.0949924	0.937806	0.00368573	0.00461203	3.73324	2.73909	0.613151	0.000563798	7.08605	0.367891	0.256167	0.652886	1.18571e-18	-8.89219e-20	0	0.161113	0.0329375	0.00513384	0.000756578	0.0844502	3.34204	0.0411284	0.281948	6.19945	11.0269	0.12962	0.200344	0.267296	0.00207028	3.33147	10.7061	0.544856	0.359113	0.791476	0.0687258	0.473502	0.562084	3.99895	2.7118	3.66565	1.4602	2.19939	1.79185	4.57046	0	0	0	0
setup	0	2008-01-08 23:00:00	0.746596	0.999	0.00874416	0.752944	0.130357	0	237.727	0	0	0	0	0.0190552	4.04603	1.95826	0.870934	0	0	0.0465206	0.144697	2.0856	0.64083	0.00444335	0.00784578	0.000303154	0.000608759	9.07654e-08	0.00105453	12.6931	6.89965	3.4302	0.000297633	3.28881e-05	646.78	72.4185	26.5657	30.6047	16.9521	2.7851	3.21031	2.22483	3660.61	65312.6	158581	393.828	4844.65	20108.9	84.8961	307.823	41.6664	2.72984	7.4236	0.669929	0	0	0	0	228733	25448.7	0	0.0412414	0.0287639	0.00429118	0.00305859	2636.55	754.589	1	0	0	7	7.5	0	0.580722	0.328415	0.368445	8.03161e-06	0.000186977	0.0746377	0.000649782	0.00636157	0.0066661	1.69392e-05	2.13408e-05	0.00161142	0.000322589	0.0149504	0.00339048	0.0111101	0	-0.000442661	0	0	1.96455e-19	0	0	0	0	0	3.92684	0.891061	0.765344	0.763152	0.0558358	0.194117	0.203001	0.0111101	0.0110035	0.0970585	0.95041	0.0047236	0.00476435	3.92684	2.93425	0.642858	0.00114705	7.5051	0.385715	0.256217	0.652868	-2.57453e-18	1.96455e-19	0	0.172324	0.0318784	0.00368556	0.000340784	0.0740567	4.33695	0.0456838	0.286132	7.58386	13.5383	0.160686	0.243912	0.32659	0.00255583	4.11322	12.7611	0.642335	0.441194	0.93851	0.0808531	0.586621	0.638474	4.55296	3.07591	4.30851	1.65626	2.58511	2.04806	5.22333	0	0	0	0
setup	0	2008-01-09 23:00:00	0.746244	0.999	0.00876936	0.752936	0.13037	0	238.04	0	0	0	0	0.0190432	3.7927	1.92479	0.840147	0	0	0.0459801	0.163178	1.99637	0.664833	0.00560348	0.00967021	0.000368989	0.000738307	9.02593e-08	0.00103315	12.4546	7.25734	3.84728	0.000287932	3.14849e-05	645.94	72.5532	31.0229	31.0613	16.0807	3.21518	3.27154	2.06962	3661.29	65310.6	158582	393.904	4844.51	20109	83.3414	304.565	41.0813	2.68097	7.34655	0.660538	0	0	0	0	228730	25448.6	0	0.0412406	0.0287634	0.00429137	0.00305868	2630.58	760.56	1	0	0	7	7.5	0	0.675183	0.312813	0.358567	8.34086e-06	0.000190363	0.0807257	0.000806139	0.00777612	0.00808606	2.21445e-05	2.7486e-05	0.00210168	0.000364625	0.0160368	0.00349171	0.0120628	0	-0.000471197	0	0	-7.03104e-20	0	0	0	0	0	4.22356	0.939765	0.986751	0.952148	0.0620774	0.200515	0.233597	0.0120628	0.0118031	0.100258	0.967702	0.00578471	0.00498982	4.22356	3.18467	0.686196	0.00196748	8.09639	0.411718	0.256266	0.652848	9.92693e-19	-7.03104e-20	0	0.186055	0.0317916	0.00263227	4.55913e-05	0.0677092	5.59159	0.0507906	0.292054	9.06366	16.2485	0.194275	0.290376	0.390421	0.00307973	4.97067	14.9837	0.74696	0.53096	1.09697	0.0938482	0.705235	0.713394	5.10085	3.43438	4.99471	1.84928	2.99682	2.30433	5.87618	0	0	0	0
setup	0	2008-01-10 23:00:00	0.743825	0.999	0.00810989	0.756763	0.127862	0	230.892	0	0	0	0	0.0190385	3.55744	1.92847	0.826068	0	0	0.0440028	0.1771	1.94614	0.670155	0.00737185	0.0115262	0.000491794	0.00087274	9.08186e-08	0.00107073	11.8352	7.45114	4.20002	0.000248733	3.23001e-05	645.272	72.6849	35.102	31.5352	15.2542	3.58814	3.32797	1.94351	3661.99	65308.7	158582	393.982	4844.39	20109.1	82.0106	301.698	40.5099	2.6386	7.278	0.651359	0	0	0	0	228728	25448.7	0	0.0412402	0.028763	0.00429155	0.00305877	2626.53	764.612	1	0	0	7	7.5	0	0.609553	0.277136	0.326899	4.75023e-06	0.000153933	0.0805323	0.000779961	0.0086062	0.00904367	2.69152e-05	3.37108e-05	0.00262202	0.00039442	0.0170029	0.00357935	0.0130914	0	-0.000293744	0	0	-4.43576e-19	0	0	0	0	0	3.61124	0.950776	0.936757	0.956106	0.063719	0.184515	0.211622	0.0130914	0.0125141	0.0922577	0.90712	0.004877	0.00455937	3.61124	2.86446	0.624546	0.00248015	7.10273	0.374728	0.256314	0.652828	-6.5907e-18	-4.43576e-19	0	0.166622	0.0321246	0.00178823	0	0.0533607	5.30829	0.0521337	0.272909	10.321	18.5739	0.222727	0.33038	0.445909	0.0035292	5.71905	17.0016	0.845121	0.610299	1.24263	0.106087	0.82455	0.786822	5.64248	3.78729	5.61925	2.03931	3.37155	2.56064	6.52901	0	0	0	0
