source	id	datetime	C_mic_1[kgCm-2]	C_mic_2[kgCm-2]	C_mic_3[kgCm-2]	C_aorg[kgCm-2]	N_nh4[kgNm-2]	N_no3_ae[kgNm-2]	N_no3_an[kgNm-2]	C_doc_ae[kgCm-2]	C_doc_an[kgCm-2]	C_acetate_ae[kgCm-2]	C_acetate_an[kgCm-2]	sC_ch4_ebul[kgCm-2]	sC_ch4_plant[kgCm-2]	sC_ch4_soil[kgCm-2]	sC_ch4_water[kgCm-2]	sC_ch4_leach[kgCm-2]	sC_ch4_prod[kgCm-2]	sC_ch4_ox[kgCm-2]	sC_acetate_prod[kgCm-2]	sC_doc_prod[kgCm-2]	sN_no2_nit[kgNm-2]	sN_no3_denit[kgNm-2]	sN_n2o_ebul[kgNm-2]	sN_n2o_plant[kgNm-2]	sN_n2o_soil[kgNm-2]	sN_n2o_water[kgNm-2]	sN_no_ebul[kgNm-2]	sN_no_plant[kgNm-2]	sN_no_soil[kgNm-2]	sN_no_water[kgNm-2]	sN_nh3_ebul[kgNm-2]	sN_nh3_plant[kgNm-2]	sN_nh3_soil[kgNm-2]	sN_nh3_water[kgNm-2]	sO_plant_o2_cons[kgOm-2]	sO_plant_o2_prod[kgOm-2]	sO_algae_o2_prod[kgOm-2]	ph_watertable[-]	ph_soil_surface[-]	anvf[%]
setup	0	2008-01-01 00:00:00	0.00255738	0.00257587	0.00259128	0.0644874	0.000366528	7.91094e-06	0	3.9035e-05	8.4151e-06	0	9.43626e-08	0	0	-9.11359e-09	0	1.65436e-24	5.77083e-11	7.35439e-10	1.21014e-07	4.52335e-05	7.91094e-06	0	0	0	-7.90248e-09	0	0	0	0	0	0	0	0	0	0	0	0	7	7.5	0.662357
setup	0	2008-01-01 01:00:00	0.00253326	0.00256863	0.00259679	0.0644982	0.00039657	1.88752e-05	8.94851e-08	7.21491e-05	1.64434e-05	3.64777e-09	2.44372e-07	0	0	-5.63598e-09	0	-1.40621e-23	1.56619e-10	1.03563e-09	1.90908e-07	4.04936e-05	1.10551e-05	1.32608e-09	0	0	-6.96125e-09	0	0	0	1.27929e-10	0	0	0	2.17378e-11	0	0	0	0	7	7.5	0.6575
setup	0	2008-01-01 02:00:00	0.00251118	0.00256335	0.00260038	0.0645084	0.000409551	2.93525e-05	3.00854e-07	0.000101732	2.43318e-05	1.21047e-08	4.48094e-07	0	0	-4.06406e-09	0	-2.48154e-24	2.90045e-10	1.28073e-09	2.53537e-07	3.77679e-05	1.06948e-05	3.89016e-09	0	0	-5.70768e-09	0	0	0	1.99798e-10	0	0	0	2.07311e-11	0	0	0	0	7	7.5	0.652657
setup	0	2008-01-01 03:00:00	0.00249067	0.00255974	0.00260232	0.064518	0.000414837	3.86884e-05	6.18507e-07	0.000128806	3.21283e-05	2.63706e-08	7.03298e-07	0	0	-3.35309e-09	0	-7.85822e-24	4.50736e-10	1.51227e-09	3.12136e-07	3.58238e-05	9.67134e-06	7.1325e-09	0	0	-4.54877e-09	0	0	0	2.55698e-10	0	0	0	2.07389e-11	0	0	0	0	7	7.5	0.648001
setup	0	2008-01-01 04:00:00	0.00247145	0.00255744	0.00260298	0.0645271	0.000416405	4.67785e-05	1.02052e-06	0.000153865	3.98332e-05	4.70135e-08	1.00545e-06	0	0	-2.92101e-09	0	5.37667e-24	6.32028e-10	1.73575e-09	3.65779e-07	3.41915e-05	8.52369e-06	1.0602e-08	0	0	-3.54249e-09	0	0	0	2.97707e-10	0	0	0	2.0955e-11	0	0	0	0	7	7.5	0.643661
setup	0	2008-01-01 05:00:00	0.00245328	0.00255619	0.00260261	0.0645358	0.000416147	5.37217e-05	1.49245e-06	0.000177202	4.74918e-05	7.25614e-08	1.35236e-06	0	0	-2.63748e-09	0	-5.79026e-24	8.2924e-10	1.96264e-09	4.15386e-07	3.2775e-05	7.45931e-06	1.41235e-08	0	0	-2.73603e-09	0	0	0	3.22166e-10	0	0	0	2.10998e-11	0	0	0	0	7	7.5	0.640017
setup	0	2008-01-01 06:00:00	0.00243597	0.00255586	0.00260136	0.0645443	0.000414826	5.96738e-05	2.13481e-06	0.000198338	5.56034e-05	9.42071e-08	1.75755e-06	0	0	-2.39793e-09	0	-1.57164e-23	1.0401e-09	2.1976e-09	4.68306e-07	3.13517e-05	6.65352e-06	1.87606e-08	0	0	-2.09571e-09	0	0	0	3.28979e-10	0	0	0	2.11965e-11	0	0	0	0	7	7.5	0.638386
setup	0	2008-01-01 07:00:00	0.00241941	0.00255619	0.00259944	0.0645525	0.000412946	6.50335e-05	2.70461e-06	0.000218593	6.32011e-05	1.36364e-07	2.18764e-06	0	0	-2.10721e-09	0	7.44463e-24	1.26491e-09	2.42462e-09	5.1526e-07	3.0233e-05	6.00011e-06	2.20892e-08	0	0	-1.56776e-09	0	0	0	3.3731e-10	0	0	0	2.0893e-11	0	0	0	0	7	7.5	0.635482
setup	0	2008-01-01 08:00:00	0.00240348	0.00255713	0.00259694	0.0645605	0.000410835	6.96189e-05	3.49148e-06	0.000236899	7.14777e-05	1.67822e-07	2.67951e-06	0	0	-1.79612e-09	0	4.1359e-24	1.50203e-09	2.67485e-09	5.66225e-07	2.92048e-05	5.45503e-06	2.69803e-08	0	0	-1.17744e-09	0	0	0	3.39605e-10	0	0	0	1.97473e-11	0	0	0	0	7	7.5	0.634454
setup	0	2008-01-01 09:00:00	0.00238812	0.00255863	0.00259392	0.0645682	0.000408639	7.35344e-05	4.4886e-06	0.00025299	8.08149e-05	2.00501e-07	3.22556e-06	0	0	-1.53594e-09	0	5.37667e-24	1.75106e-09	2.94287e-09	6.21472e-07	2.82763e-05	5.00767e-06	3.3188e-08	0	0	-9.28159e-10	0	0	0	3.3545e-10	0	0	0	1.80609e-11	0	0	0	0	7	7.5	0.636403
setup	0	2008-01-01 10:00:00	0.00237331	0.00256049	0.00259052	0.0645757	0.000406381	7.747e-05	5.13804e-06	0.000270424	8.82581e-05	2.62799e-07	3.78688e-06	0	0	-1.43315e-09	0	-1.09601e-23	2.01188e-09	3.21591e-09	6.69225e-07	2.79466e-05	4.68961e-06	3.6494e-08	0	0	-8.03638e-10	0	0	0	3.32307e-10	0	0	0	1.65097e-11	0	0	0	0	7	7.5	0.633642
setup	0	2008-01-01 11:00:00	0.00235896	0.00256276	0.00258674	0.064583	0.000404083	8.07902e-05	6.15961e-06	0.000286107	9.70949e-05	3.06137e-07	4.42686e-06	0	0	-1.52937e-09	0	-9.09899e-24	2.2844e-09	3.54056e-09	7.29561e-07	2.78344e-05	4.45968e-06	4.21948e-08	0	0	-7.32665e-10	0	0	0	3.41894e-10	0	0	0	1.62486e-11	0	0	0	0	7	7.5	0.634082
setup	0	2008-01-01 12:00:00	0.00234512	0.00256525	0.00258269	0.06459	0.000401745	8.43456e-05	6.78454e-06	0.000303554	0.000104108	4.13536e-07	5.04949e-06	0	0	-1.5877e-09	0	-1.36485e-23	2.5685e-09	3.85023e-09	7.81308e-07	2.80003e-05	4.30789e-06	4.52069e-08	0	0	-7.01096e-10	0	0	0	3.5515e-10	0	0	0	1.69005e-11	0	0	0	0	7	7.5	0.630442
setup	0	2008-01-01 13:00:00	0.00233168	0.00256807	0.00257838	0.0645968	0.000399447	8.67635e-05	8.36844e-06	0.000316107	0.000115338	4.60045e-07	5.80489e-06	0	0	-1.61562e-09	0	-8.06501e-24	2.86402e-09	4.19263e-09	8.53633e-07	2.75814e-05	4.1459e-06	5.46377e-08	0	0	-6.79803e-10	0	0	0	3.69224e-10	0	0	0	1.71245e-11	0	0	0	0	7	7.5	0.634289
setup	0	2008-01-01 14:00:00	0.0023187	0.00257102	0.00257388	0.0646034	0.000397187	9.00781e-05	8.92723e-06	0.000332988	0.000121929	5.96738e-07	6.51118e-06	0	0	-1.62397e-09	0	1.09601e-23	3.17075e-09	4.49121e-09	9.00252e-07	2.74698e-05	4.02461e-06	5.70375e-08	0	0	-6.57496e-10	0	0	0	3.80836e-10	0	0	0	1.6806e-11	0	0	0	0	7	7.5	0.630393
