source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top[oC]	temp_canopy_middle[oC]	temp_canopy_bottom[oC]	temp_surfacewater[oC]	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd[mbar]
setup	0	2008-01-01 23:00:00	8.35498	109.183	50.1546	4.72301	230.341	0	0.975048	0	0	0	0	-5.74583	-10.2	-2.6	-6.65558	-5.4201	-4.59644	-99.99	-4.45038	-0.601203	1.55105	3.01787	4.39474	6.25405	7.61107	7.99146	0.270335
setup	0	2008-01-02 23:00:00	8.36967	109.813	37.0545	3.48919	264.357	0	4.13119	0	0	0	0	-3.52917	-5.9	-1.8	-3.52647	-3.50936	-3.49795	-99.99	-3.4951	-2.06807	-0.215867	0.509397	1.63168	3.64894	6.10429	7.80894	0.0870977
setup	0	2008-01-03 23:00:00	8.38562	110.495	58.5258	5.51067	200.207	0	3.96326	0	0	0	0	-9.8625	-14.6	-4.5	-9.85945	-9.83886	-9.82514	-99.99	-9.82171	-6.57759	-2.1981	-0.668782	0.0768746	2.06033	4.79215	7.34864	0.104543
setup	0	2008-01-04 23:00:00	8.40283	111.229	70.5985	6.64701	172.932	0	3.50932	0	0	0	0	-12.0083	-16.1	-1.6	-12.0067	-11.994	-11.9854	-99.99	-11.9833	-9.82426	-5.61566	-3.21587	-1.07507	0.610523	3.562	6.74427	0.0976659
setup	0	2008-01-05 23:00:00	8.42128	112.014	62.2132	5.85716	192.284	0	3.77725	0	0	0	0	-10.9667	-14.3	-3.2	-10.9663	-10.9617	-10.9586	-99.99	-10.9578	-9.73523	-6.96081	-5.04761	-2.89475	-0.134728	2.51683	6.06036	0.0823254
setup	0	2008-01-06 23:00:00	8.44094	112.85	75.0254	7.06296	200.442	0	4.18653	0	0	0	0	-2.15417	-10.8	5.1	-2.14522	-2.0879	-2.04968	-99.99	-2.04013	-2.00182	-2.1759	-1.99722	-1.55037	-0.125361	1.83978	5.36624	0.310474
setup	0	2008-01-07 23:00:00	8.46182	113.738	52.969	4.98618	271.615	0	0.494812	0	0	0	0	2.8375	0.9	8.7	2.82426	2.74662	2.69486	-99.99	2.68192	2.2605	1.68626	1.47433	1.33834	1.36938	2.17529	4.79261	0.123867
setup	0	2008-01-08 23:00:00	8.48388	114.678	61.0816	5.74915	253.77	0	0.640107	0	0	0	0	1.91667	-0.9	9.3	1.92409	1.97091	2.00213	-99.99	2.00993	2.27496	2.18041	2.17904	2.18528	2.26289	2.71334	4.48754	0.172248
setup	0	2008-01-09 23:00:00	8.50712	115.669	68.4854	6.44483	245.967	0	0.543491	0	0	0	0	2.57083	-0.5	12.1	2.57529	2.60484	2.62454	-99.99	2.62946	2.82375	2.58533	2.55033	2.54184	2.62387	3.01913	4.3683	0.206818
setup	0	2008-01-10 23:00:00	8.53151	116.711	30.7855	2.89639	299.202	0	2.56056	0	0	0	0	1.025	0.1	2.6	1.03595	1.10217	1.14632	-99.99	1.15736	1.54641	2.07508	2.33822	2.57716	2.89402	3.27038	4.33338	0.0491568
