source	id	datetime	species	day_emergence	gdd[oC]	dvs_flush[-]	dvs_mort[-]	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	N2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_dfol[kgDWm-2]	DW_fru[kgDWm-2]	DW_stemfru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_lst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	dN_lit_fol[kgNm-2]	dN_lit_fru[kgNm-2]	dN_lit_frt[kgNm-2]	dN_lit_ldst_below[kgNm-2]	dN_lit_ldst_above[kgNm-2]	drought_rel[-]	conduct_rel[-]	vc_act_25[umol:m-2:s-1]	iso_act[nmol:m-2:s-1]	mono_act[nmol:m-2:s-1]	d_iso_emis[umol:m-2]	d_mono_emis[umol:m-2]	d_mono_storage_emis[umol:m-2]	d_ovoc_emis[umol:m-2]	dN_nh4_throughf[kgN:L-1]	dN_no3_throughf[kgN:L-1]
setup	0	2008-01-01 23:00:00	PERG	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.001	0.004	0.007	0.004	0	0.008	0.012	0.1104	13.8	0	0.03	0.03	0.0115	0.03	0	0.0004705	0	0	0	0	0	0	0	0	0	0	0	0.400921	0	0	0	0	0	0	0	0	0	0
setup	0	2008-01-02 23:00:00	PERG	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.001	0.004	0.007	0.004	0	0.008	0.012	0.1104	13.8	0	0.03	0.03	0.0115	0.03	0	0.0004705	0	0	0	0	0	0	0	0	0	0	0	0.307723	0	0	0	0	0	0	0	0	1.68e-06	1.08e-06
setup	0	2008-01-03 23:00:00	PERG	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.001	0.004	0.007	0.004	0	0.008	0.012	0.1104	13.8	0	0.03	0.03	0.0115	0.03	0	0.0004705	0	0	0	0	0	0	0	0	0	0	0	0.140278	0	0	0	0	0	0	0	0	1.4e-07	9e-08
setup	0	2008-01-04 23:00:00	PERG	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.001	0.004	0.007	0.004	0	0.008	0.012	0.1104	13.8	0	0.03	0.03	0.0115	0.03	0	0.0004705	0	0	0	0	0	0	0	0	0	0	0	0.0781177	0	0	0	0	0	0	0	0	0	0
setup	0	2008-01-05 23:00:00	PERG	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.001	0.004	0.007	0.004	0	0.008	0.012	0.1104	13.8	0	0.03	0.03	0.0115	0.03	0	0.0004705	0	0	0	0	0	0	0	0	0	0	0	0.049577	0	0	0	0	0	0	0	0	0	0
setup	0	2008-01-06 23:00:00	PERG	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.001	0.004	0.007	0.004	0	0.008	0.012	0.1104	13.8	0	0.03	0.03	0.0115	0.03	0	0.0004705	0	0	0	0	0	0	0	0	0	0	0	0.656702	0	0	0	0	0	0	0	0	1.4e-07	9e-08
setup	0	2008-01-07 23:00:00	PERG	-1	2.8375	0.001135	0.001135	0	2.82498e-06	1.49877e-06	0	0	0	0	4.75859e-06	1.44885e-10	-1.47162e-07	0	0	3.58853e-07	1.49428e-09	1.04597e-07	8.96546e-08	5.54599e-07	0	1.76819e-06	4.78066e-06	0	0.00800587	0	0.000999997	0.0039998	0.00699967	0.0039998	0	0.00799967	0.0120057	0.110481	13.8	0	0.030265	0.030265	0.0116016	0.030265	0	0.000474824	0	0	0	0	0	5.63798e-08	0	0	0	0	0	0.712326	0.00590498	2.02881	0	0	0	0	0	0	0	0
setup	0	2008-01-08 23:00:00	PERG	-1	4.7521	0.00190084	0.00190084	0	0	0	0	0	0	0	1.11157e-05	8.60881e-10	-2.92257e-07	0	0	7.21761e-07	3.00066e-09	2.10029e-07	1.80023e-07	1.11481e-06	0	4.13067e-06	1.11681e-05	0	0.00801983	0	0.000999991	0.0039994	0.00699902	0.0039994	0	0.00799901	0.0120192	0.110674	13.8	0	0.0302394	0.0302394	0.0115918	0.0302394	0	0.000474824	0	0	0	0	0	1.14705e-07	0	0	0	0	0	0.711081	0.0120311	3.39775	0	0	0	0	0	0	0	0
setup	0	2008-01-09 23:00:00	PERG	-1	7.31207	0.00292483	0.00292483	0	0	0	0	0	0	0	1.933e-05	2.37172e-09	-4.98561e-07	0	0	1.23747e-06	5.13006e-09	3.59033e-07	3.07736e-07	1.90937e-06	0	7.18392e-06	1.94232e-05	0	0.00804415	0	0.000999983	0.00399872	0.00699792	0.00399872	0	0.0079979	0.0120429	0.111009	13.8	0	0.0301947	0.0301947	0.0115747	0.0301947	0	0.000474824	0	0	0	0	0	1.96748e-07	0	0	0	0	0	0.709944	0.0195468	5.22813	0	0	0	0	0	0	0	0
setup	0	2008-01-10 23:00:00	PERG	-1	8.33707	0.00333483	0.00333483	0	0	0	0	0	0	0	1.72711e-05	2.71779e-09	-6.60558e-07	0	0	1.60463e-06	6.63846e-09	4.64518e-07	3.98146e-07	2.47394e-06	0	6.41947e-06	1.73563e-05	0	0.00806476	0	0.000999972	0.00399783	0.00699645	0.00399783	0	0.00799642	0.0120626	0.111294	13.8	0	0.030158	0.030158	0.0115606	0.030158	0	0.000474824	0	0	0	0	0	2.48015e-07	0	0	0	0	0	0.820913	0.0258263	5.96101	0	0	0	0	0	0	5.04e-06	3.24e-06
