source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2008-01-01 23:00:00	-0.000583795	0	1.50004	0.000529065	0	3.25546e-06	1.30485e-08	8.15561e-05	-0.000441988	0.000758072	3.98483e-06	0	0	0	0	0	0	0	0	0	5.23404	1.29533	0.0106827	0.000187526	36	228741	72224.7	98723	646.56	46.5225	413.821	73.4869	6.40732	0	0	1.105	25447.9	7513.09	10318.7	71.5174	1.15937	10.3089	8.79769	9.24827	0	0	0.627688
setup	0	2008-01-02 23:00:00	-0.000321942	0	1.21533	0.00101451	0	4.80694e-06	2.28205e-08	0.00011332	0.00012139	0.00174169	3.36788e-06	0	0	0	0	0	0	0	0.0276	0	0.30113	0.502688	0.027375	0.000181595	36	228739	72224.3	98722.3	647.489	46.4964	409.761	71.3828	10.1771	0	0	1.105	25447.7	7513.08	10318.7	71.7953	1.15871	10.2061	8.30539	9.29656	0	0	0.614611
setup	0	2008-01-03 23:00:00	-0.000272718	0	0.95298	0.00202063	0	5.36012e-06	7.04259e-08	0.000118902	0.000394128	0.00222963	3.04803e-06	0	0	0	0	0	0	0	0.0023	0	0.212624	0.301109	0.0280622	0.000182316	36	228738	72224	98721.8	648.045	46.4884	406.566	70.0749	12.4807	0	0	1.105	25447.6	7513.11	10318.7	71.9686	1.15851	10.126	8.01871	9.341	0	0	0.603044
setup	0	2008-01-04 23:00:00	-0.000208561	0	0.73093	0.00217819	0	5.83607e-06	1.45188e-07	0.0001058	0.000419794	0.00242781	2.59402e-06	0	0	0	0	0	0	0	0	0	0.164563	0.200862	0.0223811	0.00016969	36	228736	72223.8	98721.4	648.362	46.4831	403.92	69.174	14.0795	0	0	1.105	25447.6	7513.14	10318.7	72.073	1.15838	10.0612	7.84501	9.34917	0	0	0.592755
setup	0	2008-01-05 23:00:00	-0.000172144	0	0.597084	0.000768431	0	6.51632e-06	2.83516e-07	9.50285e-05	0.000338273	0.00267123	2.41459e-06	0	0	0	0	0	0	0	0	0	0.139193	0.166443	0.0186695	0.000159614	36	228735	72223.7	98721.2	648.505	46.4776	401.539	68.5672	15.3236	0	0	1.105	25447.6	7513.16	10318.8	72.1364	1.15825	10.0036	7.73887	9.32431	0	0	0.587975
setup	0	2008-01-06 23:00:00	-0.000251769	0	1.01318	3.75298e-06	0	7.30117e-06	4.25907e-07	0.000186124	0.000237764	0.00355701	1.85426e-06	0	0	0	0	0	0	0	0.0023	0	0.205687	0.486397	0.0419849	0.000185417	36	228734	72222.6	98720.2	648.229	46.4208	398.022	69.0091	16.9965	0	0	1.105	25447.6	7513.12	10318.8	72.2066	1.15683	9.91765	7.78678	9.19581	0	0	0.608888
setup	0	2008-01-07 23:00:00	-0.00040834	0.00114254	1.67139	1.81804e-05	0	7.93541e-06	5.60679e-07	0.000525394	0.00121591	0.00623378	6.19849e-07	0	0	0	0	0.000563798	0	0	0	0.0432375	0.284392	0.436519	0.0704146	0.000267336	35.9985	228732	72221.2	98718.5	647.557	46.3288	393.174	71.1078	18.6479	0	0	1.11472	25447.6	7513.13	10318.8	72.3074	1.15454	9.797	7.97047	8.97897	0	0	0.576172
setup	0	2008-01-08 23:00:00	-0.000442661	0.0023241	2.00017	4.47461e-05	0	8.42151e-06	7.60039e-07	0.000756659	0.00214526	0.00829887	5.6472e-07	0	0	0	0	0.00114705	0	0	0	-2.12554e-17	0.282285	0.368445	0.0746377	0.000322589	35.9956	228729	72219.6	98716.5	646.78	46.2394	388.146	74.1224	19.5928	0	0	1.1137	25447.6	7513.16	10318.8	72.4185	1.15231	9.67106	8.22024	8.73177	0	0	0.573204
setup	0	2008-01-09 23:00:00	-0.000471197	0.00398627	2.45546	8.18184e-05	0	8.84588e-06	9.38339e-07	0.000934092	0.00290239	0.0102152	5.24201e-07	0	0	0	0	0.00196748	0	0	0	-2.12554e-17	0.288233	0.358567	0.0807257	0.000364625	35.9905	228726	72217.7	98714.3	645.94	46.1368	382.851	78.1649	19.7119	0	0	1.11193	25447.6	7513.17	10318.8	72.5532	1.14975	9.5383	8.55634	8.37973	0	0	0.572976
setup	0	2008-01-10 23:00:00	-0.000293744	0.00502669	2.37475	0.000126647	0	9.19301e-06	1.09236e-06	0.000861267	0.00254061	0.0116994	3.37799e-07	0	0	0	0	0.00248015	0	0	0.0828	-2.12554e-17	0.253896	0.326899	0.0805323	0.00039442	35.9839	228723	72216	98712.2	645.272	46.0675	378.151	81.8914	19.2863	0	0	1.1104	25447.6	7513.25	10318.9	72.6849	1.14803	9.41993	8.85963	8.10327	0	0	0.568428
