source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	potential_transpiration[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	2008-01-01 23:00:00	0	0	0	0.282589	0	0	0	0.0336976	0	0	0	0	0	0	0	0	0	0	559.489	243.756	0	-99.99	46.4976	46.3446	46.3449	46.4051	46.2301	48.7783	48.754	44.8001	32.9396	32.9084	42.3	64495.7	2.69525	2.55683	2.15401	1.7567	0.684206	5.40025	99	0	0
setup	0	2008-01-02 23:00:00	0	1.2	1.2	0.263621	0	0	0	0.0127739	0.13	0	0	0	0	0	0	5.35	1.07	0	559.476	340.789	0	-99.99	46.4976	46.3382	46.338	46.3468	46.2374	48.8035	48.7694	44.7851	32.9439	32.9204	42.3	2.50418e+09	7.46934	2.5598	2.17512	1.75454	0.682074	5.38296	99	0	0
setup	0	2008-01-03 23:00:00	0	0.1	0.1	0.237632	0	0	0	0.00697019	0.13	0	0	0	0	0	0	5.2	1.04	0	559.469	438.914	0	-99.99	46.4976	46.3376	46.3352	46.3284	46.2305	48.8207	48.7882	44.7756	32.9463	32.9295	42.3	2.50418e+09	2.50418e+09	196.664	4.0146	1.75657	0.679478	5.3699	99	0	0
setup	0	2008-01-04 23:00:00	0	0	0	0.121282	0	0	0	0	0.121282	0	0	0	0	0	0	4.59359	0.918718	0	559.469	438.914	0	-99.99	46.4976	46.3376	46.3352	46.3284	46.2042	48.8303	48.8052	44.769	32.9479	32.936	42.3	2.50418e+09	2.50418e+09	2.50418e+09	548.295	1.76441	0.677139	5.36059	99	0	0
setup	0	2008-01-05 23:00:00	0	0	0	0.155345	0	0	0	0.000541871	0.13	0	0	0	0	0	0	3.94359	0.788718	0	559.469	438.914	0	-99.99	46.4976	46.3376	46.3352	46.3284	46.2026	48.8303	48.8172	44.7643	32.9491	32.9407	42.3	2.50418e+09	2.50418e+09	2.50418e+09	2.50418e+09	4.27578	0.675482	5.35398	99	0	0
setup	0	2008-01-06 23:00:00	0	0.1	0.1	0.396045	0	0	0	0.0243366	0.12035	0	0	0.768368	0	0	0	0	0	0	560.213	439.658	0	-99.99	46.1734	46.5551	47.685	46.3655	46.5542	48.8361	48.8229	44.761	32.9499	32.9439	42.3	6.22935	2.46825	2.04672	2.16832	1.66315	0.674705	5.34931	99	0	0
setup	0	2008-01-07 23:00:00	0	0	0	0.118341	0.00310893	0	0	0.0171007	0	0	0	0	0	0	0	0	0	0	560.196	439.641	0	-99.99	46.1391	46.5565	47.2439	47.2201	46.7864	48.9701	48.8488	44.7586	32.9505	32.9463	42.3	4.38654	2.46766	2.20107	1.88127	1.59929	0.671149	5.346	99	0	0
setup	0	2008-01-08 23:00:00	0	0	0	0.136061	0.00726278	0.00310893	0	0.0190132	0	0	0	0	0	0	0	0	0	0	560.174	439.619	0	-99.99	46.128	46.5473	47.1814	47.1196	46.7627	49.0717	48.9226	44.7569	32.9509	32.9479	42.3	4.39585	2.47147	2.22394	1.91282	1.60567	0.661101	5.34365	99	0	0
setup	0	2008-01-09 23:00:00	0	0	0	0.088189	0.0126312	0.00726278	0	0.0115203	0	0	0	0	0	0	0	0	0	0	560.155	439.6	0	-99.99	46.1176	46.5393	47.0973	47.0386	46.7484	49.1349	49.0031	44.7557	32.9512	32.9491	42.3	4.40461	2.4748	2.25515	1.93864	1.60956	0.650248	5.34199	99	0	0
setup	0	2008-01-10 23:00:00	0	3.6	3.5445	0.214519	0.0112871	0.00947338	0.0555046	0.0235151	0	0	0	3.5445	0	0	0	0	0	0	563.666	443.111	0	-99.99	48.6	47.8369	47.4063	47.1136	46.7435	49.1822	49.073	44.7549	32.9514	32.9499	42.3	2.79506	1.99633	2.14282	1.9147	1.61088	0.640916	5.34082	99	0	0
