source	id	datetime	layer	level[m]	extension[m]	water[l/m-2]	wfps[%]	ice	flux	droughtstress[-]	transpiration[mm]
setup	0	2008-01-01 23:00:00	6	0.109091	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-01 23:00:00	5	0.0909091	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-01 23:00:00	4	0.0727273	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-01 23:00:00	3	0.0545455	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-01 23:00:00	2	0.0363636	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-01 23:00:00	1	0.0181818	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-01 23:00:00	0	0	0	0	-99.99	0	0	-99.99	-99.99
setup	0	2008-01-01 23:00:00	-1	-0.025	0.025	4.95405	0.29827	261.435	0	-0.454881	0
setup	0	2008-01-01 23:00:00	-2	-0.05	0.025	7.07303	0.425848	173.305	0.0169633	-0.0522067	0
setup	0	2008-01-01 23:00:00	-3	-0.07	0.02	7.24327	0.559847	90.422	0.00849916	0.351171	0
setup	0	2008-01-01 23:00:00	-4	-0.09	0.02	8.50001	0.656983	25.3073	0.00597088	0.637808	0
setup	0	2008-01-01 23:00:00	-5	-0.11	0.02	8.93029	0.69024	3.12156	0.00376175	0.735948	0
setup	0	2008-01-01 23:00:00	-6	-0.13	0.02	8.99088	0.694923	0	0.00177579	0.749766	0
setup	0	2008-01-01 23:00:00	-7	-0.15	0.02	8.99091	0.694926	0	0	0.749775	0
setup	0	2008-01-01 23:00:00	-8	-0.175	0.025	11.2575	0.709697	0	0.0400261	0.741793	0
setup	0	2008-01-01 23:00:00	-9	-0.2	0.025	11.2532	0.709428	0	0.0846653	0.740979	0
setup	0	2008-01-01 23:00:00	-10	-0.22	0.02	8.81141	0.730949	0	0.0682684	0.753327	0
setup	0	2008-01-01 23:00:00	-11	-0.24	0.02	8.80494	0.730412	0	0.0585717	0.751832	0
setup	0	2008-01-01 23:00:00	-12	-0.26	0.02	8.79786	0.729825	0	0.0561786	0.750198	0
setup	0	2008-01-01 23:00:00	-13	-0.28	0.02	8.79064	0.729227	0	0.0612142	0.748533	0
setup	0	2008-01-01 23:00:00	-14	-0.3	0.02	8.78372	0.728652	0	0.0733885	0.746934	0
setup	0	2008-01-01 23:00:00	-15	-0.32	0.02	9.28379	0.814368	0	0.0511491	0.754483	0
setup	0	2008-01-01 23:00:00	-16	-0.34	0.02	9.27837	0.813892	0	0.0345429	0.753342	0
setup	0	2008-01-01 23:00:00	-17	-0.36	0.02	9.27393	0.813503	0	0.0225877	0.752407	0
setup	0	2008-01-01 23:00:00	-18	-0.38	0.02	9.27047	0.813199	0	0.0143109	0.751677	0
setup	0	2008-01-01 23:00:00	-19	-0.4	0.02	9.26787	0.812971	0	0.00883432	0.751131	0
setup	0	2008-01-01 23:00:00	-20	-0.42	0.02	9.26601	0.812808	0	0.00532352	0.750739	0
setup	0	2008-01-01 23:00:00	-21	-0.44	0.02	9.26473	0.812696	0	0.00309267	0.75047	0
setup	0	2008-01-01 23:00:00	-22	-0.46	0.02	9.26391	0.812623	0	0.00168599	0.750296	0
setup	0	2008-01-01 23:00:00	-23	-0.48	0.02	9.26343	0.812582	0	0.000751246	0.750197	0
setup	0	2008-01-01 23:00:00	-24	-0.5	0.02	9.26325	0.812566	0	0	0.750158	0
setup	0	2008-01-01 23:00:00	-25	-0.54	0.04	17.0308	0.817302	0	0.00269965	0.749603	0
setup	0	2008-01-01 23:00:00	-26	-0.58	0.04	17.0286	0.817195	0	0.00762778	0.749275	0
setup	0	2008-01-01 23:00:00	-27	-0.62	0.04	17.024	0.816977	0	0.0170876	0.748609	0
setup	0	2008-01-01 23:00:00	-28	-0.66	0.04	17.0171	0.816646	0	0.0334457	0.747595	0
setup	0	2008-01-01 23:00:00	-29	-0.7	0.04	17.0086	0.816235	0	0.0583744	0.746335	0
setup	0	2008-01-01 23:00:00	-30	-0.8	0.1	28.9869	0.666178	0	0.0235187	0.752912	0
setup	0	2008-01-01 23:00:00	-31	-0.9	0.1	28.9681	0.665748	0	0.00740044	0.751347	0
setup	0	2008-01-01 23:00:00	-32	-1	0.1	28.9594	0.665547	0	0	0.750618	0
setup	0	2008-01-01 23:00:00	-33	-1.1	0.1	40.185	0.787784	0	0	0.75	0
setup	0	2008-01-01 23:00:00	-34	-1.2	0.1	40.185	0.787784	0	0	0.75	0
setup	0	2008-01-01 23:00:00	-35	-1.3	0.1	40.185	0.787784	0	0	0.75	0
setup	0	2008-01-01 23:00:00	-36	-1.4	0.1	40.185	0.787784	0	0	0.75	0
setup	0	2008-01-02 23:00:00	6	0.109091	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-02 23:00:00	5	0.0909091	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-02 23:00:00	4	0.0727273	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-02 23:00:00	3	0.0545455	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-02 23:00:00	2	0.0363636	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-02 23:00:00	1	0.0181818	0.0181818	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2008-01-02 23:00:00	0	0	0	0	-99.99	1.07	0	-99.99	-99.99
setup	0	2008-01-02 23:00:00	-1	-0.025	0.025	4.27342	0.257291	289.502	0	-0.584223	0
setup	0	2008-01-02 23:00:00	-2	-0.05	0.025	5.63291	0.339142	232.691	0	-0.325876	0
setup	0	2008-01-02 23:00:00	-3	-0.07	0.02	5.67105	0.438327	171.454	0	-0.00742295	0
setup	0	2008-01-02 23:00:00	-4	-0.09	0.02	6.82804	0.527753	111.447	0	0.256463	0
setup	0	2008-01-02 23:00:00	-5	-0.11	0.02	7.86926	0.608231	57.7497	0	0.493947	0
setup	0	2008-01-02 23:00:00	-6	-0.13	0.02	8.83738	0.683059	7.83787	0	0.714756	0
setup	0	2008-01-02 23:00:00	-7	-0.15	0.02	8.98957	0.694822	0	0	0.749469	0
setup	0	2008-01-02 23:00:00	-8	-0.175	0.025	11.2414	0.708684	0	0.0146372	0.738726	0
setup	0	2008-01-02 23:00:00	-9	-0.2	0.025	11.2391	0.708535	0	0.0275335	0.738276	0
setup	0	2008-01-02 23:00:00	-10	-0.22	0.02	8.80271	0.730228	0	0.0352728	0.751318	0
setup	0	2008-01-02 23:00:00	-11	-0.24	0.02	8.79888	0.72991	0	0.0404749	0.750435	0
setup	0	2008-01-02 23:00:00	-12	-0.26	0.02	8.79452	0.729548	0	0.0430694	0.749427	0
