source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top[oC]	temp_canopy_middle[oC]	temp_canopy_bottom[oC]	temp_surfacewater[oC]	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd[mbar]
setup	0	2006-01-01 23:00:00	12.0927	421.532	223.65	16.8061	359.259	0	11.8693	0	0	0	0	21.95	16.42	29.57	43.9184	35.7745	26.0348	-99.99	25.8404	12.9381	9.46814	8.38954	8.10955	8.00031	-99.99	-99.99	1.96986
setup	0	2006-01-02 23:00:00	12.0924	421.752	227	17.0605	357.672	0	16.126	0	0	0	0	21.74	15.53	29.53	21.7391	21.0506	19.1818	-99.99	19.117	16.4944	12.504	10.1454	9.08808	8.00712	-99.99	-99.99	0.907298
setup	0	2006-01-03 23:00:00	12.092	421.985	190.79	14.3416	374.229	0	92.6461	0	0	0	0	21.58	17.01	28.8	21.5793	21.0643	19.6663	-99.99	19.6179	17.6562	14.2875	11.8952	10.5819	8.03064	-99.99	-99.99	0.768974
setup	0	2006-01-04 23:00:00	12.0916	422.232	272.82	20.5115	338.151	0	95.5487	0	0	0	0	21.52	16.32	28.84	21.5194	21.0918	19.9311	-99.99	19.8908	18.2618	15.4103	13.264	11.9503	8.07234	-99.99	-99.99	0.951453
setup	0	2006-01-05 23:00:00	12.0912	422.491	300.7	22.612	321.493	0	100.111	0	0	0	0	21.31	14.43	29.38	21.3095	20.9564	19.9982	-99.99	19.965	18.62	16.2009	14.3066	13.0448	8.12908	-99.99	-99.99	1.07439
setup	0	2006-01-06 23:00:00	12.0908	422.763	265.3	19.9542	338.359	0	91.7053	0	0	0	0	21.61	14.53	29.39	21.6095	21.2753	20.3681	-99.99	20.3366	19.0636	16.863	15.1229	13.8966	8.19732	-99.99	-99.99	1.10599
setup	0	2006-01-07 23:00:00	12.0903	423.048	257.43	19.3666	348.139	0	89.2526	0	0	0	0	22.46	16.29	30.43	22.4595	22.1016	21.1303	-99.99	21.0966	19.7338	17.5301	15.8253	14.5931	8.2744	-99.99	-99.99	1.15718
setup	0	2006-01-08 23:00:00	12.0898	423.344	294.11	22.1313	333.989	0	91.2485	0	0	0	0	22.64	15.83	30.83	22.6395	22.3237	21.4666	-99.99	21.4369	20.2341	18.1444	16.4687	15.2127	8.35883	-99.99	-99.99	1.21484
setup	0	2006-01-09 23:00:00	12.0893	423.651	296.54	22.3197	334.25	0	92.2856	0	0	0	0	22.9	15.49	31.43	22.8995	22.6008	21.7901	-99.99	21.762	20.6242	18.6439	17.0215	15.7593	8.44962	-99.99	-99.99	1.27473
setup	0	2006-01-10 23:00:00	12.0887	423.97	304.06	22.8946	336.171	0	90.4138	0	0	0	0	23.69	16.78	31.31	23.6895	23.3646	22.4827	-99.99	22.4522	21.2148	19.1767	17.5331	16.2452	8.54581	-99.99	-99.99	1.35749
