source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2006-01-01 23:00:00	3.70599e-13	3.87184	7.88853	1.81248e-05	1.0871e-06	1.79404e-05	1.68022e-07	7.63815e-06	0.000279028	0.105756	1.90686e-08	0	0	0	0	0.552825	0	0.00572972	0.0136278	1.62919	2.92623	0.802046	0.236161	0.000148337	424.697	116115	38015.6	57902.4	170.098	10.4014	87.478	234.099	0.424618	0	0	8.31027	10768.7	3502.84	5296.02	18.5401	0.218818	1.89084	27.0945	3.36688	0	0	0.889313
setup	0	2006-01-02 23:00:00	3.16564e-13	7.04827	7.53933	3.41928e-05	2.12197e-06	6.83446e-08	3.29924e-07	1.02845e-05	0.000357858	0.191512	2.60424e-08	0	0	0	0	2.85489	0	0.00572578	0.0136264	0.180133	0.980782	0.10203	0.0602391	0.000103742	447.122	116110	38012.3	57898.3	192.989	10.8432	86.104	205.553	2.19736	0	0	10.3158	10768.4	3502.71	5295.85	21.3083	0.222214	1.85998	22.8444	4.54411	0	0	0.958821
setup	0	2006-01-03 23:00:00	2.30299e-13	4.24311	6.61139	4.96428e-05	3.40052e-07	1.04947e-08	5.31691e-08	1.58341e-06	3.87457e-05	0.0950067	4.01012e-08	0	0	0	0	0.557581	0	0.00710758	0.0136441	0.464906	0.633806	0.0153981	0.0744867	4.49397e-05	471.583	116103	38008.7	57893.8	208.906	11.2765	85.083	185.28	0.428173	0	0	10.5289	10767.7	3502.44	5295.47	23.1115	0.226757	1.83722	20.4032	4.50173	0	0	0.99085
setup	0	2006-01-04 23:00:00	6.66795e-08	4.76839	4.54696	0.0839941	0	0	0	9.04487e-07	-1.15952e-05	0.0294917	5.63535e-08	0	0	0	0	0.550561	0	0.00713666	0.013632	0.759635	0.631878	0.0415101	0.0191213	2.13975e-05	498.633	116099	38006.6	57891.2	220.862	11.6934	83.9418	170.061	0.248857	0	0	11.0884	10766.9	3502.08	5294.96	24.2841	0.231183	1.8116	18.617	4.27258	0	0	0.98085
setup	0	2006-01-05 23:00:00	5.78999e-07	5.26558	3.78327	0.106968	0	0	0	2.48373e-06	2.18894e-05	0.0242985	6.22647e-08	0	0	0	0	0.544044	0	0.00712739	0.0136261	0.794753	0.629072	0.0662946	0.0184243	2.75402e-05	522.028	116096	38004.8	57888.8	229.053	12.0964	82.5564	159.342	0.517388	0	0	12.0053	10766.2	3501.74	5294.47	24.9923	0.235499	1.78024	17.3017	4.10313	0	0	0.958403
setup	0	2006-01-06 23:00:00	1.64219e-06	5.68017	3.915	0.0684038	0	0	0	5.32504e-06	7.77666e-05	0.0174438	6.17109e-08	0	0	0	0	0.53789	0	0.00711812	0.0136256	0.652523	0.612901	0.086967	0.0122854	3.66352e-05	543.895	116092	38002.9	57886.3	234.45	12.4852	80.7847	151.756	1.35663	0	0	12.9756	10765.6	3501.48	5294.1	25.4462	0.239692	1.73986	16.3555	4.04284	0	0	0.930194
setup	0	2006-01-07 23:00:00	3.29388e-06	6.12829	4.49338	0.0248441	0	0	0	1.11343e-05	0.000215691	0.0140278	6.9004e-08	0	0	0	0	0.531999	0	0.00710887	0.0136256	0.598702	0.594089	0.111643	0.0110983	5.25537e-05	566.077	116088	38000.5	57883.4	237.785	12.8583	78.6101	146.487	2.532	0	0	13.7892	10765	3501.24	5293.75	25.7157	0.243725	1.69016	15.6946	3.98056	0	0	0.90494
setup	0	2006-01-08 23:00:00	5.4302e-06	6.54787	5.15147	0.000676017	0	0	0	2.07161e-05	0.000397105	0.00978549	8.0563e-08	0	0	0	0	0.526336	0	0.00709962	0.0136256	0.574112	0.586787	0.131916	0.00797727	6.6104e-05	588.24	116084	37997.6	57879.9	239.516	13.2173	76.1798	142.986	3.79208	0	0	14.5519	10764.5	3500.99	5293.41	25.834	0.247628	1.6346	15.2363	3.92608	0	0	0.886604
setup	0	2006-01-09 23:00:00	7.17319e-06	6.93062	5.96749	1.53523e-05	0	0.000105112	0	3.29644e-05	0.000543588	0.00601399	9.64731e-08	0	0	0	0.250286	0.520899	0.0037732	0.0070904	0.0136257	0.558425	0.578003	0.143948	0.0049685	7.45176e-05	608.798	116078	37993.9	57875.6	240.034	13.8139	73.655	140.728	4.72916	0	0	15.2937	10764	3500.74	5293.07	25.841	0.255195	1.57697	14.9179	3.88206	0	0	0.8841
setup	0	2006-01-10 23:00:00	7.78727e-06	7.25701	6.3976	3.95468e-05	0	6.49745e-07	0	4.50211e-05	0.000615759	0.00379371	1.20246e-07	0	0	0	0.290209	0.515719	0.00437506	0.00708118	0.013626	0.541159	0.561279	0.141431	0.00305158	8.02175e-05	623.593	116073	37989.9	57870.9	239.606	14.4354	71.209	139.241	5.48945	0	0	16.0154	10763.5	3500.48	5292.73	25.7616	0.26321	1.52125	14.6903	3.85156	0	0	0.876025
