source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	potential_transpiration[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	2006-01-01 23:00:00	0	0.51	0.51	3.72779	0	0	0	0.254879	0.155324	0	0.000719524	0.354676	0	0	0	0	0	0	375.524	375.524	0	-99.99	40.4363	40.4363	40.4363	40.4363	40.2093	40.2093	40.1285	40.1285	39.6087	39.3375	-99.99	398.128	1129.91	1334.69	1002.44	1042.19	-99.99	-99.99	99	0	0
setup	0	2006-01-02 23:00:00	0	0.32	0	3.69069	3.09638	0	0.32	0.237313	0	0	0.00122396	0	0	0	0	0	0	0	375.285	375.285	0	-99.99	40.3369	40.3369	40.3369	40.3369	40.1838	40.1838	40.1173	40.1173	39.6136	39.3435	-99.99	443.745	1170.09	1356.25	995.771	1033.61	-99.99	-99.99	99	0	0
setup	0	2006-01-03 23:00:00	0	1.49	1.119	3.6624	3.22493	2.79613	0.371	0.0347186	0	0	0.000182158	1.119	0	0	0	0	0	0	373.573	373.573	0	-99.99	40.0057	40.0057	40.0057	40.0057	39.8651	39.8651	39.9506	39.9506	39.5399	39.3307	-99.99	642.016	1826.54	1724.85	1101.38	1052.06	-99.99	-99.99	99	0	0
setup	0	2006-01-04 23:00:00	0	0.88	0.509	3.65171	3.43582	2.90728	0.371	0.0238839	0	0	0	0.509	0	0	0	0	0	0	371.151	371.151	0	-99.99	39.3928	39.3928	39.3928	39.3928	39.5038	39.5038	39.7592	39.7592	39.4487	39.3102	-99.99	1315.04	3095.61	2288.18	1249.58	1082.33	-99.99	-99.99	99	0	0
setup	0	2006-01-05 23:00:00	0	0.26	0	3.61462	3.12172	3.19072	0.26	0.00912103	0	0	0	0	0	0	0	0	0	0	367.951	367.951	0	-99.99	38.5246	38.5246	38.5246	38.5246	39.0832	39.0832	39.5153	39.5153	39.3245	39.2793	-99.99	3956.91	5912.99	3315.43	1487.05	1129.79	-99.99	-99.99	99	0	0
setup	0	2006-01-06 23:00:00	0	0.04	0	3.6673	3.0205	3.10445	0.04	0.024887	0	0	0	0	0	0	0	0	0	0	364.822	364.822	0	-99.99	37.7543	37.7543	37.7543	37.7543	38.6559	38.6559	39.2459	39.2459	39.1783	39.2413	-99.99	11626	11888.8	5069.39	1831.84	1191.34	-99.99	-99.99	99	0	0
setup	0	2006-01-07 23:00:00	0	0.05	0	3.81693	3.09786	3.00369	0.05	0.0308854	0	0	0	0	0	0	0	0	0	0	361.788	361.788	0	-99.99	37.0797	37.0797	37.0797	37.0797	38.2339	38.2339	38.9557	38.9557	39.0092	39.195	-99.99	32834.5	24814.4	8161.36	2342.59	1271.2	-99.99	-99.99	99	0	0
setup	0	2006-01-08 23:00:00	0	0.04	0	3.84852	3.13751	3.08913	0.04	0.0244169	0	0	0	0	0	0	0	0	0	0	358.674	358.674	0	-99.99	36.4592	36.4592	36.4592	36.4592	37.8007	37.8007	38.6296	38.6296	38.8039	39.1351	-99.99	93722.5	55765.7	14296.1	3181.98	1383.17	-99.99	-99.99	99	0	0
setup	0	2006-01-09 23:00:00	0	0.12	0	3.89421	3.01896	3.04904	0.12	0.0203525	0	0	0	0	0	0	0	0	0	0	355.605	355.605	0	-99.99	35.9128	35.9128	35.9128	35.9128	37.3805	37.3805	38.2844	38.2844	38.5672	39.0608	-99.99	258255	129962	26732	4578.22	1537.47	-99.99	-99.99	99	0	0
setup	0	2006-01-10 23:00:00	0	0.22	0	4.03351	2.52237	2.8835	0.22	0.0211978	0	0	0	0	0	0	0	0	0	0	352.7	352.7	0	-99.99	35.4496	35.4496	35.4496	35.4496	36.9943	36.9943	37.9413	37.9413	38.3105	38.973	-99.99	659850	300655	51677.7	6889.03	1744.35	-99.99	-99.99	99	0	0
