source	id	datetime	irri[mm]	prec[mm]	throughf[mm]	evapot[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_50cm[%]	soilwater_100cm[%]	groundwaterdepth[m]
setup	0	2006-01-01 23:00:00	0	0.51	0.51	3.72779	0	0	0.770747	0.155324	0	0	0.354676	0	0	0	0	0	140.053	140.053	0	-99.99	23.4586	26.9257	26.9786	27.0271	31.7302	31.8028	-99.99	99
setup	0	2006-01-02 23:00:00	0	0.32	0.283828	3.69069	0	0.0361725	0.753777	0.117606	0	0	0.166221	0	0	0	0	0	139.466	139.466	0	-99.99	23.2865	26.6327	26.7362	26.8313	31.6598	31.8041	-99.99	99
setup	0	2006-01-03 23:00:00	0	1.49	1.11967	3.6624	0.320777	0.370335	0.642617	0	0	0	1.11967	0	0	0	0	0	139.622	139.622	0	-99.99	24.0509	26.6991	26.5663	26.6073	31.5496	31.7515	-99.99	99
setup	0	2006-01-04 23:00:00	0	0.88	0.51228	3.65171	2.23364	0.36772	0.223561	0	0	0	0.51228	0	0	0	0	0	137.677	137.677	0	-99.99	23.6884	26.3584	26.1734	26.1063	31.1226	31.3307	-99.99	99
setup	0	2006-01-05 23:00:00	0	0.26	0	3.61462	2.58182	0.26	0.157965	0	0	0	0	0	0	0	0	0	134.937	134.937	0	-99.99	22.8131	25.7039	25.621	25.5801	30.6309	30.8362	-99.99	99
setup	0	2006-01-06 23:00:00	0	0.04	0	3.6673	2.467	0.04	0.22732	0	0	0	0	0	0	0	0	0	132.243	132.243	0	-99.99	21.9652	25.0265	25.006	24.9961	30.1515	30.361	-99.99	99
setup	0	2006-01-07 23:00:00	0	0.05	0	3.81693	2.19815	0.05	0.294445	0	0	0	0	0	0	0	0	0	129.75	129.75	0	-99.99	21.1629	24.4027	24.4098	24.418	29.713	29.934	-99.99	99
setup	0	2006-01-08 23:00:00	0	0.04	0	3.84852	2.25131	0.04	0.279716	0	0	0	0	0	0	0	0	0	127.219	127.219	0	-99.99	20.3692	23.7783	23.8026	23.8268	29.2632	29.4927	-99.99	99
setup	0	2006-01-09 23:00:00	0	0.12	0	3.89421	2.14184	0.12	0.280298	0	0	0	0	0	0	0	0	0	124.797	124.797	0	-99.99	19.6176	23.1809	23.221	23.2598	28.8313	29.0691	-99.99	99
setup	0	2006-01-10 23:00:00	0	0.22	0	4.03351	1.89506	0.22	0.315014	0	0	0	0	0	0	0	0	0	122.587	122.587	0	-99.99	18.9213	22.6283	22.6852	22.7397	28.4402	28.6909	-99.99	99
setup	0	2006-01-11 23:00:00	0	3.48	3.12533	3.96444	2.07756	0.354666	0.27172	0	0	0	3.12533	0	0	0	0	0	123.363	123.363	0	-99.99	21.7419	22.9831	22.451	22.3176	28.093	28.3476	-99.99	99
setup	0	2006-01-12 23:00:00	0	3.38	3.0268	3.6839	1.91939	0.353197	0.264154	0	0	0	3.0268	0	0	0	0	0	124.206	124.206	0	-99.99	23.247	23.8614	22.723	22.3012	27.8103	28.0687	-99.99	99
setup	0	2006-01-13 23:00:00	0	1.02	0.66826	3.53417	1.65967	0.35174	0.276141	0	0	0	0.66826	0	0	0	0	0	122.939	122.939	0	-99.99	22.3551	23.8121	22.9297	22.5265	27.5464	27.8117	-99.99	99
setup	0	2006-01-14 23:00:00	0	2.87	2.51945	3.6923	2.00671	0.350552	0.251071	0	0	0	2.51945	0	0	0	0	0	123.201	123.201	0	-99.99	23.3104	24.2288	23.1292	22.6779	27.2766	27.5428	-99.99	99
