source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2020-01-01 23:00:00	4.0355e-13	0	7.62095	1.81125e-05	1.08796e-06	1.89291e-05	1.69256e-07	7.47207e-06	0.00026941	0.0930565	2.19261e-08	0	0	0	0	0	0	0	0.0136256	0	2.76561	0.777141	0.234678	0.000138072	0	116115	38015.5	57902.2	169.353	9.85237	87.5251	234.978	0.441225	0	0	0	10770.3	3503.5	5297.08	18.7214	0.213169	1.89195	27.2316	4.66766	0	0	0.885841
setup	0	2020-01-02 23:00:00	2.93755e-13	0	7.26185	3.06154e-05	2.12111e-06	2.67551e-05	3.50752e-07	2.06008e-05	0.000798193	0.334989	2.96331e-08	0	0	0	0	0	0	0	0.0136393	0	0.963625	0.255306	0.362882	0.000281992	0	116107	38011.2	57896.7	191.876	9.75265	85.7873	207.853	0.485699	0	0	0	10769.7	3503.22	5296.68	21.6106	0.211011	1.85271	23.3935	5.0903	0	0	0.931846
setup	0	2020-01-03 23:00:00	2.08679e-13	0	5.74812	0.00738389	1.84052e-06	1.53798e-05	3.05489e-07	1.07135e-05	0.00035398	0.315342	3.71688e-08	0	0	0	0	0	0	0	0.0136349	0	0.768695	0.141567	0.212214	0.000165081	0	116101	38007.8	57892.2	208.971	9.64509	84.2301	186.94	0.407819	0	0	0	10769.3	3503.04	5296.44	23.6225	0.208684	1.81767	20.8906	5.23558	0	0	0.950567
setup	0	2020-01-04 23:00:00	1.68782e-13	0	4.86946	0.0504471	1.70139e-06	1.11321e-05	2.78469e-07	3.06349e-06	9.80733e-05	0.144988	4.5733e-08	0	0	0	0	0	0	0	0.0136266	0	0.499032	0.10934	0.107116	8.01704e-05	0	116096	38005	57888.6	221.142	9.5354	82.6847	171.77	0.341127	0	0	0	10769.1	3502.94	5296.3	25.0515	0.206311	1.7829	19.1897	5.30737	0	0	0.952365
setup	0	2020-01-05 23:00:00	1.35687e-13	0	4.49302	0.0736652	1.89616e-06	7.68301e-06	3.05752e-07	2.83041e-06	7.86808e-05	0.102715	5.11378e-08	0	0	0	0	0	0	0	0.0136266	0	0.37562	0.132574	0.0851306	6.34926e-05	0	116091	38002.5	57885.4	230.21	9.42514	81.0421	160.396	0.382555	0	0	0	10768.9	3502.86	5296.19	26.1248	0.203925	1.74589	17.9335	5.35824	0	0	0.947377
setup	0	2020-01-06 23:00:00	1.03799e-13	0	4.48562	0.0669598	2.0531e-06	5.00739e-06	3.27041e-07	3.31391e-06	8.72561e-05	0.0929051	5.28842e-08	0	0	0	0	0	0	0	0.0136316	0	0.405215	0.159489	0.0816466	6.16857e-05	0	116086	38000	57882.2	237.69	9.31195	79.2725	151.033	0.468102	0	0	0	10768.8	3502.77	5296.1	27.0205	0.201476	1.70596	16.8998	5.40258	0	0	0.943416
setup	0	2020-01-07 23:00:00	7.30775e-14	0	4.5475	0.0697145	2.99213e-06	3.67263e-06	4.72424e-07	3.56001e-06	9.42612e-05	0.110085	4.39919e-08	0	0	0	0	0	0	0	0.0136563	0	0.462094	0.190752	0.102485	6.8941e-05	0	116082	37997.3	57879	244.381	9.19661	77.4526	142.596	0.470006	0	0	0	10768.6	3502.67	5295.98	27.8166	0.19898	1.66491	15.9675	5.43883	0	0	0.945897
setup	0	2020-01-08 23:00:00	6.59921e-14	0	4.53828	0.0356939	8.71918e-06	2.98981e-06	1.37168e-06	4.22791e-06	0.000113105	0.149845	3.41364e-08	0	0	0	0	0	0	0	0.013768	0	0.482935	0.200256	0.135863	7.72547e-05	0	116077	37994.4	57875.5	250.623	9.08099	75.7514	134.387	0.411121	0	0	0	10768.5	3502.5	5295.83	28.5431	0.196479	1.62665	15.0647	5.46875	0	0	0.957235
setup	0	2020-01-09 23:00:00	4.17497e-14	0	4.41969	0.00923615	2.25208e-05	9.83191e-07	3.54447e-06	2.15428e-06	4.03475e-05	0.0854905	3.17083e-08	0	0	0	0	0	0	0	0.0136653	0	0.443681	0.116464	0.0722917	4.81373e-05	0	116073	37991.7	57872.3	256.363	8.96567	74.2433	126.175	0.472198	0	0	0	10768.3	3502.39	5295.72	29.2582	0.193984	1.59287	14.177	5.5219	0	0	0.964003
setup	0	2020-01-10 23:00:00	3.58157e-14	0	4.3916	0.000299611	3.5466e-05	3.38278e-07	5.59774e-06	1.41981e-06	1.62747e-05	0.0480452	3.56737e-08	0	0	0	0	0	0	0	0.0136342	0	0.46085	0.0908957	0.0409543	3.4703e-05	0	116069	37989.1	57869.1	261.437	8.84965	72.8062	118.411	0.566008	0	0	0	10768.3	3502.33	5295.65	29.9255	0.191473	1.56074	13.3389	5.58719	0	0	0.96655
