source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top[oC]	temp_canopy_middle[oC]	temp_canopy_bottom[oC]	temp_surfacewater[oC]	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd[mbar]
setup	0	2019-01-01 23:00:00	12.0927	421.532	262.41	15.2027	348.054	0	31.2514	0	0	0	0	21.71	16.61	29.16	43.5089	39.4726	35.4345	-99.99	35.3749	18.4162	16.5593	14.2362	12.9752	10.7294	8.69748	8.01476	1.87745
setup	0	2019-01-02 23:00:00	12.0924	421.752	291.91	16.9166	334.217	0	31.7791	0	0	0	0	22.02	15.21	30.41	22.0198	21.9357	21.7485	-99.99	21.7427	20.3701	19.292	17.7269	16.7357	14.5177	11.2308	8.33453	1.16082
setup	0	2019-01-03 23:00:00	12.092	421.985	272.36	15.7885	346.931	0	108.266	0	0	0	0	22.03	15.08	29.98	22.0298	21.9656	21.8226	-99.99	21.8181	20.7736	19.9511	18.7384	17.9521	16.1085	13.0044	9.04763	1.02997
setup	0	2019-01-04 23:00:00	12.0916	422.232	204.79	11.8755	373.27	0	103.575	0	0	0	0	21.11	18.14	26.78	21.1099	21.0682	20.9753	-99.99	20.9724	20.2854	19.7307	18.8848	18.3123	16.8765	14.146	9.82822	0.544941
setup	0	2019-01-05 23:00:00	12.0912	422.491	224.23	13.0074	365.095	0	103.877	0	0	0	0	21.17	17.01	27.93	21.1699	21.1282	21.0355	-99.99	21.0326	20.3517	19.7921	18.9577	18.4114	17.103	14.7192	10.5259	0.677248
setup	0	2019-01-06 23:00:00	12.0908	422.763	272.59	15.8187	343.427	0	102.346	0	0	0	0	20.87	16.73	25.71	20.8699	20.8355	20.759	-99.99	20.7566	20.1961	19.7379	19.0446	18.5796	17.4229	15.2086	11.0986	0.729105
setup	0	2019-01-07 23:00:00	12.0903	423.048	297.81	17.2892	327.201	0	108.25	0	0	0	0	22.03	15.36	30.09	22.0298	21.9827	21.8777	-99.99	21.8744	21.1009	20.4813	19.5893	19.0258	17.7374	15.5478	11.584	1.29015
setup	0	2019-01-08 23:00:00	12.0898	423.344	205.71	11.9475	363.494	0	102.338	0	0	0	0	20.87	15.87	27.8	20.8699	20.8459	20.7927	-99.99	20.791	20.3856	20.0357	19.4797	19.0907	18.077	16.0251	12.0149	0.914071
setup	0	2019-01-09 23:00:00	12.0893	423.651	262.41	15.2473	343.834	0	105.337	0	0	0	0	21.46	16.22	28.5	21.4599	21.4239	21.3438	-99.99	21.3413	20.761	20.2996	19.6269	19.1915	18.1519	16.2316	12.409	1.04188
setup	0	2019-01-10 23:00:00	12.0887	423.97	261.48	15.2004	342.223	0	101.616	0	0	0	0	20.73	15.47	27.04	20.7299	20.7081	20.6594	-99.99	20.6579	20.2864	19.9665	19.4661	19.1218	18.2409	16.4646	12.7461	0.883978
setup	0	2019-01-11 23:00:00	12.0881	424.298	262.75	15.2817	348.488	0	106.345	0	0	0	0	21.66	16.06	28.5	21.6599	21.6223	21.5386	-99.99	21.5359	20.9446	20.4835	19.8146	19.3877	18.3925	16.6094	13.0398	0.968906
setup	0	2019-01-12 23:00:00	12.0875	424.637	293.65	17.0875	328.832	0	104.15	0	0	0	0	21.23	14.73	28.63	21.2299	21.2049	21.1494	-99.99	21.1476	20.7268	20.3769	19.8384	19.4759	18.5775	16.8497	13.306	1.08681
setup	0	2019-01-13 23:00:00	12.0868	424.985	277.56	16.1598	337.326	0	102.669	0	0	0	0	20.94	14.37	29.02	20.9399	20.9169	20.8657	-99.99	20.8641	20.481	20.1674	19.6877	19.3647	18.5588	16.9737	13.5567	0.965158
setup	0	2019-01-14 23:00:00	12.0862	425.343	257.09	14.9762	351.178	0	106.634	0	0	0	0	21.72	15.72	28.98	21.7199	21.6854	21.6086	-99.99	21.6062	21.0617	20.6488	20.0555	19.675	18.7739	17.1244	13.7753	0.991289
setup	0	2019-01-15 23:00:00	12.0855	425.708	207.68	12.1047	364.513	0	99.9115	0	0	0	0	20.4	16.22	25.76	20.3999	20.3876	20.3601	-99.99	20.3593	20.1486	19.963	19.6494	19.4171	18.7679	17.3066	13.9883	0.674485
setup	0	2019-01-16 23:00:00	12.0847	426.082	229.885	13.4067	359.139	0	104.534	0	0	0	0	21.31	16.14	28.41	21.3099	21.2797	21.2126	-99.99	21.2105	20.7243	20.3484	19.8082	19.4655	18.6733	17.2539	14.1741	0.922619
setup	0	2019-01-17 23:00:00	12.084	426.463	302.56	17.6556	328.488	0	106.054	0	0	0	0	21.61	15.94	28.85	21.6099	21.5813	21.5176	-99.99	21.5157	21.0514	20.6854	20.1464	19.7957	18.9607	17.4317	14.3271	1.11886
setup	0	2019-01-18 23:00:00	12.0832	426.85	294.8	17.2133	333.356	0	111.552	0	0	0	0	22.69	15.72	31.23	22.6898	22.6515	22.5661	-99.99	22.5634	21.9455	21.2344	20.7813	20.3475	19.3585	17.6737	14.4969	1.41186
setup	0	2019-01-19 23:00:00	12.0824	427.244	299.66	17.508	330.653	0	111.34	0	0	0	0	22.65	15.51	31.04	22.6498	22.6199	22.5532	-99.99	22.5511	22.0606	21.4727	21.0823	20.6958	19.7633	18.0351	14.6971	1.4245
setup	0	2019-01-20 23:00:00	12.0816	427.644	312.04	18.2459	323.421	0	114.446	0	0	0	0	23.26	15.67	32.24	23.2598	23.2246	23.1461	-99.99	23.1436	22.5735	21.9079	21.476	21.0562	20.0728	18.3127	14.9215	1.65607
setup	0	2019-01-21 23:00:00	12.0807	428.049	287.63	16.8327	336.725	0	112.957	0	0	0	0	22.97	16.1	30.11	22.9699	22.9428	22.8824	-99.99	22.8805	22.4414	21.9171	21.5651	21.2123	20.3368	18.6236	15.1524	1.47532
setup	0	2019-01-22 23:00:00	12.0798	428.457	285.08	16.6982	339.425	0	108.564	0	0	0	0	22.11	16.73	27.99	22.1099	22.093	22.0555	-99.99	22.0543	21.7742	21.4203	21.1704	20.9106	20.2243	18.7433	15.3792	1.15936
setup	0	2019-01-23 23:00:00	12.0789	428.87	228.28	13.3836	365.289	0	109.728	0	0	0	0	22.34	17.32	29.33	22.3399	22.3163	22.2638	-99.99	22.2621	21.8772	21.4185	21.1152	20.816	20.0945	18.701	15.5581	1.10584
setup	0	2019-01-24 23:00:00	12.078	429.286	302.09	17.7281	329.794	0	109.363	0	0	0	0	22.27	15.56	30.26	22.2699	22.2486	22.2013	-99.99	22.1998	21.842	21.3978	21.0986	20.8014	20.0845	18.7184	15.693	1.33151
setup	0	2019-01-25 23:00:00	12.0771	429.704	306.14	17.9842	334.687	0	115.271	0	0	0	0	23.43	15.49	31.95	23.4298	23.3946	23.316	-99.99	23.3136	22.7483	22.1006	21.6878	21.2926	20.3967	18.853	15.8146	1.53299
setup	0	2019-01-26 23:00:00	12.0761	430.124	286.47	16.8468	347.513	0	114.598	0	0	0	0	23.3	17.95	30.79	23.2999	23.2728	23.2124	-99.99	23.2105	22.7767	22.2689	21.9324	21.5978	20.7778	19.1835	15.9661	1.31869
setup	0	2019-01-27 23:00:00	12.0751	430.545	300.7	17.7039	340.667	0	114.486	0	0	0	0	23.28	15.89	31.5	23.2799	23.2554	23.2009	-99.99	23.1992	22.7893	22.2844	21.9457	21.6106	20.8089	19.3036	16.1446	1.39749
setup	0	2019-01-28 23:00:00	12.0741	430.967	260.9	15.3792	353.794	0	110.076	0	0	0	0	22.77	15.96	30.49	22.7699	22.751	22.7091	-99.99	22.7078	22.3956	22.0092	21.7443	21.4758	20.7987	19.4105	16.3053	1.28934
setup	0	2019-01-29 23:00:00	12.0731	431.388	299.66	17.6865	338.507	0	102.255	0	0	0	0	23.07	16.21	31.7	23.0699	23.0457	22.9917	-99.99	22.99	22.5948	22.1248	21.8151	21.5113	20.7895	19.4255	16.4428	1.40882
setup	0	2019-01-30 23:00:00	12.072	431.808	299.78	17.7177	336.363	0	93.7688	0	0	0	0	23.18	15.46	32.2	23.1799	23.1563	23.1037	-99.99	23.1021	22.7135	22.2448	21.9334	21.6266	20.8948	19.5147	16.5622	1.51844
setup	0	2019-01-31 23:00:00	12.071	432.227	309.84	18.3387	336.321	0	84.6076	0	0	0	0	23.75	16.12	32.48	23.7499	23.7207	23.6557	-99.99	23.6536	23.1851	22.6415	22.2889	21.9461	21.1452	19.6778	16.685	1.58558
setup	0	2019-02-01 23:00:00	12.0699	432.643	284.04	16.8376	344.898	0	79.2401	0	0	0	0	23.47	16.07	31.72	23.4699	23.4479	23.399	-99.99	23.3975	23.0365	22.5979	22.3025	22.0075	21.284	19.8609	16.8263	1.54149
setup	0	2019-02-02 23:00:00	12.0688	433.056	320.03	19.0022	325.258	0	74.2429	0	0	0	0	24.22	16.12	32.89	24.2199	24.1893	24.1212	-99.99	24.119	23.6253	23.0499	22.6773	22.3168	21.4846	19.9907	16.9695	1.88385
setup	0	2019-02-03 23:00:00	12.0676	433.466	321.07	19.0975	320.774	0	64.9909	0	0	0	0	24.33	16.42	33.35	24.3299	24.3028	24.2425	-99.99	24.2406	23.7982	23.2701	22.9207	22.577	21.7594	20.2277	17.1198	2.00442
setup	0	2019-02-04 23:00:00	12.0665	433.871	305.8	18.2234	334.506	0	62.3151	0	0	0	0	23.94	16.82	32.51	23.9399	23.9188	23.872	-99.99	23.8705	23.5245	23.1028	22.8173	22.5309	21.8206	20.3918	17.2846	1.7329
setup	0	2019-02-05 23:00:00	12.0653	434.271	295.61	17.6517	342.274	0	67.1094	0	0	0	0	23.15	16.91	30.59	23.1499	23.1363	23.1059	-99.99	23.105	22.8769	22.5877	22.3843	22.1739	21.6203	20.3967	17.4336	1.39258
setup	0	2019-02-06 23:00:00	12.0641	434.665	298.62	17.87	337.706	0	69.4058	0	0	0	0	22.78	16.38	30.31	22.7799	22.7665	22.7366	-99.99	22.7357	22.5102	22.2263	22.0303	21.8312	21.3258	20.2498	17.5348	1.38077
setup	0	2019-02-07 23:00:00	12.063	435.053	277.56	16.6484	355.841	0	73.8756	0	0	0	0	23.38	17.09	30.56	23.3799	23.3569	23.3057	-99.99	23.3041	22.9372	22.515	22.2425	21.9783	21.3608	20.2021	17.5916	1.2829
setup	0	2019-02-08 23:00:00	12.0617	435.433	183.96	11.0618	389.369	0	73.1757	0	0	0	0	23.29	18.32	29.94	23.2899	23.2708	23.2282	-99.99	23.2269	22.9182	22.5526	22.3094	22.0678	21.4764	20.2959	17.6551	1.22642
setup	0	2019-02-09 23:00:00	12.0605	435.806	269.47	16.2472	358.476	0	63.324	0	0	0	0	23.34	17.75	30.78	23.3399	23.3209	23.2786	-99.99	23.2773	22.9628	22.5803	22.325	22.0729	21.4695	20.3127	17.7322	1.28492
setup	0	2019-02-10 23:00:00	12.0593	436.17	292.72	17.7002	345.152	0	66.2031	0	0	0	0	22.85	17.37	30.35	22.8499	22.8365	22.8066	-99.99	22.8057	22.5794	22.2935	22.0957	21.8948	21.3866	20.3248	17.8053	1.27786
setup	0	2019-02-11 23:00:00	12.058	436.525	297.81	18.0642	332.47	0	60.7982	0	0	0	0	23.24	15.61	32.17	23.2399	23.2202	23.1765	-99.99	23.1751	22.848	22.4508	22.1886	21.933	21.3404	20.2614	17.8626	1.71702
setup	0	2019-02-12 23:00:00	12.0567	436.869	307.65	18.7238	330.589	0	53.5214	0	0	0	0	22.84	15.77	31.67	22.8399	22.8257	22.7942	-99.99	22.7932	22.5581	22.2671	22.068	21.867	21.3631	20.3242	17.9159	1.54908
setup	0	2019-02-13 23:00:00	12.0555	437.204	279.18	17.0527	343.949	0	54.3873	0	0	0	0	22.77	14.95	31.31	22.7699	22.7549	22.7215	-99.99	22.7205	22.4727	22.1706	21.9675	21.7655	21.2725	20.2879	17.9724	1.49631
setup	0	2019-02-14 23:00:00	12.0542	437.527	260.21	15.9561	356.678	0	52.7102	0	0	0	0	23.3	16.33	30.98	23.2999	23.2781	23.2297	-99.99	23.2281	22.8836	22.4916	22.2396	21.9953	21.4235	20.3486	18.0211	1.48655
setup	0	2019-02-15 23:00:00	12.0528	437.838	297.58	18.3245	347.585	0	53.1933	0	0	0	0	24.11	16.42	32.93	24.1099	24.0831	24.0234	-99.99	24.0215	23.5878	23.0826	22.757	22.4438	21.7343	20.5025	18.0893	1.62892
setup	0	2019-02-16 23:00:00	12.0515	438.136	247.83	15.3302	368.239	0	61.927	0	0	0	0	23.51	18.23	30.09	23.5099	23.4938	23.4579	-99.99	23.4567	23.1987	22.8914	22.6826	22.4705	21.9252	20.7599	18.1976	1.305
setup	0	2019-02-17 23:00:00	12.0502	438.422	290.18	18.0376	353.631	0	52.3232	0	0	0	0	24.3	17.53	32.14	24.2999	24.2745	24.218	-99.99	24.2162	23.8027	23.3167	23.0021	22.6989	22.0096	20.7962	18.3127	1.58255
setup	0	2019-02-18 23:00:00	12.0488	438.693	320.6	20.0333	334.543	0	47.0506	0	0	0	0	24.78	16.19	34.24	24.7799	24.7539	24.6959	-99.99	24.6941	24.2644	23.7486	23.4101	23.0815	22.3275	21.0024	18.4217	1.96515
setup	0	2019-02-19 23:00:00	12.0475	438.951	307.53	19.3253	350.328	0	46.4521	0	0	0	0	25.16	17.48	32.97	25.1599	25.1324	25.0711	-99.99	25.0692	24.6312	24.1273	23.8004	23.4817	22.7309	21.3283	18.5633	1.79329
setup	0	2019-02-20 23:00:00	12.0461	439.193	302.9	19.1501	348.38	0	56.9711	0	0	0	0	23.49	18.09	30.71	23.4899	23.4843	23.4719	-99.99	23.4715	23.3675	23.2076	23.0793	22.9357	22.5087	21.4326	18.731	1.34181
setup	0	2019-02-21 23:00:00	12.0447	439.42	249.91	15.9032	365.126	0	50.7784	0	0	0	0	23.37	17.57	30.51	23.3699	23.3578	23.3309	-99.99	23.33	23.129	22.8812	22.7125	22.5427	22.1165	21.2064	18.8363	1.3842
