source	id	datetime	species	day_emergence	gdd[oC]	dvs_flush[-]	dvs_mort[-]	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	N2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_dfol[kgDWm-2]	DW_fru[kgDWm-2]	DW_stemfru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_lst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	dN_lit_fol[kgNm-2]	dN_lit_fru[kgNm-2]	dN_lit_frt[kgNm-2]	dN_lit_ldst_below[kgNm-2]	dN_lit_ldst_above[kgNm-2]	drought_rel[-]	conduct_rel[-]	vc_act_25[umol:m-2:s-1]	iso_act[nmol:m-2:s-1]	mono_act[nmol:m-2:s-1]	d_iso_emis[umol:m-2]	d_mono_emis[umol:m-2]	d_mono_storage_emis[umol:m-2]	d_ovoc_emis[umol:m-2]	dN_nh4_throughf[kgN:L-1]	dN_no3_throughf[kgN:L-1]
setup	0	2023-04-20 23:00:00	ANGA	19	2150.47	1	0.00709912	0	2.40014e-05	3.07509e-05	0	0	3.46801e-05	0	0	0	0	0	0	0.000340575	0	0.000437268	0	0.000777842	0.0001734	0	0	0.5	0.249741	0	0	0	0.235943	0	0	0.235943	0.249741	2.64726	10.6	2.82615e-06	0.0128	0	0.00881198	0	0	0.00527581	0.000258623	0	0.000307125	0	0	0	1.7545e-06	0	1.43243e-06	0	0	0.749109	0	23.8988	0	0	0	0	0	0	0	0
setup	0	2023-04-21 23:00:00	ANGA	19	2161.37	1	0.00690282	0	1.02796e-05	1.24311e-05	0	0	3.13402e-05	0	0	0.00193368	0.00155282	0	-0.000169785	0.000346264	0	0.000484491	0	0.000830756	0.000327241	0.00116217	0.00608922	0.499224	0.249493	0	0.00429708	0.00429708	0.23871	0	0	0.23871	0.253791	2.64463	10.6	2.7619e-06	0.0128	0	0.00908474	0	0	0.00536213	0.000247932	0	0.000306726	0	0	0.000517608	1.68197e-06	0	1.43252e-06	0	0	0.741191	0.156004	23.8989	0	0	0	0	0	0	0	0
setup	0	2023-04-22 23:00:00	ANGA	19	2172.44	1	0.00803538	0	8.25029e-06	7.80761e-06	0	0	3.25494e-05	0	0	0.00433477	0	0	-0.000708566	0.000350485	4.71565e-07	0.00051997	0	0.000870926	0.000248132	0.00161746	0.00619782	0.496108	0.249209	0	0.0139021	0.0139021	0.236852	0	0	0.236852	0.263111	2.64161	10.6	3.03676e-06	0.0128	0.000440974	0.00935921	0	0	0.00541276	0.000284531	0	0.000310322	0	0	0	1.93026e-06	0	1.49418e-06	0	0	0.781291	0.15802	23.8985	0	0	0	0	0	0	0	0
setup	0	2023-04-23 23:00:00	ANGA	19	2183.66	1	0.00933176	0	7.60474e-06	8.20037e-06	0	0	3.74905e-05	0	0	0.00427793	0	0	-0.000486288	0.000354327	3.30404e-06	0.000540174	0	0.000897805	0.000230082	0.00142598	0.00630515	0.494143	0.248883	0	0.0233487	0.0233487	0.235524	0	0	0.235524	0.272232	2.63816	10.6	3.31376e-06	0.0128	0.000944296	0.00955264	0	0	0.00545763	0.000325686	0	0.000307908	0	0	0	2.20945e-06	0	1.52734e-06	0	0	0.748765	0.160014	23.8979	0	0	0	0	0	0	0	0
setup	0	2023-04-24 23:00:00	ANGA	19	2195.04	1	0.0108118	0	7.26289e-06	8.24534e-06	0	0	4.25092e-05	0	0	0.00419233	4.23807e-05	0	-0.000351608	0.000358031	8.67037e-06	0.000556642	0	0.000923344	0.000257959	0.00141157	0.00640964	0.492863	0.248511	0	0.0325945	0.0325945	0.234601	0	0	0.234601	0.281106	2.63422	10.6	3.61157e-06	0.0128	0.00145753	0.0097118	0	0	0.00550685	0.000371825	0	0.000306181	0	0	1.41269e-05	2.52246e-06	0	1.55016e-06	0	0	0.700811	0.161956	23.8972	0	0	0	0	0	0	0	0
setup	0	2023-04-25 23:00:00	ANGA	19	2206.58	1	0.0124971	0	7.14547e-06	8.13737e-06	0	0	4.74486e-05	0	0	0.0040908	0.000147227	0	-0.000353532	0.000361659	1.64454e-05	0.000570655	0	0.000948759	0.000289926	0.00141738	0.00651194	0.491653	0.248088	0	0.0415893	0.0415893	0.233933	0	0	0.233933	0.289677	2.62973	10.6	3.93923e-06	0.0128	0.00195761	0.00984675	0	0	0.00556043	0.000423393	0	0.000304981	0	0	4.90758e-05	2.8723e-06	0	1.56982e-06	0	0	0.645642	0.163865	23.8963	0	0	0	0	0	0	0	0
setup	0	2023-04-26 23:00:00	ANGA	19	2218.26	1	0.0144111	0	7.25163e-06	8.05977e-06	0	0	5.19614e-05	0	0	0.00399922	0.000240647	0	-0.000354981	0.000365147	2.64839e-05	0.000583283	0	0.000974914	0.000320242	0.00142965	0.00661165	0.490508	0.247607	0	0.0503574	0.0503574	0.233494	0	0	0.233494	0.297965	2.62464	10.6	4.30023e-06	0.0128	0.00244286	0.00996136	0	0	0.00561831	0.000480852	0	0.000304113	0	0	8.02155e-05	3.2621e-06	0	1.5871e-06	0	0	0.587446	0.16574	23.895	0	0	0	0	0	0	0	0
setup	0	2023-04-27 23:00:00	ANGA	19	2230.1	1	0.0165792	0	7.40541e-06	8.22239e-06	0	0	5.5918e-05	0	0	0.00391783	0.000324854	0	-0.000355866	0.000368486	3.86639e-05	0.000594788	0	0.00100194	0.000347063	0.00144097	0.00670822	0.489426	0.247062	0	0.0589234	0.0589234	0.233262	0	0	0.233262	0.305986	2.61886	10.6	4.69791e-06	0.0128	0.0029129	0.0100584	0	0	0.00568028	0.000544675	0	0.000303543	0	0	0.000108285	3.69508e-06	0	1.60256e-06	0	0	0.572249	0.167574	23.8934	0	0	0	0	0	0	0	0
setup	0	2023-04-28 23:00:00	ANGA	19	2242.09	1	0.0190285	0	7.71441e-06	8.35381e-06	0	0	5.92665e-05	0	0	0.00384563	0.000401868	0	-0.000356152	0.000371715	5.2875e-05	0.000606021	0	0.00103061	0.000370621	0.00145193	0.00680225	0.488403	0.246447	0	0.0673096	0.0673096	0.23322	0	0	0.23322	0.313757	2.61234	10.6	5.13547e-06	0.0128	0.00336729	0.0101401	0	0	0.00574604	0.000615345	0	0.000303241	0	0	0.000133956	4.1745e-06	0	1.61656e-06	0	0	0.509325	0.169388	23.8913	0	0	0	0	0	0	0	0
setup	0	2023-04-29 23:00:00	ANGA	19	2254.22	1	0.0217883	0	7.98532e-06	8.06102e-06	0	0	6.19337e-05	0	0	0.00377969	0.000472518	0	-0.000355844	0.000374759	6.8971e-05	0.000616667	0	0.0010604	0.000390205	0.00146205	0.0068923	0.487436	0.245754	0	0.0755318	0.0755318	0.233353	0	0	0.233353	0.321286	2.60499	10.6	5.6161e-06	0.0128	0.0038041	0.010208	0	0	0.00581504	0.000693346	0	0.000303186	0	0	0.000157506	4.70366e-06	0	1.62939e-06	0	0	0.446695	0.171156	23.8887	0	0	0	0	0	0	0	0
setup	0	2023-04-30 23:00:00	ANGA	19	2266.5	1	0.0248897	0	6.7709e-06	8.76003e-06	0	0	6.69988e-05	0	0	0.00371864	0.000538191	0	-0.000354836	0.000377528	8.66795e-05	0.000626665	0	0.00109087	0.000420642	0.00147144	0.00697787	0.486525	0.244975	0	0.0836026	0.0836026	0.23365	0	0	0.23365	0.328577	2.59673	10.6	6.14287e-06	0.0128	0.00421605	0.010263	0	0	0.00588609	0.000779161	0	0.000303359	0	0	0.000179397	5.28583e-06	0	1.64124e-06	0	0	0.525298	0.17287	23.8852	0	0	0	0	0	0	0	0
setup	0	2023-05-01 23:00:00	ANGA	19	2278.92	1	0.0283657	0	5.94524e-06	7.06166e-06	0	0	7.05096e-05	0	0	0.00365378	0.000598483	0	-0.000353054	0.000380261	0.000106345	0.000636852	0	0.00112346	0.000444173	0.00147722	0.00706113	0.485666	0.244101	0	0.0915154	0.0915154	0.234099	0	0	0.234099	0.335617	2.58747	10.6	6.7187e-06	0.0128	0.00462529	0.0103087	0	0	0.00596105	0.000873263	0	0.000303745	0	0	0.000199494	5.92422e-06	0	1.65218e-06	0	0	0.543312	0.17459	23.8808	0	0	0	0	0	0	0	0
setup	0	2023-05-02 23:00:00	ANGA	19	2291.49	1	0.0322511	0	5.76763e-06	6.34725e-06	0	0	7.27261e-05	0	0	0.00359619	0.000653811	0	-0.000350638	0.000382804	0.000127189	0.000646937	0	0.00115693	0.000456996	0.00148316	0.00714111	0.484859	0.243125	0	0.0992879	0.0992879	0.234687	0	0	0.234687	0.342413	2.57713	10.6	7.3468e-06	0.0128	0.00500263	0.0103439	0	0	0.00603628	0.000976112	0	0.000304328	0	0	0.000217937	6.62195e-06	0	1.66274e-06	0	0	0.487772	0.176294	23.8751	0	0	0	0	0	0	0	0
setup	0	2023-05-03 23:00:00	ANGA	19	2304.19	1	0.0365824	0	5.73244e-06	5.86956e-06	0	0	7.57272e-05	0	0	0.00354374	0.000707738	0	-0.000347392	0.000385029	0.000149204	0.000656477	0	0.00119071	0.000475283	0.00148981	0.0072165	0.484101	0.242037	0	0.106933	0.106933	0.235412	0	0	0.235412	0.348971	2.56559	10.6	8.02951e-06	0.0128	0.0053561	0.0103701	0	0	0.00611206	0.00108814	0	0.000305093	0	0	0.000235913	7.38195e-06	0	1.6726e-06	0	0	0.494899	0.177956	23.868	0	0	0	0	0	0	0	0
setup	0	2023-05-04 23:00:00	ANGA	19	2317.04	1	0.0413978	0	5.71231e-06	5.69775e-06	0	0	7.85164e-05	0	0	0.00348839	0.000757921	0	-0.000343217	0.000387062	0.000172632	0.000666105	0	0.0012258	0.000492621	0.00149407	0.00728806	0.483393	0.240827	0	0.114447	0.114447	0.236266	0	0	0.236266	0.355274	2.55277	10.6	8.76947e-06	0.0128	0.00569866	0.0103896	0	0	0.00618951	0.00120975	0	0.000306036	0	0	0.00025264	8.20696e-06	0	1.68202e-06	0	0	0.502201	0.179608	23.859	0	0	0	0	0	0	0	0
setup	0	2023-05-05 23:00:00	ANGA	19	2330.03	1	0.0467368	0	5.76435e-06	5.37988e-06	0	0	7.95615e-05	0	0	0.00343412	0.000803636	0	-0.000338164	0.000388877	0.000197465	0.000675973	0	0.00126232	0.000501364	0.0014968	0.0073544	0.482733	0.239486	0	0.121833	0.121833	0.237238	0	0	0.237238	0.361319	2.53855	10.6	9.56911e-06	0.0128	0.00603281	0.010404	0	0	0.00626864	0.0013413	0	0.000307146	0	0	0.000267879	9.0994e-06	0	1.6913e-06	0	0	0.44535	0.181232	23.8478	0	0	0	0	0	0	0	0
setup	0	2023-05-06 23:00:00	ANGA	19	2343.15	1	0.0526402	0	5.86899e-06	6.32889e-06	0	0	8.87624e-05	0	0	0.00338413	0.000845537	0	-0.000332107	0.000390383	0.000223219	0.000684499	0	0.0012981	0.000550336	0.00149918	0.00741351	0.482122	0.238003	0	0.129103	0.129103	0.238321	0	0	0.238321	0.367106	2.52283	10.6	1.04304e-05	0.0128	0.00634778	0.0104129	0	0	0.00634758	0.0014831	0	0.00030841	0	0	0.000281846	1.00614e-05	0	1.7006e-06	0	0	0.945167	0.18279	23.8338	0	0	0	0	0	0	0	0
setup	0	2023-05-07 23:00:00	ANGA	19	2356.41	1	0.0591498	0	5.82057e-06	6.29113e-06	0	0	8.99345e-05	0	0	0.00331434	0.000877337	0	-0.000325325	0.000391616	0.000252217	0.000695378	0	0.00133921	0.000560345	0.00149117	0.00746851	0.481554	0.236368	0	0.136214	0.136214	0.239492	0	0	0.239492	0.372582	2.5055	10.6	1.13548e-05	0.0128	0.00670714	0.0104247	0	0	0.00643574	0.00163539	0	0.000309818	0	0	0.000292446	1.10945e-05	0	1.70984e-06	0	0	0.903668	0.184366	23.8164	0	0	0	0	0	0	0	0
setup	0	2023-05-08 23:00:00	ANGA	19	2369.8	1	0.066308	0	5.74947e-06	6.10852e-06	0	0	9.07451e-05	0	0	0.00327097	0.000903563	0	-0.000316982	0.000392471	0.000282146	0.000705749	0	0.00138037	0.000566494	0.00148899	0.0075168	0.481033	0.234569	0	0.143228	0.143228	0.24074	0	0	0.24074	0.377797	2.48643	10.6	1.23443e-05	0.0128	0.00704837	0.0104339	0	0	0.00652387	0.00179835	0	0.00031134	0	0	0.000301188	1.22e-05	0	1.72018e-06	0	0	0.853591	0.185916	23.7949	0	0	0	0	0	0	0	0
setup	0	2023-05-09 23:00:00	ANGA	19	2383.32	1	0.0741577	0	5.77879e-06	5.78948e-06	0	0	9.13478e-05	0	0	0.00322916	0.000926145	0	-0.000307278	0.000392911	0.00031296	0.000716062	0	0.00142193	0.000571008	0.0014855	0.00755828	0.480561	0.232597	0	0.150149	0.150149	0.242057	0	0	0.242057	0.382746	2.46553	10.6	1.33986e-05	0.0128	0.00737111	0.0104412	0	0	0.00661136	0.00197205	0	0.000312962	0	0	0.000308715	1.33784e-05	0	1.73067e-06	0	0	0.829445	0.187446	23.7686	0	0	0	0	0	0	0	0
setup	0	2023-05-10 23:00:00	ANGA	19	2396.97	1	0.0827414	0	5.76064e-06	5.59836e-06	0	0	9.15439e-05	0	0	0.00318747	0.000944024	0	-0.000296126	0.000393045	0.000344608	0.000726688	0	0.00146434	0.00057289	0.00148007	0.00759177	0.480138	0.230441	0	0.15698	0.15698	0.243434	0	0	0.243434	0.387421	2.44267	10.6	1.45176e-05	0.0128	0.00767674	0.0104471	0	0	0.00669791	0.00215648	0	0.000314674	0	0	0.000314675	1.46296e-05	0	1.74135e-06	0	0	0.769603	0.188958	23.7364	0	0	0	0	0	0	0	0
setup	0	2023-05-11 23:00:00	ANGA	19	2410.76	1	0.0921016	0	5.75992e-06	5.43395e-06	0	0	9.13999e-05	0	0	0.00314768	0.000956965	0	-0.000283489	0.000392733	0.000376974	0.000737333	0	0.00150704	0.000572851	0.00147311	0.00761878	0.479764	0.228089	0	0.163728	0.163728	0.244861	0	0	0.244861	0.391817	2.41775	10.6	1.57007e-05	0.0128	0.0079658	0.0104522	0	0	0.0067831	0.00235153	0	0.000316464	0	0	0.000318988	1.59528e-05	0	1.75224e-06	0	0	0.702826	0.190477	23.6973	0	0	0	0	0	0	0	0
setup	0	2023-05-12 23:00:00	ANGA	19	2424.67	1	0.102279	0	5.79319e-06	5.25747e-06	0	0	9.11577e-05	0	0	0.00310868	0.000964002	0	-0.000269149	0.000391936	0.000409975	0.000747977	0	0.00154989	0.000571869	0.00146389	0.00763647	0.479442	0.225532	0	0.170397	0.170397	0.246326	0	0	0.246326	0.395929	2.39064	10.6	1.69464e-05	0.0128	0.00823905	0.0104571	0	0	0.00686659	0.00255695	0	0.000318319	0	0	0.000321334	1.73463e-05	0	1.76338e-06	0	0	0.673121	0.191971	23.65	0	0	0	0	0	0	0	0
setup	0	2023-05-13 23:00:00	ANGA	19	2438.7	1	0.113315	0	5.94995e-06	4.78364e-06	0	0	9.11503e-05	0	0	0.0030704	0.000964166	0	-0.000252951	0.000390628	0.000443546	0.000758491	0	0.00159267	0.000571462	0.00145197	0.00764401	0.479171	0.22276	0	0.17699	0.17699	0.247817	0	0	0.247817	0.39975	2.36125	10.6	1.82525e-05	0.0128	0.00849817	0.0104626	0	0	0.00694821	0.00277238	0	0.000320224	0	0	0.000321389	1.88078e-05	0	1.77477e-06	0	0	0.74895	0.193434	23.5931	0	0	0	0	0	0	0	0
setup	0	2023-05-14 23:00:00	ANGA	19	2452.85	1	0.125245	0	5.80417e-06	4.9244e-06	0	0	9.05218e-05	0	0	0.0030335	0.000956453	0	-0.000234703	0.000389086	0.000477841	0.000769883	0	0.00163681	0.000566819	0.00143711	0.007642	0.478955	0.219763	0	0.183514	0.183514	0.249316	0	0	0.249316	0.403276	2.32948	10.6	1.96159e-05	0.0128	0.00874522	0.0104693	0	0	0.00702798	0.0029973	0	0.000322161	0	0	0.000318818	2.03337e-05	0	1.78644e-06	0	0	0.734403	0.194906	23.5251	0	0	0	0	0	0	0	0
setup	0	2023-05-15 23:00:00	ANGA	19	2467.13	1	0.138106	0	5.81494e-06	4.93062e-06	0	0	8.93319e-05	0	0	0.0030013	0.000940075	0	-0.000214318	0.000386889	0.000512644	0.000781269	0	0.0016808	0.000559596	0.00142006	0.00763017	0.478795	0.216531	0	0.189981	0.189981	0.250806	0	0	0.250806	0.406513	2.29523	10.6	2.10328e-05	0.0128	0.00898002	0.0104777	0	0	0.00710551	0.00323106	0	0.00032411	0	0	0.000313358	2.19195e-05	0	1.79839e-06	0	0	0.673971	0.196384	23.4441	0	0	0	0	0	0	0	0
setup	0	2023-05-16 23:00:00	ANGA	19	2481.53	1	0.15193	0	5.86008e-06	4.82285e-06	0	0	8.77645e-05	0	0	0.00297382	0.000914029	0	-0.000191106	0.000384137	0.000547851	0.000792661	0	0.00172465	0.000549487	0.0014004	0.00760761	0.478694	0.213059	0	0.196407	0.196407	0.25227	0	0	0.25227	0.409465	2.25842	10.6	2.24982e-05	0.0128	0.00920146	0.0104881	0	0	0.00718022	0.00347283	0	0.000326048	0	0	0.000304676	2.35597e-05	0	1.8106e-06	0	0	0.605968	0.197863	23.3483	0	0	0	0	0	0	0	0
setup	0	2023-05-17 23:00:00	ANGA	19	2496.04	1	0.166744	0	5.92273e-06	4.67444e-06	0	0	8.61878e-05	0	0	0.00295161	0.00087686	0	-0.00016479	0.000380787	0.000583358	0.000804033	0	0.00176818	0.000538231	0.00137772	0.00757238	0.478658	0.209337	0	0.202806	0.202806	0.253684	0	0	0.253684	0.412143	2.21897	10.6	2.40061e-05	0.0128	0.0094089	0.0105008	0	0	0.00725159	0.00372165	0	0.000327951	0	0	0.000292287	2.52477e-05	0	1.82298e-06	0	0	0.568768	0.199321	23.2355	0	0	0	0	0	0	0	0
setup	0	2023-05-18 23:00:00	ANGA	19	2510.67	1	0.182571	0	6.01537e-06	4.53087e-06	0	0	8.40733e-05	0	0	0.00293661	0.000827066	0	-0.00013475	0.000376926	0.000619191	0.000815661	0	0.00181178	0.000523182	0.00135199	0.00752669	0.478691	0.205361	0	0.209198	0.209198	0.255026	0	0	0.255026	0.414559	2.17682	10.6	2.55495e-05	0.0128	0.00960327	0.0105164	0	0	0.00731957	0.00397637	0	0.00032979	0	0	0.000275689	2.69757e-05	0	1.83543e-06	0	0	0.509547	0.200822	23.1034	0	0	0	0	0	0	0	0
setup	0	2023-05-19 23:00:00	ANGA	19	2525.42	1	0.199431	0	6.06994e-06	4.24119e-06	0	0	8.25276e-05	0	0	0.00293087	0.00076187	0	-0.000100294	0.000372339	0.000655178	0.000826981	0	0.0018545	0.000509745	0.00132281	0.00746673	0.4788	0.201125	0	0.215611	0.215611	0.256265	0	0	0.256265	0.416736	2.13192	10.6	2.71204e-05	0.0128	0.00978342	0.0105352	0	0	0.0073836	0.00423566	0	0.000331534	0	0	0.000253957	2.87347e-05	0	1.84787e-06	0	0	0.524237	0.202272	22.9494	0	0	0	0	0	0	0	0
setup	0	2023-05-20 23:00:00	ANGA	19	2540.27	1	0.217336	0	6.09279e-06	4.29576e-06	0	0	8.02362e-05	0	0	0.00293521	0.000677858	0	-6.02961e-05	0.000367339	0.000691595	0.000838787	0	0.00189772	0.000490804	0.00128901	0.00739305	0.478995	0.196627	0	0.222073	0.222073	0.257366	0	0	0.257366	0.418699	2.08425	10.6	2.87099e-05	0.0128	0.00995161	0.010558	0	0	0.00744407	0.00449805	0	0.000333145	0	0	0.000225953	3.05148e-05	0	1.86016e-06	0	0	0.487211	0.20372	22.7711	0	0	0	0	0	0	0	0
