source,id,datetime,dC_ch4_emis[kgCha-1],dC_co2_emis_auto[kgCha-1],dC_co2_emis_hetero[kgCha-1],dC_doc_leach[kgCha-1],dN_don_leach[kgNha-1],dN_no3_leach[kgNha-1],dN_nh4_leach[kgNha-1],dN_no_emis[kgNha-1],dN_n2o_emis[kgNha-1],dN_n2_emis[kgNha-1],dN_nh3_emis[kgNha-1],dN_n2_fix[kgNha-1],dC_co2_fix[kgCha-1],dS_so4_leach[kgSha-1],dC_litter_above[kgCha-1],dC_litter_below[kgCha-1],dN_litter_above[kgNha-1],dN_litter_below[kgNha-1],dN_deposition[kgNha-1],dN_plant_uptake[kgNha-1],dN_mineral[kgNha-1],dN_nitrify[kgNha-1],dN_denitrify[kgNha-1],dN_chemodenitrify[kgNha-1],C_plants[kgCha-1],C_soil[kgCha-1],C_soil_20cm[kgCha-1],C_soil_30cm[kgCha-1],C_aorg[kgCha-1],C_litter_raw[kgCha-1],C_litter[kgCha-1],C_mic[kgCha-1],C_sol[kgCha-1],C_wood_above[kgCha-1],C_wood_below[kgCha-1],N_plants[kgNha-1],N_soil[kgNha-1],N_soil_20cm[kgNha-1],N_soil_30cm[kgNha-1],N_aorg[kgNha-1],N_litter_raw[kgNha-1],N_litter[kgNha-1],N_mic[kgNha-1],N_sol[kgNha-1],N_wood_above[kgNha-1],N_wood_below[kgNha-1],anvf_mean[-]
setup,0,2019-01-01 23:00:00,5.47499e-08,4.36978,6.14428,0.000483841,0,4.08699e-06,6.72763e-08,0.000452654,-0.000136062,0.0053881,2.26975e-06,0,0,0,0,0.552825,0,0.00572972,0.0136287,1.69763,6.42655,1.44109,0.0467389,0.000361661,424.697,366566,43179.2,71924.7,889.706,61.2479,543.13,166.316,15.7779,0,0,8.31027,39252.9,4618.84,7697.09,101.773,1.53328,13.6574,19.4658,9.89423,0,0,0.579085
setup,0,2019-01-02 23:00:00,9.77329e-08,8.56859,10.5658,4.14661e-06,0,3.49145e-06,2.95344e-07,0.000644324,0.0019701,0.0319656,9.32912e-07,0,0,0,0,3.12033,0,0.00572578,0.0136259,0.144602,1.42857,0.931,0.11869,0.000604522,429.404,366555,43176.7,71921,892.008,60.9935,531.381,166.686,22.6317,0,0,10.3785,39252.5,4618.8,7697.01,102.459,1.5188,13.3474,18.5341,10.653,0,0,0.565645
setup,0,2019-01-03 23:00:00,3.7912e-10,4.94088,14.9634,0.00197806,0,1.41662e-06,0,0.000893237,0.00468497,0.0770912,1.18283e-06,0,0,0,0,0.558226,0,0.00715076,0.0136439,0.505063,1.79529,1.1493,0.188443,0.000938853,423.481,366535,43169.9,71911.5,894.049,60.7396,519.299,176.685,12.4809,0,0,10.3957,39251.8,4618.61,7696.69,102.471,1.5057,13.0291,19.0019,10.4028,0,0,0.560785
setup,0,2019-01-04 23:00:00,1.19698e-12,5.58214,15.8412,0.00485835,0,7.4753e-07,0,0.0010402,0.00777386,0.119167,8.2699e-07,0,0,0,0,0.550525,0,0.00716262,0.0139001,0.913993,2.01492,1.27444,0.193718,0.00113154,418.29,366515,43163.7,71902.3,898.646,60.458,507.234,179.949,7.32822,0,0,10.3822,39250.7,4618.27,7696.13,102.433,1.49219,12.7117,19.275,10.0706,0,0,0.556729
setup,0,2019-01-05 23:00:00,6.26412e-13,6.1305,16.6781,3.45684e-07,0,6.71365e-07,0,0.00108741,0.00925792,0.141416,5.66328e-07,0,0,0,0,0.543777,0,0.00715331,0.0144138,1.01422,2.03108,1.24139,0.171728,0.00113687,413.639,366496,43157,71893.2,903.919,60.176,495.432,180.158,4.95852,0,0,10.3687,39249.5,4617.81,7695.52,102.517,1.47892,12.4019,19.2619,9.86643,0,0,0.554833
setup,0,2019-01-06 23:00:00,3.42195e-12,6.14141,17.0154,5.01397e-07,0,2.13952e-06,0,0.00117917,0.0114637,0.143843,5.10814e-07,0,0,0,0,0.53773,0,0.00714401,0.0136276,0.967163,1.98202,1.17504,0.144847,0.00104569,409.4,366477,43151.2,71884.4,908.721,59.9104,483.955,179.608,4.28371,0,0,10.3552,39248.4,4617.44,7694.95,102.679,1.46627,12.1013,19.1612,9.75426,0,0,0.554074
setup,0,2019-01-07 23:00:00,9.97304e-12,5.9627,17.2921,6.44878e-07,0,5.73371e-06,0,0.00116385,0.0110791,0.132698,6.38103e-07,0,0,0,0,0.53222,0,0.00713472,0.0136256,0.760533,1.91084,1.13424,0.130698,0.000960949,405.219,366459,43145.6,71875.9,912.793,59.6418,472.734,179.376,4.27528,0,0,10.3417,39247.6,4617.17,7694.51,102.939,1.45376,11.8081,19.0929,9.74934,0,0,0.547852
setup,0,2019-01-08 23:00:00,2.25959e-11,5.59117,17.3872,7.71949e-07,0,5.31816e-06,0,0.00108968,0.00998806,0.124364,6.43227e-07,0,0,0,0,0.526785,0,0.00712544,0.0136304,0.679961,1.86645,1.11332,0.134194,0.000912769,401.257,366440,43140.4,71867.7,916.081,59.4043,461.86,179.635,4.48315,0,0,10.3283,39246.8,4616.93,7694.11,103.193,1.44222,11.5244,19.0856,9.74912,0,0,0.539321
setup,0,2019-01-09 23:00:00,2.91476e-11,5.61771,17.6788,8.85156e-07,0,4.92518e-06,0,0.00106699,0.00972281,0.116698,7.92761e-07,0,0,0,0,0.521634,0,0.00711618,0.0136259,0.706839,1.86521,1.12646,0.133168,0.000900496,397.722,366422,43135.4,71859.9,918.688,59.1825,451.325,180.43,4.72104,0,0,10.3148,39245.9,4616.68,7693.69,103.373,1.43125,11.2502,19.1352,9.73114,0,0,0.530094
setup,0,2019-01-10 23:00:00,5.78486e-11,5.63117,17.8292,9.83255e-07,0,1.05298e-05,0,0.00103968,0.00960169,0.112299,7.95269e-07,0,0,0,0,0.517039,0,0.00710693,0.013629,0.743235,1.85635,1.13195,0.134496,0.000889235,394.531,366404,43130.7,71852.5,920.697,59.0025,441.166,181.546,4.91442,0,0,10.3014,39245.1,4616.41,7693.26,103.473,1.42149,10.9862,19.2157,9.70904,0,0,0.524702
