source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2019-01-01 23:00:00	3.17778e-06	11.0672	5.04978	0.00163631	0	2.3546e-07	1.22194e-09	0.000383604	-0.00179043	0.00706139	3.87929e-05	0	0	0	0	1.38206	0	0.0143243	0.0136287	2.27026	4.93517	1.83175	0.0583937	0.000378906	1061.74	236451	41184.6	61758	554.021	39.134	334.876	109.857	12.82	0	0	20.7757	16224.8	4498.41	6747.35	61.7968	0.634578	5.43993	12.5607	6.41529	0	0	0.440304
setup	0	2019-01-02 23:00:00	3.19087e-05	21.3595	10.6596	0.0181606	3.90551e-06	0.00250823	0.000919265	0.000522065	0.00459943	0.0402357	2.61796e-05	0	0	0	0	8.24916	0	0.0143144	0.0136259	1.30625	1.38625	1.14101	0.13575	0.000454562	1077.09	236447	41186.1	61759.6	554.505	39.9683	322.705	114.351	25.5632	0	0	23.972	16223.3	4498.03	6746.81	61.521	0.640023	5.17166	12.0592	6.5391	0	0	0.40855
setup	0	2019-01-03 23:00:00	1.84092e-05	12.8049	15.2835	0.119479	0.000201159	0.0129508	0.00294411	0.000517548	0.012671	0.0861109	2.40818e-05	0	0	0	0	1.40022	0	0.0165167	0.0136439	1.16706	1.43408	0.979402	0.163395	0.000446909	1063.68	236432	41182.6	61754.3	553.919	40.8129	309.828	123.485	26.1975	0	0	25.2839	16222.1	4497.66	6746.3	61.127	0.647617	4.89897	12.2862	6.38131	0	0	0.390627
setup	0	2019-01-04 23:00:00	6.77918e-06	12.3881	21.9263	0.0494732	0	0.0200117	0.00311292	0.000635409	0.0165285	0.103921	2.23797e-05	0	0	0	0	1.38278	0	0.0174206	0.0139001	1.023	1.83833	1.3442	0.145834	0.000534785	1050.09	236411	41173.5	61743.5	555.043	41.6308	296.682	139.951	14.1413	0	0	25.6144	16220.9	4497.17	6745.75	60.339	0.656046	4.63052	13.3448	5.93247	0	0	0.374068
setup	0	2019-01-05 23:00:00	1.12137e-06	12.448	22.7303	0.274567	0.0280365	0.0316757	0.000754261	0.00070327	0.0204077	0.125839	1.83083e-05	0	0	0	0.625714	1.36512	0.00943299	0.0176483	0.0144138	1.04211	1.97307	1.48529	0.169361	0.000566194	1039.32	236390	41166.2	61734.1	563.721	43.0476	283.648	144.596	7.17026	0	0	25.6233	16219.7	4496.62	6745.09	60.2269	0.674053	4.37248	13.8039	5.40284	0	0	0.362047
setup	0	2019-01-06 23:00:00	7.299e-07	12.9179	20.4983	1.03874	0.11734	0.0381265	0.00307027	0.000717429	0.0319937	0.128271	2.05717e-05	0	0	0	0.725523	1.35111	0.0109377	0.0176545	0.0136276	1.02902	1.81736	1.3876	0.166852	0.000525136	1031.71	236370	41161.3	61727.5	571.819	44.5477	270.728	144.654	8.96261	0	0	25.59	16218.5	4496.13	6744.48	60.4267	0.693593	4.12374	13.697	5.1284	0	0	0.34248
setup	0	2019-01-07 23:00:00	2.39625e-08	12.2593	13.933	0.0963499	2.9049e-05	0.0147865	0.0206842	0.000529144	0.0312135	0.0995228	2.76892e-05	0	0	0	0.839095	1.34123	0.0126498	0.0176315	0.0136256	1.06273	1.3652	0.963442	0.111358	0.000412494	1024.71	236358	41160.8	61726.4	571.775	46.1309	258.054	148.023	24.5149	0	0	25.5567	16217.4	4495.84	6744.05	60.448	0.714543	3.88636	13.734	5.10936	0	0	0.317605
setup	0	2019-01-08 23:00:00	7.8262e-12	11.0534	11.8909	0.0284821	0	1.10618e-06	0.0176938	0.000361152	0.0190814	0.0333827	4.2044e-05	0	0	0	0.96795	1.33212	0.0145924	0.0176086	0.0136304	0.902738	1.04402	0.535831	0.0410929	0.000305614	1012.25	236348	41159.8	61724.4	565.674	47.8423	245.745	151.502	49.2332	0	0	25.5235	16216.5	4495.62	6743.71	60.2752	0.737601	3.66302	13.8264	5.45525	0	0	0.296705
setup	0	2019-01-09 23:00:00	3.92598e-12	10.6204	13.721	8.07474e-06	0	1.00429e-06	8.87089e-07	0.000315018	0.00968233	0.00222711	3.85963e-05	0	0	0	1.11371	1.31592	0.0167899	0.0175857	0.0136259	0.689115	0.89335	0.349988	0.000967514	0.000276231	999.618	236336	41158.2	61721.6	557.908	49.6583	233.803	154.409	75.6005	0	0	25.4903	16215.9	4495.44	6743.45	60.1864	0.762482	3.45139	13.913	6.03016	0	0	0.279547
setup	0	2019-01-10 23:00:00	2.08545e-12	10.3651	15.9658	1.66039e-05	0	1.3344e-06	7.14059e-07	0.000304316	0.00464597	0.000903873	4.2429e-05	0	0	0	1.27812	1.2995	0.0192683	0.0175628	0.013629	0.173166	0.85998	0.380752	4.09576e-05	0.000270415	986.968	236321	41156.3	61718.3	550.138	51.6234	222.282	157.886	100.13	0	0	25.4986	16215.7	4495.41	6743.4	60.1936	0.78988	3.25207	14.0331	6.99024	0	0	0.259454
