source,id,datetime,irri[mm],prec[mm],throughfall[mm],evapot[mm],potential_transpiration[mm],transp[mm],evacep[mm],evasoil[mm],evasurfacewater[mm],runoff[mm],percol[mm],infiltration[mm],groundwateraccess[mm],groundwaterloss[mm],capillaryrise[mm],snow_height[mm],snow[mmh2oeq],surfacewater[mm],soil_water[mm],root_soil_water[mm],leafwater[mm],soilwater_floor[%],soilwater_5cm[%],soilwater_10cm[%],soilwater_15cm[%],soilwater_20cm[%],soilwater_30cm[%],soilwater_40cm[%],soilwater_50cm[%],soilwater_60cm[%],soilwater_80cm[%],soilwater_100cm[%],soilwater_120cm[%],capillary_pressure_5cm[hPa],capillary_pressure_10cm[hPa],capillary_pressure_15cm[hPa],capillary_pressure_20cm[hPa],capillary_pressure_30cm[hPa],capillary_pressure_50cm[hPa],capillary_pressure_100cm[hPa],groundwaterdepth[m],irrigationreservoir[m],plant_waterdeficit[m]
setup,0,2023-04-25 23:00:00,0,0,0,0.620875,0,0,0,0.162658,0,0,0,0,0,0,0,0,0,0,1005.51,0,0,24.4579,24.5816,24.5941,25.1122,25.1082,24.9783,29.6743,29.5376,29.5033,29.4731,36.55,36.5487,0.128707,0.128625,0.135025,0.135059,0.136153,0.107121,0.0738483,99,0,0
setup,0,2023-04-26 23:00:00,0,0,0,0.595234,0,0,0,0.155391,0,0,0,0,0,0,0,0,0,0,1005.35,0,0,24.3652,24.5114,24.5359,25.0527,25.0368,24.9088,29.686,29.5777,29.539,29.478,36.549,36.5378,0.129168,0.129007,0.135524,0.135659,0.136743,0.106886,0.0738528,99,0,0
setup,0,2023-04-27 23:00:00,0,9.05896,9.05896,0.569842,0,0,0,0.158301,0.0474868,0,0,9.01148,0,0,0,0,0,0,1014.2,0,0,29.8074,29.1182,28.5498,26.3529,25.7294,24.9666,29.6998,29.6048,29.5681,29.4931,36.5508,36.5249,0.10282,0.105716,0.125179,0.129998,0.136252,0.106728,0.0738447,99,0,0
setup,0,2023-04-28 23:00:00,0,0,0,0.544707,0,0,0,0.163153,0,0,0,0,0,0,0,0,0,0,1014.04,0,0,28.9613,28.6371,28.3484,26.4844,26.0301,25.1788,29.7604,29.6302,29.5889,29.504,36.5415,36.5031,0.105265,0.106761,0.124193,0.127643,0.13447,0.10658,0.0738873,99,0,0
setup,0,2023-04-29 23:00:00,0,0,0,0.519837,0,0,0,0.15426,0,0,0,0,0,0,0,0,0,0,1013.89,0,0,28.4993,28.3092,28.1287,26.4248,26.0872,25.3227,29.8503,29.6748,29.6205,29.5165,36.5283,36.4816,0.106966,0.107915,0.124638,0.127202,0.13328,0.106321,0.0739481,99,0,0
setup,0,2023-04-30 23:00:00,0,0,0,0.49524,0,0,0,0.145855,0,0,0,0,0,0,0,0,0,0,1013.74,0,0,28.1882,28.0615,27.9356,26.3245,26.0622,25.398,29.9329,29.7294,29.6621,29.5319,36.5126,36.4611,0.108271,0.10894,0.125393,0.127395,0.132664,0.106004,0.074021,99,0,0
setup,0,2023-05-01 23:00:00,0,0,0,0.470924,0,0,0,0.137805,0,0,0,0,0,0,0,0,0,0,1013.6,0,0,27.9539,27.8627,27.7688,26.2178,26.0065,25.431,29.9983,29.7835,29.7072,29.551,36.4953,36.4418,0.109329,0.109833,0.126202,0.127826,0.132395,0.105691,0.0741006,99,0,0
setup,0,2023-05-02 23:00:00,0,0,0,0.446897,0,0,0,0.130044,0,0,0,0,0,0,0,0,0,0,1013.47,0,0,27.7658,27.6967,27.6234,26.1147,25.94,25.4396,30.047,29.832,29.7509,29.5737,36.4775,36.4236,0.110222,0.110619,0.126991,0.128342,0.132325,0.105412,0.0741831,99,0,0
setup,0,2023-05-03 23:00:00,0,0,0,0.423166,0,0,0,0.12253,0,0,0,0,0,0,0,0,0,0,1013.35,0,0,27.6085,27.5544,27.4955,26.0185,25.8714,25.4341,30.082,29.8734,29.7908,29.5993,36.4595,36.4064,0.110994,0.111315,0.127733,0.128879,0.13237,0.105174,0.0742659,99,0,0
setup,0,2023-05-04 23:00:00,0,0,0,0.39974,0,0,0,0.115235,0,0,0,0,0,0,0,0,0,0,1013.23,0,0,27.4737,27.4303,27.382,25.9298,25.8043,25.4206,30.1063,29.9078,29.8261,29.6268,36.4419,36.3902,0.111672,0.111937,0.128422,0.129406,0.13248,0.104976,0.0743475,99,0,0
