source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	potential_transpiration[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	2023-04-20 23:00:00	0	106.655	106.655	3.1109	0	0	0	0.631828	1.20735	0	0	105.448	0	0	0	0	0	0	1110.48	0	0	32.4586	31.1575	31.1122	29.4656	29.3742	29.9722	35.9876	35.9999	36	35.8864	49.4035	45.2094	0.0930301	0.0932385	0.104183	0.10474	0.101147	0.0744006	0.0138681	99	0	0
setup	0	2023-04-21 23:00:00	0	5.8	5.8	3.09396	0	0	0	0.824027	0.61566	0	0	5.18434	0	0	0	0	0	0	1114.85	0	0	30.7148	31.3419	31.3082	34.2024	30.275	29.8435	35.9462	35.9958	35.9931	35.8769	43.5849	47.338	0.0921851	0.0923394	0.0784719	0.0993732	0.10191	0.0744191	0.0412131	99	0	0
setup	0	2023-04-22 23:00:00	0	0.204255	0.204255	2.95645	0	0	0	0.923059	0.123185	0	0	0.08107	0	0	0	0	0	0	1114	0	0	30.2582	30.2866	30.3001	29.019	29.0356	29.7067	35.918	35.9831	35.9764	35.8947	43.3124	44.4348	0.0971059	0.0970415	0.106935	0.106831	0.102727	0.0744767	0.0426138	99	0	0
setup	0	2023-04-23 23:00:00	0	0	0	2.86286	0	0	0	0.920179	0	0	0	0	0	0	0	0	0	0	1113.08	0	0	29.6851	29.8713	29.9599	28.8395	28.8962	29.6549	35.918	35.9674	35.96	35.905	43.2909	43.2088	0.0991023	0.0986735	0.108062	0.107705	0.103038	0.0745479	0.0427231	99	0	0
setup	0	2023-04-24 23:00:00	0	11.5082	11.5082	2.9782	0	0	0	0.743428	0.720458	0	0	10.7878	0	0	0	0	0	0	1123.13	0	0	34.7238	31.1988	31.1606	29.6027	29.9293	29.9753	35.7609	35.6086	36.0598	35.916	43.72	43.2137	0.0928405	0.0930159	0.103353	0.101401	0.101129	0.076181	0.0405068	99	0	0
setup	0	2023-04-25 23:00:00	0	24.7	24.1978	3.14786	0	0	0.502161	0.887132	0	0	0	24.1978	0	0	0	0	0	0	1146.44	377.195	0	35.0111	31.4224	31.4016	29.5355	29.2637	29.994	35.9855	35.9999	36	36	48.5585	48.5305	0.0918185	0.0919128	0.103759	0.105418	0.101019	0.0744006	0.0138681	99	0	0
setup	0	2023-04-26 23:00:00	0	8	7.5309	3.27242	6.79507	0	0.469104	0.92774	0	0	0	7.5309	0	0	0	0	0	0	1153.04	371.486	0	30.2603	31.0442	31.0523	29.5459	29.8835	29.9337	35.5797	35.5549	35.6249	36.0016	47.5474	48.4875	0.0935522	0.0935149	0.103696	0.101672	0.101375	0.0764265	0.00714363	99	0	0
setup	0	2023-04-27 23:00:00	0	3.4	2.22892	3.47443	7.43594	2.30335	1.17108	0	0	0	5.50509e-11	2.22892	0	0	0	0	0	0	1152.97	365.512	0	34.7366	30.2435	30.2238	29.0759	29.4599	29.5467	35.5329	35.5139	35.4733	35.8739	43.176	47.2697	0.0973111	0.0974056	0.10658	0.104217	0.103691	0.0766139	0.0433048	99	0	0
setup	0	2023-04-28 23:00:00	0	233.028	229.651	3.14027	6.93148	0	3.14027	0	0	0	0.000866281	229.651	0	0	0	0	0	0	1382.62	460.286	0.236734	40.4835	31.4657	31.5564	30.6944	30.0156	30	48.5686	43.7269	44.0778	53.2158	53.263	52.2536	0.0916214	0.0912098	0.0969631	0.100891	0.100983	0.0390077	0.0138681	99	0	0
setup	0	2023-04-29 23:00:00	0	32.5	31.0383	3.1875	7.25124	1.48908	1.69843	0	0	0	47.4192	31.0383	0	0	0	0	0	0	1364.75	412.348	0	30.9792	31.4525	31.545	28.7106	29.9924	29.9958	42.8365	38.3876	42.5629	44.0821	49.9744	51.4063	0.0916812	0.0912616	0.108879	0.101028	0.101008	0.0637719	0.0138681	2.5299	0	0
setup	0	2023-04-30 23:00:00	0	62.9468	60.4297	3.26557	7.29228	0.978026	2.28754	0	0	0	50.6832	60.4297	0	0	0	0	0	0	1373.51	409.864	0.229566	31.7834	31.4489	31.5411	29.2912	29.9904	29.9944	35.987	35.9987	35.999	44.1628	53.263	50.7376	0.0916979	0.0912793	0.105248	0.10104	0.101016	0.0744057	0.0138681	2.31274	0	0
setup	0	2023-05-01 23:00:00	0	87.4942	84.7375	3.23596	6.91461	0.47935	2.75661	0	0	0	99.2768	84.7375	0	0	0	0	0	0	1358.5	400.308	0.22964	37.5931	36.1583	31.9167	31.7881	30.1239	30	46.708	36.2634	36.0254	41.708	48.7016	50.4722	0.0717501	0.0895889	0.0909086	0.100254	0.100983	0.0732095	0.0138681	2.4213	0	0
setup	0	2023-05-02 23:00:00	0	40.0312	38.3464	3.47937	7.982	1.78318	1.69619	0	0	0	39.5834	38.3464	0	0	0	0	0	0	1355.48	386.434	0.218199	39.9707	31.4724	31.5567	29.3496	29.9983	29.9991	35.9835	35.9999	36	38.3718	48.222	50.0881	0.0915907	0.0912086	0.104891	0.100993	0.100988	0.0744005	0.0138681	2.31272	0	0
setup	0	2023-05-03 23:00:00	0	12.9	11.8464	3.56	8.33154	2.30495	1.25505	0	0	0	28.8895	11.8464	0	0	0	0	0	0	1336.13	368.82	0.0167198	37.0189	30.7371	30.6147	29.1627	29.5802	29.6959	35.8865	35.9336	35.9477	35.9473	43.0886	49.6513	0.0949794	0.0955531	0.106041	0.103489	0.102792	0.0747009	0.0437437	2.52986	0	0
setup	0	2023-05-04 23:00:00	0	62.2	60.6902	3.39016	7.6776	1.86368	1.52649	0	0	0	55.9365	60.6902	0	0	0	0	0	0	1339.02	382.224	0	30.0278	29.5459	29.3958	29.0058	28.6533	29.7868	35.8085	35.9339	35.9526	38.4896	50.7348	49.1535	0.100693	0.101434	0.107017	0.109245	0.102248	0.0746995	0.0138681	2.52985	0	0
