source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top[oC]	temp_canopy_middle[oC]	temp_canopy_bottom[oC]	temp_surfacewater[oC]	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd[mbar]
setup	0	2018-08-01 23:00:00	11.9285	396.459	213.47	21.3497	362.618	0	10.3996	0	0	0	0	19.7	14.49	26.81	18.7525	16.8572	16.8572	-99.99	15.9096	12.1225	9.21394	8.31867	8.08865	8.00025	-99.99	-99.99	0.0280104
setup	0	2018-08-02 23:00:00	11.9296	397.252	276.06	27.6094	344.533	0	9.63772	0	0	0	0	20.59	14.29	29.15	19.9518	18.6752	18.6752	-99.99	18.0369	15.4842	11.8699	9.81553	8.91193	8.0059	-99.99	-99.99	0.0399214
setup	0	2018-08-03 23:00:00	11.9307	398.054	182	18.2022	376.177	0	9.48785	0	0	0	0	20.4	14.33	28.48	19.9388	19.0163	19.0163	-99.99	18.555	16.7102	13.5861	11.4102	10.2342	8.026	-99.99	-99.99	0.0412939
setup	0	2018-08-04 23:00:00	11.9318	398.863	223.53	22.3557	354.284	0	10.0839	0	0	0	0	19.52	13.95	27.56	19.2077	18.583	18.583	-99.99	18.2706	17.021	14.5805	12.666	11.4844	8.06253	-99.99	-99.99	0.0437115
setup	0	2018-08-05 23:00:00	11.9329	399.68	137.91	13.7926	382.454	0	9.7717	0	0	0	0	18.87	12.93	26.86	18.6367	18.1698	18.1698	-99.99	17.9364	17.0025	15.114	13.5332	12.4456	8.11264	-99.99	-99.99	0.0397859
setup	0	2018-08-06 23:00:00	11.9341	400.502	250.84	25.0869	341.211	0	9.46084	0	0	0	0	19.03	13.42	27.24	18.7974	18.3319	18.3319	-99.99	18.0992	17.1684	15.5035	14.1304	13.1225	8.17232	-99.99	-99.99	0.0431594
setup	0	2018-08-07 23:00:00	11.9353	401.33	286.13	28.6163	318.933	0	7.782	0	0	0	0	19.06	11.66	28.09	18.8461	18.4182	18.4182	-99.99	18.2042	17.3482	15.832	14.5808	13.6155	8.23853	-99.99	-99.99	0.0578505
setup	0	2018-08-08 23:00:00	11.9364	402.163	271.09	27.112	333.007	0	9.23131	0	0	0	0	19.57	12.96	27.66	19.3425	18.8874	18.8874	-99.99	18.6599	17.75	16.224	14.9799	14.0098	8.30939	-99.99	-99.99	0.052537
setup	0	2018-08-09 23:00:00	11.9377	403	238.11	23.8136	351.999	0	9.93953	0	0	0	0	19.7	14.18	27.14	19.496	19.0877	19.0877	-99.99	18.8836	18.0673	16.5977	15.3587	14.3702	8.3841	-99.99	-99.99	0.0427278
setup	0	2018-08-10 23:00:00	11.9389	403.84	156.54	15.6557	379.276	0	9.80004	0	0	0	0	19.51	13.65	27.73	19.3389	18.9964	18.9964	-99.99	18.8252	18.1401	16.824	15.6612	14.686	8.46219	-99.99	-99.99	0.0451736
setup	0	2018-08-11 23:00:00	11.9401	404.682	219.02	21.9043	348.326	0	9.25668	0	0	0	0	18.48	12.27	26.88	18.3986	18.2356	18.2356	-99.99	18.1541	17.8276	16.8621	15.8508	14.9222	8.5428	-99.99	-99.99	0.04681
setup	0	2018-08-12 23:00:00	11.9414	405.526	190.1	19.012	363.55	0	9.44927	0	0	0	0	18.9	12.9	26.92	18.7636	18.4906	18.4906	-99.99	18.3541	17.8084	16.8369	15.9163	15.0458	8.62463	-99.99	-99.99	0.0431297
setup	0	2018-08-13 23:00:00	11.9426	406.371	127.73	12.7743	383.894	0	8.42879	0	0	0	0	18.56	12.09	26.79	18.4583	18.2549	18.2549	-99.99	18.1531	17.746	16.8547	15.9695	15.1184	8.70658	-99.99	-99.99	0.0459063
setup	0	2018-08-14 23:00:00	11.9439	407.216	281.5	28.1528	325.345	0	7.64812	0	0	0	0	18.86	12.4	27.33	18.7283	18.4648	18.4648	-99.99	18.333	17.806	16.8721	16.0004	15.1653	8.78823	-99.99	-99.99	0.0504205
setup	0	2018-08-15 23:00:00	11.9452	408.06	156.89	15.6905	374.57	0	9.40873	0	0	0	0	18.78	12.78	27.01	18.665	18.4349	18.4349	-99.99	18.3198	17.8596	16.939	16.0548	15.2149	8.86942	-99.99	-99.99	0.0451697
setup	0	2018-08-16 23:00:00	11.9465	408.903	133.98	13.3993	383.62	0	9.48303	0	0	0	0	18.96	12.43	27.56	18.8296	18.5685	18.5685	-99.99	18.438	17.916	16.9738	16.0986	15.2663	8.95025	-99.99	-99.99	0.0491676
setup	0	2018-08-17 23:00:00	11.9478	409.744	92.79	9.27987	398.76	0	9.55848	0	0	0	0	18.79	13.86	25.27	18.6877	18.4829	18.4829	-99.99	18.3806	17.9713	17.0706	16.1743	15.3291	9.03074	-99.99	-99.99	0.0363845
setup	0	2018-08-18 23:00:00	11.9492	410.582	119.87	11.9881	386.365	0	9.26241	0	0	0	0	18.2	13.82	24.31	18.1399	18.0197	18.0197	-99.99	17.9595	17.7189	17.0018	16.1958	15.3827	9.11102	-99.99	-99.99	0.0321882
setup	0	2018-08-19 23:00:00	11.9505	411.416	195.42	19.5437	361.606	0	9.46012	0	0	0	0	18.68	13.77	25.49	18.5599	18.3196	18.3196	-99.99	18.1994	17.7189	16.9169	16.1523	15.3803	9.19059	-99.99	-99.99	0.0390621
setup	0	2018-08-20 23:00:00	11.9518	412.246	167.3	16.7314	370.626	0	9.12021	0	0	0	0	18.65	12.83	26.19	18.54	18.32	18.32	-99.99	18.21	17.7698	16.9376	16.148	15.3734	9.26903	-99.99	-99.99	0.0426833
setup	0	2018-08-21 23:00:00	11.9532	413.071	196.11	19.6127	364.079	0	9.60373	0	0	0	0	19.19	13.02	26.92	19.0399	18.7396	18.7396	-99.99	18.5895	17.9891	17.0242	16.181	15.3915	9.34653	-99.99	-99.99	0.0426682
setup	0	2018-08-22 23:00:00	11.9546	413.89	243.2	24.322	349.846	0	7.73878	0	0	0	0	19.8	13	27.97	19.619	19.2568	19.2568	-99.99	19.0757	18.3516	17.2199	16.285	15.4577	9.42357	-99.99	-99.99	0.0477393
setup	0	2018-08-23 23:00:00	11.956	414.702	105.98	10.5988	399.802	0	9.78862	0	0	0	0	19.79	14.29	26.55	19.642	19.3458	19.3458	-99.99	19.1978	18.6057	17.4769	16.4685	15.5915	9.50091	-99.99	-99.99	0.0425691
setup	0	2018-08-24 23:00:00	11.9574	415.507	195.88	19.5895	369.724	0	10.2366	0	0	0	0	20.13	14.45	27.53	19.9614	19.6241	19.6241	-99.99	19.4554	18.7808	17.6294	16.6285	15.7471	9.5792	-99.99	-99.99	0.0467321
