source	id	datetime	layer	level[m]	extension[m]	water[l/m-2]	wfps[%]	ice	flux	droughtstress[-]	transpiration[mm]
setup	0	2018-08-01 23:00:00	2	0.04	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-08-01 23:00:00	1	0.02	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-08-01 23:00:00	0	0	0	0	-99.99	0	0.173049	-99.99	-99.99
setup	0	2018-08-01 23:00:00	-1	-0.2	0.2	76.6794	0.84767	0	0	0.749454	0
setup	0	2018-08-01 23:00:00	-2	-0.4	0.2	76.4023	0.853934	0	0	0.746867	0
setup	0	2018-08-01 23:00:00	-3	-0.6	0.2	76.2427	0.854873	0	0.048437	0.746535	0
setup	0	2018-08-01 23:00:00	-4	-0.8	0.2	73.6707	0.853067	0	0.00719803	0.753104	0
setup	0	2018-08-01 23:00:00	-5	-1	0.2	72.3796	0.852183	0	0.000719803	0.750582	0
setup	0	2018-08-02 23:00:00	2	0.04	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-08-02 23:00:00	1	0.02	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-08-02 23:00:00	0	0	0	0	-99.99	0	0	-99.99	-99.99
setup	0	2018-08-02 23:00:00	-1	-0.2	0.2	76.4945	0.845626	0	0	0.738629	0
setup	0	2018-08-02 23:00:00	-2	-0.4	0.2	76.3542	0.853396	0	0	0.74345	0
setup	0	2018-08-02 23:00:00	-3	-0.6	0.2	76.2213	0.854633	0	0.0213571	0.744963	0
setup	0	2018-08-02 23:00:00	-4	-0.8	0.2	73.6798	0.853173	0	0.0122446	0.753768	0
setup	0	2018-08-02 23:00:00	-5	-1	0.2	72.3906	0.852312	0	0.00122446	0.751401	0
setup	0	2018-08-03 23:00:00	2	0.04	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-08-03 23:00:00	1	0.02	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2018-08-03 23:00:00	0	0	0	0	-99.99	0	0	-99.99	-99.99
setup	0	2018-08-03 23:00:00	-1	-0.2	0.2	76.3141	0.843632	0	0	0.728068	0
setup	0	2018-08-03 23:00:00	-2	-0.4	0.2	76.3066	0.852865	0	0	0.74008	0
setup	0	2018-08-03 23:00:00	-3	-0.6	0.2	76.21	0.854506	0	0.0113036	0.744131	0
setup	0	2018-08-03 23:00:00	-4	-0.8	0.2	73.6817	0.853194	0	0.00944013	0.753904	0
setup	0	2018-08-03 23:00:00	-5	-1	0.2	72.3991	0.852412	0	0.000944013	0.752033	0
setup	0	2018-08-04 23:00:00	2	0.04	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
