source	id	datetime	species	day_emergence	gdd[oC]	dvs_flush[-]	dvs_mort[-]	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	N2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_dfol[kgDWm-2]	DW_fru[kgDWm-2]	DW_stemfru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_lst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	dN_lit_fol[kgNm-2]	dN_lit_fru[kgNm-2]	dN_lit_frt[kgNm-2]	dN_lit_ldst_below[kgNm-2]	dN_lit_ldst_above[kgNm-2]	drought_rel[-]	conduct_rel[-]	vc_act_25[umol:m-2:s-1]	iso_act[nmol:m-2:s-1]	mono_act[nmol:m-2:s-1]	d_iso_emis[umol:m-2]	d_mono_emis[umol:m-2]	d_mono_storage_emis[umol:m-2]	d_ovoc_emis[umol:m-2]	dN_nh4_throughf[kgN:L-1]	dN_no3_throughf[kgN:L-1]
setup	0	2018-01-01 23:00:00	ANGA	19	1734.14	1	0	0	0.000114629	4.81093e-05	0	0	4.17212e-05	0	0	0	0	0	0	0.000227054	0	0.000200951	0	0.000428006	0.000208606	0	0	0.5	0.1	0	0	0	0.0943772	0	0	0.0943772	0.1	1.06	10.6	5.08108e-07	0.0128	0	0.00880538	0	0	0.00211103	0	0	0.00012285	0	0	0	0	0	5.72972e-07	0	0	0.742652	0	23.9	0	0	0	0	0	0	6.813e-07	6.81288e-07
setup	0	2018-01-02 23:00:00	ANGA	19	1754.83	1	0	0	1.3774e-05	1.28306e-06	0	0	3.57895e-06	0	0	0.00181772	0.000686568	0	-0.000223997	0.00025159	0	0.000308369	0	0.000559959	0.000173569	0.000834762	0.00402961	0.497494	0.1	0	0.00403937	0.00403937	0.0952824	0	0	0.0952824	0.104039	1.06	10.6	5.07758e-07	0.0128	0	0.0108615	0	0	0.00231491	0	0	0.00012269	0	0	0.000228856	0	0	5.72578e-07	0	0	0.753283	0.199677	23.9	0	0	0	0	0	0	6.81893e-07	6.8156e-07
setup	0	2018-01-03 23:00:00	ANGA	19	1775.52	1	0	0	4.43967e-05	5.92912e-07	0	0	1.04352e-05	0	0	0.00320587	0	0	-0.000525765	0.000254083	2.31057e-06	0.00034004	0	0.000596434	9.32354e-05	0.00114491	0.00445466	0.492078	0.1	0	0.011116	0.011116	0.0940377	0	0	0.0940377	0.111116	1.06	10.6	6.32332e-07	0.0128	0.00138102	0.0110327	0	0	0.00233284	0	0	0.000123867	0	0	0	0	0	7.13056e-07	0	0	0.750049	0.251048	23.9	0	0	0	0	0	0	6.86255e-07	6.8356e-07
setup	0	2018-01-04 23:00:00	ANGA	19	1795.57	1	0	0	7.83632e-05	1.99729e-06	0	0	1.73321e-05	0	0	0.00300833	0	0	-0.000516247	0.000252058	1.8125e-05	0.000352949	0	0.000623132	0.000115228	0.00100278	0.00415729	0.487278	0.1	0	0.0176799	0.0176799	0.0928895	0	0	0.0928895	0.11768	1.06	10.6	6.33904e-07	0.0128	0.00403905	0.0111545	0	0	0.00238755	0	0	0.000122249	0	0	0	0	0	7.14827e-07	0	0	0.725563	0.257312	23.9	0	0	0	0	0	0	6.84373e-07	6.82697e-07
setup	0	2018-01-05 23:00:00	ANGA	19	1816.49	1	0	0	7.85209e-05	3.75127e-06	0	0	1.89012e-05	0	0	0.00283615	0	0	-0.00051427	0.000252976	5.22289e-05	0.000363622	0	0.000668827	0.000129986	0.000945384	0.00397815	0.48289	0.1	0	0.0237997	0.0237997	0.0918086	0	0	0.0918086	0.1238	1.06	10.6	6.33079e-07	0.0128	0.00713183	0.0112712	0	0	0.00248453	0	0	0.000120756	0	0	0	0	0	7.13898e-07	0	0	0.652654	0.197161	23.9	0	0	0	0	0	0	6.81288e-07	6.81283e-07
setup	0	2018-01-06 23:00:00	ANGA	19	1837.37	1	0	0	6.42459e-05	5.15365e-06	0	0	1.57221e-05	0	0	0.00259494	0	0	-0.000531793	0.000252203	9.09541e-05	0.000373507	0	0.000716664	0.000115364	0.000864981	0.0036997	0.478605	0.1	0	0.029323	0.029323	0.0907508	0	0	0.0907508	0.129323	1.06	10.6	6.32256e-07	0.0128	0.00926036	0.0113877	0	0	0.00258499	0	0	0.000119351	0	0	0	0	0	7.1297e-07	0	0	0.583285	0.181098	23.9	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2018-01-07 23:00:00	ANGA	19	1858.54	1	0	0	5.18853e-05	6.94784e-06	0	0	1.32289e-05	0	0	0.0023505	0	0	-0.000545541	0.000254002	0.000127083	0.000380514	0	0.0007616	0.000101124	0.0007835	0.00339276	0.474387	0.1	0	0.0342503	0.0342503	0.0897166	0	0	0.0897166	0.13425	1.06	10.6	6.31435e-07	0.0128	0.0104319	0.011504	0	0	0.0026694	0	0	0.000117976	0	0	0	0	0	7.12043e-07	0	0	0.520937	0.154339	23.9	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2018-01-08 23:00:00	ANGA	19	1880.49	1	0	0	3.76826e-05	7.85139e-06	0	0	1.07026e-05	0	0	0.00192857	0	0	-0.000562137	0.000256837	0.00016344	0.000388247	0	0.000808523	8.64985e-05	0.000642857	0.00284364	0.470054	0.1	0	0.0381908	0.0381908	0.0886959	0	0	0.0886959	0.138191	1.06	10.6	6.30614e-07	0.0128	0.0112589	0.0116213	0	0	0.00274075	0	0	0.000116632	0	0	0	0	0	7.11118e-07	0	0	0.465384	0.119922	23.9	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2018-01-09 23:00:00	ANGA	19	1902.58	1	0.00311732	0	3.38442e-05	1.04275e-05	0	0	1.02688e-05	0	0	0.00207951	0	0	-0.000561115	0.000261913	0.000186062	0.000395357	0	0.000843332	8.43918e-05	0.000693171	0.00307682	0.466014	0.1	0	0.0424367	0.0424367	0.087709	0	0	0.087709	0.142437	1.06	10.6	6.29794e-07	0.0128	0.0114725	0.0117368	0	0	0.00279627	0	0	0.000115305	0	0	0	0	0	7.10193e-07	0	0	0.419577	0.131775	23.8998	0	0	0	0	0	0	6.81283e-07	6.81281e-07
setup	0	2018-01-10 23:00:00	ANGA	19	1924.12	1	0.00367178	0	4.02048e-05	1.60298e-05	0	0	1.21683e-05	0	0	0.00271779	0	0	-0.000533787	0.000259296	0.000200115	0.000397114	0	0.000856526	0.000101684	0.000905929	0.00398846	0.462811	0.0999444	0	0.0480894	0.0480894	0.0867955	0	0	0.0867955	0.148034	1.05941	10.6	9.63579e-07	0.0128	0.0112781	0.0118449	0	0	0.00284973	5.5619e-05	0	0.000114022	0	0	0	3.7732e-07	0	7.0927e-07	0	0	0.376523	0.197972	23.8997	0	0	0	0	0	0	6.81362e-07	6.81317e-07
