source,id,datetime,dC_ch4_emis[kgCha-1],dC_co2_emis_auto[kgCha-1],dC_co2_emis_hetero[kgCha-1],dC_doc_leach[kgCha-1],dN_don_leach[kgNha-1],dN_no3_leach[kgNha-1],dN_nh4_leach[kgNha-1],dN_no_emis[kgNha-1],dN_n2o_emis[kgNha-1],dN_n2_emis[kgNha-1],dN_nh3_emis[kgNha-1],dN_n2_fix[kgNha-1],dC_co2_fix[kgCha-1],dS_so4_leach[kgSha-1],dC_litter_above[kgCha-1],dC_litter_below[kgCha-1],dN_litter_above[kgNha-1],dN_litter_below[kgNha-1],dN_deposition[kgNha-1],dN_plant_uptake[kgNha-1],dN_mineral[kgNha-1],dN_nitrify[kgNha-1],dN_denitrify[kgNha-1],dN_chemodenitrify[kgNha-1],C_plants[kgCha-1],C_soil[kgCha-1],C_soil_20cm[kgCha-1],C_soil_30cm[kgCha-1],C_aorg[kgCha-1],C_litter_raw[kgCha-1],C_litter[kgCha-1],C_mic[kgCha-1],C_sol[kgCha-1],C_wood_above[kgCha-1],C_wood_below[kgCha-1],N_plants[kgNha-1],N_soil[kgNha-1],N_soil_20cm[kgNha-1],N_soil_30cm[kgNha-1],N_aorg[kgNha-1],N_litter_raw[kgNha-1],N_litter[kgNha-1],N_mic[kgNha-1],N_sol[kgNha-1],N_wood_above[kgNha-1],N_wood_below[kgNha-1],anvf_mean[-]
setup,0,2018-01-01 23:00:00,4.02946e-13,4.09558,8.09146,1.8139e-05,1.08792e-06,1.77576e-05,1.6815e-07,8.03342e-06,0.000308621,0.112642,2.30724e-08,0,0,0,0,0.552825,0,0.00572972,0.0136259,1.62738,2.94865,0.799103,0.239901,0.000151969,424.697,116115,38015.4,57902.2,170.628,10.3972,87.4258,233.478,0.414725,0,0,8.31027,10768.7,3502.84,5296.02,18.6027,0.218727,1.88962,27.006,3.39236,0,0,0.889999
setup,0,2018-01-02 23:00:00,3.11289e-13,7.10794,7.82198,3.43456e-05,2.12071e-06,6.8221e-08,3.29774e-07,9.29799e-06,0.000319262,0.196037,2.8104e-08,0,0,0,0,2.84067,0,0.00572578,0.0136345,0.150571,0.98472,0.0973401,0.0652129,0.000102443,446.948,116109,38011.9,57897.8,194.217,10.8325,86.0308,203.96,2.16061,0,0,10.3491,10768.4,3502.72,5295.86,21.469,0.221985,1.85825,22.6691,4.57913,0,0,0.962607
setup,0,2018-01-03 23:00:00,6.60717e-09,4.35586,6.53054,4.86449e-05,3.52661e-07,1.08765e-08,5.52847e-08,1.02399e-06,1.64055e-05,0.0914993,3.43338e-08,0,0,0,0,0.557402,0,0.00713056,0.0136982,0.449896,0.642414,0.00724859,0.071395,3.99265e-05,473.192,116103,38008.2,57893.3,210.717,11.2601,85.0068,183.151,0.415397,0,0,10.5284,10767.8,3502.44,5295.48,23.3452,0.226436,1.83541,20.1668,4.53205,0,0,0.994887
setup,0,2018-01-04 23:00:00,1.28617e-07,4.86303,4.38912,0.0909888,0,0,0,3.25288e-07,-1.77632e-05,0.0230542,4.13585e-08,0,0,0,0,0.55012,0,0.00714827,0.0136707,0.803605,0.689849,0.0205472,0.0132538,1.47563e-05,497.562,116099,38006,57890.7,223.377,11.6731,83.9137,167.22,0.197867,0,0,11.0755,10766.9,3502.04,5294.94,24.574,0.230805,1.8109,18.3073,4.26505,0,0,0.990313
setup,0,2018-01-05 23:00:00,5.72064e-07,5.05762,3.74547,0.106196,0,0,0,1.00783e-06,-1.44915e-05,0.0173591,5.4599e-08,0,0,0,0,0.543404,0,0.00713898,0.0136257,0.822722,0.688461,0.0400454,0.0116737,1.61308e-05,520.238,116096,38004.3,57888.4,232.505,12.0707,82.6886,155.324,0.27823,0,0,12.0453,10766.1,3501.68,5294.42,25.3635,0.235038,1.78325,16.8638,4.09387,0,0,0.975934
setup,0,2018-01-06 23:00:00,1.37408e-06,5.71719,3.78346,0.0627933,0,0,0,2.51984e-06,2.76352e-06,0.0140322,6.10827e-08,0,0,0,0,0.537081,0,0.0071297,0.0136256,0.693726,0.646702,0.0563896,0.00917273,2.26794e-05,540.332,116092,38002.5,57886,239.001,12.4535,81.2021,146.183,0.841576,0,0,13.0499,10765.5,3501.39,5294.02,25.9185,0.239139,1.74946,15.7497,4.01593,0,0,0.953292
setup,0,2018-01-07 23:00:00,2.76557e-06,5.99896,4.14321,0.0190131,0,0,0,5.86708e-06,7.27239e-05,0.0133226,6.75779e-08,0,0,0,0,0.530892,0,0.00712043,0.0136256,0.588518,0.599452,0.0796018,0.00998159,3.66557e-05,557.851,116089,38000.4,57883.4,243.346,12.8226,79.3365,139.431,1.81798,0,0,13.8937,10765,3501.15,5293.67,26.2901,0.243129,1.70686,14.931,3.96918,0,0,0.926482
setup,0,2018-01-08 23:00:00,4.73635e-06,6.28533,4.69317,5.29487e-05,0,0,0,1.24983e-05,0.000226589,0.0122846,7.79244e-08,0,0,0,0,0.524842,0,0.00711118,0.0136256,0.45541,0.5558,0.106333,0.0111835,5.55428e-05,570.993,116084,37997.9,57880.2,245.885,13.1768,77.1014,134.753,3.03949,0,0,14.6074,10764.6,3500.96,5293.41,26.5332,0.246978,1.65573,14.3492,3.9843,0,0,0.903209
setup,0,2018-01-09 23:00:00,6.72703e-06,6.55526,5.13964,1.6131e-05,0,9.80429e-05,0,2.38986e-05,0.000461776,0.0108656,9.81283e-08,0,0,0,0,0.518871,0,0.00710193,0.0136256,0.44283,0.564363,0.143835,0.0148547,7.81503e-05,585.663,116080,37994.9,57876.6,247.026,13.5166,74.6428,131.84,4.19381,0,0,15.1628,10764.1,3500.76,5293.13,26.6487,0.250696,1.59952,13.9528,3.97181,0,0,0.886909
setup,0,2018-01-10 23:00:00,8.13637e-06,6.87874,5.54759,3.80916e-05,0,2.42604e-07,0,3.85541e-05,0.00072079,0.00899917,1.15093e-07,0,0,0,0.250286,0.513098,0.0037732,0.0070927,0.0136268,0.562502,0.596462,0.177051,0.01514,9.47154e-05,606.998,116074,37991.6,57872.8,247.246,14.0966,72.1548,130.15,5.09862,0,0,15.7046,10763.6,3500.48,5292.76,26.6185,0.258139,1.54275,13.6777,3.88051,0,0,0.876763
