source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	potential_transpiration[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	2018-01-01 23:00:00	0	0.18	0.18	4.00481	0	0	0	0.268093	0.166867	0	0.000720048	0.0131327	0	0	0	0	0	0	375.169	375.169	0	-99.99	40.2573	40.2573	40.2573	40.2573	40.2058	40.2058	40.1271	40.1271	39.6072	39.3361	-99.99	484.397	1135.36	1337.42	1004.41	1044.27	-99.99	-99.99	99	0	0
setup	0	2018-01-02 23:00:00	0	0.98	0.609	3.85464	3.12121	0	0.371	0.249037	0	0	0.00122326	0.609	0	0	0	0	0	0	375.528	375.528	0	-99.99	40.4631	40.4631	40.4631	40.4631	40.1821	40.1821	40.1183	40.1183	39.6147	39.3446	-99.99	386.721	1172.85	1354.13	994.292	1032.05	-99.99	-99.99	99	0	0
setup	0	2018-01-03 23:00:00	0	2.79	2.419	3.79632	3.42561	2.8346	0.371	0.0446502	0	0	0.000188844	2.419	0	0	0	0	0	0	375.068	375.068	0	-99.99	40.5396	40.5396	40.5396	40.5396	40.0677	40.0677	39.9772	39.9772	39.5551	39.3394	-99.99	356.055	1373.32	1659.27	1078.7	1039.51	-99.99	-99.99	99	0	0
setup	0	2018-01-04 23:00:00	0	2.2	1.829	3.62707	3.20861	3.07979	0.371	0.0129087	0	0	0	1.829	0	0	0	0	0	0	373.804	373.804	0	-99.99	40.2895	40.2895	40.2895	40.2895	39.8887	39.8887	39.8221	39.8221	39.4838	39.328	-99.99	467.494	1766.43	2083.62	1190.14	1055.97	-99.99	-99.99	99	0	0
setup	0	2018-01-05 23:00:00	0	0.12	0	3.80135	3.08872	3.11331	0.12	0.0363163	0	0	0	0	0	0	0	0	0	0	370.654	370.654	0	-99.99	39.345	39.345	39.345	39.345	39.4927	39.4927	39.6247	39.6247	39.3853	39.3038	-99.99	1393.44	3147.13	2802.98	1365.23	1092.04	-99.99	-99.99	99	0	0
setup	0	2018-01-06 23:00:00	0	0.02	0	3.76067	2.89012	3.08872	0.02	0.0360111	0	0	0	0	0	0	0	0	0	0	367.529	367.529	0	-99.99	38.4905	38.4905	38.4905	38.4905	39.0761	39.0761	39.3978	39.3978	39.2658	39.2733	-99.99	4141.39	5980.14	3982.34	1616.14	1139.25	-99.99	-99.99	99	0	0
setup	0	2018-01-07 23:00:00	0	0.01	0	3.80811	2.67741	2.89012	0.01	0.0432292	0	0	0	0	0	0	0	0	0	0	364.596	364.596	0	-99.99	37.7606	37.7606	37.7606	37.7606	38.6701	38.6701	39.1563	39.1563	39.1311	39.2375	-99.99	11519	11608.6	5859.03	1961.01	1197.59	-99.99	-99.99	99	0	0
setup	0	2018-01-08 23:00:00	0	0.01	0	3.96146	2.29843	2.67741	0.01	0.0521849	0	0	0	0	0	0	0	0	0	0	361.867	361.867	0	-99.99	37.1414	37.1414	37.1414	37.1414	38.2855	38.2855	38.9078	38.9078	38.9835	39.1965	-99.99	29738.5	22620.8	8846.16	2433.14	1268.54	-99.99	-99.99	99	0	0
setup	0	2018-01-09 23:00:00	0	0.08	0	3.97011	2.47308	2.28808	0.08	0.0566502	0	0	0	0	0	0	0	0	0	0	359.522	359.522	0	-99.99	36.6528	36.6528	36.6528	36.6528	37.9541	37.9541	38.6772	38.6772	38.838	39.154	-99.99	66843.2	41580.9	13149	3022.3	1346.83	-99.99	-99.99	99	0	0
setup	0	2018-01-10 23:00:00	0	0.36	0	3.84111	3.11204	2.26699	0.36	0.037231	0	0	0	0	0	0	0	0	0	0	357.218	357.218	0	-99.99	36.2148	36.2148	36.2148	36.2148	37.6309	37.6309	38.4338	38.4338	38.675	39.1038	-99.99	145817	77894.1	20299.5	3873.47	1446.08	-99.99	-99.99	99	0	0
setup	0	2018-01-11 23:00:00	0	0.11	0	3.7017	2.61619	3.02661	0.11	0.0145368	0	0	0	0	0	0	0	0	0	0	354.176	354.176	0	-99.99	35.6972	35.6972	35.6972	35.6972	37.2136	37.2136	38.0901	38.0901	38.427	39.022	-99.99	395723	185314	38640.6	5711.9	1625.56	-99.99	-99.99	99	0	0
setup	0	2018-01-12 23:00:00	0	0.02	0	3.67158	1.96363	2.61619	0.02	0.0216899	0	0	0	0	0	0	0	0	0	0	351.539	351.539	0	-99.99	35.2924	35.2924	35.2924	35.2924	36.8637	36.8637	37.7796	37.7796	38.1836	38.9344	-99.99	924583	405320	71510.4	8478.45	1844.83	-99.99	-99.99	99	0	0
setup	0	2018-01-13 23:00:00	0	0.01	0	3.63794	1.58053	1.96363	0.01	0.0289744	0	0	0	0	0	0	0	0	0	0	349.546	349.546	0	-99.99	35.0111	35.0111	35.0111	35.0111	36.6082	36.6082	37.5403	37.5403	37.9825	38.8561	-99.99	1.73665e+06	744947	117742	11877	2068.33	-99.99	-99.99	99	0	0
setup	0	2018-01-14 23:00:00	0	0.01	0	3.76804	1.14114	1.58053	0.01	0.0322682	0	0	0	0	0	0	0	0	0	0	347.933	347.933	0	-99.99	34.7984	34.7984	34.7984	34.7984	36.4072	36.4072	37.3448	37.3448	37.8091	38.7839	-99.99	2.86762e+06	1.23205e+06	180043	16019	2301.05	-99.99	-99.99	99	0	0
setup	0	2018-01-15 23:00:00	0	0	0	3.82069	1.07112	1.14114	0	0.0346409	0	0	0	0	0	0	0	0	0	0	346.757	346.757	0	-99.99	34.6505	34.6505	34.6505	34.6505	36.2639	36.2639	37.2024	37.2024	37.6774	38.7258	-99.99	4.12011e+06	1.78982e+06	247946	20217.9	2508.8	-99.99	-99.99	99	0	0
setup	0	2018-01-16 23:00:00	0	0	0	3.84867	1.09029	1.07112	0	0.0317893	0	0	0	0	0	0	0	0	0	0	345.654	345.654	0	-99.99	34.5197	34.5197	34.5197	34.5197	36.1324	36.1324	37.0679	37.0679	37.5487	38.6663	-99.99	5.73632e+06	2.55003e+06	338355	25501.4	2743.17	-99.99	-99.99	99	0	0
setup	0	2018-01-17 23:00:00	0	0.15	0	3.93838	1.16188	1.05896	0.15	0.0275322	0	0	0	0	0	0	0	0	0	0	344.568	344.568	0	-99.99	34.3989	34.3989	34.3989	34.3989	36.0059	36.0059	36.9344	36.9344	37.4168	38.6022	-99.99	7.85602e+06	3.62342e+06	464733	32519.1	3022.36	-99.99	-99.99	99	0	0
setup	0	2018-01-18 23:00:00	0	0.02	0	4.02285	1.03837	1.16188	0.02	0.0249259	0	0	0	0	0	0	0	0	0	0	343.381	343.381	0	-99.99	34.2764	34.2764	34.2764	34.2764	35.8716	35.8716	36.7877	36.7877	37.267	38.5254	-99.99	1.09082e+07	5.32969e+06	665874	43151.3	3398.51	-99.99	-99.99	99	0	0
setup	0	2018-01-19 23:00:00	0	0.06	0	4.00316	1.05108	1.03837	0.06	0.0219315	0	0	0	0	0	0	0	0	0	0	342.321	342.321	0	-99.99	34.1746	34.1746	34.1746	34.1746	35.7546	35.7546	36.6566	36.6566	37.1285	38.4504	-99.99	1.44409e+07	7.5415e+06	927721	56405.7	3815.39	-99.99	-99.99	99	0	0
setup	0	2018-01-20 23:00:00	0	0.1	0	3.91819	1.00889	1.05108	0.1	0.0178877	0	0	0	0	0	0	0	0	0	0	341.252	341.252	0	-99.99	34.0803	34.0803	34.0803	34.0803	35.6402	35.6402	36.5239	36.5239	36.9842	38.3679	-99.99	1.88469e+07	1.07074e+07	1.31084e+06	75107.5	4339.95	-99.99	-99.99	99	0	0
setup	0	2018-01-21 23:00:00	0	0.25	0	3.8562	0.894913	0.966853	0.25	0.0145269	0	0	0	0	0	0	0	0	0	0	340.271	340.271	0	-99.99	34.0009	34.0009	34.0009	34.0009	35.5382	35.5382	36.4022	36.4022	36.8477	38.2854	-99.99	2.37008e+07	1.47771e+07	1.81795e+06	99142.4	4943.04	-99.99	-99.99	99	0	0
setup	0	2018-01-22 23:00:00	0	0.01	0	3.8013	0.863103	0.894913	0.01	0.0135922	0	0	0	0	0	0	0	0	0	0	339.362	339.362	0	-99.99	33.9335	33.9335	33.9335	33.9335	35.4462	35.4462	36.2899	36.2899	36.7183	38.2031	-99.99	2.89015e+07	1.99176e+07	2.48036e+06	129858	5638.1	-99.99	-99.99	99	0	0
setup	0	2018-01-23 23:00:00	0	0.04	0	3.80101	0.842096	0.863103	0.04	0.0115032	0	0	0	0	0	0	0	0	0	0	338.487	338.487	0	-99.99	33.8748	33.8748	33.8748	33.8748	35.3604	35.3604	36.1819	36.1819	36.5907	38.1176	-99.99	3.44569e+07	2.65165e+07	3.37214e+06	170576	6473.54	-99.99	-99.99	99	0	0
setup	0	2018-01-24 23:00:00	0	0.27	0	3.83772	0.824185	0.807009	0.27	0.00920942	0	0	0	0	0	0	0	0	0	0	337.671	337.671	0	-99.99	33.8256	33.8256	33.8256	33.8256	35.2828	35.2828	36.0812	36.0812	36.4689	38.0319	-99.99	4.00059e+07	3.4562e+07	4.52462e+06	222709	7448.72	-99.99	-99.99	99	0	0
setup	0	2018-01-25 23:00:00	0	1.5	1.1384	3.96611	0.797613	0.755503	0.361604	0.0198937	0	0	0	1.1384	0	0	0	0	0	0	338.034	338.034	0	-99.99	34.2724	34.2724	34.2724	34.2724	35.2344	35.2344	36.0151	36.0151	36.3855	37.9704	-99.99	1.10293e+07	4.09156e+07	5.51261e+06	268322	8246.91	-99.99	-99.99	99	0	0
setup	0	2018-01-26 23:00:00	0	0.76	0.399842	4.0858	0.854117	0.731145	0.360158	0.0220317	0	0	0	0.399842	0	0	0	0	0	0	337.681	337.681	0	-99.99	34.33	34.33	34.33	34.33	35.1884	35.1884	35.9526	35.9526	36.3067	37.9106	-99.99	9.4394e+06	4.81473e+07	6.66443e+06	320916	9113.77	-99.99	-99.99	99	0	0
setup	0	2018-01-27 23:00:00	0	0.03	0	4.03957	0.841377	0.854117	0.03	0.0190561	0	0	0	0	0	0	0	0	0	0	336.808	336.808	0	-99.99	34.1792	34.1792	34.1792	34.1792	35.1317	35.1317	35.8742	35.8742	36.2069	37.8322	-99.99	1.42576e+07	5.90254e+07	8.4992e+06	404330	10402.8	-99.99	-99.99	99	0	0
setup	0	2018-01-28 23:00:00	0	0.07	0	3.97925	0.78118	0.841377	0.07	0.0147004	0	0	0	0	0	0	0	0	0	0	335.952	335.952	0	-99.99	34.0504	34.0504	34.0504	34.0504	35.0757	35.0757	35.7936	35.7936	36.1023	37.7466	-99.99	2.05321e+07	7.24589e+07	1.09721e+07	517759	12040.6	-99.99	-99.99	99	0	0
setup	0	2018-01-29 23:00:00	0	0	0	4.01771	0.690572	0.78118	0	0.0121912	0	0	0	0	0	0	0	0	0	0	335.158	335.158	0	-99.99	33.9473	33.9473	33.9473	33.9473	35.0239	35.0239	35.7161	35.7161	35.9997	37.6591	-99.99	2.77411e+07	8.78995e+07	1.41039e+07	663518	14011.6	-99.99	-99.99	99	0	0
setup	0	2018-01-30 23:00:00	0	0.01	0	4.1056	0.67755	0.690572	0.01	0.0100335	0	0	0	0	0	0	0	0	0	0	334.458	334.458	0	-99.99	33.8691	33.8691	33.8691	33.8691	34.9787	34.9787	35.6458	35.6458	35.9046	37.5746	-99.99	3.50502e+07	1.04345e+08	1.78066e+07	839285	16251.5	-99.99	-99.99	99	0	0
setup	0	2018-01-31 23:00:00	0	0.05	0	3.95529	0.723693	0.67755	0.05	0.00737905	0	0	0	0	0	0	0	0	0	0	333.773	333.773	0	-99.99	33.8046	33.8046	33.8046	33.8046	34.9355	34.9355	35.5753	35.5753	35.8073	37.4847	-99.99	4.2665e+07	1.232e+08	2.26068e+07	1.07303e+06	19071.6	-99.99	-99.99	99	0	0
