source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top[oC]	temp_canopy_middle[oC]	temp_canopy_bottom[oC]	temp_surfacewater[oC]	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd[mbar]
setup	0	2018-01-01 23:00:00	12.0927	421.532	294.23	22.1098	326.471	0	12.5857	0	0	0	0	23.52	15.65	32.29	47.0897	38.0027	27.1297	-99.99	26.9126	13.4707	9.6088	8.42148	8.11697	8.00033	-99.99	-99.99	3.00626
setup	0	2018-01-02 23:00:00	12.0924	421.752	258.59	19.4347	347.77	0	17.9409	0	0	0	0	22.67	16.84	29.34	22.6691	21.9624	20.0444	-99.99	19.9779	17.2864	12.9922	10.3854	9.20712	8.00783	-99.99	-99.99	1.0853
setup	0	2018-01-03 23:00:00	12.092	421.985	222.14	16.6981	366.066	0	94.0465	0	0	0	0	22.34	17.92	29.05	22.3393	21.8102	20.3743	-99.99	20.3245	18.3093	14.7864	12.2467	10.8346	8.0338	-99.99	-99.99	0.893502
setup	0	2018-01-04 23:00:00	12.0916	422.232	179.45	13.4916	377.151	0	100.223	0	0	0	0	21.38	17.56	26.06	21.3795	21.0162	20.0302	-99.99	19.9961	18.6121	15.8601	13.6592	12.2767	8.0792	-99.99	-99.99	0.773898
setup	0	2018-01-05 23:00:00	12.0912	422.491	252.34	18.9755	348.13	0	94.6072	0	0	0	0	22.37	16.73	29.28	22.3694	21.9453	20.7943	-99.99	20.7544	19.1391	16.5796	14.656	13.3674	8.14004	-99.99	-99.99	1.15104
setup	0	2018-01-06 23:00:00	12.0908	422.763	227.58	17.1172	355.951	0	90.9934	0	0	0	0	22.14	16.38	29.01	22.1395	21.8098	20.9148	-99.99	20.8838	19.6277	17.3413	15.5162	14.23	8.21223	-99.99	-99.99	1.18763
setup	0	2018-01-07 23:00:00	12.0903	423.048	256.16	19.2711	341.443	0	85.1663	0	0	0	0	22.41	16.32	29.25	22.4095	22.0936	21.2361	-99.99	21.2064	20.003	17.9042	16.2041	14.9391	8.29346	-99.99	-99.99	1.3462
setup	0	2018-01-08 23:00:00	12.0898	423.344	286.59	21.5654	329.028	0	79.2706	0	0	0	0	23.28	15.77	31.17	23.2795	22.9266	21.969	-99.99	21.9358	20.5919	18.4521	16.7849	15.5209	8.38178	-99.99	-99.99	1.57186
setup	0	2018-01-09 23:00:00	12.0893	423.651	280.34	21.1003	332.863	0	70.16	0	0	0	0	23.33	17.78	30.46	23.3296	23.0357	22.2379	-99.99	22.2103	21.0909	19.0582	17.3686	16.0591	8.47602	-99.99	-99.99	1.55829
setup	0	2018-01-10 23:00:00	12.0887	423.97	244.47	18.4053	352.607	0	77.0897	0	0	0	0	22.6	18.03	29.12	22.5997	22.3976	21.8491	-99.99	21.8301	21.0601	19.3809	17.831	16.541	8.57565	-99.99	-99.99	1.25516
setup	0	2018-01-11 23:00:00	12.0881	424.298	240.89	18.143	346.171	0	91.1789	0	0	0	0	21.81	17.03	28.83	21.8097	21.6668	21.2789	-99.99	21.2655	20.7208	19.4039	18.0802	16.8761	8.6793	-99.99	-99.99	1.28203
setup	0	2018-01-12 23:00:00	12.0875	424.637	219.37	16.5293	354.374	0	76.9062	0	0	0	0	21.64	14.67	29.06	21.6397	21.4891	21.0804	-99.99	21.0662	20.4923	19.3176	18.1579	17.0426	8.78481	-99.99	-99.99	1.28967
setup	0	2018-01-13 23:00:00	12.0868	424.985	294.8	22.2233	313.499	0	57.9456	0	0	0	0	21.45	14.82	29.6	21.4497	21.3111	20.9347	-99.99	20.9217	20.3934	19.2898	18.1889	17.1136	8.89044	-99.99	-99.99	1.4314
setup	0	2018-01-14 23:00:00	12.0862	425.343	307.65	23.2036	300.842	0	46.9558	0	0	0	0	22.19	13.95	31.6	22.1896	21.9805	21.4128	-99.99	21.3931	20.5965	19.3227	18.2071	17.1481	8.99543	-99.99	-99.99	1.75144
