source,id,datetime,irri[mm],prec[mm],throughfall[mm],evapot[mm],potential_transpiration[mm],transp[mm],evacep[mm],evasoil[mm],evasurfacewater[mm],runoff[mm],percol[mm],infiltration[mm],groundwateraccess[mm],groundwaterloss[mm],capillaryrise[mm],snow_height[mm],snow[mmh2oeq],surfacewater[mm],soil_water[mm],root_soil_water[mm],leafwater[mm],soilwater_floor[%],soilwater_5cm[%],soilwater_10cm[%],soilwater_15cm[%],soilwater_20cm[%],soilwater_30cm[%],soilwater_40cm[%],soilwater_50cm[%],soilwater_60cm[%],soilwater_80cm[%],soilwater_100cm[%],soilwater_120cm[%],capillary_pressure_5cm[hPa],capillary_pressure_10cm[hPa],capillary_pressure_15cm[hPa],capillary_pressure_20cm[hPa],capillary_pressure_30cm[hPa],capillary_pressure_50cm[hPa],capillary_pressure_100cm[hPa],groundwaterdepth[m],irrigationreservoir[m],plant_waterdeficit[m]
setup,0,2023-04-20 23:00:00,0,0,0,0.752535,0,0,0,0.197095,0,0,0,0,0,0,0,0,0,0,1005.47,377.993,0,24.4372,24.566,24.5812,25.1053,25.1034,24.9763,29.674,29.5375,29.5033,29.4731,36.55,36.5487,0.128809,0.128709,0.135084,0.135099,0.136169,0.107121,0.0738483,99,0,0
setup,0,2023-04-21 23:00:00,0,0,0,0.72577,1.95878,0,0,0.189304,0,0,0,0,0,0,0,0,0,0,1005.28,377.788,0,24.324,24.4806,24.5103,25.0427,25.0278,24.9046,29.6848,29.5774,29.5389,29.478,36.549,36.5378,0.129371,0.129175,0.135609,0.135735,0.136779,0.106888,0.0738528,99,0,0
setup,0,2023-04-22 23:00:00,0,9.05896,8.10421,0.699213,1.91386,0,0.699213,0,0,0,0,8.10421,0,0,0,0,0,0,1013.39,385.755,0.255542,30.3715,28.5883,28.04,25.9513,25.4575,24.9205,29.6944,29.6033,29.567,29.4925,36.5501,36.5242,0.105517,0.108384,0.128255,0.13218,0.136643,0.106737,0.0738476,99,0,0
setup,0,2023-04-23 23:00:00,0,0,0,0.672873,1.87054,0.417331,0.255542,0,0,0,0,0,0,0,0,0,0,0,1012.97,385.292,0,28.889,28.3255,27.9535,26.1007,25.7026,25.026,29.7065,29.6074,29.5725,29.4975,36.5399,36.5024,0.106881,0.108844,0.127098,0.130211,0.13575,0.106713,0.0738948,99,0,0
setup,0,2023-04-24 23:00:00,0,0,0,0.646757,1.82806,0.646757,0,0,0,0,0,0,0,0,0,0,0,0,1012.32,384.592,0,28.1652,27.9045,27.7032,26.027,25.7201,25.0863,29.7282,29.6119,29.5742,29.4992,36.5256,36.4804,0.109106,0.110187,0.127667,0.130072,0.135242,0.106687,0.0739607,99,0,0
setup,0,2023-04-25 23:00:00,0,0,0,0.620875,1.78634,0.620875,0,0,0,0,0,0,0,0,0,0,0,0,1011.7,383.916,0,27.7235,27.5521,27.4224,25.8597,25.6349,25.1024,29.7511,29.6235,29.5815,29.5014,36.509,36.4595,0.111006,0.111715,0.128971,0.13075,0.135108,0.106619,0.0740374,99,0,0
setup,0,2023-04-26 23:00:00,0,0,0,0.595234,1.74545,0.595234,0,0,0,0,0,0,0,0,0,0,0,0,1011.11,383.265,0,27.3856,27.2594,27.1687,25.6798,25.5135,25.0817,29.7633,29.6358,29.5913,29.5046,36.4911,36.4397,0.112613,0.113117,0.130392,0.131726,0.135281,0.106548,0.0741201,99,0,0
setup,0,2023-04-27 23:00:00,0,0,0,0.569842,1.70514,0.569842,0,0,0,0,0,0,0,0,0,0,0,0,1010.54,382.64,0,27.1062,27.0081,26.9424,25.5063,25.3828,25.0395,29.7627,29.644,29.6,29.509,36.4727,36.4211,0.114014,0.114384,0.131784,0.132788,0.135636,0.106499,0.0742051,99,0,0
setup,0,2023-04-28 23:00:00,0,0,0,0.544707,1.66554,0.544707,0,0,0,0,0,0,0,0,0,0,0,0,1009.99,382.042,0,26.8663,26.7878,26.7397,25.3441,25.2533,24.9859,29.7512,29.6466,29.6053,29.5143,36.4543,36.4035,0.115259,0.115533,0.133105,0.133852,0.136089,0.106484,0.0742901,99,0,0
setup,0,2023-04-29 23:00:00,0,0,0,0.519837,1.62651,0.519837,0,0,0,0,0,0,0,0,0,0,0,0,1009.47,381.47,0,26.6561,26.5923,26.5575,25.1943,25.1295,24.927,29.7314,29.6435,29.6066,29.5197,36.4363,36.3869,0.116377,0.116577,0.134341,0.134881,0.136588,0.106503,0.0743735,99,0,0
