source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2018-08-01 23:00:00	3.86533e-13	0	7.47886	1.80993e-05	1.08754e-06	1.89302e-05	1.69191e-07	7.213e-06	0.0002516	0.08856	1.96143e-08	0	0	0	0	0	0	0	0.0136265	0	2.75773	0.779273	0.230626	0.000135209	0	116115	38015.7	57902.4	168.962	9.85508	87.5598	235.436	0.447824	0	0	0	10770.3	3503.51	5297.08	18.6586	0.213227	1.89277	27.2963	4.66832	0	0	0.885064
setup	0	2018-08-02 23:00:00	3.294e-13	0	7.09902	3.05489e-05	2.12543e-06	2.6743e-05	3.51464e-07	2.28825e-05	0.000950324	0.316528	3.51383e-08	0	0	0	0	0	0	0	0.0136257	0	0.942226	0.245663	0.340251	0.000275187	0	116107	38011.4	57896.9	190.862	9.75769	85.8363	209.069	0.494861	0	0	0	10769.7	3503.24	5296.71	21.4971	0.21112	1.85386	23.5301	5.09209	0	0	0.92662
setup	0	2018-08-03 23:00:00	2.51346e-13	0	5.74456	0.00677657	1.82527e-06	1.54141e-05	3.0297e-07	1.32337e-05	0.000542499	0.29227	5.09504e-08	0	0	0	0	0	0	0	0.0136257	0	0.772277	0.17236	0.202729	0.000170599	0	116101	38008	57892.5	207.426	9.65172	84.1749	188.944	0.4637	0	0	0	10769.4	3503.09	5296.48	23.4547	0.208827	1.81639	21.108	5.2399	0	0	0.938461
setup	0	2018-08-04 23:00:00	1.918e-13	0	4.92011	0.0487622	1.30228e-06	1.12273e-05	2.13284e-07	5.599e-06	0.000245207	0.17279	5.8625e-08	0	0	0	0	0	0	0	0.0136258	0	0.559621	0.179645	0.139118	0.000104865	0	116096	38005.2	57888.8	219.243	9.54452	82.443	174.53	0.454184	0	0	0	10769.1	3502.96	5296.32	24.8277	0.206508	1.7773	19.4758	5.30302	0	0	0.935901
setup	0	2018-08-05 23:00:00	1.43519e-13	0	4.61233	0.0720095	8.68026e-07	7.79905e-06	1.40052e-07	5.69728e-06	0.000236966	0.138108	5.86097e-08	0	0	0	0	0	0	0	0.0136271	0	0.441667	0.205912	0.121272	8.95603e-05	0	116091	38002.6	57885.5	228.14	9.43863	80.6139	163.748	0.516063	0	0	0	10768.9	3502.85	5296.19	25.8606	0.204217	1.73599	18.2767	5.34267	0	0	0.929959
setup	0	2018-08-06 23:00:00	1.14616e-13	0	4.5131	0.0517008	5.62527e-07	5.10764e-06	8.97141e-08	6.66749e-06	0.000277544	0.121892	6.35183e-08	0	0	0	0	0	0	0	0.0136257	0	0.446425	0.229487	0.113767	8.62737e-05	0	116087	37999.9	57882.2	235.397	9.3327	78.7181	155.006	0.606091	0	0	0	10768.8	3502.75	5296.07	26.7085	0.201925	1.69318	17.3082	5.3755	0	0	0.924434
setup	0	2018-08-07 23:00:00	9.29361e-14	0	4.48936	0.0762298	3.59439e-07	3.65416e-06	5.68449e-08	7.80418e-06	0.000331011	0.117615	6.85054e-08	0	0	0	0	0	0	0	0.0136256	0	0.471285	0.252623	0.11436	8.96924e-05	0	116082	37997.3	57879	241.67	9.22669	76.7843	147.45	0.677764	0	0	0	10768.6	3502.65	5295.96	27.4462	0.199631	1.64956	16.4715	5.40546	0	0	0.919985
setup	0	2018-08-08 23:00:00	7.64873e-14	0	4.58204	0.0376957	2.27985e-07	2.9124e-06	3.59102e-08	9.0546e-06	0.000392051	0.118724	7.53646e-08	0	0	0	0	0	0	0	0.0136257	0	0.494461	0.272571	0.117092	9.59805e-05	0	116077	37994.5	57875.6	247.338	9.11899	74.8237	140.544	0.791268	0	0	0	10768.5	3502.55	5295.84	28.1181	0.197301	1.60538	15.7085	5.43663	0	0	0.916684
setup	0	2018-08-09 23:00:00	6.35985e-14	0	4.68287	0.0181915	1.44083e-07	2.30946e-06	2.26942e-08	1.02804e-05	0.000452359	0.120497	8.1655e-08	0	0	0	0	0	0	0	0.0136258	0	0.507791	0.287811	0.120063	0.000102433	0	116073	37991.6	57872	252.551	9.0103	72.867	134.06	0.907454	0	0	0	10768.3	3502.45	5295.73	28.7421	0.194949	1.56135	14.993	5.47025	0	0	0.914096
setup	0	2018-08-10 23:00:00	5.29664e-14	0	4.73387	0.000626139	9.08555e-08	1.79058e-06	1.43496e-08	1.14354e-05	0.00051091	0.123233	8.42342e-08	0	0	0	0	0	0	0	0.013626	0	0.511322	0.301336	0.124612	0.000108865	0	116068	37988.7	57868.4	257.339	8.90241	70.9461	127.944	1.02243	0	0	0	10768.2	3502.34	5295.61	29.3215	0.192615	1.51822	14.3189	5.50663	0	0	0.911756
