source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	potential_transpiration[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	2018-08-01 23:00:00	0	0.31	0.31	3.28683	0	0	0	0.222457	0.136951	0	0.000719803	0.173049	0	0	0	0	0	0	375.375	0	0	-99.99	40.3576	40.3576	40.3576	40.3576	40.2118	40.2118	40.1277	40.1277	39.6079	39.3368	-99.99	433.806	1126.19	1336.14	1003.49	1043.29	-99.99	-99.99	99	0	0
setup	0	2018-08-02 23:00:00	0	0.1	0.1	3.44135	0	0	0	0.23308	0.1	0	0.00122446	0	0	0	0	0	0	0	375.14	0	0	-99.99	40.2603	40.2603	40.2603	40.2603	40.1864	40.1864	40.1165	40.1165	39.6128	39.3427	-99.99	482.823	1165.92	1357.73	996.809	1034.7	-99.99	-99.99	99	0	0
setup	0	2018-08-03 23:00:00	0	0.1	0.1	3.40872	0	0	0	0.2279	0.1	0	0.000944013	0	0	0	0	0	0	0	374.912	0	0	-99.99	40.1653	40.1653	40.1653	40.1653	40.1614	40.1614	40.1105	40.1105	39.6138	39.3474	-99.99	536.501	1206.62	1369.32	995.449	1028.13	-99.99	-99.99	99	0	0
setup	0	2018-08-04 23:00:00	0	0.17	0.17	3.25658	0	0	0	0.212808	0.135691	0	0.000629692	0.0343094	0	0	0	0	0	0	374.732	0	0	-99.99	40.0943	40.0943	40.0943	40.0943	40.138	40.138	40.1072	40.1072	39.6141	39.3506	-99.99	580.892	1246.01	1375.84	995.045	1023.57	-99.99	-99.99	99	0	0
setup	0	2018-08-05 23:00:00	0	0.41	0.41	3.14442	0	0	0	0.206692	0.131018	0	0.000401766	0.278982	0	0	0	0	0	0	374.804	0	0	-99.99	40.1504	40.1504	40.1504	40.1504	40.1167	40.1167	40.1062	40.1062	39.6152	39.3537	-99.99	545.52	1283.29	1377.74	993.525	1019.22	-99.99	-99.99	99	0	0
setup	0	2018-08-06 23:00:00	0	0.12	0.12	3.1724	0	0	0	0.206967	0.12	0	0.000252654	0	0	0	0	0	0	0	374.597	0	0	-99.99	40.0643	40.0643	40.0643	40.0643	40.0939	40.0939	40.1049	40.1049	39.6152	39.3549	-99.99	600.872	1324.4	1380.3	993.565	1017.49	-99.99	-99.99	99	0	0
setup	0	2018-08-07 23:00:00	0	0.06	0.06	3.1779	0	0	0	0.208946	0.06	0	0.000158032	0	0	0	0	0	0	0	374.388	0	0	-99.99	39.9775	39.9775	39.9775	39.9775	40.0707	40.0707	40.1041	40.1041	39.6152	39.3557	-99.99	662.872	1367.73	1381.9	993.597	1016.4	-99.99	-99.99	99	0	0
setup	0	2018-08-08 23:00:00	0	0.11	0.11	3.2665	0	0	0	0.209034	0.11	0	9.86549e-05	0	0	0	0	0	0	0	374.179	0	0	-99.99	39.8909	39.8909	39.8909	39.8909	40.0473	40.0473	40.1036	40.1036	39.6152	39.3562	-99.99	731.771	1412.99	1382.9	993.619	1015.73	-99.99	-99.99	99	0	0
setup	0	2018-08-09 23:00:00	0	0.15	0.15	3.28935	0	0	0	0.206454	0.137056	0	6.15426e-05	0.0129436	0	0	0	0	0	0	373.985	0	0	-99.99	39.8121	39.8121	39.8121	39.8121	40.0241	40.0241	40.1034	40.1034	39.6152	39.3565	-99.99	801.239	1459.54	1383.41	993.564	1015.23	-99.99	-99.99	99	0	0
setup	0	2018-08-10 23:00:00	0	0.21	0.21	3.25677	0	0	0	0.202991	0.135699	0	3.83767e-05	0.0743011	0	0	0	0	0	0	373.857	0	0	-99.99	39.7661	39.7661	39.7661	39.7661	40.0014	40.0014	40.1035	40.1035	39.6155	39.357	-99.99	845.06	1506.5	1383.22	993.181	1014.57	-99.99	-99.99	99	0	0
