source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top[oC]	temp_canopy_middle[oC]	temp_canopy_bottom[oC]	temp_surfacewater[oC]	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd[mbar]
setup	0	2006-01-01 23:00:00	12.0927	421.532	223.65	5.30706	359.26	0	29.6469	0	0	0	0	21.95	16.42	29.57	43.9222	39.4453	35.6832	-99.99	35.6329	18.6176	16.8044	14.5346	13.2985	11.0267	8.9491	-99.99	2.26655
setup	0	2006-01-02 23:00:00	12.0924	421.752	227	5.58796	357.672	0	32.4988	0	0	0	0	21.74	15.53	29.53	21.7128	21.517	21.5096	-99.99	21.5092	20.3312	19.4027	18.0495	17.1873	15.2312	12.569	-99.99	1.11733
setup	0	2006-01-03 23:00:00	12.092	421.985	190.79	4.69843	374.229	0	105.972	0	0	0	0	21.58	17.01	28.8	21.5603	21.4185	21.4132	-99.99	21.4129	20.6333	20.0224	19.1255	18.5449	17.1849	15.149	-99.99	0.926205
setup	0	2006-01-04 23:00:00	12.0916	422.232	272.82	6.72135	338.151	0	105.663	0	0	0	0	21.52	16.32	28.84	21.5068	21.4119	21.4084	-99.99	21.4082	20.8312	20.3743	19.7008	19.2641	18.2353	16.616	-99.99	1.09043
setup	0	2006-01-05 23:00:00	12.0912	422.491	300.7	7.41158	321.494	0	104.59	0	0	0	0	21.31	14.43	29.38	21.302	21.2446	21.2425	-99.99	21.2423	20.8139	20.4665	19.9465	19.6055	18.7898	17.4318	-99.99	1.20406
setup	0	2006-01-06 23:00:00	12.0908	422.763	265.3	6.54221	338.36	0	106.114	0	0	0	0	21.61	14.53	29.39	21.5987	21.5179	21.5149	-99.99	21.5147	21.0893	20.7587	20.2756	19.9625	19.2141	17.9365	-99.99	1.23009
setup	0	2006-01-07 23:00:00	12.0903	423.048	257.43	6.35139	348.14	0	110.444	0	0	0	0	22.46	16.29	30.43	22.4446	22.3336	22.3295	-99.99	22.3292	21.8219	21.4381	20.8908	20.5433	19.7307	18.3838	-99.99	1.28788
setup	0	2006-01-08 23:00:00	12.0898	423.344	294.11	7.26031	333.989	0	111.358	0	0	0	0	22.64	15.83	30.83	22.6296	22.5552	22.5524	-99.99	22.5522	22.1209	21.7811	21.2807	20.9551	20.1747	18.8362	-99.99	1.34115
setup	0	2006-01-09 23:00:00	12.0893	423.651	296.54	7.32448	334.25	0	112.68	0	0	0	0	22.9	15.49	31.43	22.8896	22.8156	22.8129	-99.99	22.8127	22.3922	22.0621	21.5769	21.2616	20.5048	19.1925	-99.99	1.40221
setup	0	2006-01-10 23:00:00	12.0887	423.97	304.06	7.51472	336.171	0	116.71	0	0	0	0	23.69	16.78	31.31	23.6745	23.5635	23.5593	-99.99	23.5591	23.0607	22.6829	22.1412	21.7946	20.9737	19.5766	-99.99	1.48806
