source,id,datetime,species,day_emergence,gdd[oC],dvs_flush[-],dvs_mort[-],dN_don_upt[kgNm-2],dN_nh4_upt[kgNm-2],dN_no3_upt[kgNm-2],dN_nh3_upt[kgNm-2],dN_nox_upt[kgNm-2],dN_n2_fix[kgNm-2],N2_fix[kgNm-2],dC_fol_grow[kgCm-2],dC_fru_grow[kgCm-2],dC_frt_grow[kgCm-2],dC_lst_grow[kgCm-2],dC_fac_grow[kgCm-2],dC_fol_resp[kgCm-2],dC_fru_resp[kgCm-2],dC_frt_resp[kgCm-2],dC_lst_resp[kgCm-2],dC_maintenance_resp[kgCm-2],dC_transport_resp[kgCm-2],dC_growth_resp[kgCm-2],dC_co2_upt[kgCm-2],f_fac,DW_fol[kgDWm-2],DW_dfol[kgDWm-2],DW_fru[kgDWm-2],DW_stemfru[kgDWm-2],DW_frt[kgDWm-2],DW_lst[kgDWm-2],DW_dst[kgDWm-2],DW_below[kgDWm-2],DW_above[kgDWm-2],lai,specific_leaf_area[m2kg-1],N_ret[kgNm-2],NC_fol[gNgDW-1],NC_fru[gNgDW-1],NC_frt[gNgDW-1],NC_lst[gNgDW-1],NC_dst[gNgDW-1],N_total[kgNm-2],dDW_fol_sen[kgDWm-2],dDW_fru_sen[kgDWm-2],dDW_frt_sen[kgDWm-2],dDW_lst_sen_below[kgDWm-2],dDW_lst_sen_above[kgDWm-2],dC_exsudates[kgCm-2],dN_lit_fol[kgNm-2],dN_lit_fru[kgNm-2],dN_lit_frt[kgNm-2],dN_lit_ldst_below[kgNm-2],dN_lit_ldst_above[kgNm-2],drought_rel[-],conduct_rel[-],vc_act_25[umol:m-2:s-1],iso_act[nmol:m-2:s-1],mono_act[nmol:m-2:s-1],d_iso_emis[umol:m-2],d_mono_emis[umol:m-2],d_mono_storage_emis[umol:m-2],d_ovoc_emis[umol:m-2],dN_nh4_throughf[kgN:L-1],dN_no3_throughf[kgN:L-1]
setup,0,2015-01-01 23:00:00,ANGA,19,1733.21,1,0,0,2.12823e-05,3.74335e-05,0,0,4.67709e-05,0,0,0,0,0,0,0.000333982,0,0.000353806,0,0.000687788,0.000233855,0,0,0.5,0.15,0,0,0,0.141566,0,0,0.141566,0.15,1.59,10.6,7.62161e-07,0.0128,0,0.00880538,0,0,0.00316654,0,0,0.000184275,0,0,0,0,0,8.59459e-07,0,0,0.740416,0,23.9,0,0,0,0,0,0,6.81281e-07,6.8128e-07
setup,0,2015-01-02 23:00:00,ANGA,19,1751.26,1,0,0,1.02116e-05,1.68718e-05,0,0,3.48602e-05,0,0,0.00252864,0.00147004,0,-0.000327726,0.000336588,0,0.000437667,0,0.000774255,0.000353702,0.00133289,0.00654602,0.497565,0.15,0,0.00561919,0.00561919,0.14392,0,0,0.14392,0.155619,1.59,10.6,7.61636e-07,0.0128,0,0.00938832,0,0,0.00327117,0,0,0.000184035,0,0,0.000490012,0,0,8.58866e-07,0,0,0.731955,0.287275,23.9,0,0,0,0,0,0,6.81292e-07,6.81285e-07
setup,0,2015-01-03 23:00:00,ANGA,19,1769.58,1,0,0,9.51753e-06,1.47623e-05,0,0,3.78067e-05,0,0,0.00472241,0,0,-0.000669032,0.000343458,1.97611e-06,0.000489657,0,0.000835091,0.000282378,0.00173747,0.00672156,0.493006,0.15,0,0.0160576,0.0160576,0.142302,0,0,0.142302,0.166058,1.59,10.6,8.25564e-07,0.0128,0.00092523,0.00981941,0,0,0.00333218,0,0,0.000187096,0,0,0,0,0,9.30955e-07,0,0,0.702765,0.318847,23.9,0,0,0,0,0,0,6.81744e-07,6.81492e-07
setup,0,2015-01-04 23:00:00,ANGA,19,1787.43,1,0,0,9.17535e-06,1.53186e-05,0,0,4.53288e-05,0,0,0.00436381,0,0,-0.000572409,0.000336044,1.12368e-05,0.000506188,0,0.000853468,0.000281379,0.0014546,0.00633056,0.489535,0.15,0,0.0256259,0.0256259,0.140974,0,0,0.140974,0.175626,1.59,10.6,8.53765e-07,0.0128,0.00188547,0.0101081,0,0,0.0033933,0,0,0.000184993,0,0,0,0,0,9.62756e-07,0,0,0.665389,0.279122,23.9,0,0,0,0,0,0,6.8128e-07,6.81279e-07
setup,0,2015-01-05 23:00:00,ANGA,19,1806.04,1,0,0,8.85467e-06,1.50375e-05,0,0,5.51388e-05,0,0,0.0046969,0,0,-0.000422834,0.000337042,2.65555e-05,0.000525466,0,0.000889063,0.000333497,0.00156563,0.00694187,0.487418,0.15,0,0.035919,0.035919,0.139996,0,0,0.139996,0.185919,1.59,10.6,8.70668e-07,0.0128,0.00270295,0.0103222,0,0,0.00346215,0,0,0.000183266,0,0,0,0,0,9.81817e-07,0,0,0.626535,0.296072,23.9,0,0,0,0,0,0,6.81279e-07,6.81279e-07
setup,0,2015-01-06 23:00:00,ANGA,19,1825.18,1,0,0,9.46866e-06,1.41043e-05,0,0,6.61762e-05,0,0,0.00475715,2.15624e-05,0,-0.000330627,0.000351758,4.86371e-05,0.000544195,0,0.00094459,0.000390012,0.00159291,0.00723791,0.486097,0.15,0,0.0463404,0.0463404,0.139277,0,0,0.139277,0.19634,1.59,10.6,8.82931e-07,0.0128,0.00346037,0.0104815,0,0,0.00354018,0,0,0.000181995,0,0,7.18747e-06,0,0,9.95645e-07,0,0,0.70449,0.34043,23.9,0,0,0,0,0,0,7.6093e-07,7.17799e-07
setup,0,2015-01-07 23:00:00,ANGA,19,1843.05,1,0,0,9.54891e-06,1.16707e-05,0,0,6.5442e-05,0,0,0.00378168,8.44858e-06,0,-0.000343943,0.000341406,7.50605e-05,0.000539775,0,0.000956242,0.000378028,0.00126577,0.0060139,0.484656,0.15,0,0.0545533,0.0545533,0.138541,0,0,0.138541,0.204553,1.59,10.6,8.91954e-07,0.0128,0.00436274,0.0106172,0,0,0.00362892,0,0,0.00018106,0,0,2.81619e-06,0,0,1.00582e-06,0,0,0.687882,0.306552,23.9,0,0,0,0,0,0,6.89125e-07,6.84876e-07
setup,0,2015-01-08 23:00:00,ANGA,19,1859.98,1,0,0,8.86838e-06,1.16812e-05,0,0,6.32473e-05,0,0,0.00350233,2.1305e-05,0,-0.0003316,0.000325454,9.87206e-05,0.000524752,0,0.000948926,0.000361811,0.00117548,0.00567855,0.483344,0.15,0,0.0621281,0.0621281,0.13788,0,0,0.13788,0.212128,1.59,10.6,8.98733e-07,0.0128,0.0050933,0.0107205,0,0,0.00371457,0,0,0.000180104,0,0,7.10168e-06,0,0,1.01347e-06,0,0,0.824984,0.272199,23.9,0,0,0,0,0,0,7.72803e-07,7.23243e-07
setup,0,2015-01-09 23:00:00,ANGA,19,1877.71,1,0,0,9.00705e-06,1.06614e-05,0,0,7.01792e-05,0,0,0.00396026,0.000106828,0,-0.000311223,0.000329896,0.000127824,0.000528253,0,0.000985973,0.000405412,0.00135806,0.00643765,0.482336,0.15,0,0.0707138,0.0707138,0.137461,0,0,0.137461,0.220714,1.59,10.6,9.03141e-07,0.0128,0.00557788,0.0107879,0,0,0.00379735,0,0,0.000179244,0,0,3.56092e-05,0,0,1.01844e-06,0,0,0.801772,0.308098,23.9,0,0,0,0,0,0,6.86809e-07,6.83814e-07
setup,0,2015-01-10 23:00:00,ANGA,19,1896.56,1,0,0,9.05897e-06,1.18148e-05,0,0,7.9562e-05,0,0,0.00392501,0.000153508,0,-0.000311683,0.000347538,0.000165474,0.000545622,0,0.00105863,0.000455467,0.00137138,0.00655123,0.481405,0.15,0,0.0792008,0.0792008,0.137166,0,0,0.137166,0.229201,1.59,10.6,9.06063e-07,0.0128,0.00605667,0.0108371,0,0,0.00388618,0,0,0.000178699,0,0,5.11694e-05,0,0,1.02173e-06,0,0,0.768054,0.280523,23.9,0,0,0,0,0,0,6.8128e-07,6.81279e-07
