source	id	datetime	species	day_emergence	gdd[oC]	dvs_flush[-]	dvs_mort[-]	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	N2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_dfol[kgDWm-2]	DW_fru[kgDWm-2]	DW_stemfru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_lst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	dN_lit_fol[kgNm-2]	dN_lit_fru[kgNm-2]	dN_lit_frt[kgNm-2]	dN_lit_ldst_below[kgNm-2]	dN_lit_ldst_above[kgNm-2]	drought_rel[-]	conduct_rel[-]	vc_act_25[umol:m-2:s-1]	iso_act[nmol:m-2:s-1]	mono_act[nmol:m-2:s-1]	d_iso_emis[umol:m-2]	d_mono_emis[umol:m-2]	d_mono_storage_emis[umol:m-2]	d_ovoc_emis[umol:m-2]	dN_nh4_throughf[kgN:L-1]	dN_no3_throughf[kgN:L-1]
setup	0	2006-01-01 23:00:00	ANGA	19	1736.45	1	0	0	1.48926e-06	6.41803e-06	0	0	2.75299e-05	0	0	0	0	0	0	7.37738e-05	0	5.61966e-05	0	0.00012997	0.00013765	0	0	0.5	0.03	0	0	0	0.0283131	0	0	0.0283131	0.03	0.318	10.6	9.9081e-08	0.0128	0	0.0057235	0	0	0.00054605	0	0	3.6855e-05	0	0	0	0	0	1.1173e-07	0	0	0.740793	0	23.9	0	0	0	0	0	0	6.81428e-07	6.81347e-07
setup	0	2006-01-01 23:00:00	BUAF	41	1743.1	0.000354537	0.0340018	0	1.48926e-06	6.41803e-06	0	0	0	0	0	0	0	0	0	0.000929421	1.59901e-05	0.000108767	0.00238708	0.00344126	0	0	0	0.15	1.13082	0	0.0293783	83.0946	0.502942	87.0698	66.7548	71.2622	84.2255	9.15963	8.1	0.000504	0.029	0.029	0.0050021	0.008	0.0079986	1.26666	0.0398033	0	0.0010584	0.000387724	0.00916667	0	0.000768249	0	2.8177e-06	3.10156e-06	5.0025e-05	0.741126	0	32.2	0	0	0	0	0	0	6.81428e-07	6.81347e-07
setup	0	2006-01-01 23:00:00	:ALL:	41	1743.1	1	0.0340018	0	2.97852e-06	1.28361e-05	0	0	2.75299e-05	0	0	0	0	0	0	0.0010032	1.59901e-05	0.000164964	0.00238708	0.00357123	0.00013765	0	0	0.475	1.16082	0	0.0293783	83.0946	0.531255	87.0698	66.7548	71.2906	84.2555	9.47763	18.7	0.000504099	0.03732	0.029	0.00872238	0.008	0.0079986	1.26721	0.0398033	0	0.00109526	0.000387724	0.00916667	0	0.000768249	0	2.92943e-06	3.10156e-06	5.0025e-05	1.22264	0	56.1	0	0	0	0	0	0	-99.99	-99.99
setup	0	2006-01-02 23:00:00	ANGA	19	1757.34	1	0	0	8.52636e-05	0.000138243	0	0	2.06671e-05	0	0	0	0	0	-0.000457632	7.43596e-05	0	7.64016e-05	0	0.000150761	0.000114034	0	-0.000198054	0.481347	0.03	0	0	0	0.0272594	0	0	0.0272594	0.03	0.318	10.6	9.90127e-08	0.0128	0	0.00724066	0	0	0.000581376	0	0	3.68071e-05	0	0	0	0	0	1.11653e-07	0	0	0.721726	2.06754e-05	23.9	0	0	0	0	0	0	6.81338e-07	6.81306e-07
setup	0	2006-01-02 23:00:00	BUAF	41	1764.13	0.000323849	0	0	8.52636e-05	0.000138243	0	0	1.4761e-05	0	0	0.00425168	0.00582824	9.25607e-05	-0.00083606	0.000892604	3.80801e-05	0.000124634	0.00750921	0.00856453	0.000496869	0.00339082	0.0163303	0.149982	1.13082	0	0.0388258	83.0981	0.514826	87.0241	66.7892	71.269	84.2289	9.15963	8.1	0	0.029	0.0219434	0.00487637	0.00800015	0.0079986	1.26658	0	0	0.00105618	0.000387696	0.00916223	0.000306749	0	0	5.28311e-06	3.10137e-06	7.32976e-05	0.726908	0.421873	32.2	0	0	0	0	0	0	6.81338e-07	6.81306e-07
setup	0	2006-01-02 23:00:00	:ALL:	41	1764.13	1	0	0	0.000170527	0.000276485	0	0	3.54281e-05	0	0	0.00425168	0.00582824	9.25607e-05	-0.00129369	0.000966963	3.80801e-05	0.000201036	0.00750921	0.00871529	0.000610903	0.00339082	0.0161322	0.462857	1.16082	0	0.0388258	83.0981	0.542086	87.0241	66.7892	71.2962	84.2589	9.47763	18.7	9.90127e-08	0.03732	0.0219434	0.0095828	0.00800015	0.0079986	1.26716	0	0	0.00109298	0.000387696	0.00916223	0.000306749	0	0	5.39476e-06	3.10137e-06	7.32976e-05	1.19603	0.421894	56.1	0	0	0	0	0	0	-99.99	-99.99
setup	0	2006-01-03 23:00:00	ANGA	19	1778.12	1	0	0	5.04548e-05	5.61479e-05	0	0	1.36303e-05	0	0	0	0	0	-0.000456663	7.48815e-05	0	8.80935e-05	0	0.000162975	7.52643e-05	0	-0.000200104	0.461239	0.03	0	0	0	0.0262091	0	0	0.0262091	0.03	0.318	10.6	1.20597e-07	0.0128	0	0.00852729	0	0	0.000607493	0	0	3.54372e-05	0	0	0	0	0	1.35992e-07	0	0	0.678828	1.98485e-05	23.9	0	0	0	0	0	0	6.8255e-07	6.81862e-07
setup	0	2006-01-03 23:00:00	BUAF	41	1785.01	0.000295665	0	0	5.04548e-05	5.61479e-05	0	0	5.83358e-06	0	0	0.00186488	0.00521342	0	-0.00348469	0.000904228	5.98268e-05	0.000137466	0.00747147	0.00857299	0.000641984	0.00246168	0.0151259	0.149907	1.13082	0	0.0429666	83.0929	0.525285	86.9725	66.8237	71.2715	84.2237	9.15963	8.1	0.000176688	0.029	0.0262057	0.00500069	0.00800071	0.00799692	1.26677	0	0	0.00108114	0.000387653	0.00915761	0.000274391	0	0	2.63601e-06	3.10086e-06	3.8451e-05	0.691953	0.426349	32.2	0	0	0	0	0	0	6.8255e-07	6.81862e-07
setup	0	2006-01-03 23:00:00	:ALL:	41	1785.01	1	0	0	0.00010091	0.000112296	0	0	1.94639e-05	0	0	0.00186488	0.00521342	0	-0.00394135	0.000979109	5.98268e-05	0.00022556	0.00747147	0.00873596	0.000717248	0.00246168	0.0149258	0.449712	1.16082	0	0.0429666	83.0929	0.551494	86.9725	66.8237	71.2977	84.2537	9.47763	18.7	0.000176808	0.03732	0.0262057	0.0105434	0.00800071	0.00799692	1.26738	0	0	0.00111657	0.000387653	0.00915761	0.000274391	0	0	2.772e-06	3.10086e-06	3.8451e-05	1.13319	0.426369	56.1	0	0	0	0	0	0	-99.99	-99.99
setup	0	2006-01-04 23:00:00	ANGA	19	1798.9	1	0	0	5.96203e-05	6.48071e-05	0	0	8.37109e-06	0	0	0	0	0	-0.000414278	7.38336e-05	0	9.5433e-05	0	0.000169267	4.64915e-05	0	-0.000184172	0.441547	0.03	0	0	0	0.0252544	0	0	0.0252544	0.03	0.318	10.6	1.36554e-07	0.0128	0	0.00953631	0	0	0.000624834	0	0	3.40719e-05	0	0	0	0	0	1.53987e-07	0	0	0.62675	2.7228e-05	23.9	0	0	0	0	0	0	6.81722e-07	6.81482e-07
