source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2006-01-01 23:00:00	5.69791e-07	15.1414	6.54555	0.00116066	6.8916e-08	0.000240292	2.2695e-06	0.000659836	0.00154894	0.0243892	8.68131e-09	0	0	0	220.365	8.16603	8.18274	0.0763818	0.0136278	0.798162	4.36739	2.40188	0.16507	7.92073e-05	321952	202457	52302.5	87094.6	629.352	232.72	392.829	97.3993	13.5315	55419.7	13845.2	5710.4	16437.7	4243.95	7068.83	72.2723	8.61299	7.55371	11.5075	6.53719	985.006	246.137	0.45239
setup	0	2006-01-02 23:00:00	2.47953e-07	41.4122	16.0825	0.103619	3.74062e-07	0.0156878	1.00266e-08	0.00111151	0.0165679	0.138862	2.92691e-07	0	0	0	41.23	11.1828	0.732976	0.101022	0.0136264	1.90411	1.6148	1.57297	0.353791	0.000202636	321938	202457	52308.9	87093.3	628.611	241.527	383.631	116.769	10.3758	55459.1	13845	5711.93	16436.3	4244.06	7067.99	72.161	8.70788	7.524	12.4408	4.93879	985.706	246.134	0.432624
setup	0	2006-01-03 23:00:00	1.14001e-07	39.2207	22.3881	0.0948268	1.64145e-07	0.0128949	3.46584e-09	0.00137329	0.0279156	0.180373	1.35177e-06	0	0	0	41.2092	10.904	0.384509	0.0758727	0.0136441	1.49575	2.49131	1.95633	0.167019	0.000194341	321904	202453	52313.6	87090.2	632.568	250.404	373.566	130.655	6.24954	55498.4	13844.7	5713.17	16435.5	4244.31	7067.48	71.1557	8.77855	7.46173	13.305	5.10197	986.058	246.128	0.420491
setup	0	2006-01-04 23:00:00	2.00182e-07	41.1025	23.4627	0.0221387	0	0.0177263	0	0.00130011	0.0229922	0.139675	3.23744e-06	0	0	0	41.1856	11.4418	0.384321	0.0777519	0.013632	1.09275	2.17389	1.82357	0.145618	0.000156273	321887	202448	52318.6	87088	639.655	259.209	363.023	138.755	6.30172	55537.8	13844.3	5713.92	16435.2	4244.74	7067.27	71.2697	8.85008	7.37737	13.8659	4.94594	986.41	246.121	0.398812
setup	0	2006-01-05 23:00:00	3.97092e-07	40.9943	24.1302	0.0107881	0	0.0190028	0	0.0012129	0.0196811	0.127164	6.02544e-06	0	0	0	41.1631	11.5321	0.464973	0.103287	0.0136261	1.00828	2.18623	1.89841	0.161761	0.000154804	321875	202443	52324	87086.1	647.615	267.869	352.797	145.601	6.34668	55577.3	13844	5713.88	16434.9	4245.19	7067.11	71.4925	8.94424	7.29077	14.3384	4.83159	986.845	246.116	0.38563
setup	0	2006-01-06 23:00:00	5.83198e-07	39.5736	24.1214	0.00391313	0	0.0176077	0	0.00116439	0.0191136	0.123405	1.00004e-05	0	0	0	41.1411	11.4135	0.504772	0.107402	0.0136256	0.816995	2.09128	1.91843	0.163423	0.000158766	321860	202438	52329.9	87084.7	655.568	276.383	342.973	152.268	6.5181	55616.8	13843.8	5713.86	16434.8	4245.71	7067.06	71.907	9.03923	7.20567	14.8034	4.75098	987.321	246.111	0.364923
setup	0	2006-01-07 23:00:00	2.00021e-10	39.3553	23.7965	0.00753121	0	0.0214018	0	0.00109929	0.0189539	0.123201	1.57243e-05	0	0	0	41.1192	11.4487	0.551205	0.112137	0.0136256	0.701638	2.02974	1.96185	0.172736	0.000168861	321844	202434	52336.4	87084	662.988	284.747	333.58	159.504	6.98237	55656.5	13843.6	5713.82	16434.8	4246.28	7067.08	72.3726	9.13562	7.12432	15.3287	4.6814	987.846	246.108	0.350214
setup	0	2006-01-08 23:00:00	6.46402e-12	40.5004	23.1159	0.0148016	0	0.02025	0	0.00101605	0.0191013	0.124716	2.37346e-05	0	0	0	41.0974	11.6652	0.577751	0.115307	0.0136256	0.631711	1.94853	1.96385	0.176075	0.000179397	321833	202430	52343.9	87084.5	669.59	292.889	324.936	167.382	7.75598	55696.2	13843.5	5713.79	16434.9	4246.86	7067.12	72.8293	9.23045	7.05746	15.9076	4.6256	988.4	246.107	0.333239
setup	0	2006-01-09 23:00:00	2.46218e-12	40.114	22.3124	0.0290624	0	0.018368	0	0.000931752	0.0190307	0.120499	3.45916e-05	0	0	0	41.7363	11.683	0.612464	0.117687	0.0136257	0.525418	1.84128	1.94203	0.173221	0.000186349	321822	202426	52352.2	87085.8	675.373	301.471	317.137	175.878	8.47884	55736.1	13843.6	5713.75	16435.1	4247.49	7067.22	73.2962	9.34151	7.00891	16.5324	4.60698	988.973	246.109	0.313821
setup	0	2006-01-10 23:00:00	8.89911e-13	40.4063	21.4237	0.0606481	0	0.0175398	0	0.000861264	0.0191733	0.120511	4.83736e-05	0	0	0	41.8072	11.7881	0.638758	0.120811	0.013626	0.554343	1.79028	1.94075	0.180208	0.000199463	321812	202424	52361.3	87088.1	680.451	309.952	310.155	184.728	9.34932	55776.1	13843.9	5713.7	16435.2	4248.09	7067.28	73.6785	9.45383	6.97839	17.1949	4.57304	989.571	246.114	0.302649
