source	id	datetime	species	area_cover[-]	area_fraction[-]	n_tree[ha-1]	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	sla[m2kg-1]	lai[-]	crown_diam_ratio[-]	sap_fol_ratio[-]	branch_fraction[-]	DW_stem_wood[kgm-2]	DW_branch_wood[kgm-2]	DW_root_wood[kgm-2]
setup	0	2018-07-27 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-07-28 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-07-29 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-07-30 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-07-31 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-01 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-02 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-03 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-04 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-05 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-06 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-07 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-08 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-09 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-10 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-11 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-12 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-13 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-14 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-15 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-16 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-17 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-18 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-19 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-20 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-21 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-22 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-23 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-24 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-25 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-26 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-27 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-28 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-29 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-30 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
setup	0	2018-08-31 23:00:00	ANGA	1	1	0	0	1.2	0	0	0	1.2	424	0.0200439	1	0	0	0	0	0
