source	id	datetime	species	area_cover	area_fraction	n_tree	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	lai	crown_diam_ratio	sap_fol_ratio	branch_fraction	stem_wood[kgm-2]	branch_wood[kgm-2]	root_wood[kgm-2]
setup	0	2006-12-31 23:00:00	ANGA	1	0.65	0	0	0.35	0	0	0	0.35	0.00513953	1	0	0	0	0	0
setup	0	2006-12-31 23:00:00	BUAF	1	1	548.901	746.631	15.022	10.7344	0.275074	0.5	0.680318	0.546551	15.2212	76.2151	0.200003	63.4957	15.8742	67.6114
setup	0	2006-12-31 23:00:00	:ALL:	1	1.65	548.901	746.631	15.022	10.7344	0.275074	0.5	0.680318	0.333267	15.2212	76.2151	0.200003	63.4957	15.8742	67.6114
setup	0	2007-12-31 23:00:00	ANGA	1	0.65	0	0	0.35	0	0	0	0.35	0	1	0	0	0	0	0
setup	0	2007-12-31 23:00:00	BUAF	1	1	547.804	719.509	15.022	10.7344	0.275074	0.5	0.680318	1.33262	15.2212	76.4499	0.200003	61.1914	15.2981	65.1578
setup	0	2007-12-31 23:00:00	:ALL:	1	1.65	547.804	719.509	15.022	10.7344	0.275074	0.5	0.680318	0.807648	15.2212	76.4499	0.200003	61.1914	15.2981	65.1578
setup	0	2008-12-31 23:00:00	ANGA	1	0.65	0	0	0.35	0	0	0	0.35	0	1	0	0	0	0	0
setup	0	2008-12-31 23:00:00	BUAF	1	1	546.707	704.951	15.022	10.7344	0.275074	0.5	0.680319	1.14166	15.2212	76.4499	0.200003	59.9405	14.9854	63.8257
setup	0	2008-12-31 23:00:00	:ALL:	1	1.65	546.707	704.951	15.022	10.7344	0.275074	0.5	0.680319	0.691916	15.2212	76.4499	0.200003	59.9405	14.9854	63.8257
setup	0	2009-12-31 23:00:00	ANGA	1	0.65	0	0	0.35	0	0	0	0.35	0	1	0	0	0	0	0
setup	0	2009-12-31 23:00:00	BUAF	1	1	545.615	697.236	15.022	10.7344	0.275074	0.5	0.680319	0.908266	15.2212	76.45	0.200003	59.2974	14.8246	63.141
