source,id,datetime,irri[mm],prec[mm],throughfall[mm],evapot[mm],potential_transpiration[mm],transp[mm],evacep[mm],evasoil[mm],evasurfacewater[mm],runoff[mm],percol[mm],infiltration[mm],groundwateraccess[mm],groundwaterloss[mm],capillaryrise[mm],snow_height[mm],snow[mmh2oeq],surfacewater[mm],soil_water[mm],root_soil_water[mm],leafwater[mm],soilwater_floor[%],soilwater_5cm[%],soilwater_10cm[%],soilwater_15cm[%],soilwater_20cm[%],soilwater_30cm[%],soilwater_40cm[%],soilwater_50cm[%],soilwater_60cm[%],soilwater_80cm[%],soilwater_100cm[%],soilwater_120cm[%],capillary_pressure_5cm[hPa],capillary_pressure_10cm[hPa],capillary_pressure_15cm[hPa],capillary_pressure_20cm[hPa],capillary_pressure_30cm[hPa],capillary_pressure_50cm[hPa],capillary_pressure_100cm[hPa],groundwaterdepth[m],irrigationreservoir[m],plant_waterdeficit[m]
setup,0,2006-01-01 23:00:00,0,0.51,0.51,3.72779,0,0,0,0.869272,0.155324,0,1.15662e-06,0.354676,0,0,0,0,0,0,127.878,127.878,0,19.4315,19.3286,19.2676,19.2537,19.3025,19.3956,20.253,20.2516,20.2512,-99.99,-99.99,-99.99,81.5719,83.2157,83.5964,82.2695,79.8082,49.2578,-99.99,99,0,0
setup,0,2006-01-02 23:00:00,0,0.32,0,3.69069,33.8432,0,0.32,0.803159,0,0,6.23785e-06,0,0,0,0,0,0,0,127.075,127.075,0,18.9318,18.9665,18.984,19.024,19.1168,19.3112,20.2524,20.2518,20.2514,-99.99,-99.99,-99.99,91.9616,91.4214,90.2061,87.4623,82.0358,49.2547,-99.99,99,0,0
setup,0,2006-01-03 23:00:00,0,1.49,0,3.6624,28.8222,2.1724,1.49,0,0,0,2.72429e-06,0,0,0,0,0,0,0,124.902,124.902,0,18.2415,18.0573,18.2075,18.4163,18.5981,18.974,20.1414,20.2043,20.232,-99.99,-99.99,-99.99,126.187,119.566,111.061,104.253,91.7306,49.9756,-99.99,99,0,0
setup,0,2006-01-04 23:00:00,0,0.88,0,3.65171,36.0382,2.77171,0.88,0,0,0,0,0,0,0,0,0,0,0,122.131,122.131,0,17.2473,17.0266,17.2492,17.6407,17.9239,18.5193,19.9848,20.1366,20.2041,-99.99,-99.99,-99.99,186.14,170.643,147.046,132.443,107.14,51.028,-99.99,99,0,0
setup,0,2006-01-05 23:00:00,0,0.26,0,3.61462,37.7451,3.35462,0.26,0,0,0,0,0,0,0,0,0,0,0,118.776,118.776,0,16.0982,15.8641,16.1395,16.7069,17.0943,17.9335,19.7703,20.0423,20.1651,-99.99,-99.99,-99.99,302.185,268.089,211.556,181.252,131.981,52.5375,-99.99,99,0,0
setup,0,2006-01-06 23:00:00,0,0.04,0,3.6673,36.6565,3.6273,0.04,0,0,0,0,0,0,0,0,0,0,0,115.149,115.149,0,14.9367,14.6915,15.0029,15.7105,16.1876,17.2589,19.504,19.9229,20.1151,-99.99,-99.99,-99.99,523.968,449.592,323.537,262.62,170.004,54.5296,-99.99,99,0,0
setup,0,2006-01-07 23:00:00,0,0.05,0,3.81693,38.0674,3.76693,0.05,0,0,0,0,0,0,0,0,0,0,0,111.382,111.382,0,13.8187,13.5603,13.8933,14.6986,15.2445,16.5173,19.1848,19.7762,20.053,-99.99,-99.99,-99.99,960.751,796.534,522.108,400.695,228.647,57.1054,-99.99,99,0,0
setup,0,2006-01-08 23:00:00,0,0.04,0,3.84852,40.3802,3.80852,0.04,0,0,0,0,0,0,0,0,0,0,0,107.573,107.573,0,12.7699,12.5057,12.8454,13.7072,14.2989,15.7314,18.8128,19.6,19.9774,-99.99,-99.99,-99.99,1846.24,1479.77,883.618,640.597,320.522,60.3986,-99.99,99,0,0
setup,0,2006-01-09 23:00:00,0,0.12,0,3.89421,40.9186,3.77421,0.12,0,0,0,0,0,0,0,0,0,0,0,103.799,103.799,0,11.8114,11.5443,11.88,12.7636,13.3794,14.9248,18.39,19.3929,19.8869,-99.99,-99.99,-99.99,3700.36,2865.71,1559.17,1067.42,466.953,64.5747,-99.99,99,0,0
setup,0,2006-01-10 23:00:00,0,0.22,0,4.03351,43.9733,3.81351,0.22,0,0,0,0,0,0,0,0,0,0,0,99.9855,99.9855,0,10.9249,10.6525,10.9781,11.8556,12.4772,14.0913,17.9036,19.145,19.7766,-99.99,-99.99,-99.99,7931.72,5911,2918.05,1881.89,715.184,70.0484,-99.99,99,0,0
