source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	potential_transpiration[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	2018-07-28 23:00:00	0	1.72	1.72	3.15254	0	0	0	0.816412	0.131356	0	0	1.58864	0	0	0	0	0	0	1006.44	378.942	0	28.0334	24.3079	24.3651	24.9887	25.023	24.9443	29.6698	29.5378	29.5041	29.4741	36.5511	36.5498	0.130516	0.130136	0.136065	0.135775	0.136441	0.107119	0.0738432	99	0	0
setup	0	2018-07-29 23:00:00	0	1.72	1.71134	3.1528	0	0	0.0086552	0.82808	0.122712	0	0	1.58863	0	0	0	0	0	0	1007.2	379.667	0	29.8429	24.5232	24.3911	24.835	24.8859	24.8374	29.6686	29.5746	29.5386	29.4801	36.5512	36.54	0.12909	0.129963	0.137374	0.136938	0.137354	0.106904	0.0738425	99	0	0
setup	0	2018-07-30 23:00:00	0	1.72	1.71134	3.15307	0	0	0.0086552	0.836995	0.122723	0	0	1.58862	0	0	0	0	0	0	1007.95	380.364	0	30.5043	25.0342	24.792	24.6837	24.7627	24.761	29.6527	29.5883	29.5578	29.4898	36.5478	36.5219	0.125788	0.127339	0.138681	0.137997	0.138012	0.106824	0.0738583	99	0	0
setup	0	2018-07-31 23:00:00	0	55.62	55.5161	2.75159	0	0	0.103862	0.458615	1.27193	0	0	54.2442	0	0	0	0	0	0	1061.74	433.334	0	32.5589	31.1861	31.1582	29.6073	29.9286	29.9752	35.9914	35.9999	36	35.6123	36.8374	36.5452	0.0928986	0.0930268	0.103325	0.101405	0.10113	0.0744002	0.0725259	99	0	0
setup	0	2018-08-01 23:00:00	0	0	0	2.78108	0	0	0	0.918808	0	0	0	0	0	0	0	0	0	0	1060.82	432.305	0	31.169	30.7583	30.8219	29.4303	29.7883	29.9248	35.9875	35.9426	35.8634	34.2241	37.9052	36.6868	0.0948806	0.0945838	0.104397	0.102239	0.101427	0.0746602	0.0676673	99	0	0
setup	0	2018-08-02 23:00:00	0	0	0	2.92602	0	0	0	0.954974	0	0	0	0	0	0	0	0	0	0	1059.86	431.075	0	30.5583	30.3275	30.4687	29.2438	29.6409	29.8717	35.9203	35.7682	35.5985	33.8748	38.2686	36.9368	0.0969113	0.0962417	0.10554	0.103122	0.101742	0.0754529	0.066028	99	0	0
setup	0	2018-08-03 23:00:00	0	0	0	2.84702	0	0	0	0.917692	0	0	0	0	0	0	0	0	0	0	1058.95	429.766	0	29.5773	29.9136	30.128	29.0632	29.4978	29.8199	35.789	35.5619	35.3494	33.6905	38.4511	37.1544	0.0988976	0.0978641	0.106659	0.103987	0.102051	0.0763944	0.065206	99	0	0
setup	0	2018-08-04 23:00:00	0	0	0	2.75087	0	0	0	0.876149	0	0	0	0	0	0	0	0	0	0	1058.07	428.441	0	29.0411	29.5187	29.8017	28.8894	29.3598	29.7651	35.6286	35.3632	35.1358	33.5694	38.5629	37.327	0.100827	0.0994408	0.107747	0.104828	0.102377	0.0773057	0.0647031	99	0	0
setup	0	2018-08-05 23:00:00	0	0	0	2.6325	0	0	0	0.828911	0	0	0	0	0	0	0	0	0	0	1057.24	427.137	0	28.5383	29.1453	29.4921	28.7239	29.2281	29.6483	35.4617	35.18	34.9512	33.4791	38.6383	37.4641	0.102684	0.100958	0.108795	0.105637	0.103078	0.0781496	0.0643639	99	0	0
setup	0	2018-08-06 23:00:00	0	0	0	2.54862	0	0	0	0.793658	0	0	0	0	0	0	0	0	0	0	1056.45	425.859	0	28.0609	28.7881	29.1949	28.5644	29.1008	29.5262	35.2967	35.0123	34.7885	33.4056	38.6919	37.575	0.104492	0.102436	0.109815	0.106425	0.103815	0.0789256	0.0641229	99	0	0
setup	0	2018-08-07 23:00:00	0	0	0	2.74479	0	0	0	0.845095	0	0	0	0	0	0	0	0	0	0	1055.6	424.53	0	27.5569	28.4081	28.8775	28.3934	28.9641	29.3976	35.1385	34.8586	34.6427	33.3423	38.7309	37.6663	0.10645	0.104037	0.11092	0.107278	0.104597	0.0796402	0.0639474	99	0	0
setup	0	2018-08-08 23:00:00	0	0	0	2.79499	0	0	0	0.850342	0	0	0	0	0	0	0	0	0	0	1054.75	423.2	0	27.0544	28.0261	28.5572	28.2202	28.8252	29.2688	34.9863	34.7162	34.5099	33.2853	38.7596	37.7426	0.108458	0.105677	0.112052	0.108152	0.105387	0.0803049	0.0638188	99	0	0
setup	0	2018-08-09 23:00:00	0	0	0	2.87798	0	0	0	0.86493	0	0	0	0	0	0	0	0	0	0	1053.89	421.864	0	26.548	27.6379	28.2306	28.0428	28.6826	29.1474	34.8422	34.5834	34.3871	33.2326	38.7803	37.8071	0.11054	0.107378	0.113225	0.109058	0.106136	0.0809272	0.0637256	99	0	0
setup	0	2018-08-10 23:00:00	0	0	0	2.89725	0	0	0	0.859889	0	0	0	0	0	0	0	0	0	0	1053.03	420.542	0	26.0493	27.2523	27.905	27.8652	28.5395	29.0283	34.7057	34.4593	34.273	33.1829	38.7949	37.8622	0.112652	0.109103	0.114414	0.109975	0.106877	0.0815109	0.0636601	99	0	0
setup	0	2018-08-11 23:00:00	0	0	0	2.65127	0	0	0	0.777436	0	0	0	0	0	0	0	0	0	0	1052.25	419.313	0	25.6025	26.9042	27.6098	27.7036	28.409	28.9168	34.5768	34.3427	34.1661	33.1355	38.8045	37.9095	0.114599	0.110692	0.115508	0.110819	0.107575	0.0820614	0.063617	99	0	0
setup	0	2018-08-12 23:00:00	0	0	0	2.69627	0	0	0	0.781479	0	0	0	0	0	0	0	0	0	0	1051.47	418.091	0	25.1572	26.5546	27.3124	27.5401	28.2766	28.8081	34.4547	34.2329	34.0656	33.0898	38.81	37.9503	0.116594	0.11232	0.116628	0.111682	0.10826	0.0825815	0.0635923	99	0	0
setup	0	2018-08-13 23:00:00	0	0	0	2.66731	0	0	0	0.764091	0	0	0	0	0	0	0	0	0	0	1050.71	416.898	0	24.7256	26.2132	27.0209	27.3792	28.146	28.7045	34.3386	34.1289	33.9706	33.0456	38.8121	37.9855	0.118583	0.113942	0.117743	0.112541	0.108919	0.0830754	0.0635828	99	0	0
