Date,Time,NEE,qc_co2_flux,u,H,LE,h2o_flux,VPD,Rg,PPFD,Temp,Precip,SWC_3_1_1,SWC_2_1_1,SWC_1_1_1,RH,e,es,Tdew,Ts_1_1_1,Ts_2_1_1,Ts_3_1_1,wind_speed,wind_dir,max_wind_speed
07/27/2018,16:30,-2.37061,1,0.407068,198.719,33.9648,0.770013,1.30513,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1342.96,2648.09,284.504,-9999,-9999,-9999,4.32111,111.838,8.31166
07/27/2018,17:00,0.0167186,1,0.383626,72.608,12.4233,0.281491,1.20985,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1347.33,2557.18,284.553,-9999,-9999,-9999,4.72618,115.716,8.29607
07/27/2018,17:30,0.901,1,0.403668,51.1492,7.32752,0.165973,1.1645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1338.16,2502.66,284.45,-9999,-9999,-9999,5.10416,119.795,9.00882
07/27/2018,18:00,1.50758,1,0.456925,30.0356,7.09788,0.160704,1.10423,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1331.72,2435.94,284.377,-9999,-9999,-9999,5.49506,125.099,9.21552
07/27/2018,18:30,2.18031,1,0.439684,6.88988,4.15294,0.0939839,1.03437,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1331.57,2365.94,284.375,-9999,-9999,-9999,5.27736,122.381,9.40045
07/27/2018,19:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
07/27/2018,19:30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
07/27/2018,20:00,1.54389,1,0.23918,-5.3279,2.76288,0.062426,0.76599,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1368.55,2134.54,284.789,-9999,-9999,-9999,3.26066,96.9853,5.22136
07/27/2018,20:30,2.08662,1,0.328561,-13.8217,3.42078,0.0772961,0.781284,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1362.06,2143.35,284.717,-9999,-9999,-9999,3.87237,110.059,7.05165
07/27/2018,21:00,1.54564,1,0.270287,-14.1782,0.805892,0.0182039,0.729474,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1367.86,2097.33,284.781,-9999,-9999,-9999,3.9653,107.613,6.4622
07/27/2018,21:30,1.57967,1,0.241932,-20.9184,-0.62045,-0.0140084,0.658192,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1375.71,2033.9,284.868,-9999,-9999,-9999,3.72909,103.969,6.34192
