year,month,day,lai
2018,1,1,0.43974102
2018,1,9,0.607915833
2018,1,17,0.535380658
2018,1,,0
2018,2,2,0.4
2018,2,10,0.455280971
2018,2,18,0
2018,2,26,0.435380658
2018,3,6,0.442387128
2018,3,14,0.176603821
2018,3,22,1.040015442
2018,3,30,0.881994771
2018,4,7,0.764619342
2018,4,15,0.430906074
2018,4,23,1.676526923
2018,5,1,1.907546127
2018,5,9,1.732365843
2018,5,17,1.953669308
2018,5,25,2.013314518
2018,6,2,0.860575367
2018,6,10,1.22251544
2018,6,18,0.455760646
2018,6,26,1.255528912
2018,7,4,0.69239062
2018,7,12,0.32603841
2018,7,20,0.834490398
2018,7,28,0.703555471
2018,8,5,0.693861903
2018,8,13,0.518122577
2018,8,21,0.194131731
2018,8,29,0.100269828
2018,9,6,0.501777736
2018,9,14,0.453773063
2018,9,22,0.277169242
2018,9,30,0.3
2018,10,8,0.435650486
2018,10,16,0.370761316
2018,10,24,0.371031145
2018,11,1,0.337428222
2018,11,9,0.379541645
2018,11,17,0.370761316
2018,11,25,0.797262485
2018,12,3,1.164914934
2018,12,11,1.580369516
2018,12,19,1.968033716
2018,12,27,1.540609393
