source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top[oC]	temp_canopy_middle[oC]	temp_canopy_bottom[oC]	temp_surfacewater[oC]	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd[mbar]
setup	0	2000-01-01 23:00:00	12.0927	421.531	163.34	8.43266	376.283	0	29.8707	0	0	0	0	20.52	13.16	25.05	41.1156	36.9266	32.5975	-99.99	32.5285	17.5214	14.4117	12.8703	11.6474	9.73653	8.3411	8.00248	1.75701
setup	0	2000-01-02 23:00:00	12.0924	421.75	194.99	10.1132	357.848	0	25.9753	0	0	0	0	19.83	12.32	24.65	19.8297	19.7517	19.5238	-99.99	19.5156	18.5628	16.9447	15.9337	14.9648	12.9097	10.1281	8.10958	0.926718
setup	0	2000-01-03 23:00:00	12.092	421.983	196.51	10.1958	357.199	0	98.3539	0	0	0	0	20.09	11.22	25.62	20.0898	20.0231	19.8283	-99.99	19.8212	19.0139	17.6647	16.8264	16.02	14.2689	11.5655	8.47994	1.05009
setup	0	2000-01-04 23:00:00	12.0916	422.229	194.19	10.0794	363.578	0	102.168	0	0	0	0	20.84	12.39	26.46	20.8398	20.7728	20.5771	-99.99	20.57	19.7756	18.4831	17.6913	16.9313	15.2804	12.6239	8.98603	1.08826
setup	0	2000-01-05 23:00:00	12.0912	422.488	205.44	10.6679	359.769	0	102.98	0	0	0	0	21	11.94	26.5	20.9998	20.9441	20.7813	-99.99	20.7754	20.1039	18.9795	18.2733	17.5847	16.0636	13.4946	9.52336	1.125
setup	0	2000-01-06 23:00:00	12.0908	422.759	169.58	8.80974	373.892	0	104.352	0	0	0	0	21.27	12.27	26.52	21.2698	21.2171	21.0632	-99.99	21.0576	20.4274	19.3803	18.7242	18.0833	16.6621	14.2014	10.0555	1.27252
setup	0	2000-01-07 23:00:00	12.0903	423.042	175.89	9.14191	373.665	0	105.521	0	0	0	0	21.5	13.23	26.44	21.4998	21.4504	21.3061	-99.99	21.3008	20.712	19.7352	19.1214	18.5194	17.1724	14.7974	10.5645	1.23398
setup	0	2000-01-08 23:00:00	12.0898	423.337	195.5	10.1662	359.259	0	102.611	0	0	0	0	20.93	12.22	26.51	20.9298	20.8958	20.7963	-99.99	20.7926	20.3679	19.6127	19.1132	18.6093	17.441	15.2633	11.0442	1.30351
setup	0	2000-01-09 23:00:00	12.0893	423.644	201.74	10.4963	358.988	0	102.81	0	0	0	0	20.97	11.59	26.66	20.9698	20.9334	20.8269	-99.99	20.823	20.3806	19.6274	19.1461	18.6697	17.5858	15.5785	11.4837	1.23339
setup	0	2000-01-10 23:00:00	12.0887	423.961	203.85	10.6119	363.491	0	105.66	0	0	0	0	21.53	12.21	27.06	21.5298	21.4865	21.3601	-99.99	21.3555	20.843	20.0038	19.4848	18.9812	17.8651	15.8763	11.8747	1.2158
