source,id,datetime,species,day_emergence,gdd[oC],dvs_flush[-],dvs_mort[-],dN_don_upt[kgNm-2],dN_nh4_upt[kgNm-2],dN_no3_upt[kgNm-2],dN_nh3_upt[kgNm-2],dN_nox_upt[kgNm-2],dN_n2_fix[kgNm-2],N2_fix[kgNm-2],dC_fol_grow[kgCm-2],dC_fru_grow[kgCm-2],dC_frt_grow[kgCm-2],dC_lst_grow[kgCm-2],dC_fac_grow[kgCm-2],dC_fol_resp[kgCm-2],dC_fru_resp[kgCm-2],dC_frt_resp[kgCm-2],dC_lst_resp[kgCm-2],dC_maintenance_resp[kgCm-2],dC_transport_resp[kgCm-2],dC_growth_resp[kgCm-2],dC_co2_upt[kgCm-2],f_fac,DW_fol[kgDWm-2],DW_dfol[kgDWm-2],DW_fru[kgDWm-2],DW_stemfru[kgDWm-2],DW_frt[kgDWm-2],DW_lst[kgDWm-2],DW_dst[kgDWm-2],DW_below[kgDWm-2],DW_above[kgDWm-2],lai,specific_leaf_area[m2kg-1],N_ret[kgNm-2],NC_fol[gNgDW-1],NC_fru[gNgDW-1],NC_frt[gNgDW-1],NC_lst[gNgDW-1],NC_dst[gNgDW-1],N_total[kgNm-2],dDW_fol_sen[kgDWm-2],dDW_fru_sen[kgDWm-2],dDW_frt_sen[kgDWm-2],dDW_lst_sen_below[kgDWm-2],dDW_lst_sen_above[kgDWm-2],dC_exsudates[kgCm-2],dN_lit_fol[kgNm-2],dN_lit_fru[kgNm-2],dN_lit_frt[kgNm-2],dN_lit_ldst_below[kgNm-2],dN_lit_ldst_above[kgNm-2],drought_rel[-],conduct_rel[-],vc_act_25[umol:m-2:s-1],iso_act[nmol:m-2:s-1],mono_act[nmol:m-2:s-1],d_iso_emis[umol:m-2],d_mono_emis[umol:m-2],d_mono_storage_emis[umol:m-2],d_ovoc_emis[umol:m-2],dN_nh4_throughf[kgN:L-1],dN_no3_throughf[kgN:L-1]
setup,0,2006-01-01 23:00:00,ANGA,19,1738.29,1,0,0,7.84233e-05,6.59083e-05,0,0,0.00011452,0,0,0,0,0,0,0.000742549,0,0.000653769,0,0.00139632,0.000572598,0,0,0.5,0.3,0,0,0,0.283131,0,0,0.283131,0.3,3.18,10.6,1.52432e-06,0.0128,0,0.00880538,0,0,0.00633308,0,0,0.00036855,0,0,0,0,0,1.71892e-06,0,0,0.742127,0,23.9,0,0,0,0,0,0,6.81428e-07,6.81347e-07
setup,0,2006-01-01 23:00:00,BUAF,41,1743.23,0.000354537,0.0340018,0,7.84233e-05,6.59083e-05,0,0,0,0,0,0,0,0,0,0.000382309,6.22693e-06,3.65692e-05,0.000347045,0.00077215,0,0,0,0.15,0.463164,0,0.0120328,7.56313,0.205996,13.3139,0.669608,6.63841,8.02629,3.75163,8.1,0.00020643,0.029,0.029,0.0050021,0.008,0.0079751,0.126663,0.0163027,0,0.000433502,3.52463e-05,0.00137346,0,0.000287867,0,1.05581e-06,2.81928e-07,6.81963e-06,0.742913,0,32.2,0,0,0,0,0,0,6.81428e-07,6.81347e-07
setup,0,2006-01-01 23:00:00,:ALL:,41,1743.23,1,0.0340018,0,0.000156847,0.000131817,0,0,0.00011452,0,0,0,0,0,0,0.00112486,6.22693e-06,0.000690339,0.000347045,0.00216847,0.000572598,0,0,0.561437,0.763164,0,0.0120328,7.56313,0.489128,13.3139,0.669608,6.92154,8.32629,6.93163,18.7,0.000207954,0.0246778,0.0118778,0.0108541,0.00327664,0.00326645,0.132996,0.0163027,0,0.000802052,3.52463e-05,0.00137346,0,0.000287867,0,2.77473e-06,2.81928e-07,6.81963e-06,1.04641,0,56.1,0,0,0,0,0,0,-99.99,-99.99
setup,0,2006-01-02 23:00:00,ANGA,19,1759.21,1,0,0,0.000107682,8.68461e-05,0,0,6.55616e-05,0,0,0,0,0,-0.00157614,0.000743314,0,0.000862909,0,0.00160622,0.000448405,0,0.000319993,0.493729,0.3,0,0,0,0.279261,0,0,0.279261,0.3,3.18,10.6,1.52327e-06,0.0128,0,0.00984819,0,0,0.00659021,0,0,0.000368071,0,0,0,0,0,1.71773e-06,0,0,0.73248,0.0242588,23.9,0,0,0,0,0,0,6.81338e-07,6.81306e-07
setup,0,2006-01-02 23:00:00,BUAF,41,1764.31,0.000323849,0,0,0.000107682,8.68461e-05,0,0,7.80876e-06,0,0,0,0.00157189,0.00712816,-0.000368355,0.000365675,2.0644e-05,4.28295e-05,0.0011486,0.00157775,0.000619047,0.00290002,0.0120113,0.149949,0.463164,0,0.0120321,7.57049,0.209044,13.3222,0.67493,6.64773,8.03365,3.75163,8.1,0,0.029,0.0290018,0.00491882,0.00799097,0.0079753,0.126649,0,0,0.000432592,3.52807e-05,0.00137283,8.27311e-05,0,0,2.16387e-06,2.819e-07,1.09822e-05,0.734455,0.693634,32.2,0,0,0,0,0,0,6.81338e-07,6.81306e-07
setup,0,2006-01-02 23:00:00,:ALL:,41,1764.31,1,0,0,0.000215364,0.000173692,0,0,7.33703e-05,0,0,0,0.00157189,0.00712816,-0.00194449,0.00110899,2.0644e-05,0.000905738,0.0011486,0.00318398,0.00106745,0.00290002,0.0123313,0.5552,0.763164,0,0.0120321,7.57049,0.488305,13.3222,0.67493,6.92699,8.33365,6.93163,18.7,1.52327e-06,0.0246885,0.0118893,0.0118647,0.0032759,0.00326947,0.133239,0,0,0.000800663,3.52807e-05,0.00137283,8.27311e-05,0,0,3.8816e-06,2.819e-07,1.09822e-05,1.03357,0.717893,56.1,0,0,0,0,0,0,-99.99,-99.99
setup,0,2006-01-03 23:00:00,ANGA,19,1780,1,0,0,7.55043e-05,5.64888e-05,0,0,2.70019e-05,0,0,0,0,0,-0.00194166,0.00075141,0,0.000968622,0,0.00172003,0.000227928,0,3.77679e-05,0.485765,0.3,0,0,0,0.274583,0,0,0.274583,0.3,3.18,10.6,1.68038e-06,0.0128,0,0.0106267,0,0,0.00675792,0,0,0.000363039,0,0,0,0,0,1.8949e-06,0,0,0.715488,0.0228497,23.9,0,0,0,0,0,0,6.8255e-07,6.81862e-07
setup,0,2006-01-03 23:00:00,BUAF,41,1785.22,0.000295665,0,0,7.55043e-05,5.64888e-05,0,0,6.92666e-06,0,0,0,0.00137229,0.00576124,-0.000353021,0.000370179,2.05366e-05,4.62544e-05,0.00114356,0.00158053,0.000582446,0.00240542,0.0113455,0.149899,0.463164,0,0.0120314,7.57622,0.211643,13.3275,0.680255,6.65521,8.03939,3.75163,8.1,2.7694e-05,0.029,0.0290017,0.00492346,0.00799202,0.00794415,0.12674,0,0,0.000438993,3.53074e-05,0.00137369,7.22256e-05,0,0,1.07966e-06,2.82095e-07,5.6541e-06,0.718713,0.704341,32.2,0,0,0,0,0,0,6.8255e-07,6.81862e-07
setup,0,2006-01-03 23:00:00,:ALL:,41,1785.22,1,0,0,0.000151009,0.000112978,0,0,3.39285e-05,0,0,0,0.00137229,0.00576124,-0.00229468,0.00112159,2.05366e-05,0.00101488,0.00114356,0.00330056,0.000810374,0.00240542,0.0113833,0.547264,0.763164,0,0.0120314,7.57622,0.486226,13.3275,0.680255,6.9298,8.33939,6.93163,18.7,2.93744e-05,0.0246978,0.0118985,0.0126467,0.00327888,0.00325924,0.133498,0,0,0.000802032,3.53074e-05,0.00137369,7.22256e-05,0,0,2.97456e-06,2.82095e-07,5.6541e-06,1.01035,0.727191,56.1,0,0,0,0,0,0,-99.99,-99.99
setup,0,2006-01-04 23:00:00,ANGA,19,1800.77,1,0,0,3.84718e-05,2.45895e-05,0,0,1.13195e-06,0,0,0.000225958,0,0,-0.00126422,0.00074402,0,0.00102711,0,0.00177113,6.71015e-05,7.53193e-05,0.000911214,0.48046,0.3,0,0.000502128,0.000502128,0.271417,0,0,0.271417,0.300502,3.18,10.6,1.78285e-06,0.0128,0,0.011091,0,0,0.00685028,0,0,0.000356958,0,0,0,0,0,2.01045e-06,0,0,0.694752,0.0332317,23.9,0,0,0,0,0,0,6.81722e-07,6.81482e-07
