source	id	datetime	species	day_emergence	gdd[oC]	dvs_flush[-]	dvs_mort[-]	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	N2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_dfol[kgDWm-2]	DW_fru[kgDWm-2]	DW_stemfru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_lst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	dN_lit_fol[kgNm-2]	dN_lit_fru[kgNm-2]	dN_lit_frt[kgNm-2]	dN_lit_ldst_below[kgNm-2]	dN_lit_ldst_above[kgNm-2]	drought_rel[-]	conduct_rel[-]	vc_act_25[umol:m-2:s-1]	iso_act[nmol:m-2:s-1]	mono_act[nmol:m-2:s-1]	d_iso_emis[umol:m-2]	d_mono_emis[umol:m-2]	d_mono_storage_emis[umol:m-2]	d_ovoc_emis[umol:m-2]	dN_nh4_throughf[kgN:L-1]	dN_no3_throughf[kgN:L-1]
setup	0	2010-01-01 23:00:00	PERG	3	1728.06	1	0	0	2.83558e-05	0.000111008	0	0	0	0	0	0	0	0	0	0.000373722	0	0.00186938	0	0.0022431	0	0	0	0.2	0.245059	0	0	0	1.02527	0	0	1.02527	0.245059	3.42976	13.9956	3.2914e-05	0.0126786	0	0.0083121	0	0	0.0116292	0	0	0.0072275	0	0	0	0	0	2.69297e-05	0	0	0.756247	0	71.5	0	0	0	0	0	0	6.81362e-07	6.81317e-07
setup	0	2010-01-01 23:00:00	ACTO	1	1730.66	0.00288572	1	0	2.83558e-05	0.000111008	0	0	6.35262e-08	0	0	0	0	0	0	1.80336e-06	0.000118505	5.74176e-06	4.2606e-07	0.000126476	3.17631e-07	0	0	0.105042	0.000194015	0	0.0670387	0.150909	0.0245141	0.396101	0.00102699	0.337772	0.151103	0.00145511	7.5	4.23565e-05	0.0322993	0.0322993	0.00892784	0.002	0.00199268	0.00318468	0.00290584	0	3.43679e-05	1.34916e-06	3.16714e-06	0	5.16212e-05	0	1.36097e-07	2.69829e-09	4.22805e-09	0.763333	0	34.1903	0	0	0	0	0	0	6.81362e-07	6.81317e-07
setup	0	2010-01-01 23:00:00	BUAF	41	1730.86	0.000354537	0.0340018	0	2.83558e-05	0.000111008	0	0	0	0	0	0	0	0	0	2.23773e-05	1.59006e-06	2.2648e-06	4.61718e-05	7.2404e-05	0	0	0	0.15	0.0328003	0	0.00085214	0.279467	0.0145882	0.491246	0.0247067	0.251927	0.312267	0.265682	8.1	1.46189e-05	0.029	0.029	0.0050021	0.008	0.00797384	0.00517587	0.00115453	0	3.06997e-05	1.30049e-06	5.06761e-05	0	1.97208e-05	0	7.23298e-08	1.04023e-08	2.43808e-07	0.763333	0	32.2	0	0	0	0	0	0	6.81362e-07	6.81317e-07
setup	0	2010-01-01 23:00:00	:ALL:	41	1730.86	1	1	0	8.50674e-05	0.000333024	0	0	6.35262e-08	0	0	0	0	0	0	0.000397902	0.000120095	0.00187739	4.65979e-05	0.00244198	3.17631e-07	0	0	0.189273	0.278054	0	0.0678908	0.430376	1.06437	0.887348	0.0257337	1.61497	0.708429	3.69689	29.5956	8.98895e-05	0.0137653	0.00235457	0.0080443	0.000325756	0.000324655	0.0199897	0.00406037	0	0.00729257	2.64965e-06	5.38433e-05	0	7.1342e-05	0	2.71381e-05	1.31006e-08	2.48036e-07	0.73853	0	137.89	0	0	0	0	0	0	-99.99	-99.99
setup	0	2010-01-02 23:00:00	PERG	3	1743.25	1	0	0	1.54288e-05	4.03933e-05	0	0	0	0	0	0.000119454	0	0	-0.00142974	0.000401703	0	0.00207663	0	0.00247834	0.00018523	4.41816e-05	0.000942291	0.197496	0.245059	0	0.000265453	0	1.01492	0	0	1.01518	0.245059	3.42976	13.9956	3.28104e-05	0.0126786	0	0.00850603	0	0	0.0117399	0	0	0.00717691	0	0	0	0	0	2.68448e-05	0	0	0.744124	0.117342	71.5	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2010-01-02 23:00:00	ACTO	1	1745.93	0.00311732	0	0	1.54288e-05	4.03933e-05	0	0	0	0	0	0	0	0	-0.000126382	1.22918e-07	8.45486e-05	6.58134e-06	3.04843e-07	9.15577e-05	1.05222e-06	0	3.76993e-07	0.104529	0.000209586	0	0.0669845	0.15082	0.0244657	0.39586	0.00103534	0.337525	0.15103	0.0015719	7.5	1.47506e-07	0.0323013	0.0323201	0.00900589	0.00200127	0.00199274	0.00318633	0	0	3.43198e-05	1.34837e-06	3.16658e-06	0	0	0	1.68521e-07	2.69841e-09	4.22804e-09	0.758227	0.072014	49.63	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2010-01-02 23:00:00	BUAF	41	1746.13	0.000323849	0	0	1.54288e-05	4.03933e-05	0	0	5.77204e-08	0	0	0	4.10354e-05	6.86147e-05	-2.34982e-05	2.20621e-05	1.14101e-06	2.55706e-06	3.31052e-05	5.88654e-05	7.59861e-06	3.655e-05	0.000191893	0.149912	0.0328003	0	0.000852052	0.279494	0.0146473	0.4911	0.0249031	0.252009	0.312294	0.265682	8.1	8.52177e-19	0.029	0.029003	0.00497148	0.00799834	0.00797404	0.0051753	0	0	3.06353e-05	1.30062e-06	5.06514e-05	2.15976e-06	0	0	1.53241e-07	1.04013e-08	4.05207e-07	0.758227	0.33613	32.2	0	0	0	0	0	0	6.81279e-07	6.81279e-07
setup	0	2010-01-02 23:00:00	:ALL:	41	1746.13	1	0	0	4.62865e-05	0.00012118	0	0	5.77204e-08	0	0	0.000119454	4.10354e-05	6.86147e-05	-0.00157962	0.000423888	8.56896e-05	0.00208577	3.341e-05	0.00262876	0.000193881	8.07316e-05	0.00113456	0.186993	0.278069	0	0.068102	0.430314	1.05403	0.88696	0.0259384	1.60472	0.708383	3.69701	29.5956	3.29579e-05	0.0137654	0.00235562	0.0082216	0.000325767	0.000324663	0.0201016	0	0	0.00724186	2.64898e-06	5.3818e-05	2.15976e-06	0	0	2.71666e-05	1.30997e-08	4.09435e-07	0.727232	0.525486	153.33	0	0	0	0	0	0	-99.99	-99.99
setup	0	2010-01-03 23:00:00	PERG	3	1759.15	1	0	0	1.61016e-05	4.20732e-05	0	0	0	0	0	0.00031721	0	0	-0.00247587	0.000422827	7.04934e-09	0.00217765	0	0.00260048	6.92007e-05	0.000117324	0.000584046	0.193079	0.245059	0	0.000968926	0	1.00231	0	0	1.00328	0.245059	3.42976	13.9956	3.32367e-05	0.0126786	9.98827e-05	0.00863988	0	0	0.011767	0	0	0.00710443	0	0	0	0	0	2.71937e-05	0	0	0.708036	0.109472	71.5	0	0	0	0	0	0	6.82658e-07	6.81911e-07
setup	0	2010-01-03 23:00:00	ACTO	1	1761.91	0.00336579	0	0	1.61016e-05	4.20732e-05	0	0	0	0	0	0	0	0	-9.2346e-05	1.40607e-07	8.76671e-05	7.00114e-06	3.16147e-07	9.5125e-05	0	0	2.03627e-07	0.104156	0.000226291	0	0.0669396	0.150755	0.0244211	0.395681	0.00104369	0.33733	0.150982	0.00169718	7.5	0	0.0323027	0.0323337	0.00900969	0.00200209	0.00200001	0.00318602	0	0	3.4252e-05	1.34778e-06	3.1648e-06	0	0	0	3.08469e-07	2.69838e-09	6.33427e-09	0.74655	0.0956528	49.63	0	0	0	0	0	0	6.82658e-07	6.81911e-07
setup	0	2010-01-03 23:00:00	BUAF	41	1762.11	0.000295665	0	0	1.61016e-05	4.20732e-05	0	0	1.111e-22	0	0	0	2.66669e-05	4.568e-05	-2.26319e-05	2.34137e-05	1.1859e-06	2.75713e-06	3.44118e-05	6.17685e-05	6.24415e-06	2.48356e-05	0.000135549	0.149828	0.0328003	0	0.000851967	0.279494	0.0146743	0.490904	0.0250994	0.252036	0.312294	0.265682	8.1	1.05846e-06	0.029	0.0290029	0.00500056	0.0080008	0.00795736	0.00517665	0	0	3.07593e-05	1.30062e-06	5.06368e-05	1.40352e-06	0	0	7.64595e-08	1.04032e-08	2.08612e-07	0.746551	0.3279	32.2	0	0	0	0	0	0	6.82658e-07	6.81911e-07
setup	0	2010-01-03 23:00:00	:ALL:	41	1762.11	1	0	0	4.83048e-05	0.00012622	0	0	1.111e-22	0	0	0.00031721	2.66669e-05	4.568e-05	-0.00259085	0.000446381	8.88601e-05	0.00218741	3.47279e-05	0.00275737	7.54448e-05	0.00014216	0.000719799	0.182998	0.278086	0	0.0687605	0.430249	1.04141	0.886585	0.0261431	1.59265	0.708335	3.69714	29.5956	3.42952e-05	0.0137654	0.00244614	0.00834309	0.000325875	0.000324517	0.0201296	0	0	0.00716944	2.6484e-06	5.38016e-05	1.40352e-06	0	0	2.75786e-05	1.31016e-08	2.14946e-07	0.693866	0.533025	153.33	0	0	0	0	0	0	-99.99	-99.99
setup	0	2010-01-04 23:00:00	PERG	3	1777.41	1	0	0	1.63888e-05	4.13925e-05	0	0	0	0	0	0	0	0	-0.00275685	0.000463112	1.43042e-07	0.00239688	0	0.00286014	7.12114e-05	0	-0.000131921	0.188038	0.245059	0	0.000963009	0	0.989177	0	0	0.99014	0.245059	3.42976	13.9956	3.33405e-05	0.0126786	0.000502805	0.00878546	0	0	0.0117979	0	0	0.00701619	0	0	0	0	0	2.72786e-05	0	0	0.763654	0.0548019	71.5	0	0	0	0	0	0	6.86333e-07	6.83596e-07
