source,id,datetime,dC_ch4_emis[kgCha-1],dC_co2_emis_auto[kgCha-1],dC_co2_emis_hetero[kgCha-1],dC_doc_leach[kgCha-1],dN_don_leach[kgNha-1],dN_no3_leach[kgNha-1],dN_nh4_leach[kgNha-1],dN_no_emis[kgNha-1],dN_n2o_emis[kgNha-1],dN_n2_emis[kgNha-1],dN_nh3_emis[kgNha-1],dN_n2_fix[kgNha-1],dC_co2_fix[kgCha-1],dS_so4_leach[kgSha-1],dC_litter_above[kgCha-1],dC_litter_below[kgCha-1],dN_litter_above[kgNha-1],dN_litter_below[kgNha-1],dN_deposition[kgNha-1],dN_plant_uptake[kgNha-1],dN_mineral[kgNha-1],dN_nitrify[kgNha-1],dN_denitrify[kgNha-1],dN_chemodenitrify[kgNha-1],C_plants[kgCha-1],C_soil[kgCha-1],C_soil_20cm[kgCha-1],C_soil_30cm[kgCha-1],C_aorg[kgCha-1],C_litter_raw[kgCha-1],C_litter[kgCha-1],C_mic[kgCha-1],C_sol[kgCha-1],C_wood_above[kgCha-1],C_wood_below[kgCha-1],N_plants[kgNha-1],N_soil[kgNha-1],N_soil_20cm[kgNha-1],N_soil_30cm[kgNha-1],N_aorg[kgNha-1],N_litter_raw[kgNha-1],N_litter[kgNha-1],N_mic[kgNha-1],N_sol[kgNha-1],N_wood_above[kgNha-1],N_wood_below[kgNha-1],anvf_mean[-]
setup,0,2006-01-01 23:00:00,2.90942e-07,12.7913,4.25603,0.000155381,0,4.84721e-07,3.67958e-09,0.000536039,-0.000901763,0.00114498,2.95683e-09,0,0,0,79.5429,3.76784,2.94687,0.0305666,0.0136278,1.44332,5.11689,1.25441,0.0104484,0.000316052,31146.9,258022,44309.9,64089.6,453.278,107.877,270.869,94.3822,14.9271,5040.59,1258.69,549.751,43098.9,3595.91,6052.21,49.1343,3.99141,9.63157,10.7585,7.73711,89.5688,22.3767,0.583663
setup,0,2006-01-02 23:00:00,6.72115e-07,26.6159,9.23756,8.14734e-07,0,3.81491e-07,1.00134e-06,0.000795813,0.00174276,0.00419633,5.27177e-08,0,0,0,6.17772,4.58906,0.109822,0.041635,0.0136264,1.94528,1.50577,0.881668,0.0278036,0.000465949,31171.4,258017,44306.2,64085.7,454.915,111.054,261.812,99.9412,18.5892,5046.6,1258.71,552.249,43096.9,3595.41,6051.42,48.9304,4.00969,9.39412,10.3905,7.18955,89.6756,22.3771,0.570057
setup,0,2006-01-03 23:00:00,9.53121e-07,24.3198,14.6174,4.55192e-06,0,8.65236e-06,0,0.0010533,0.00298056,0.00643719,2.23553e-07,0,0,0,6.1816,4.49028,0.056541,0.0325666,0.0136441,1.31993,1.72187,1.00337,0.0149763,0.000557013,31184.1,258006,44300.1,64078.5,458.218,114.217,252.951,106.518,14.5178,5052.62,1258.72,554.421,43095.7,3595.04,6050.93,48.4825,4.01894,9.15483,10.6128,7.14241,89.7292,22.3772,0.554713
setup,0,2006-01-04 23:00:00,1.88732e-06,24.4724,14.7334,4.08082e-06,0,8.16397e-08,0,0.00105835,0.00304563,0.00758454,4.04438e-07,0,0,0,6.18415,4.56612,0.0565708,0.0338679,0.013632,0.630614,1.46341,0.855732,0.0139614,0.000589264,31209.1,257994,44294.6,64072.3,463.319,117.351,244.473,108.709,12.8911,5058.64,1258.72,555.698,43095.1,3594.93,6050.87,48.7934,4.02958,8.91896,10.5974,7.35382,89.7829,22.3772,0.54039
setup,0,2006-01-05 23:00:00,3.71411e-07,23.8688,13.7335,0.0109326,0,2.21532e-06,0,0.00109143,0.0032044,0.00912372,5.46274e-07,0,0,0,6.18759,4.54721,0.0565886,0.0346166,0.0136261,0.698023,1.43057,0.891565,0.0252394,0.000666875,31228.2,257984,44289.5,64066.7,468.692,120.469,236.479,110.494,11.7903,5064.66,1258.72,555.993,43094.5,3594.79,6050.75,49.2409,4.04116,8.68996,10.6347,7.30794,89.8366,22.3772,0.527593
setup,0,2006-01-06 23:00:00,2.29014e-07,23.8718,13.8865,0.000404421,0,6.17947e-06,0,0.00120475,0.00373695,0.0109765,6.53926e-07,0,0,0,6.19094,4.51173,0.0566043,0.0346999,0.0136256,0.878606,1.49389,0.944825,0.0309697,0.000758332,31246,257973,44284.5,64061.2,474.177,123.559,228.904,111.752,11.4203,5070.7,1258.72,556.328,43093.6,3594.6,6050.54,49.6345,4.05279,8.46715,10.6744,7.17262,89.8904,22.3772,0.516824
setup,0,2006-01-07 23:00:00,2.06317e-07,24.303,14.3822,2.64238e-07,0,7.47153e-06,0,0.00130721,0.00422255,0.0125587,7.52225e-07,0,0,0,6.19413,4.5019,0.0566244,0.0347894,0.0136256,0.844816,1.51808,0.966416,0.0309551,0.000834652,31263.9,257962,44279.5,64055.9,479.62,126.614,221.679,112.791,11.4482,5076.73,1258.71,556.695,43092.8,3594.44,6050.37,50.0479,4.06428,8.24964,10.699,7.13114,89.9442,22.3771,0.505054
setup,0,2006-01-08 23:00:00,6.38931e-09,24.6606,14.5164,3.07533e-07,0,9.21824e-06,0,0.00135357,0.00444627,0.0137302,8.52908e-07,0,0,0,6.19739,4.50507,0.0566473,0.0348851,0.0136256,0.849003,1.52112,0.978243,0.0328451,0.000894647,31282.2,257951,44274.8,64050.8,484.798,129.64,214.862,113.889,11.6747,5082.77,1258.71,557.073,43092,3594.28,6050.21,50.4691,4.07592,8.03902,10.7357,7.10233,89.9981,22.377,0.494468
setup,0,2006-01-09 23:00:00,1.52464e-08,24.5695,14.6006,3.38714e-07,0,8.33157e-06,0,0.00138309,0.00456926,0.0146545,9.54814e-07,0,0,0,6.20083,4.4795,0.0566714,0.0349814,0.0136257,0.870016,1.52532,0.986493,0.0343934,0.0009463,31299.7,257941,44270.3,64046,489.625,132.638,208.453,115.245,11.8417,5088.82,1258.7,557.467,43091.2,3594.13,6050.03,50.8713,4.08773,7.83582,10.7966,7.0776,90.052,22.3769,0.484579
setup,0,2006-01-10 23:00:00,6.42906e-11,24.9156,14.7862,3.84728e-07,0,7.19103e-06,0,0.00141385,0.00467104,0.0153602,1.05587e-06,0,0,0,6.20419,4.47459,0.0566971,0.0350793,0.013626,0.880686,1.5357,0.996929,0.0350578,0.000999346,31317.7,257930,44266,64041.3,494.129,135.603,202.384,116.922,11.9635,5094.87,1258.7,557.877,43090.3,3593.98,6049.87,51.2595,4.09952,7.63877,10.8857,7.06683,90.106,22.3767,0.475583
