source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2010-01-01 23:00:00	2.00839e-07	19.9992	3.66112	0.000214275	3.85304e-08	2.01882e-07	4.45094e-09	0.000641223	0.000413472	0.0023405	6.52805e-09	0	0	0	18.514	32.8285	0.715901	0.271512	0.0136268	1.39364	5.31734	1.63983	0.026409	0.000409112	7267.37	244184	59908.2	78930.6	509.135	86.2965	320.425	75.2221	10.8157	471.929	117.928	133.701	35799	6763.01	8791.32	55.1541	2.09302	10.244	8.7259	7.99335	4.57563	1.14336	0.61852
setup	0	2010-01-02 23:00:00	2.49157e-07	23.8235	7.57838	0.000249446	7.6512e-07	3.72997e-07	6.72036e-08	0.000748339	0.00324378	0.00593043	5.67823e-08	0	0	0	0.242181	32.6219	0.00409435	0.271797	0.0136256	0.558221	0.932991	0.793569	0.0312484	0.000473497	7221.23	244209	59933.6	78949.3	509.184	118.196	309.544	79.9444	13.1182	472.16	117.93	134.817	35798.3	6762.82	8790.26	55.4521	2.34897	9.90701	8.33625	7.68304	4.57962	1.1434	0.606643
setup	0	2010-01-03 23:00:00	4.33279e-07	23.6368	9.43272	2.38306e-05	2.70479e-06	5.13983e-07	2.28361e-07	0.00094852	0.00419096	0.00870463	9.41918e-08	0	0	0	0.242107	32.2884	0.00214946	0.275917	0.0136457	0.581748	1.40525	1.17629	0.0556565	0.000661652	7166.92	244231	59957.3	78970.6	509.882	149.435	298.829	86.0058	12.0486	472.39	117.93	135.088	35797.8	6762.52	8789.64	54.8189	2.60592	9.56864	8.56845	7.86282	4.58165	1.14342	0.590273
setup	0	2010-01-04 23:00:00	8.73199e-08	25.8086	10.4037	4.40697e-05	4.96665e-06	6.71956e-07	4.17768e-07	0.00102646	0.00744491	0.0191499	1.15006e-07	0	0	0	0.242011	31.8779	0.00411308	0.277538	0.0136993	0.577813	1.30975	1.10613	0.102339	0.000961801	7106.4	244252	59980.1	78991.6	512.435	179.758	288.373	88.0223	12.5886	472.617	117.93	135.385	35797.3	6762.24	8789.14	54.7225	2.85831	9.22898	8.6642	7.76867	4.58562	1.14343	0.59318
setup	0	2010-01-05 23:00:00	9.63544e-09	26.066	12.8158	6.01132e-05	6.73601e-06	8.36515e-07	5.73882e-07	0.00116687	0.00736739	0.0302116	1.21367e-07	0	0	0	0.241845	31.4721	0.00411069	0.278492	0.0136342	0.481779	1.43375	1.2252	0.138466	0.00121319	7047.32	244270	59991.7	79015.4	516.085	209.263	278.224	88.3534	12.1484	472.844	117.928	135.676	35797	6760.53	8788.72	54.6007	3.10841	8.8923	8.59903	8.02516	4.58959	1.14343	0.590064
setup	0	2010-01-06 23:00:00	8.43564e-09	24.1622	10.6861	0.00164294	7.89462e-06	9.87606e-07	6.85236e-07	0.00124746	0.0112639	0.043982	1.15387e-07	0	0	0	0.241721	31.0538	0.00379469	0.279307	0.0136256	0.505786	1.22181	1.02812	0.19336	0.00153921	6989.02	244289	60014.1	79035.7	519.376	238.224	269.397	88.8674	12.3043	473.073	117.927	135.871	35796.6	6760.33	8788.27	54.7457	3.35943	8.59229	8.57834	7.86197	4.59326	1.14343	0.587059
setup	0	2010-01-07 23:00:00	3.94142e-07	21.2978	13.1013	0.00458318	9.38351e-06	1.15968e-06	6.19134e-06	0.000942591	0.00319899	0.0533889	1.06718e-07	0	0	0	0.241596	30.6292	0.00410149	0.280058	0.013682	0.304782	1.35488	1.22018	0.185285	0.00148964	6926.42	244307	60003.3	79059.1	522.741	266.842	262.583	86.6233	10.5578	473.305	117.926	136.088	35796.5	6756.09	8787.66	54.3187	3.6134	8.34998	8.36118	8.6077	4.59726	1.14344	0.584525
setup	0	2010-01-08 23:00:00	5.23899e-07	16.1679	7.4717	0.00893101	0.000108629	5.41131e-06	9.95804e-06	0.000976508	0.00605653	0.0708961	9.42349e-08	0	0	0	0.24137	30.2136	0.00410391	0.280754	0.0136258	0.362359	0.804258	0.67546	0.332793	0.00192176	6877.71	244329	60028.1	79081.9	524.385	295.474	256.949	86.2526	11.4527	473.54	117.928	136.102	35796.1	6756.05	8787.34	54.4655	3.87432	8.15066	8.30997	8.26782	4.6013	1.14347	0.575295
setup	0	2010-01-09 23:00:00	8.227e-07	12.4852	5.77679	0.0179795	0.000748472	3.46815e-05	7.02278e-05	0.000925927	0.00690206	0.097782	8.00381e-08	0	0	0	0.241278	29.8464	0.0037549	0.280682	0.0136256	0.326472	0.68215	0.59522	0.335895	0.00256982	6841.88	244352	60053.8	79105.4	525.336	324.07	252.49	86.2548	12.0788	473.777	117.932	136.175	35795.8	6756.06	8787.06	54.5153	4.13929	7.99054	8.25154	7.98276	4.60502	1.14353	0.568931
setup	0	2010-01-10 23:00:00	2.71541e-07	14.0439	6.07149	0.0445034	0.00302497	0.000154163	0.000337803	0.000598629	0.00469531	0.128562	6.62257e-08	0	0	0	0.241217	29.5227	0.00392605	0.280979	0.0136371	0.313742	0.703008	0.608439	0.330035	0.00306186	6805.49	244375	60078.2	79128.3	526.557	351.952	248.524	86.0275	12.146	474.012	117.936	136.21	35795.5	6756.01	8786.76	54.5587	4.39991	7.83882	8.16176	7.7235	4.60888	1.14358	0.594304
setup	0	2010-01-11 23:00:00	3.56323e-07	18.8979	7.91989	0.403919	0.0416394	0.00225738	0.00406461	0.00114094	0.00977044	0.155902	5.42873e-08	0	0	0	0.241156	29.2346	0.00339981	0.280856	0.0136307	0.352358	0.884329	0.770101	0.315963	0.00339311	6765.31	244396	60101	79149.5	528.065	378.451	243.92	86.1331	12.4731	474.243	117.938	136.231	35795.1	6755.94	8786.46	54.6012	4.64791	7.65379	8.08286	7.53182	4.61218	1.14361	0.57274
setup	0	2010-01-12 23:00:00	1.46781e-07	20.0224	8.53905	0.412627	0.0421699	0.00232959	0.00420615	0.00115618	0.0107799	0.186189	4.56577e-08	0	0	0	0.24108	28.9208	0.00310103	0.280758	0.0136361	0.355131	0.963657	0.793867	0.324853	0.00359215	6710.66	244415	60122.7	79169.9	529.751	404.154	239.671	85.8972	12.5991	474.473	117.939	136.288	35794.7	6755.82	8786.13	54.5945	4.89102	7.47212	8.01246	7.39412	4.61518	1.14364	0.583331
setup	0	2010-01-13 23:00:00	2.85241e-08	20.9519	8.69608	0.426323	0.0431429	0.00247334	0.00440227	0.00102074	0.0102423	0.222087	3.96153e-08	0	0	0	0.240864	28.5604	0.00409507	0.281263	0.0136447	0.34603	0.971475	0.753879	0.343701	0.00370442	6662.92	244434	60143.3	79189.9	531.586	428.994	236.334	84.7031	12.5253	474.702	117.939	136.35	35794.4	6755.62	8785.79	54.5781	5.12954	7.30886	7.88777	7.25089	4.61916	1.14366	0.622878
setup	0	2010-01-14 23:00:00	3.47856e-08	23.3464	10.0554	0.436604	0.0438869	0.00263376	0.00457747	0.00189142	0.0196162	0.238244	3.47115e-08	0	0	0	0.240771	28.2181	0.00379164	0.281279	0.0136275	0.371253	1.0938	0.90614	0.329857	0.00372737	6617	244452	60163.5	79208.7	533.069	452.488	232.495	85.033	12.8623	474.928	117.938	136.402	35794	6755.5	8785.47	54.5519	5.35728	7.12115	7.8545	7.16446	4.62281	1.14366	0.582253
setup	0	2010-01-15 23:00:00	6.27229e-08	22.4291	10.1988	0.0862404	0.00865314	0.00052201	0.000920905	0.00231275	0.0230018	0.243226	3.28129e-08	0	0	0	0.240709	27.8735	0.0036223	0.281304	0.0136256	0.386045	1.11619	0.975757	0.322285	0.00360067	6571.25	244469	60184	79227.3	534.572	475.619	228.54	86.2085	13.2614	475.155	117.936	136.478	35793.6	6755.44	8785.16	54.5232	5.5856	6.93342	7.91384	7.08517	4.6263	1.14366	0.561259
setup	0	2010-01-16 23:00:00	6.27523e-08	23.1626	11.1511	0.00225744	4.68425e-06	3.00519e-06	5.1223e-07	0.00265349	0.025429	0.24748	3.38188e-08	0	0	0	0.240663	27.5062	0.00213731	0.280854	0.0136256	0.372572	1.18462	1.0357	0.323456	0.00347692	6523.36	244485	60203.4	79244.8	536.524	497.752	224.696	87.6872	13.2822	475.381	117.934	136.565	35793.3	6755.37	8784.86	54.534	5.80654	6.74381	8.01078	7.02549	4.62829	1.14365	0.557629
setup	0	2010-01-17 23:00:00	2.58101e-08	21.99	11.1177	0.00422842	4.26643e-07	7.50606e-06	4.75107e-08	0.00280898	0.0265355	0.248648	3.67011e-08	0	0	0	0.240581	27.1533	0.00408891	0.281742	0.0136256	0.373806	1.16912	1.04096	0.326805	0.00333479	6474.82	244501	60222.7	79262.2	538.677	519.579	221.174	88.6206	13.3486	475.608	117.931	136.641	35793	6755.32	8784.56	54.5734	6.02933	6.56618	8.0765	6.95945	4.63225	1.14365	0.550808
setup	0	2010-01-18 23:00:00	8.22147e-09	22.1096	11.5343	0.00739695	2.55353e-08	0.000309067	2.88744e-09	0.00295625	0.0275156	0.24538	4.04525e-08	0	0	0	0.240494	26.8004	0.00331993	0.281514	0.0136256	0.370035	1.18993	1.06888	0.325097	0.0032041	6429.84	244516	60241.4	79278.9	541.086	540.643	217.948	89.3966	13.3562	475.835	117.929	136.714	35792.6	6755.28	8784.28	54.6535	6.24747	6.39464	8.1237	6.90611	4.63543	1.14364	0.544254
setup	0	2010-01-19 23:00:00	7.35024e-09	21.93	11.9669	0.00710691	0	0.000112751	0	0.00314257	0.0286741	0.2397	4.41287e-08	0	0	0	0.240432	26.4477	0.00308555	0.281451	0.0136256	0.359722	1.21712	1.09786	0.325014	0.00310061	6378.96	244531	60259.6	79295.3	543.706	560.963	214.978	90.0093	13.399	476.061	117.926	136.783	35792.3	6755.23	8784.01	54.7718	6.46138	6.22848	8.15666	6.8694	4.63838	1.14362	0.536178
setup	0	2010-01-20 23:00:00	6.37138e-09	21.1144	11.9166	0.00959223	0	0.000473133	0	0.00318071	0.0285085	0.231901	4.91287e-08	0	0	0	0.240293	26.1087	0.00408423	0.28182	0.0136256	0.362454	1.20578	1.10328	0.324854	0.00299797	6333.13	244545	60277.7	79311.4	546.327	580.919	212.262	90.4874	13.4862	476.287	117.923	136.843	35792	6755.2	8783.75	54.9016	6.67565	6.07165	8.1793	6.83074	4.64233	1.14361	0.528188
setup	0	2010-01-21 23:00:00	4.68496e-09	19.2095	11.2505	0.0133248	0	0.000432036	0	0.00312815	0.0278432	0.221708	5.43839e-08	0	0	0	0.240216	25.7736	0.00311237	0.281365	0.0136256	0.351093	1.14376	1.07519	0.321305	0.00286767	6291.79	244560	60296.1	79327.9	548.737	600.992	209.772	90.7903	13.649	476.516	117.921	136.902	35791.8	6755.18	8783.49	55.0177	6.89452	5.92784	8.18939	6.79892	4.64533	1.14361	0.519487
setup	0	2010-01-22 23:00:00	1.15253e-10	18.9328	11.5077	0.0188131	0	0.000682272	0	0.00314509	0.027572	0.21153	5.73315e-08	0	0	0	0.240167	25.453	0.00292109	0.28115	0.0136256	0.348488	1.14328	1.08035	0.317517	0.00277958	6255.1	244574	60314	79343.9	551.112	620.505	207.549	91.0123	13.7814	476.744	117.919	136.949	35791.5	6755.17	8783.25	55.1501	7.11041	5.79103	8.19005	6.77589	4.64813	1.1436	0.512488
