source,id,datetime,species,area_cover[-],area_fraction[-],n_tree[ha-1],vol_tree[m3ha-1],h_max[m],h_min[m],diam_ground[m],diam_breast[m],depth[m],sla[m2kg-1],lai[-],crown_diam_ratio[-],sap_fol_ratio[-],branch_fraction[-],DW_stem_wood[kgm-2],DW_branch_wood[kgm-2],DW_root_wood[kgm-2]
setup,0,2006-01-01 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.6069,1,0,0,0,0,0
setup,0,2006-01-01 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-01 23:00:00,HYBRID.SHRUB,0.971374,0.00137444,17.4999,0.467689,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00426205,6.66667,0,0,0.021046,0,0.00628647
setup,0,2006-01-01 23:00:00,:ALL:,0.971374,0.971374,17.4999,0.467689,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.61116,6.66667,0,0,0.021046,0,0.00628647
setup,0,2006-01-02 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.6069,1,0,0,0,0,0
setup,0,2006-01-02 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-02 23:00:00,HYBRID.SHRUB,0.971374,0.00137443,17.4998,0.467687,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00429802,6.66667,0,0,0.0210621,0,0.00629128
setup,0,2006-01-02 23:00:00,:ALL:,0.971374,0.971374,17.4998,0.467687,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.6112,6.66667,0,0,0.0210621,0,0.00629128
setup,0,2006-01-03 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.6069,1,0,0,0,0,0
setup,0,2006-01-03 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-03 23:00:00,HYBRID.SHRUB,0.971374,0.00137442,17.4997,0.467684,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00429802,6.66667,0,0,0.0210994,0,0.00630241
setup,0,2006-01-03 23:00:00,:ALL:,0.971374,0.971374,17.4997,0.467684,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.6112,6.66667,0,0,0.0210994,0,0.00630241
setup,0,2006-01-04 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.6069,1,0,0,0,0,0
setup,0,2006-01-04 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-04 23:00:00,HYBRID.SHRUB,0.971374,0.00137442,17.4996,0.467681,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00429802,6.66667,0,0,0.0211263,0,0.00631047
setup,0,2006-01-04 23:00:00,:ALL:,0.971374,0.971374,17.4996,0.467681,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.6112,6.66667,0,0,0.0211263,0,0.00631047
setup,0,2006-01-05 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.60636,1,0,0,0,0,0
setup,0,2006-01-05 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-05 23:00:00,HYBRID.SHRUB,0.971374,0.00137441,17.4995,0.467679,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00429802,6.66667,0,0,0.0211505,0,0.00631767
setup,0,2006-01-05 23:00:00,:ALL:,0.971374,0.971374,17.4995,0.467679,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.61065,6.66667,0,0,0.0211505,0,0.00631767
setup,0,2006-01-06 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.60576,1,0,0,0,0,0
setup,0,2006-01-06 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-06 23:00:00,HYBRID.SHRUB,0.971374,0.0013744,17.4994,0.467676,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00429802,6.66667,0,0,0.0211772,0,0.00632565
setup,0,2006-01-06 23:00:00,:ALL:,0.971374,0.971374,17.4994,0.467676,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.61006,6.66667,0,0,0.0211772,0,0.00632565
setup,0,2006-01-07 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.60511,1,0,0,0,0,0
setup,0,2006-01-07 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-07 23:00:00,HYBRID.SHRUB,0.971374,0.00137439,17.4993,0.467674,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00429802,6.66667,0,0,0.0212036,0,0.00633356
setup,0,2006-01-07 23:00:00,:ALL:,0.971374,0.971374,17.4993,0.467674,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.60941,6.66667,0,0,0.0212036,0,0.00633356
setup,0,2006-01-08 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.60439,1,0,0,0,0,0
setup,0,2006-01-08 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-08 23:00:00,HYBRID.SHRUB,0.971374,0.00137439,17.4992,0.467671,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00429802,6.66667,0,0,0.0212294,0,0.00634126
setup,0,2006-01-08 23:00:00,:ALL:,0.971374,0.971374,17.4992,0.467671,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.60869,6.66667,0,0,0.0212294,0,0.00634126
setup,0,2006-01-09 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.60361,1,0,0,0,0,0
setup,0,2006-01-09 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-09 23:00:00,HYBRID.SHRUB,0.971374,0.00137438,17.4991,0.467669,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00442082,6.66667,0,0,0.0212495,0,0.00634725
setup,0,2006-01-09 23:00:00,:ALL:,0.971374,0.971374,17.4991,0.467669,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.60803,6.66667,0,0,0.0212495,0,0.00634725
setup,0,2006-01-10 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.60275,1,0,0,0,0,0
setup,0,2006-01-10 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-10 23:00:00,HYBRID.SHRUB,0.971374,0.00137437,17.499,0.467666,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00459287,6.66667,0,0,0.0212624,0,0.0063511
setup,0,2006-01-10 23:00:00,:ALL:,0.971374,0.971374,17.499,0.467666,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.60735,6.66667,0,0,0.0212624,0,0.0063511
setup,0,2006-01-11 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.60182,1,0,0,0,0,0
setup,0,2006-01-11 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setup,0,2006-01-11 23:00:00,HYBRID.SHRUB,0.971374,0.00137436,17.4989,0.467663,3.25,0.65,0.0745604,0.15,1.3,321.6,0.00478939,6.66667,0,0,0.0212772,0,0.00635551
setup,0,2006-01-11 23:00:00,:ALL:,0.971374,0.971374,17.4989,0.467663,3.25,0.65,0.0745604,0.15,1.3,1021.58,1.60661,6.66667,0,0,0.0212772,0,0.00635551
setup,0,2006-01-12 23:00:00,GRASS.HYBRID.1,0.971374,0.7,0,0,1.34328,0,0,0,0.537311,699.982,1.6008,1,0,0,0,0,0
setup,0,2006-01-12 23:00:00,FORB.HYBRID.1,0.971374,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
