source	id	datetime	species	area_cover[-]	area_fraction[-]	n_tree[ha-1]	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	sla[m2kg-1]	lai[-]	crown_diam_ratio[-]	sap_fol_ratio[-]	branch_fraction[-]	DW_stem_wood[kgm-2]	DW_branch_wood[kgm-2]	DW_root_wood[kgm-2]
setup	0	2005-01-01 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	552	5.24157	1	0	0	0	0	0
setup	0	2005-01-01 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	1400	12.25	1	0	0	0	0	0
setup	0	2005-01-01 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	424	0	1	0	0	0	0	0
setup	0	2005-01-01 23:00:00	ACTO	1	0.254347	49.9997	57.0753	20	15.5854	0.805201	0.4	1.5	96.3155	0.0112257	20.1199	35.4241	0.200036	4.04905	1.01249	8.2583
setup	0	2005-01-01 23:00:00	:ALL:	1	1.09435	49.9997	57.0753	20	15.5854	0.805201	0.4	1.5	2472.32	17.5028	20.1199	35.4241	0.200036	4.04905	1.01249	8.2583
setup	0	2005-01-02 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	552	5.23053	1	0	0	0	0	0
setup	0	2005-01-02 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	1400	12.2655	1	0	0	0	0	0
setup	0	2005-01-02 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	424	0	1	0	0	0	0	0
setup	0	2005-01-02 23:00:00	ACTO	1	0.254346	49.9995	57.0747	20	15.5854	0.805201	0.4	1.5	96.3155	0.0121266	20.1199	35.4241	0.200036	4.04898	1.01247	8.25816
setup	0	2005-01-02 23:00:00	:ALL:	1	1.09435	49.9995	57.0747	20	15.5854	0.805201	0.4	1.5	2472.32	17.5082	20.1199	35.4241	0.200036	4.04898	1.01247	8.25816
setup	0	2005-01-03 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	552	5.21893	1	0	0	0	0	0
setup	0	2005-01-03 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	1400	12.2655	1	0	0	0	0	0
setup	0	2005-01-03 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	424	0	1	0	0	0	0	0
setup	0	2005-01-03 23:00:00	ACTO	1	0.254345	49.9992	57.0688	20	15.5854	0.805201	0.4	1.5	96.3155	0.0130932	20.1199	35.4241	0.200036	4.04854	1.01236	8.25726
