source	id	datetime	species	area_cover	area_fraction	n_tree	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	lai	crown_diam_ratio	sap_fol_ratio	branch_fraction	stem_wood[kgm-2]	branch_wood[kgm-2]	root_wood[kgm-2]
setup	0	2005-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.418217	1	0	0	0	0	0
setup	0	2005-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0.920664	1	0	0	0	0	0
setup	0	2005-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2005-12-31 23:00:00	ACTO	1	0.253841	49.9001	56.1571	20	15.5854	0.805201	0.4	1.50249	0.160927	20.1199	35.4241	0.200036	3.87631	0.969299	7.906
setup	0	2005-12-31 23:00:00	:ALL:	1	1.09384	49.9001	56.1571	20	15.5854	0.805201	0.4	1.50249	0.376883	20.1199	35.4241	0.200036	3.87631	0.969299	7.906
setup	0	2006-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.613014	1	0	0	0	0	0
setup	0	2006-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2006-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2006-12-31 23:00:00	ACTO	1	0.253333	49.8004	56.3048	20	15.5854	0.805201	0.4	1.50323	0.387501	20.1199	149.482	0.200036	3.89938	0.975066	7.95304
setup	0	2006-12-31 23:00:00	:ALL:	1	1.09333	49.8004	56.3048	20	15.5854	0.805201	0.4	1.50323	0.538333	20.1199	149.482	0.200036	3.89938	0.975066	7.95304
setup	0	2007-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.595743	1	0	0	0	0	0
setup	0	2007-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2007-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2007-12-31 23:00:00	ACTO	1	0.255315	49.7009	57.0726	20	15.5854	0.806011	0.401963	1.50323	0.524171	20.1199	149.484	0.200035	3.94471	0.98639	8.04547
setup	0	2007-12-31 23:00:00	:ALL:	1	1.09532	49.7009	57.0726	20	15.5854	0.806011	0.401963	1.50323	0.557303	20.1199	149.484	0.200035	3.94471	0.98639	8.04547
setup	0	2008-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.594983	1	0	0	0	0	0
setup	0	2008-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2008-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2008-12-31 23:00:00	ACTO	1	0.254807	49.6013	56.9039	20	15.5854	0.806012	0.401966	1.50323	0.492088	20.1199	149.484	0.200035	3.93144	0.983072	8.01841
setup	0	2008-12-31 23:00:00	:ALL:	1	1.09481	49.6013	56.9039	20	15.5854	0.806012	0.401966	1.50323	0.549297	20.1199	149.484	0.200035	3.93144	0.983072	8.01841
setup	0	2009-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.603442	1	0	0	0	0	0
setup	0	2009-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2009-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2009-12-31 23:00:00	ACTO	1	0.254298	49.5022	56.5964	20	15.5854	0.806012	0.401966	1.50323	0.373602	20.1199	149.484	0.200035	3.91507	0.978978	7.98502
setup	0	2009-12-31 23:00:00	:ALL:	1	1.0943	49.5022	56.5964	20	15.5854	0.806012	0.401966	1.50323	0.527973	20.1199	149.484	0.200035	3.91507	0.978978	7.98502
setup	0	2010-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.595867	1	0	0	0	0	0
setup	0	2010-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2010-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2010-12-31 23:00:00	ACTO	1	0.253802	49.4033	56.6716	20	15.5854	0.806016	0.401976	1.50323	0.49792	20.1199	149.484	0.200035	3.91515	0.978999	7.98519
