source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	potential_transpiration[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	2006-01-01 23:00:00	0	1.49	1.49	3.6626	0	0	0	0.873592	0.152609	0	0	1.33739	0	0	0	0	0	0	1155.05	483.159	0	47.4097	37.6456	37.6913	37.7734	37.8286	37.9253	38.0063	37.9698	37.8663	37.6358	37.5618	37.547	153.094	150.201	1167.07	1140.76	1096.19	1076.33	899.298	99	0	0
setup	0	2006-01-02 23:00:00	0	0.88	0.461996	3.65194	3.38404	0	0.418004	0.802534	0	0	0	0.461996	0	0	0	0	0	0	1154.71	482.813	0	49.0869	37.4899	37.4685	37.5481	37.6533	37.8382	37.9567	37.9148	37.8303	37.6654	37.5871	37.5549	163.408	164.884	1281.6	1226.67	1136.26	1100.96	890.485	99	0	0
setup	0	2006-01-03 23:00:00	0	0.26	0.00744265	3.61486	3.5459	3.15072	0.252557	0.0513019	0	0	0	0.00744265	0	0	0	0	0	0	1151.52	479.612	0	47.5014	36.2793	36.5694	36.7309	36.899	37.2601	37.7666	37.8084	37.7871	37.6767	37.6051	37.5651	274.782	242.088	1811.86	1685.82	1446.18	1150.33	884.271	99	0	0
setup	0	2006-01-04 23:00:00	0	0.04	0.00114502	3.66756	3.56613	3.51212	0.038855	0.0272004	0	0	0	0.00114502	0	0	0	0	0	0	1147.98	476.063	0	35.987	35.9795	35.9162	35.8571	36.0669	36.6084	37.555	37.7205	37.7431	37.6762	37.6165	37.5748	313.681	322.633	2656.05	2420.1	1910.13	1192.95	880.374	99	0	0
setup	0	2006-01-05 23:00:00	0	0.05	0.00143128	3.81722	3.76311	3.52802	0.0485687	0.0538823	0	0	0	0.00143128	0	0	0	0	0	0	1144.4	472.468	0	34.2838	34.6037	34.8884	34.9582	35.2183	35.9324	37.3261	37.6245	37.7122	37.6699	37.6222	37.5826	587.801	514.671	3992.96	3543.16	2568.56	1241.45	878.43	99	0	0
setup	0	2006-01-06 23:00:00	0	0.04	0.00114502	3.84883	3.94475	3.72783	0.038855	0.0176269	0	0	0	0.00114502	0	0	0	0	0	0	1140.65	468.707	0	32.642	33.2313	33.8375	34.004	34.3198	35.1995	37.0637	37.5128	37.6903	37.6617	37.624	37.5883	1141	847.139	6260.66	5383.8	3573.75	1300.62	877.808	99	0	0
setup	0	2006-01-07 23:00:00	0	0.12	0.00343507	3.89455	4.0748	3.77798	0.116565	0	0	0	0	0.00343507	0	0	0	0	0	0	1136.88	464.915	0	31.1216	31.9112	32.7888	33.0404	33.4053	34.4369	36.775	37.3879	37.6747	37.6537	37.6235	37.5921	2246.24	1425.33	10051.1	8381.62	5093.53	1370.49	877.965	99	0	0
setup	0	2006-01-08 23:00:00	0	0.22	0.00629763	4.03388	4.29912	3.82017	0.213702	0	0	0	0	0.00629763	0	0	0	0	0	0	1133.06	461.084	0	29.7058	30.6365	31.7407	32.0671	32.4752	33.6457	36.4585	37.2483	37.6622	37.6463	37.6218	37.5944	4503.52	2459.15	16563.6	13396.8	7448.16	1453.39	878.551	99	0	0
setup	0	2006-01-09 23:00:00	0	3.48	3.06265	3.96482	4.11196	3.54746	0.417352	0	0	0	0	3.06265	0	0	0	0	0	0	1132.58	460.559	0	32.2532	32.1049	31.8362	31.5218	31.7152	32.9874	36.1818	37.1247	37.6535	37.6411	37.6209	37.5971	2028.48	2337.34	22136.8	19955.7	10322.1	1531.34	878.853	99	0	0
setup	0	2006-01-10 23:00:00	0	3.38	2.96285	3.68427	3.22388	3.26712	0.417149	0	0	0	0	2.96285	0	0	0	0	0	0	1132.28	460.215	0	33.1221	32.8207	32.2889	31.5343	31.3616	32.433	35.9383	37.0143	37.6466	37.6366	37.6198	37.5989	1402.47	1842.77	21987.8	24140.7	13691.6	1604.87	879.24	99	0	0
