source	id	datetime	layer	level[m]	extension[m]	water[l/m-2]	wfps[%]	ice	flux	droughtstress[-]	transpiration[mm]
setup	0	2006-01-01 23:00:00	2	0.04	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2006-01-01 23:00:00	1	0.02	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2006-01-01 23:00:00	0	0	0	0	-99.99	0	1.33739	-99.99	-99.99
setup	0	2006-01-01 23:00:00	-1	-0.020347	0.020347	9.25129	0.93986	0	0.226478	1.23425	0
setup	0	2006-01-01 23:00:00	-2	-0.040347	0.02	8.22318	0.849909	0	0.184632	0.759576	0
setup	0	2006-01-01 23:00:00	-3	-0.060347	0.02	8.21877	0.849452	0	0.148809	0.757167	0
setup	0	2006-01-01 23:00:00	-4	-0.080347	0.02	8.21486	0.849049	0	0.118437	0.755037	0
setup	0	2006-01-01 23:00:00	-5	-0.100347	0.02	8.21148	0.8487	0	0.0929346	0.753196	0
setup	0	2006-01-01 23:00:00	-6	-0.120347	0.02	8.20863	0.848405	0	0.0717319	0.751641	0
setup	0	2006-01-01 23:00:00	-7	-0.140347	0.02	8.20629	0.848163	0	0.0542841	0.750363	0
setup	0	2006-01-01 23:00:00	-8	-0.160347	0.02	8.20442	0.84797	0	0.040085	0.749343	0
setup	0	2006-01-01 23:00:00	-9	-0.180347	0.02	8.20298	0.847821	0	0.0286753	0.748559	0
setup	0	2006-01-01 23:00:00	-10	-0.200347	0.02	8.20193	0.847712	0	0.0196491	0.747984	0
setup	0	2006-01-01 23:00:00	-11	-0.220347	0.02	8.2012	0.847637	0	0.0126562	0.747588	0
setup	0	2006-01-01 23:00:00	-12	-0.240347	0.02	8.20075	0.847591	0	0.00740375	0.747343	0
setup	0	2006-01-01 23:00:00	-13	-0.260347	0.02	8.20053	0.847567	0	0.00365524	0.747219	0
setup	0	2006-01-01 23:00:00	-14	-0.280347	0.02	8.20047	0.847561	0	0.0012296	0.747188	0
setup	0	2006-01-01 23:00:00	-15	-0.300347	0.02	8.20053	0.847567	0	0	0.74722	0
setup	0	2006-01-01 23:00:00	-16	-0.343204	0.0428571	18.0322	0.816526	0	0	0.747679	0
setup	0	2006-01-01 23:00:00	-17	-0.386061	0.0428571	18.0354	0.81667	0	0	0.749085	0
setup	0	2006-01-01 23:00:00	-18	-0.428918	0.0428571	18.038	0.816788	0	0	0.750244	0
setup	0	2006-01-01 23:00:00	-19	-0.471776	0.0428571	18.038	0.816788	0	0	0.750244	0
setup	0	2006-01-01 23:00:00	-20	-0.514633	0.0428571	18.038	0.816788	0	0	0.750244	0
setup	0	2006-01-01 23:00:00	-21	-0.55749	0.0428571	18.038	0.816788	0	0	0.750244	0
setup	0	2006-01-01 23:00:00	-22	-0.600347	0.0428571	18.038	0.816788	0	0	0.750244	0
setup	0	2006-01-01 23:00:00	-23	-0.700347	0.1	39.839	0.793501	0	0	0.750244	0
setup	0	2006-01-01 23:00:00	-24	-0.800347	0.1	39.839	0.793501	0	0	0.750244	0
setup	0	2006-01-01 23:00:00	-25	-0.900347	0.1	39.839	0.793501	0	0	0.750244	0
setup	0	2006-01-01 23:00:00	-26	-1.00035	0.1	39.839	0.793501	0	0	0.750244	0
setup	0	2006-01-01 23:00:00	-27	-1.10035	0.1	39.839	0.793501	0	0	0.750244	0
