timestamp,precipitation (mm),temperature AVG (degrees Celsius),temperature MAX (degrees Celsius),temperature MIN (degrees Celsius)
1/1/2018,0,0,17.22,8.31
1/2/2018,0,0,19.31,9.61
1/3/2018,0,0,20.18,12.25
1/4/2018,0,0,21.23,12.47
1/5/2018,0,0,18.48,10.72
1/6/2018,2.43,0,13.59,8.18
1/7/2018,0.31,0,12.65,6.63
1/8/2018,1.73,0,10.64,8.14
1/9/2018,0.64,0,14.05,7.49
1/10/2018,2.38,0,16.53,10.18
1/11/2018,0.05,0,15.04,7.02
1/12/2018,0,0,14.92,6.67
1/13/2018,0.13,0,12.57,9.3
1/14/2018,5.11,0,13.65,8.48
1/15/2018,1.11,0,11.88,7.22
1/16/2018,0,0,16.93,7.18
1/17/2018,0,0,17.67,9.51
1/18/2018,0.06,0,15.82,9.26
1/19/2018,0.74,0,13.89,10.57
1/20/2018,0,0,18.84,9.85
1/21/2018,0,0,21.16,10.73
1/22/2018,0,0,20.52,13.24
1/23/2018,0.01,0,17.71,12.42
1/24/2018,0.02,0,15.97,11.43
1/25/2018,0.24,0,16.35,11.53
1/26/2018,0.84,0,14.18,8.86
1/27/2018,2.06,0,13.15,7.58
1/28/2018,6.95,0,13.4,9.35
1/29/2018,0.02,0,14.93,11.06
1/30/2018,0.08,0,14.84,10.19
1/31/2018,0.71,0,13.4,9.95
2/1/2018,1.51,0,17.5,10.35
2/2/2018,3.67,0,11.87,7.24
2/3/2018,0,0,13.95,5.68
2/4/2018,4.65,0,12.68,7.86
2/5/2018,1.47,0,11.88,7.6
2/6/2018,0.67,0,12.98,6.21
2/7/2018,0.01,0,12.93,5.17
2/8/2018,0.35,0,12.19,6.2
2/9/2018,0.34,0,12.49,6.39
2/10/2018,0,0,14.19,6.98
2/11/2018,0,0,17.36,7.03
2/12/2018,0.2,0,18.63,9.77
2/13/2018,0,0,16.57,7.9
2/14/2018,0,0,17.63,7.87
2/15/2018,0,0,17.13,9.79
2/16/2018,0,0,17.1,11.7
2/17/2018,0,0,19.4,10.97
2/18/2018,0.3,0,14.83,11.27
2/19/2018,1.62,0,13.11,10.19
2/20/2018,0,0,18.58,9.77
2/21/2018,0.53,0,16.44,9.59
2/22/2018,0.68,0,14.83,8.82
2/23/2018,0,0,13,5.83
2/24/2018,0,0,13.12,6.22
2/25/2018,0.15,0,14.81,8.91
2/26/2018,0.09,0,17.12,8.51
2/27/2018,1.27,0,18.58,11.23
2/28/2018,0.82,0,17.9,11.56
3/1/2018,4.4,0,17.33,12.85
3/2/2018,8.75,0,17.46,10.99
3/3/2018,4.8,0,17.88,11.27
3/4/2018,2.88,0,16.23,10.31
3/5/2018,3.52,0,17.08,11.11
3/6/2018,0.6,0,16.79,10.77
3/7/2018,0.5,0,16.05,8.93
3/8/2018,6.14,0,19.77,10.76
3/9/2018,0.03,0,19.98,11.85
3/10/2018,0.42,0,20.04,12.67
3/11/2018,1.16,0,17.26,11.39
3/12/2018,0.02,0,18.26,10.92
3/13/2018,0.13,0,19.63,12.12
