"iteration","vangenuchten_n","vangenuchten_alpha","FPERCOL","FRUNOFF","wcmax_5_cm","wcmin_5_cm","sks_5_cm","bd_5_cm","wcmax_15_cm","wcmin_15_cm","sks_15_cm","bd_30_cm","wcmax_30_cm","wcmin_30_cm","sks_30_cm","fractionalcover","treenumber","wcmin_GRASS.HYBRID.1"
1,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
2,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
3,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
4,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
5,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
6,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
7,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
8,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
9,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
10,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
11,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
12,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
13,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
14,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
15,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
16,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
17,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
18,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
19,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
20,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
21,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
22,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
23,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
24,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
25,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
26,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
27,1.199,1.31,0.1,0.2,,,,,,,,,,,,,,
28,1.199,1.31,0.1,0.2,,,,,,,,,,,,0.8075,,
29,1.199,1.31,0.1,0.2,,,,,,,,,,,,0.68637,,
30,1.199,1.31,0.1,0.2,,,,,,,,,,,,0.1,,
31,1.199,1.31,0.1,0.2,,,,,,,,,,,,0.1,,
32,1.199,1.31,0.1,0.2,,,,,,,,,,,,0.1,,
33,1.199,1.31,0.1,0.2,,,,,,,,,,,,0.1,,
34,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
35,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
36,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
37,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
38,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
39,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
40,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
41,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
42,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
43,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
44,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
45,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
46,1.199,1.31,0.1,0.23,,,,,,,,,,,,0.1,,
