timestamp,precipitation (mm),temperature AVG (degrees Celsius),temperature MAX (degrees Celsius),temperature MIN (degrees Celsius),,,Eddy 
4/28/2019,0,21.79035714,27.8,18,,,0
4/29/2019,0.952,20.19166667,26.5,15.7,,,0.8
4/30/2019,1.037,19.26145833,25.4,15.9,,,1.2
5/1/2019,0,19.98645833,26.6,15.7,,,0
5/2/2019,0,20.63993056,27.7,15.7,,,0
5/3/2019,0,19.86388889,26.3,16,,,0
5/4/2019,0,19.08020833,24.6,15.5,,,0
5/5/2019,0,19.73972125,26.9,15.5,,,0
5/6/2019,0.255,19.59652778,26.3,16,,,1.6
5/7/2019,0,19.19131944,26.4,14.9,,,0
5/8/2019,0,19.79652778,27,15.1,,,0
5/9/2019,0,19.19652778,26.2,14.4,,,0
5/10/2019,0.187,19.21944444,26.7,15.4,,,0
5/11/2019,0.051,18.83159722,25.6,14.6,,,0
5/12/2019,0.578,18.75555556,25.3,15.4,,,0.2
5/13/2019,0.306,19.01666667,25.2,14.8,,,0
5/14/2019,0.017,18.87430556,26.1,15.1,,,0
5/15/2019,0,19.35659722,26.3,14.9,,,0
5/16/2019,0,19.09270833,25.5,14.3,,,0
5/17/2019,8.953,19.34583333,27.3,14.8,,,0
5/18/2019,4.491,17.71145833,23.1,14.4,,,10.7
5/19/2019,0.051,16.92916667,21.1,14.6,,,0
5/20/2019,0,17.778125,23.3,13.5,,,0
5/21/2019,0,18.59548611,26.4,13.8,,,0
5/22/2019,0,18.54444444,25.2,14.4,,,0
5/23/2019,4.747,17.57569444,23.9,14.7,,,0
5/24/2019,0.068,17.60138889,24.9,13.7,,,0
5/25/2019,1.088,17.48680556,23.8,15.1,,,0
5/26/2019,0.272,16.95173611,22,14.7,,,3
5/27/2019,0.085,17.56006944,23.9,14,,,0
5/28/2019,0,17.51631944,23.1,14.1,,,0
5/29/2019,0,17.66979167,24.6,14.1,,,0
5/30/2019,0,18.73854167,26.3,14.2,,,0
5/31/2019,0,18.26132404,25.5,13.8,,,0
6/1/2019,5.714,18.87083333,27.1,15.3,,,0
6/2/2019,25.127,17.69583333,25.3,15.4,,,23.37391304
6/3/2019,0.017,18.19618056,25.4,15,,,0
6/4/2019,0,17.57118056,23.7,14.1,,,0
6/5/2019,0,16.35277778,19.3,14.7,,Precip 678,0
6/6/2019,6.938,16.70034722,22.5,13.6,,8.829,23.8
6/7/2019,0,17.43263889,22.5,14,,0,0
6/8/2019,0,18.14618056,24.5,14.5,,0,0
6/9/2019,0,15.90277778,18.7,14.4,,0.136,0.6
6/10/2019,0,15.14930556,18.3,13,,0,0
6/11/2019,0,16.82256944,21.5,13,,0,0
6/12/2019,0,17.09826389,20.5,14,,0,0
6/13/2019,0,18.09791667,25.6,13.7,,0,0
6/14/2019,0,16.63819444,22.9,13,,,0
6/15/2019,0,16.35,21.9,13.1,,0,0
6/16/2019,0,17.39444444,24.8,12.5,,0,0
6/17/2019,0,17.61770833,25,11.8,,0,0
6/18/2019,0,16.68854167,23.4,12.9,,0,0
6/19/2019,0.034,18.353125,26.5,13,,0,0
6/20/2019,0,17.63159722,25.2,12.6,,0,0
6/21/2019,0,15.70972222,19.1,13.3,,0,0
6/22/2019,0,18.07951389,24.5,13.6,,0,0
6/23/2019,0.374,18.03680556,26.4,12.9,,0.119,0.2
6/24/2019,0,18.17604167,25.2,13.8,,0,0
6/25/2019,0,16.58020833,21.1,13.4,,0,0
6/26/2019,0,17.09479167,23.2,14.1,,0,0
6/27/2019,0,17.07048611,23,12.8,,0,0
6/28/2019,0,16.40972222,22.6,11.8,,0,0
6/29/2019,0.034,17.51111111,26.5,11.1,,0,0
6/30/2019,0,18.13333333,26,11.5,,0,0
7/1/2019,0.068,18.60972222,26.8,12.8,,0,0
7/2/2019,0.085,18.41145833,26,12.8,,0,0
7/3/2019,0,17.36944444,22.7,12.3,,0,0
7/4/2019,0,17.49756944,26,11.2,,0,0
7/5/2019,0,17.89652778,25.9,12.1,,0,0
7/6/2019,0,17.20729167,23.5,13.3,,0,0
7/7/2019,0.017,17.44027778,24.3,12.8,,0,0
7/8/2019,0.068,18.16006944,25.5,12.6,,0,0
7/9/2019,0.068,18.56284722,26.4,12.9,,0,0
7/10/2019,0.119,18.09652778,26.2,12.6,,0,0
7/11/2019,0,18.24340278,25.3,14,,0,0
7/12/2019,0,18.346875,26.1,12.8,,0,0
7/13/2019,0,16.65804196,22.9,12.7,,0,0
7/14/2019,0,17.31770833,24.2,11.8,,0.034,0
7/15/2019,0,16.56006944,23.6,12.1,,0,0
7/16/2019,0,16.01423611,21.5,11.7,,0,0
7/17/2019,0,15.54236111,20.3,13.2,,0,0
7/18/2019,0.867,16.92256944,24.6,12.4,,0.544,0.8
7/19/2019,0,16.35659722,23.5,12.3,,0,0
7/20/2019,0,16.46458333,23.9,12.5,,0,0
7/21/2019,0,18.384375,27.4,11.5,,0,0
7/22/2019,0,16.60347222,25.3,11.7,,0,0
7/23/2019,0,17.26180556,26.5,10.8,,0,0
7/24/2019,0,17.43541667,24.6,10.8,,0,0
7/25/2019,0,17.95659722,27.5,10.5,,0,0
7/26/2019,0,16.75763889,26.3,10.6,,0,0
7/27/2019,0,16.109375,25.1,9.8,,0,0
7/28/2019,0.085,16.5625,24,11.4,,0.085,0
7/29/2019,0,17.54652778,24.1,11.7,,0.085,0
7/30/2019,0,16.40034722,21.6,12.3,,0.034,0
7/31/2019,10.378,16.88888889,22.4,14.1,,15.075,5.5
8/1/2019,0,18.40034722,27,13.1,,0,0
8/2/2019,0.051,17.18055556,24.2,11.3,,0.085,0
