timestamp,precipitation (mm),temperature AVG (degrees Celsius),temperature MAX (degrees Celsius),temperature MIN (degrees Celsius)
2023-10-10,,,,
2023-10-11,0.0,20.946180555555557,28.0,13.3
2023-10-12,0.0,21.50277777777778,29.9,12.1
2023-10-13,0.0,22.07465277777778,31.1,12.0
2023-10-14,0.0,22.62326388888889,29.9,14.2
2023-10-15,0.7480000000000001,22.448611111111113,29.6,17.2
2023-10-16,2.5340000000000003,20.499652777777776,27.2,16.1
2023-10-17,0.11900000000000001,20.681250000000002,29.1,16.5
2023-10-18,0.357,21.238194444444442,27.4,17.1
2023-10-19,1.004,19.680555555555557,26.6,15.1
2023-10-20,0.10200000000000001,20.047916666666666,26.8,13.6
2023-10-21,0.306,19.88715277777778,26.5,14.8
2023-10-22,0.0,21.15625,28.6,14.0
2023-10-23,0.0,21.222916666666666,28.8,14.2
2023-10-24,0.0,21.775,28.9,13.7
2023-10-25,0.0,21.699305555555554,28.0,16.9
2023-10-26,11.988999999999999,19.681250000000002,25.2,16.4
2023-10-27,0.408,20.49236111111111,26.3,14.8
2023-10-28,0.0,21.04513888888889,27.5,15.2
2023-10-29,0.0,20.968402777777776,27.1,16.2
2023-10-30,0.0,20.390277777777776,26.6,16.1
2023-10-31,3.011,20.12986111111111,26.6,15.8
2023-11-01,1.479,20.63576388888889,26.6,15.9
2023-11-02,49.233000000000004,18.820138888888884,24.3,16.1
2023-11-03,24.718,17.74965277777778,22.2,15.1
2023-11-04,0.306,18.10868055555555,21.1,15.3
2023-11-05,8.316,19.00486111111111,24.2,16.3
2023-11-06,48.088,19.27951388888889,25.5,15.8
2023-11-07,4.7940000000000005,19.397569444444443,25.2,15.4
2023-11-08,1.769,18.505555555555556,22.5,16.0
2023-11-09,6.298,19.38888888888889,24.1,15.0
2023-11-10,16.025,18.687847222222224,24.1,15.4
2023-11-11,8.865,18.119097222222223,22.4,15.0
2023-11-12,2.959,19.187152777777776,24.2,16.5
2023-11-13,8.948,19.238888888888887,23.8,16.3
2023-11-14,17.629999999999995,18.668055555555554,24.6,16.2
2023-11-15,1.564,18.760069444444447,23.6,16.5
2023-11-16,4.031000000000001,18.661458333333332,22.9,16.1
2023-11-17,4.593,18.87569444444445,23.1,15.4
2023-11-18,0.255,19.302430555555556,24.2,15.8
2023-11-19,0.255,19.405208333333334,24.2,16.6
2023-11-20,15.177000000000001,18.99548611111111,24.5,15.6
2023-11-21,2.568,18.956249999999997,23.3,16.6
2023-11-22,14.767999999999999,18.42604166666667,23.5,15.9
2023-11-23,1.9040000000000001,18.652083333333334,24.0,16.1
2023-11-24,17.0,18.78055555555555,23.7,15.5
2023-11-25,13.168000000000001,18.36701388888889,23.6,15.3
2023-11-26,5.99,18.484027777777776,23.3,14.7
2023-11-27,0.085,19.54340277777778,24.8,15.4
2023-11-28,0.017,19.29236111111111,24.4,16.6
2023-11-29,0.0,19.561805555555555,24.6,16.2
2023-11-30,0.187,19.017013888888886,24.2,14.4
2023-12-01,0.11900000000000001,18.838541666666668,24.7,14.5
2023-12-02,0.0,19.75277777777778,25.3,13.1
2023-12-03,0.0,19.61423611111111,24.0,16.7
2023-12-04,0.0,19.19965277777778,24.3,15.2
2023-12-05,0.0,19.476041666666667,24.6,15.8
2023-12-06,0.0,18.680902777777778,24.4,14.0
2023-12-07,0.0,18.970833333333335,25.3,11.4
2023-12-08,0.0,18.95138888888889,25.1,12.5
2023-12-09,0.0,18.903125000000003,25.4,12.3
2023-12-10,0.051000000000000004,19.399652777777778,24.3,16.3
