*,*,tavg,tmin,tmax,grad,prec,rh,wind
2018,208,18.92759328,14.77867306,24.07701151,314.8268433,1.724931084,55,2
2018,209,18.92759328,14.77867306,24.07701151,314.8268433,1.724931084,55,2
2018,210,18.92759328,14.77867306,24.07701151,314.8268433,1.724931084,55,2
2018,211,16.59947059,15.062,23.09,314.8268433,55.62352941,55,2
2018,212,16.76679167,13.748,20.399,256.9423404,0,55,2
2018,213,17.60833333,14.078,23.6,276.2473762,0,55,2
2018,214,17.1466,11.427,24.453,370.207,0,55,2
2018,215,16.592675,11.447,23.441,418.8935,0,55,2
2018,216,15.89626087,11.465,21.901,229.3984429,0,55,2
2018,217,15.40841667,12.371,19.377,129.7873714,0,55,2
2018,218,16.55489583,11.153,22.108,335.59583,0,55,2
2018,219,16.83527083,10.311,23.814,393.7628905,0,55,2
2018,220,17.3220625,10.449,24.611,358.9684238,0,55,2
2018,221,17.43008333,12.323,23.099,267.8541545,0,55,2
2018,222,15.99520833,11.445,21.379,279.7726048,0,55,2
2018,223,16.25537778,13.132,21.545,267.2807895,0,55,2
2018,224,16.08716667,12.096,20.976,300.5655714,0,55,2
2018,225,14.86014583,10.779,18.879,186.9884227,0,55,2
2018,226,16.16741667,10.401,22.585,362.4465818,0,55,2
2018,227,15.72627083,12.184,21.018,193.2864143,0,55,2
2018,228,14.76427083,10.473,19.425,191.7043033,0.1,55,2
2018,229,15.0650625,12.446,18.638,137.5398667,0,55,2
2018,230,15.17222917,11.667,19.211,193.86475,0,55,2
2018,231,15.92614583,12.667,21.257,194.0664367,0,55,2
2018,232,15.73383333,11.444,21.277,264.5372571,0,55,2
2018,233,16.30558333,10.777,21.123,185.6066409,0,55,2
2018,234,17.060875,10.963,24.119,296.858425,0,55,2
2018,235,15.9065,13.392,18.69,113.440235,0,55,2
2018,236,17.28608333,12.488,23.06,215.2927252,0,55,2
2018,237,17.74116667,11.877,23.371,259.1563776,0,55,2
2018,238,17.086375,14.402,22.169,179.3387857,0,55,2
2018,239,17.73029167,12.357,24.349,261.6323765,1.5,55,2
2018,240,15.9313125,14.088,18.769,90.39011045,0.1,55,2
2018,241,16.370125,13.472,19.549,143.6762,0,55,2
2018,242,16.82110417,12.715,21.064,211.6110667,0,55,2
2018,243,16.55527083,13.204,20.14,201.456925,0,55,2
2018,244,15.46852083,11.77,19.591,120.0849735,0,55,2
2018,245,16.34327083,13.178,21.045,108.1998564,0,55,2
2018,246,16.616625,10.713,22.469,210.5094315,0,55,2
2018,247,16.41758333,11.877,21.522,192.345035,0,55,2
2018,248,18.100875,14.541,23.261,341.2803205,0,55,2
2018,249,17.83204167,13.625,23.344,294.4958667,0,55,2
2018,250,17.77283333,12.83,23.708,399.6777143,0,55,2
2018,251,17.85670213,11.986,23.802,348.41895,0,55,2
2018,252,18.9486875,11.892,26.467,388.1023952,0,55,2
2018,253,20.01608333,14.366,26.752,362.8622753,0,55,2
2018,254,19.084,14.84,24.555,375.275719,0,55,2
2018,255,18.00991667,11.399,24.921,382.8598381,0,55,2
2018,256,18.89933333,13.458,25.214,381.1486667,0,55,2
2018,257,19.74189583,13.806,25.912,344.46356,0,55,2
2018,258,18.99320833,11.419,26.661,390.9516524,0,55,2
2018,259,19.415875,11.634,26.66,386.2123619,0,55,2
2018,260,19.0406875,11.43,26.797,343.897885,0,55,2
2018,261,17.95785417,11.557,25.689,367.3801143,0,55,2
2018,262,17.69572917,12.248,24.728,302.2517667,0,55,2
2018,263,19.23335417,12.657,26.444,402.7454857,0,55,2
2018,264,19.45064583,14.445,26.205,375.5112524,0,55,2
2018,265,18.16225,13.006,23.555,276.903881,0,55,2
2018,266,18.54195833,13.003,24.954,348.0343048,0,55,2
2018,267,17.97460417,10.742,25.28,390.0460714,0,55,2
2018,268,19.06627083,13.964,24.867,307.700489,0,55,2
2018,269,19.43872917,12.782,26.227,338.7569619,0,55,2
2018,270,18.55344681,14.649,22.859,262.6176579,0,55,2
2018,271,19.10545833,15.23,24.789,325.2551091,0,55,2
2018,272,19.33516667,13.567,26.128,340.4967365,0,55,2
2018,273,19.39045833,13.988,25.704,427.603435,0,55,2
2018,274,17.8973125,10.417,24.282,386.57023,0,55,2
2018,275,17.91329167,12.044,24.287,294.81434,0,55,2
2018,276,19.27370833,13.896,26.014,413.407285,0,55,2
2018,277,18.68620833,14.181,24.045,302.8738905,0,55,2
2018,278,19.00158333,13.033,25.493,363.1469762,0,55,2
2018,279,20.11304167,15.162,26.995,385.8895615,0,55,2
2018,280,19.044,14.532,26.459,290.1379085,9.9,55,2
2018,281,18.54725,12.954,24.163,240.489005,0.8,55,2
2018,282,18.74847917,13.468,23.905,311.961119,0,55,2
2018,283,18.23654167,11.875,24.243,315.3679968,0,55,2
2018,284,19.09504167,13.372,25.093,377.1494286,0,55,2
2018,285,19.43304167,12.157,27.155,366.5311053,0,55,2
2018,286,20.19539583,15.506,26.886,293.9231286,0,55,2
2018,287,19.6460625,13.543,27.374,321.7971682,0,55,2
2018,288,20.139125,14.711,26.351,314.2965059,0,55,2
2018,289,19.70841667,14.396,26.675,341.2157381,0,55,2
2018,290,20.39329167,15.485,26.245,376.2089095,0,55,2
2018,291,20.3906875,15.868,26.024,379.6096952,0,55,2
2018,292,20.31222917,15.813,26.362,397.830635,0,55,2
2018,293,20.48910417,14.778,26.484,391.036219,0,55,2
2018,294,20.02275,14.675,25.479,360.1803333,0,55,2
2018,295,18.92320833,13.101,24.476,374.5093035,0,55,2
2018,296,16.42329787,14.077,19.603,163.0483271,3.472340426,55,2
2018,297,16.34534043,14.688,20.044,153.8728636,0.204255319,55,2
2018,298,16.83408696,14.169,20.525,222.1107759,1.773913043,55,2
2018,299,17.711875,13.7,22.466,223.8457476,0,55,2
2018,300,17.70193617,14.686,22.499,294.1570967,5.412765957,55,2
2018,301,18.27772917,15.042,23.006,309.4248409,0,55,2
2018,302,19.17175,15.272,24.548,351.5007195,0.7,55,2
2018,303,19.8945625,15.032,25.789,322.8658182,0,55,2
2018,304,20.0308125,14.3,26.134,403.3080455,0,55,2
2018,305,19.99197917,15.474,25.362,316.2128905,0,55,2
2018,306,19.36916667,16.127,24.783,383.4368514,7.9,55,2
2018,307,19.20722917,16.089,23.977,393.3823818,0,55,2
2018,308,19.0794375,13.706,24.805,369.0232095,0,55,2
2018,309,19.43810417,11.704,25.557,432.4688429,0,55,2
2018,310,19.73891667,14.414,26.24,383.09415,0,55,2
2018,311,20.31516667,14.136,27.567,406.8100571,0,55,2
2018,312,20.67047917,13.74,27.566,379.0438667,0,55,2
2018,313,19.8735625,14.814,26.381,219.5612214,0,55,2
2018,314,20.4835,16.14,26.031,328.1735714,0,55,2
2018,315,19.605625,14.552,25.784,380.2397443,0.2,55,2
2018,316,20.2389375,15.575,26.121,397.1489,0.1,55,2
2018,317,19.53966667,16.046,24.824,315.3244332,0,55,2
2018,318,19.4875,14.222,25.025,377.6935048,0,55,2
2018,319,20.3939375,14.101,26.934,415.7241667,0,55,2
2018,320,20.68139583,12.651,27.663,399.7247524,0,55,2
2018,321,19.15483333,15.917,25.36,227.8709227,0.1,55,2
2018,322,20.24845833,14.307,26.686,398.7994059,0,55,2
2018,323,19.77245833,14.497,25.303,369.2982409,20.5,55,2
2018,324,19.18763636,15.687,23.103,335.8128364,16.58181818,55,2
2018,325,18.35589583,15.974,23.18,250.8430545,20.7,55,2
2018,326,19.18441667,15.469,24.067,315.2749759,0,55,2
2018,327,19.52775,14.453,24.866,413.1580623,0,55,2
2018,328,18.92891667,15.542,23.658,343.0524883,0,55,2
2018,329,18.58089362,15.502,23.287,404.8226273,4.493617021,55,2
2018,330,17.71804444,14.971,22.084,340.8704622,32.53333333,55,2
2018,331,18.73340426,14.887,23.525,389.3496455,1.021276596,55,2
2018,332,19.07195833,15.637,23.533,362.1164957,0,55,2
2018,333,18.220125,15.765,22.204,346.8439136,12.3,55,2
2018,334,18.599625,15.886,22.799,381.3977465,2.4,55,2
2018,335,17.45791667,15.311,21.465,315.2303045,2.8,55,2
2018,336,18.06595833,14.471,22.933,345.0354857,0,55,2
2018,337,18.73552083,15.354,23.642,417.4323435,0,55,2
2018,338,18.1395,15.394,23.178,365.683795,14.9,55,2
2018,339,18.32847917,15.751,23.162,377.0275136,18.1,55,2
2018,340,19.58664583,15.825,24.575,449.2925136,1.9,55,2
2018,341,19.61497917,16.367,24.041,461.9314136,0,55,2
