year,date,lai
2018,1/1/2018,0.43974102
2018,1/9/2018,0.607915833
2018,1/17/2018,0.535380658
2018,1/25/2018,0
2018,2/2/2018,0.4
2018,2/10/2018,0.455280971
2018,2/18/2018,0
2018,2/26/2018,0.435380658
2018,3/6/2018,0.442387128
2018,3/14/2018,0.176603821
2018,3/22/2018,1.040015442
2018,3/30/2018,0.881994771
2018,4/7/2018,0.764619342
2018,4/15/2018,0.430906074
2018,4/23/2018,1.676526923
2018,5/1/2018,1.907546127
2018,5/9/2018,1.732365843
2018,5/17/2018,1.953669308
2018,5/25/2018,2.013314518
2018,6/2/2018,0.860575367
2018,6/10/2018,1.22251544
2018,6/18/2018,0.455760646
2018,6/26/2018,1.255528912
2018,7/4/2018,0.69239062
2018,7/12/2018,0.32603841
2018,7/20/2018,0.834490398
2018,7/28/2018,0.703555471
2018,8/5/2018,0.693861903
2018,8/13/2018,0.518122577
2018,8/21/2018,0.194131731
2018,8/29/2018,0.100269828
2018,9/6/2018,0.501777736
2018,9/14/2018,0.453773063
2018,9/22/2018,0.277169242
2018,9/30/2018,0.3
2018,10/8/2018,0.435650486
2018,10/16/2018,0.370761316
2018,10/24/2018,0.371031145
2018,11/1/2018,0.337428222
2018,11/9/2018,0.379541645
2018,11/17/2018,0.370761316
2018,11/25/2018,0.797262485
2018,12/3/2018,1.164914934
2018,12/11/2018,1.580369516
2018,12/19/2018,1.968033716
2018,12/27/2018,1.540609393
2019,1/1/2019,1.299250837
2019,1/9/2019,1.462362648
2019,1/17/2019,1.204693672
2019,1/25/2019,0.890661629
2019,2/2/2019,0.755280971
2019,2/10/2019,0.535380658
2019,2/18/2019,0.687993633
2019,2/26/2019,0.513432782
2019,3/6/2019,0.576009154
2019,3/14/2019,0.5
2019,3/22/2019,1
2019,3/30/2019,0.401160088
2019,4/7/2019,0.370761316
2019,4/15/2019,0.5
2019,4/23/2019,0.42810436
2019,5/1/2019,0.499730172
2019,5/9/2019,1.093995228
2019,5/17/2019,1.012712472
2019,5/25/2019,0.368824098
2019,6/2/2019,0.424804208
2019,6/10/2019,1.223666007
2019,6/18/2019,0.914155804
2019,6/26/2019,0.612276195
2019,7/4/2019,0.79008147
2019,7/12/2019,0.681877423
2019,7/20/2019,0.580099687
2019,7/28/2019,0.495909466
2019,8/5/2019,0.442926785
2019,8/13/2019,0.240979099
2019,8/21/2019,0.3
2019,8/29/2019,0.151995328
2019,9/6/2019,0.301348424
2019,9/14/2019,0.519900313
2019,9/22/2019,0.493861903
2019,9/30/2019,0.453773063
2019,10/8/2019,0.1
2019,10/16/2019,1.225420763
2019,10/24/2019,0.686537952
2019,11/1/2019,1.601777736
2019,11/9/2019,0.90926593
2019,11/17/2019,1.922176486
2019,11/25/2019,1.6
2019,12/3/2019,0.654390711
2019,12/11/2019,1.580369516
2019,12/19/2019,1.673673376
2019,12/27/2019,0.910767214
2020,1/1/2020,1.90700647
2020,1/9/2020,1.222843106
2020,1/17/2020,2.003263756
2020,1/25/2020,2.429878307
2020,2/2/2020,0.909068543
2020,2/10/2020,1.61083177
2020,2/18/2020,1.227215461
2020,2/26/2020,1.169463632
2020,3/5/2020,0.976640052
2020,3/13/2020,1.349062098
2020,3/21/2020,0.98498629
2020,3/29/2020,0.739227845
2020,4/6/2020,1.147826803
2020,4/14/2020,1.174856444
2020,4/22/2020,0.66429341
2020,4/30/2020,1.835436616
2020,5/8/2020,0.639198579
2020,5/16/2020,0.535969453
2020,5/24/2020,1.095103483
2020,6/1/2020,1.19643002
2020,6/9/2020,0.340458546
2020,6/17/2020,0.441418877
2020,6/25/2020,0.771031145
2020,7/3/2020,0.733602923
2020,7/11/2020,0.626478188
