ldndc_species_parameter_number,common_name,scientific_name,subfamily,tribe,genus,descriptor,search.text,categor,code,description,unit in words,unit,significant.digits,minimum,maximum,point_estimate,midpoint,references,reference_minimum,reference_maximum,reference_point_estimate
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Michaelis Menten constant for O2 at 25 degrees C as millimols per mol per mbar  (mmol mol-1 mbar-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,KO25,Michaelis Menten constant for O2 at 25 degrees C,millimols per mol per mbar,mmol mol-1 mbar-1,2,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Maintenance coefficient at reference temperature as fraction  () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,KM20,Maintenance coefficient at reference temperature,fraction,,2,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Maximum RubP saturated rate of carboxylation at 25oC for sun leaves as micromols per square meter per second  (umol m^-2 s^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,VCMAX25,Maximum RubP saturated rate of carboxylation at 25oC for sun leaves,micromols per square meter per second,umol m^-2 s^-1,2,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for electron transport as Joules per mol  (J mol^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEJM,Activation energy for electron transport,Joules per mol,J mol^-1,0,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for Michaelis-Menten constant for CO2 as Joules per mol  (J mol^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEKC,Activation energy for Michaelis-Menten constant for CO2,Joules per mol,J mol^-1,0,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for Michaelis-Menten constant for O2 as Joules per mol  (J mol^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEKO,Activation energy for Michaelis-Menten constant for O2,Joules per mol,J mol^-1,0,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for dark respiration as Joules per mol  (J mol^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AERD,Activation energy for dark respiration,Joules per mol,J mol^-1,0,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for photosynthesis as micromols per mol per mbar  ( ï¿½mol mol^?1 mbar^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEVC,Activation energy for photosynthesis,micromols per mol per mbar, ï¿½mol mol^?1 mbar^-1,0,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for RubP oxygenation as Joules per mol  (J mol-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEVO,Activation energy for RubP oxygenation,Joules per mol,J mol-1,0,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Relation between maximum electron transport rate and RubP saturated rate of carboxylation as micromols per mol per mbar  (umol mol-1 ubar-1)) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,KC25,Relation between maximum electron transport rate and RubP saturated rate of carboxylation,micromols per mol per mbar,umol mol-1 ubar-1),2,,,,,,,,
