ldndc_species_parameter_number,common_name,scientific_name,subfamily,tribe,genus,descriptor,search.text,categor,code,description,unit in words,unit,significant.digits,minimum,maximum,point_estimate,midpoint,references,reference_minimum,reference_maximum,reference_point_estimate
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Michaelis Menten constant for O2 at 25 degrees C as millimols per mol per mbar  (mmol mol-1 mbar-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,KO25,Michaelis Menten constant for O2 at 25 degrees C,millimols per mol per mbar,mmol mol-1 mbar-1,2,300,450,450,375,Collatz et al. 1992; von Caemmerer 2000,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Maintenance coefficient at reference temperature as fraction  () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,KM20,Maintenance coefficient at reference temperature,fraction,,2,0.015,0.025,0.015,0.02,Thornley & Cannell 2000,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Maximum RubP saturated rate of carboxylation at 25oC for sun leaves as micromols per square meter per second  (umol m^-2 s^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,VCMAX,Maximum RubP saturated rate of carboxylation at 25oC for sun leaves,micromols per square meter per second,umol m^-2 s^-1,2,25,55,35.4,40,Ghuman et al. 2023; Wand et al. 1999,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for electron transport as Joules per mol  (J mol^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEJM,Activation energy for electron transport,Joules per mol,J mol^-1,0,37000,77900,40000,57450,Rahimi et al. 2021; Massad et al. 2007,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for dark respiration as Joules per mol  (J mol^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEKC,Activation energy for Michaelis-Menten constant for CO2,Joules per mol,J mol^-1,0,36300,79430,79430,57865,Bernacchi et al. 2001; Boyd et al. 2015,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for Michaelis-Menten constant for O2 as Joules per mol  (J mol^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEKO,Activation energy for Michaelis-Menten constant for O2,Joules per mol,J mol^-1,0,21700,70000,36380,45850,Bernacchi et al. 2001; Boyd et al. 2015,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for dark respiration as Joules per mol  (J mol^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AERD,Activation energy for dark respiration,Joules per mol,J mol^-1,0,45000,64800,46390,54900,Massad et al. 2007; Atkin et al. 2015,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for photosynthesis as micromols per mol per mbar  ( ï¿½mol mol^?1 mbar^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEVC,Activation energy for photosynthesis,micromols per mol per mbar, ï¿½mol mol^?1 mbar^-1,0,65330,78100,67294,71715,Rahimi et al. 2021; Massad et al. 2007,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Activation energy for RubP oxygenation as Joules per mol  (J mol-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,AEVO,Activation energy for RubP oxygenation,Joules per mol,J mol-1,0,28500,48390,37530,38445,Massad et al. 2007; Bernacchi et al. 2001,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Relation between maximum electron transport rate and RubP saturated rate of carboxylation as micromols per mol per mbar  (umol mol-1 ubar-1)) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,KC25,Relation between maximum electron transport rate and RubP saturated rate of carboxylation,micromols per mol per mbar,umol mol-1 ubar-1),2,300,767.6,650,533.8,von Caemmerer 2000; Collatz et al. 1992,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Curvature parameter for the light response curve as   () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,THETA,Curvature parameter for the light response curve,,,2,0.7,0.93,0.83,0.815,Quirk et al. 2019; Bellasio et al. 2017,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Relation between maximum electron transport rate and RubP saturated rate of carboxylation (ï¿½). as micromols per square meter per second  (umol m^-2 s^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,QJVC,Relation between maximum electron transport rate and RubP saturated rate of carboxylation (ï¿½).,micromols per square meter per second,umol m^-2 s^-1,2,1.85,5.1,2.1,3.475,Ghuman et al. 2023; von Caemmerer 2000,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Relation between dark respiration rate and RubP saturated rate of carboxyla tion at 25 oC as micromols per square meter per second  (umol m^-2 s^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",co2,QRD25,Relation between dark respiration rate and RubP saturated rate of carboxyla tion at 25 oC,micromols per square meter per second,umol m^-2 s^-1,2,0.01,0.05,0.03,0.03,von Caemmerer 2000; Collatz et al. 1992,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Maximum instantaneous water use efficiency as milligrams of carbon dioxide per gram of water  (mg CO2 g^-1 H2O) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",water,WUECMAX,Maximum instantaneous water use efficiency,milligrams of carbon dioxide per gram of water,mg CO2 g^-1 H2O,1,4.2,8.56,6.56,6.38,Snyman et al. 1997,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the minimum instantaneous water use efficiency as milligrams of carbon dioxide per gram of water  (mg CO2 g^-1 H2O) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",water,WUECMIN,minimum instantaneous water use efficiency,milligrams of carbon dioxide per gram of water,mg CO2 g^-1 H2O,1,1,4.21,3.5,2.6,Snyman et al. 1997,,,
