source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter_above[kgCha-1]	dC_litter_below[kgCha-1]	dN_litter_above[kgNha-1]	dN_litter_below[kgNha-1]	dN_deposition[kgNha-1]	dN_plant_uptake[kgNha-1]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]	dN_chemodenitrify[kgNha-1]	C_plants[kgCha-1]	C_soil[kgCha-1]	C_soil_20cm[kgCha-1]	C_soil_30cm[kgCha-1]	C_aorg[kgCha-1]	C_litter_raw[kgCha-1]	C_litter[kgCha-1]	C_mic[kgCha-1]	C_sol[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants[kgNha-1]	N_soil[kgNha-1]	N_soil_20cm[kgNha-1]	N_soil_30cm[kgNha-1]	N_aorg[kgNha-1]	N_litter_raw[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_sol[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2018-01-01 23:00:00	4.02946e-13	4.09558	8.09146	1.8139e-05	1.08792e-06	1.77576e-05	1.6815e-07	8.03342e-06	0.000308621	0.112642	2.30724e-08	0	0	0	0	0.552825	0	0.00572972	0.0136259	1.62738	2.94865	0.799103	0.239901	0.000151969	424.697	116115	38015.4	57902.2	170.628	10.3972	87.4258	233.478	0.414725	0	0	8.31027	10768.7	3502.84	5296.02	18.6027	0.218727	1.88962	27.006	3.39236	0	0	0.889999
setup	0	2018-01-02 23:00:00	3.11289e-13	7.10794	7.82198	3.43456e-05	2.12071e-06	6.8221e-08	3.29774e-07	9.29799e-06	0.000319262	0.196037	2.8104e-08	0	0	0	0	2.84067	0	0.00572578	0.0136345	0.150571	0.98472	0.0973401	0.0652129	0.000102443	428.771	116109	38011.9	57897.8	194.217	10.8325	86.0308	203.96	2.16061	0	0	10.3491	10768.4	3502.72	5295.86	21.469	0.221985	1.85825	22.6691	4.57913	0	0	0.962607
setup	0	2018-01-03 23:00:00	6.60717e-09	4.33276	6.53054	4.86449e-05	3.52661e-07	1.08765e-08	5.52847e-08	1.02399e-06	1.64055e-05	0.0914993	3.43338e-08	0	0	0	0	0.557402	0	0.00713056	0.0136982	0.449896	0.642414	0.00724859	0.071395	3.99265e-05	423.17	116103	38008.2	57893.3	210.717	11.2601	85.0068	183.151	0.415397	0	0	10.3749	10767.8	3502.44	5295.48	23.3452	0.226436	1.83541	20.1668	4.53205	0	0	0.994887
setup	0	2018-01-04 23:00:00	1.28617e-07	4.68178	4.38912	0.0909888	0	0	0	3.25288e-07	-1.77632e-05	0.0230542	4.13585e-08	0	0	0	0	0.55012	0	0.00714827	0.0136707	0.803605	0.689849	0.0205472	0.0132538	1.47563e-05	418.003	116099	38006	57890.7	223.377	11.6731	83.9137	167.22	0.197867	0	0	10.3614	10766.9	3502.04	5294.94	24.574	0.230805	1.8109	18.3073	4.26505	0	0	0.990313
setup	0	2018-01-05 23:00:00	5.72064e-07	4.57367	3.74547	0.106196	0	0	0	1.00783e-06	-1.44915e-05	0.0173591	5.4599e-08	0	0	0	0	0.543404	0	0.00713898	0.0136257	0.822722	0.688461	0.0401905	0.0116737	1.61423e-05	413.139	116096	38004.3	57888.4	232.505	12.0707	82.6886	155.324	0.27823	0	0	10.3479	10766.1	3501.68	5294.42	25.3635	0.235038	1.78325	16.8638	4.09376	0	0	0.975934
setup	0	2018-01-06 23:00:00	1.36897e-06	4.82036	3.7853	0.0627933	0	0	0	2.63716e-06	4.62901e-06	0.0140797	6.07821e-08	0	0	0	0	0.537081	0	0.0071297	0.0136256	0.693995	0.647379	0.0596749	0.00958032	2.3548e-05	408.379	116092	38002.5	57886	238.983	12.4535	81.1722	146.236	0.880217	0	0	10.3344	10765.5	3501.39	5294.02	25.917	0.239139	1.74877	15.7543	4.01601	0	0	0.951647
setup	0	2018-01-07 23:00:00	2.75865e-06	4.74904	4.17108	0.0190116	0	0	0	6.32991e-06	8.28132e-05	0.0135329	6.66383e-08	0	0	0	0	0.530892	0	0.00712043	0.0136256	0.588331	0.602617	0.0874324	0.0108087	3.89858e-05	403.725	116089	38000.4	57883.3	243.311	12.8226	79.2313	139.583	1.95013	0	0	10.321	10765	3501.15	5293.67	26.289	0.243129	1.70443	14.9438	3.97078	0	0	0.92304
setup	0	2018-01-08 23:00:00	4.71352e-06	4.68108	4.74187	5.61338e-05	0	0	0	1.37051e-05	0.000254439	0.012397	7.67021e-08	0	0	0	0	0.524842	0	0.00711118	0.0136256	0.45534	0.565386	0.119374	0.0119514	5.9025e-05	399.132	116084	37997.8	57880.2	245.843	13.1768	76.8917	135.064	3.28675	0	0	10.3076	10764.6	3500.96	5293.41	26.5334	0.246978	1.6509	14.3744	3.98757	0	0	0.898785
setup	0	2018-01-09 23:00:00	6.62326e-06	4.73042	5.19477	1.61326e-05	0	9.92787e-05	0	2.62974e-05	0.000510714	0.0107187	9.66876e-08	0	0	0	0	0.518871	0	0.00710193	0.0136256	0.442717	0.576589	0.161729	0.0152534	8.18489e-05	394.69	116079	37994.8	57876.6	247.001	13.5166	74.3233	132.354	4.55715	0	0	10.2942	10764.1	3500.75	5293.12	26.6524	0.250696	1.59218	13.9918	3.97639	0	0	0.882098
setup	0	2018-01-10 23:00:00	7.77919e-06	4.91825	5.61569	3.8093e-05	0	2.59327e-07	0	4.22633e-05	0.000788353	0.00891949	1.12861e-07	0	0	0	0.250286	0.513097	0.0037732	0.0070927	0.0136268	0.562346	0.608202	0.195067	0.0164886	9.86222e-05	390.58	116074	37991.4	57872.5	247.235	14.0966	71.7707	130.955	5.2644	0	0	10.2808	10763.6	3500.46	5292.75	26.6194	0.258139	1.53397	13.7351	3.88216	0	0	0.881101
