source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top[oC]	temp_canopy_middle[oC]	temp_canopy_bottom[oC]	temp_surfacewater[oC]	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd[mbar]
setup	0	2020-01-01 23:00:00	12.0927	421.531	287.86	28.7817	335.133	0	8.15614	0	0	0	0	20.68	14.58	27.98	19.6536	17.601	17.601	-99.99	16.5747	12.4733	9.31732	8.34569	8.0961	8.00027	-99.99	-99.99	0.0269335
setup	0	2020-01-02 23:00:00	12.0924	421.75	256.04	25.6002	351.205	0	11.2529	0	0	0	0	20.5	16	26.58	19.9084	18.7255	18.7255	-99.99	18.134	15.7686	12.1336	9.96441	8.99132	8.00642	-99.99	-99.99	0.0207046
setup	0	2020-01-03 23:00:00	12.092	421.983	251.3	25.1263	354.21	0	11.5686	0	0	0	0	20.67	16.36	26.68	20.197	19.2512	19.2512	-99.99	18.7784	16.8871	13.7517	11.5589	10.3591	8.02791	-99.99	-99.99	0.0219245
setup	0	2020-01-04 23:00:00	12.0916	422.229	249.91	24.9873	349.339	0	11.1038	0	0	0	0	19.97	16.39	25.45	19.6383	18.9752	18.9752	-99.99	18.6436	17.3172	14.7924	12.8295	11.6199	8.06605	-99.99	-99.99	0.0213667
setup	0	2020-01-05 23:00:00	12.0912	422.488	271.55	27.151	338.493	0	11.062	0	0	0	0	19.96	15.46	26.32	19.6602	19.0606	19.0606	-99.99	18.7609	17.5618	15.4287	13.7431	12.6077	8.11798	-99.99	-99.99	0.027627
setup	0	2020-01-06 23:00:00	12.0908	422.759	265.53	26.5491	345.289	0	11.6596	0	0	0	0	20.76	14.92	27.77	20.4306	19.7721	19.7721	-99.99	19.4429	18.1261	16.0412	14.4605	13.3566	8.18006	-99.99	-99.99	0.0328015
setup	0	2020-01-07 23:00:00	12.0903	423.042	209.88	20.9849	368.87	0	12.0105	0	0	0	0	20.57	17.22	25.63	20.3206	19.8219	19.8219	-99.99	19.5726	18.5755	16.6907	15.1338	13.9998	8.25002	-99.99	-99.99	0.0202493
setup	0	2020-01-08 23:00:00	12.0898	423.337	218.9	21.8868	365.353	0	12.98	0	0	0	0	20.68	17.36	26.22	20.4425	19.9677	19.9677	-99.99	19.7303	18.7807	17.0773	15.6499	14.5429	8.32665	-99.99	-99.99	0.0236791
setup	0	2020-01-09 23:00:00	12.0893	423.644	237.99	23.7955	359.614	0	13.0291	0	0	0	0	20.6	17.01	26.04	20.393	19.979	19.979	-99.99	19.772	18.9442	17.3947	16.0557	14.9711	8.40837	-99.99	-99.99	0.0226758
setup	0	2020-01-10 23:00:00	12.0887	423.961	242.85	24.2815	358.467	0	13.4012	0	0	0	0	21.25	16.64	28.27	21.002	20.5063	20.5063	-99.99	20.2584	19.2671	17.6766	16.3772	15.3092	8.49381	-99.99	-99.99	0.0325561
