source	id	datetime	layer	level[m]	extension[m]	water[l/m-2]	wfps[%]	ice	flux	droughtstress[-]	transpiration[mm]
setup	0	2020-01-01 23:00:00	2	0.04	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2020-01-01 23:00:00	1	0.02	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2020-01-01 23:00:00	0	0	0	0	-99.99	0	0	-99.99	-99.99
setup	0	2020-01-01 23:00:00	-1	-0.2	0.2	76.497	0.845654	0	0	0.738775	0
setup	0	2020-01-01 23:00:00	-2	-0.4	0.2	76.3964	0.853867	0	0	0.746444	0
setup	0	2020-01-01 23:00:00	-3	-0.6	0.2	76.2413	0.854857	0	0.0484559	0.746433	0
setup	0	2020-01-01 23:00:00	-4	-0.8	0.2	73.6694	0.853051	0	0.00720068	0.753005	0
setup	0	2020-01-01 23:00:00	-5	-1	0.2	72.3783	0.852167	0	0.000720068	0.750482	0
setup	0	2020-01-02 23:00:00	2	0.04	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2020-01-02 23:00:00	1	0.02	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2020-01-02 23:00:00	0	0	0	0	-99.99	0	1.06536	-99.99	-99.99
setup	0	2020-01-02 23:00:00	-1	-0.2	0.2	77.3	0.854531	0	0.0324953	0.785785	0
setup	0	2020-01-02 23:00:00	-2	-0.4	0.2	76.3897	0.853792	0	0	0.745968	0
setup	0	2020-01-02 23:00:00	-3	-0.6	0.2	76.2284	0.854712	0	0.0213153	0.745482	0
setup	0	2020-01-02 23:00:00	-4	-0.8	0.2	73.6867	0.853252	0	0.0122207	0.754269	0
setup	0	2020-01-02 23:00:00	-5	-1	0.2	72.3975	0.852393	0	0.00122207	0.751907	0
setup	0	2020-01-03 23:00:00	2	0.04	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2020-01-03 23:00:00	1	0.02	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
setup	0	2020-01-03 23:00:00	0	0	0	0	-99.99	0	0.85412	-99.99	-99.99
setup	0	2020-01-03 23:00:00	-1	-0.2	0.2	77.6997	0.858949	0	0.221097	0.809186	0
setup	0	2020-01-03 23:00:00	-2	-0.4	0.2	76.5578	0.855671	0	0.0115758	0.757893	0
setup	0	2020-01-03 23:00:00	-3	-0.6	0.2	76.2345	0.854781	0	0.0125426	0.745931	0
setup	0	2020-01-03 23:00:00	-4	-0.8	0.2	73.6966	0.853367	0	0.00951694	0.754992	0
setup	0	2020-01-03 23:00:00	-5	-1	0.2	72.4128	0.852574	0	0.000951694	0.753051	0
setup	0	2020-01-04 23:00:00	2	0.04	0.02	0	-99.99	-99.99	-99.99	-99.99	-99.99
