source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top	temp_canopy_middle	temp_canopy_bottom	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd
setup	0	2006-01-01 23:00:00	12.0927	421.532	223.65	22.3616	359.26	0	26.796	0	0	0	0	21.95	16.42	29.57	22.8214	21.0929	19.4509	19.4293	19.132	16.1025	14.5051	13.1665	10.9763	8.00311	-99.99	1.14734
setup	0	2006-01-02 23:00:00	12.0924	421.752	227	22.2914	357.672	0	26.2603	0	0	0	0	21.74	15.53	29.53	21.7399	21.7399	21.5285	21.4569	20.6072	19.1814	18.3052	17.4802	15.8548	8.03576	-99.99	0.947941
setup	0	2006-01-03 23:00:00	12.092	421.985	190.79	19.2701	374.229	0	38.5917	0	0	0	0	21.58	17.01	28.8	21.5799	21.5363	21.4179	21.4138	20.9206	20.1018	19.5933	19.1051	18.0902	8.09726	-99.99	0.711568
setup	0	2006-01-04 23:00:00	12.0916	422.232	272.82	27.5496	338.151	0	81.7396	0	0	0	0	21.52	16.32	28.84	21.5199	21.4906	21.411	21.4082	21.0723	20.5005	20.139	19.7873	19.0311	8.17206	-99.99	0.790073
setup	0	2006-01-05 23:00:00	12.0912	422.491	300.7	30.3599	321.494	0	86.7992	0	0	0	0	21.31	14.43	29.38	21.3099	21.2893	21.2336	21.2317	20.9908	20.5605	20.28	20.0017	19.3818	8.25242	-99.99	0.993626
setup	0	2006-01-06 23:00:00	12.0908	422.763	265.3	26.7825	338.36	0	79.1181	0	0	0	0	21.61	14.53	29.39	21.6099	21.5857	21.52	21.5177	21.2447	20.793	20.511	20.2357	19.6269	8.33512	-99.99	1.02751
setup	0	2006-01-07 23:00:00	12.0903	423.048	257.43	25.9857	348.14	0	73.5706	0	0	0	0	22.46	16.29	30.43	22.4599	22.4276	22.34	22.3369	21.9778	21.4059	21.0611	20.7324	20.0319	8.41985	-99.99	0.964945
setup	0	2006-01-08 23:00:00	12.0898	423.344	294.11	29.6865	333.989	0	74.3931	0	0	0	0	22.64	15.83	30.83	22.6399	22.6137	22.5428	22.5404	22.2424	21.7397	21.423	21.1135	20.4342	8.50759	-99.99	1.05956
setup	0	2006-01-09 23:00:00	12.0893	423.651	296.54	29.9307	334.25	0	73.5571	0	0	0	0	22.9	15.49	31.43	22.8998	22.874	22.8037	22.8013	22.5066	22.0117	21.7006	21.3968	20.7286	8.59794	-99.99	1.15675
setup	0	2006-01-10 23:00:00	12.0887	423.97	304.06	30.6891	336.171	0	70.3146	0	0	0	0	23.69	16.78	31.31	23.6898	23.6566	23.5665	23.5633	23.1939	22.6054	22.2489	21.9073	21.1726	8.69068	-99.99	1.12015
setup	0	2006-01-11 23:00:00	12.0881	424.298	272.01	27.4546	347.984	0	78.2391	0	0	0	0	23.3	16.3	31.82	23.2999	23.2796	23.2247	23.2228	22.9894	22.5824	22.3123	22.0398	21.4135	8.78631	-99.99	1.13067
setup	0	2006-01-12 23:00:00	12.0875	424.637	199.47	20.1333	370.287	0	73.4011	0	0	0	0	21.71	16.11	28.64	21.7099	21.7096	21.7086	21.7086	21.6983	21.6417	21.5689	21.4679	21.1337	8.88268	-99.99	0.845858
