source	id	datetime	species	day_emerg	temp_cum	dvs_flush	dvs_mort	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_fru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_dst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	N_lit_fol[kgNm-2]	N_lit_fru[kgNm-2]	N_lit_frt[kgNm-2]	N_lit_ldst_below[kgNm-2]	N_lit_ldst_above[kgNm-2]	drought_rel	conduct_rel	vc_act_25[umol_m-2_s-1]	iso_act[nmol_m-2_s-1]	mono_act[nmol_m-2_s-1]	iso_emis[umol_m-2]	mono_emis[umol_m-2]	mono_storage_emis[umol_m-2]	ovoc_emis[umol_m-2]	dN_nh4_throughf[kgN_L-1]	dN_no3_throughf[kgN_L-1]
setup	0	2006-01-01 23:00:00	ANGA	19	1720.08	1	0	0	5.93638e-07	9.38913e-05	0	0	3.81777e-05	0	0	0	0	0	2.38718e-05	0	0.000284425	0	0.000308297	0.000190889	0	0	0.500316	0.1	0	0.0943772	0	0	0.0943772	0.1	0.10335	10.6	5.08108e-07	0.0128	0	0.00880538	0	0	0.00211103	0	0	0.00012285	0	0	0	0	0	5.72972e-07	0	0	0.745362	0	23.9	0	0	0	0	0	0	6.81428e-07	6.81347e-07
setup	0	2006-01-02 23:00:00	ANGA	19	1741.09	1	0	0	1.91741e-07	3.89254e-05	0	0	1.34339e-05	0	0.000193496	0	0	-0.000156823	0.00024856	0	0.000372481	0	0.000621042	0.000221369	6.44988e-05	0.00059788	0.499419	0.0998207	0.000429992	0.0940853	0	0	0.0945152	0.0998207	1.0581	10.6	5.07758e-07	0.012823	0	0.0102366	0	0	0.00224312	0	0	0.00012269	0	0	0	0	0	5.72578e-07	0	0	0.735241	0.0350941	23.9	0	0	0	0	0	0	6.81338e-07	6.81306e-07
setup	0	2006-01-03 23:00:00	ANGA	19	1761.98	1	0	0	1.66606e-07	2.25852e-05	0	0	4.99171e-06	0	0.00307505	0	0	-0.000617588	0.000251231	9.37741e-08	0.000404263	0	0.000655588	0.000108843	0.00102502	0.00429869	0.495998	0.0991158	0.00726039	0.0932985	0	0	0.100559	0.0991158	1.05063	10.6	5.88465e-07	0.0129142	0.000520967	0.0108386	0	0	0.002295	0	0	0.000122311	0	0	0	0	0	6.63588e-07	0	0	0.749445	0.292519	23.9	0	0	0	0	0	0	6.8255e-07	6.81862e-07
setup	0	2006-01-04 23:00:00	ANGA	19	1782.84	1	0	0	1.92501e-07	2.72989e-05	0	0	1.62334e-05	0	0.00375574	0	0	-0.000587874	0.000249193	5.45312e-06	0.000410368	0	0.000665014	0.000142991	0.00125191	0.00515862	0.492971	0.0984673	0.015559	0.0925668	0	0	0.108126	0.0984673	1.04375	10.6	6.17857e-07	0.0129992	0.00180249	0.0109543	0	0	0.00232205	0	0	0.000121288	0	0	0	0	0	6.96732e-07	0	0	0.731607	0.332047	23.9	0	0	0	0	0	0	6.81722e-07	6.81482e-07
setup	0	2006-01-05 23:00:00	ANGA	19	1803.54	1	0	0	1.88398e-07	2.48032e-05	0	0	2.70756e-05	0	0.00339206	0	0	-0.00054443	0.000242066	1.99583e-05	0.000410554	0	0.000672579	0.000202453	0.00113069	0.00476238	0.490333	0.0978907	0.0230058	0.0919044	0	0	0.11491	0.0978907	1.03764	10.6	6.19558e-07	0.0130758	0.00310008	0.0110306	0	0	0.00236508	0	0	0.000120337	0	0	0	0	0	6.98651e-07	0	0	0.698024	0.271516	23.9	0	0	0	0	0	0	6.81318e-07	6.81297e-07
setup	0	2006-01-06 23:00:00	ANGA	19	1824.52	1	0	0	1.84103e-07	2.41878e-05	0	0	3.53391e-05	0	0.0030816	0	0	-0.00051581	0.000244976	4.00053e-05	0.000412948	0	0.000697929	0.000237639	0.0010272	0.00444367	0.487956	0.0973634	0.0297299	0.0912899	0	0	0.12102	0.0973634	1.03205	10.6	6.19406e-07	0.0131466	0.00417111	0.0110904	0	0	0.00241645	0	0	0.000119476	0	0	0	0	0	6.98479e-07	0	0	0.665539	0.254237	23.9	0	0	0	0	0	0	6.8128e-07	6.81279e-07
setup	0	2006-01-07 23:00:00	ANGA	19	1846.3	1	0	0	1.94169e-07	2.40701e-05	0	0	4.31025e-05	0	0.00325941	0	0	-0.000487801	0.000254167	6.34268e-05	0.000420228	0	0.000737822	0.000276639	0.00108647	0.00476756	0.485865	0.0968801	0.0368254	0.090718	0	0	0.127543	0.0968801	1.02693	10.6	6.18601e-07	0.0132122	0.00500567	0.0111458	0	0	0.00247546	0	0	0.000118677	0	0	0	0	0	6.97571e-07	0	0	0.635213	0.293244	23.9	0	0	0	0	0	0	6.8128e-07	6.8128e-07
setup	0	2006-01-08 23:00:00	ANGA	19	1868.28	1	0	0	1.96079e-07	2.41621e-05	0	0	4.84738e-05	0	0.00327087	0	0	-0.000475984	0.000254115	9.05674e-05	0.000423309	0	0.000767991	0.000303382	0.00109029	0.00487376	0.483944	0.0964235	0.0439205	0.0901725	0	0	0.134093	0.0964235	1.02209	10.6	6.17797e-07	0.0132748	0.00574494	0.0111986	0	0	0.00254213	0	0	0.000117933	0	0	0	0	0	6.96664e-07	0	0	0.6049	0.287853	23.9	0	0	0	0	0	0	6.8128e-07	6.81279e-07
setup	0	2006-01-09 23:00:00	ANGA	19	1890.51	1	0	0	2.08321e-07	2.41313e-05	0	0	5.23012e-05	0	0.00301917	0	0	-0.000469497	0.000254559	0.000122182	0.000425751	0	0.000802492	0.000320991	0.00100639	0.00460165	0.482112	0.0959871	0.050431	0.0896472	0	0	0.140078	0.0959871	1.01746	10.6	6.16993e-07	0.0133351	0.00645971	0.0112496	0	0	0.00261427	0	0	0.000117224	0	0	0	0	0	6.95759e-07	0	0	0.576013	0.263746	23.9	0	0	0	0	0	0	6.81287e-07	6.81283e-07
setup	0	2006-01-10 23:00:00	ANGA	19	1913.48	1	0	0	2.45808e-07	2.41562e-05	0	0	5.6858e-05	0	0.00331145	0	0	-0.000431236	0.000263652	0.00015459	0.000431768	0	0.00085001	0.000345675	0.00110382	0.00507963	0.480598	0.0955974	0.057585	0.0891667	0	0	0.146752	0.0955974	1.01333	10.6	6.16191e-07	0.0133895	0.00699881	0.0112955	0	0	0.00269021	0	0	0.000116541	0	0	0	0	0	6.94854e-07	0	0	0.549324	0.305739	23.9	0	0	0	0	0	0	6.81307e-07	6.81292e-07
setup	0	2006-01-11 23:00:00	ANGA	19	1936.1	1	0	0	2.62801e-07	2.44696e-05	0	0	5.70618e-05	0	0.00289589	0	0	-0.000451703	0.000258685	0.000190122	0.000430403	0	0.000879211	0.000343971	0.000965297	0.00457863	0.478988	0.0952014	0.0637818	0.0886815	0	0	0.152463	0.0952014	1.00914	10.6	6.1539e-07	0.0134452	0.00760251	0.0113426	0	0	0.00277078	0	0	0.000115917	0	0	0	0	0	6.93951e-07	0	0	0.604292	0.273005	23.9	0	0	0	0	0	0	6.88211e-07	6.84457e-07
setup	0	2006-01-12 23:00:00	ANGA	19	1957.2	1	0	0	2.82006e-07	2.42998e-05	0	0	5.11622e-05	0	0.00252601	0	0	-0.000459829	0.000250049	0.000218092	0.000417986	0	0.000886128	0.00031252	0.000842004	0.0041064	0.477335	0.0948087	0.069132	0.0882003	0	0	0.157332	0.0948087	1.00497	10.6	6.1459e-07	0.0135009	0.00820619	0.0113896	0	0	0.00285188	0	0	0.000115286	0	0	0	0	0	6.93049e-07	0	0	0.645859	0.271778	23.9	0	0	0	0	0	0	6.87819e-07	6.84277e-07
