source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter[kgCha-1]	dN_litter[kgNha-1]	dN_dep[kgNha-1]	dN_up_floor[kgNha-1]	dN_up_min[kgNha-1]	dN_mineral_floor[kgNha-1]	dN_mineral_min[kgNha-1]	dN_nitrify_floor[kgNha-1]	dN_nitrify_min[kgNha-1]	dN_denitrify_floor[kgNha-1]	dN_denitrify_min[kgNha-1]	dN_chemo_floor[kgNha-1]	dN_chemo_min[kgNha-1]	C_plants_floor[kgCha-1]	C_plants_min[kgCha-1]	C_soil_floor[kgCha-1]	C_soil_min[kgCha-1]	C_aorg_floor[kgCha-1]	C_aorg_min[kgCha-1]	C_litter_raw[kgCha-1]	C_litter_floor[kgCha-1]	C_litter_min[kgCha-1]	C_mic_floor[kgCha-1]	C_mic_min[kgCha-1]	C_sol_floor[kgCha-1]	C_sol_min[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants_floor[kgNha-1]	N_plants_min[kgNha-1]	N_soil_floor[kgNha-1]	N_soil_min[kgNha-1]	N_aorg_floor[kgNha-1]	N_aorg_min[kgNha-1]	N_litter_raw[kgNha-1]	N_litter_floor[kgNha-1]	N_litter_min[kgNha-1]	N_mic_floor[kgNha-1]	N_mic_min[kgNha-1]	N_sol_floor[kgNha-1]	N_sol_min[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2006-01-01 23:00:00	0	4.75314	1.98125	0.000180367	0	0.00227329	0.00182982	0.000941086	0.00441577	0.0785325	3.5786e-06	0	0	0	0.552825	0.00572972	0.0136278	0	0.944849	-0	1.71461	-0	1.5034	-0	0.113962	-0	8.32133e-08	0	424.697	0	76502.1	0	154.399	0.760994	0	7.17778	0	149.91	0	0.0150731	0	0	0	8.31027	0	4921.14	0	16.7573	0.0114129	0	0.104494	0	18.0173	0	2.09806	0	0	0.441257
setup	0	2006-01-02 23:00:00	0	5.9385	2.64024	1.00007e-06	0	0.00519518	0.00278801	0.000753638	0.0115364	0.161418	7.15313e-07	0	0	0	0.552106	0.00572578	0.0136264	0	0.391172	-0	0.404394	-0	0.408315	-0	0.0795547	-0	6.02381e-08	0	425.319	0	76499.9	0	154.491	0.750812	0	7.34941	0	149.865	0	0.0172176	0	0	0	9.63117	0	4920.68	0	16.5736	0.0112602	0	0.10393	0	17.6691	0	2.27271	0	0	0.429576
setup	0	2006-01-03 23:00:00	0	5.13199	3.04645	1.59128e-06	0	0.0027538	0.0014093	0.000488136	0.00562067	0.0644346	3.90579e-07	0	0	0	0.550399	0.00663588	0.0136441	0	0.227518	-0	0.311358	-0	0.315342	-0	0.0397154	-0	5.32426e-08	0	452.515	0	76497.4	0	154.526	0.74048	0	7.50716	0	149.824	0	0.0183253	0	0	0	10.15	0	4920.43	0	16.5118	0.0111052	0	0.104174	0	17.5472	0	2.31868	0	0	0.423932
setup	0	2006-01-04 23:00:00	0	5.58812	3.21749	1.78745e-06	0	0.00246401	0.00144998	0.000485579	0.00396947	0.0436169	3.74949e-07	0	0	0	0.545796	0.00696732	0.013632	0	0.274914	-0	0.317884	-0	0.302042	-0	0.0385526	-0	5.26128e-08	0	486.566	0	76494.7	0	154.581	0.73034	0	7.67336	0	149.774	0	0.0191459	0	0	0	10.4205	0	4920.12	0	16.4609	0.0109532	0	0.105031	0	17.4825	0	2.24529	0	0	0.412958
setup	0	2006-01-05 23:00:00	0	6.32966	3.2679	1.7936e-06	0	0.0024253	0.00163176	0.000528363	0.00359694	0.0389574	4.43376e-07	0	0	0	0.541516	0.00698651	0.0136261	0	0.249916	-0	0.321673	-0	0.31203	-0	0.0333102	-0	5.11412e-08	0	517.096	0	76492	0	154.597	0.720654	0	7.86017	0	149.781	0	0.0194102	0	0	0	10.8508	0	4919.85	0	16.4014	0.0108079	0	0.106368	0	17.4235	0	2.21319	0	0	0.39883
setup	0	2006-01-06 23:00:00	0	6.90592	3.30887	1.71682e-06	0	0.00247574	0.00165576	0.000563093	0.00341724	0.037029	4.79154e-07	0	0	0	0.537641	0.00698479	0.0136256	0	0.243719	-0	0.320801	-0	0.307799	-0	0.0318039	-0	5.11878e-08	0	544.589	0	76489.2	0	154.693	0.711161	0	8.06508	0	149.732	0	0.0192056	0	0	0	11.3645	0	4919.58	0	16.3584	0.0106655	0	0.108106	0	17.3617	0	2.17668	0	0	0.39398
setup	0	2006-01-07 23:00:00	0	7.60293	3.3994	1.64381e-06	0	0.00255273	0.00165275	0.000609801	0.00313808	0.0355551	5.3672e-07	0	0	0	0.534046	0.00697571	0.0136256	0	0.242643	-0	0.32633	-0	0.312399	-0	0.0337447	-0	5.27622e-08	0	573.946	0	76486.3	0	154.733	0.701674	0	8.28253	0	149.772	0	0.0205033	0	0	0	11.9546	0	4919.31	0	16.3108	0.0105232	0	0.110138	0	17.3122	0	2.13783	0	0	0.372723
setup	0	2006-01-08 23:00:00	0	8.17258	3.45264	1.58901e-06	0	0.00259716	0.0015951	0.000653303	0.0033029	0.0360427	6.08848e-07	0	0	0	0.530701	0.00696664	0.0136256	0	0.243581	-0	0.330403	-0	0.315918	-0	0.0336375	-0	5.30853e-08	0	603.419	0	76483.4	0	154.885	0.692506	0	8.51458	0	149.717	0	0.020167	0	0	0	12.6213	0	4919.04	0	16.2754	0.0103857	0	0.112491	0	17.2532	0	2.09957	0	0	0.369885
setup	0	2006-01-09 23:00:00	0	8.68924	3.47305	1.53299e-06	0	0.0025133	0.00149891	0.000666943	0.00321264	0.0370808	7.04139e-07	0	0	0	0.527509	0.00695759	0.0136257	0	0.243396	-0	0.332758	-0	0.319285	-0	0.0378773	-0	5.24997e-08	0	630.352	0	76480.4	0	154.97	0.68368	0	8.76162	0	149.747	0	0.0206114	0	0	0	13.3427	0	4918.77	0	16.2301	0.0102534	0	0.115163	0	17.2046	0	2.0613	0	0	0.354329
setup	0	2006-01-10 23:00:00	0	9.32033	3.53525	1.45048e-06	0	0.00229733	0.0013653	0.000691113	0.0032875	0.0365586	8.2361e-07	0	0	0	0.524436	0.00694854	0.013626	0	0.24402	-0	0.336615	-0	0.322613	-0	0.0404691	-0	5.36911e-08	0	660.383	0	76477.4	0	155.114	0.675013	0	9.01974	0	149.742	0	0.0215397	0	0	0	14.1021	0	4918.5	0	16.1923	0.0101234	0	0.118083	0	17.1514	0	2.02182	0	0	0.346124
