source	id	datetime	species	area_cover	area_fraction	n_tree	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	specific_leaf_area[m2kg-1]	lai	crown_diam_ratio	sap_fol_ratio	branch_fraction	stem_wood[kgm-2]	branch_wood[kgm-2]	root_wood[kgm-2]
setup	0	2006-01-01 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.10335	1	0	0	0	0	0
setup	0	2006-01-02 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.0581	1	0	0	0	0	0
setup	0	2006-01-03 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.05063	1	0	0	0	0	0
setup	0	2006-01-04 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.04375	1	0	0	0	0	0
setup	0	2006-01-05 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.03764	1	0	0	0	0	0
setup	0	2006-01-06 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.03205	1	0	0	0	0	0
setup	0	2006-01-07 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.02693	1	0	0	0	0	0
setup	0	2006-01-08 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.02209	1	0	0	0	0	0
setup	0	2006-01-09 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.01746	1	0	0	0	0	0
setup	0	2006-01-10 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.01333	1	0	0	0	0	0
setup	0	2006-01-11 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.00914	1	0	0	0	0	0
setup	0	2006-01-12 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.00497	1	0	0	0	0	0
setup	0	2006-01-13 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	1.00158	1	0	0	0	0	0
setup	0	2006-01-14 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.998591	1	0	0	0	0	0
setup	0	2006-01-15 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.995368	1	0	0	0	0	0
setup	0	2006-01-16 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.992592	1	0	0	0	0	0
setup	0	2006-01-17 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.989977	1	0	0	0	0	0
setup	0	2006-01-18 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.9877	1	0	0	0	0	0
setup	0	2006-01-19 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.985533	1	0	0	0	0	0
setup	0	2006-01-20 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.983507	1	0	0	0	0	0
setup	0	2006-01-21 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.980814	1	0	0	0	0	0
setup	0	2006-01-22 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.979078	1	0	0	0	0	0
setup	0	2006-01-23 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.977576	1	0	0	0	0	0
setup	0	2006-01-24 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.976159	1	0	0	0	0	0
setup	0	2006-01-25 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.974747	1	0	0	0	0	0
setup	0	2006-01-26 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.973388	1	0	0	0	0	0
setup	0	2006-01-27 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.97202	1	0	0	0	0	0
setup	0	2006-01-28 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.970701	1	0	0	0	0	0
setup	0	2006-01-29 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.968809	1	0	0	0	0	0
setup	0	2006-01-30 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.966859	1	0	0	0	0	0
setup	0	2006-01-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.964852	1	0	0	0	0	0
setup	0	2006-02-01 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.962803	1	0	0	0	0	0
setup	0	2006-02-02 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.960635	1	0	0	0	0	0
setup	0	2006-02-03 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.958387	1	0	0	0	0	0
setup	0	2006-02-04 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.955997	1	0	0	0	0	0
setup	0	2006-02-05 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.953382	1	0	0	0	0	0
setup	0	2006-02-06 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.950619	1	0	0	0	0	0
setup	0	2006-02-07 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.947314	1	0	0	0	0	0
setup	0	2006-02-08 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.943985	1	0	0	0	0	0
setup	0	2006-02-09 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.940102	1	0	0	0	0	0
setup	0	2006-02-10 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.935946	1	0	0	0	0	0
setup	0	2006-02-11 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.931596	1	0	0	0	0	0
setup	0	2006-02-12 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.926189	1	0	0	0	0	0
setup	0	2006-02-13 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.920335	1	0	0	0	0	0
setup	0	2006-02-14 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.914378	1	0	0	0	0	0
setup	0	2006-02-15 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.90791	1	0	0	0	0	0
setup	0	2006-02-16 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.901087	1	0	0	0	0	0
setup	0	2006-02-17 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.893656	1	0	0	0	0	0
setup	0	2006-02-18 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.885779	1	0	0	0	0	0
setup	0	2006-02-19 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.877346	1	0	0	0	0	0
setup	0	2006-02-20 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.868418	1	0	0	0	0	0
setup	0	2006-02-21 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.858897	1	0	0	0	0	0
setup	0	2006-02-22 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.848466	1	0	0	0	0	0
setup	0	2006-02-23 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.837009	1	0	0	0	0	0
setup	0	2006-02-24 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.824591	1	0	0	0	0	0
setup	0	2006-02-25 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.811589	1	0	0	0	0	0
setup	0	2006-02-26 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.798702	1	0	0	0	0	0
setup	0	2006-02-27 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.785249	1	0	0	0	0	0
setup	0	2006-02-28 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.771084	1	0	0	0	0	0
setup	0	2006-03-01 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.755842	1	0	0	0	0	0
setup	0	2006-03-02 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.739918	1	0	0	0	0	0
setup	0	2006-03-03 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.723017	1	0	0	0	0	0
setup	0	2006-03-04 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.704598	1	0	0	0	0	0
setup	0	2006-03-05 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.685639	1	0	0	0	0	0
setup	0	2006-03-06 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.665536	1	0	0	0	0	0
setup	0	2006-03-07 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.644301	1	0	0	0	0	0
setup	0	2006-03-08 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.622028	1	0	0	0	0	0
setup	0	2006-03-09 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.59868	1	0	0	0	0	0
setup	0	2006-03-10 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.574385	1	0	0	0	0	0
setup	0	2006-03-11 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.549419	1	0	0	0	0	0
setup	0	2006-03-12 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.523857	1	0	0	0	0	0
setup	0	2006-03-13 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.497766	1	0	0	0	0	0
setup	0	2006-03-14 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.47126	1	0	0	0	0	0
setup	0	2006-03-15 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.444353	1	0	0	0	0	0
setup	0	2006-03-16 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.417192	1	0	0	0	0	0
setup	0	2006-03-17 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	424	0.389836	1	0	0	0	0	0
